date,pair,base,quote,quote_per_rub,rub_per_quote,rub_per_usd,quote_per_usd,published_at_utc,source
2023-12-21,RUB/TMT,RUB,TMT,0.0376769495243199,26.541426857142856,92.894994,3.5,2023-12-21T23:59:59+00:00,openexchangerates.org
2023-12-21,RUB/UZS,RUB,UZS,133.16110446166778,0.007509700404203718,92.894994,12370.0,2023-12-21T23:59:59+00:00,openexchangerates.org
2023-12-22,RUB/AMD,RUB,AMD,4.395553217630274,0.22750264881086318,92.123465,404.933593,2023-12-22T23:59:53+00:00,openexchangerates.org
2023-12-22,RUB/AZN,RUB,AZN,0.018453496077248072,54.19027352941176,92.123465,1.7,2023-12-22T23:59:53+00:00,openexchangerates.org
2023-12-22,RUB/BYN,RUB,BYN,0.03579865347010124,27.93401156373639,92.123465,3.297896,2023-12-22T23:59:53+00:00,openexchangerates.org
2023-12-22,RUB/KGS,RUB,KGS,0.9648475553975309,1.0364331592134115,92.123465,88.8851,2023-12-22T23:59:53+00:00,openexchangerates.org
2023-12-22,RUB/KZT,RUB,KZT,4.985648857215694,0.2005756980964889,92.123465,459.295248,2023-12-22T23:59:53+00:00,openexchangerates.org
2023-12-22,RUB/MDL,RUB,MDL,0.1912382040775388,5.2290806893090425,92.123465,17.617526,2023-12-22T23:59:53+00:00,openexchangerates.org
2023-12-22,RUB/TJS,RUB,TJS,0.11881997708184339,8.416093190383284,92.123465,10.946108,2023-12-22T23:59:53+00:00,openexchangerates.org
2023-12-22,RUB/TMT,RUB,TMT,0.037992491923746034,26.320989999999995,92.123465,3.5,2023-12-22T23:59:53+00:00,openexchangerates.org
2023-12-22,RUB/UZS,RUB,UZS,134.57147518278867,0.007430995302991947,92.123465,12397.190584,2023-12-22T23:59:53+00:00,openexchangerates.org
2023-12-23,RUB/AMD,RUB,AMD,4.390233932256022,0.2277782950591262,92.123465,404.443562,2023-12-23T23:59:57+00:00,openexchangerates.org
2023-12-23,RUB/AZN,RUB,AZN,0.018453496077248072,54.19027352941176,92.123465,1.7,2023-12-23T23:59:57+00:00,openexchangerates.org
2023-12-23,RUB/BYN,RUB,BYN,0.03575677488900358,27.966728070532277,92.123465,3.294038,2023-12-23T23:59:57+00:00,openexchangerates.org
2023-12-23,RUB/KGS,RUB,KGS,0.9648475553975309,1.0364331592134115,92.123465,88.8851,2023-12-23T23:59:57+00:00,openexchangerates.org
2023-12-23,RUB/KZT,RUB,KZT,4.9795665957636315,0.2008206900678365,92.123465,458.734929,2023-12-23T23:59:57+00:00,openexchangerates.org
2023-12-23,RUB/MDL,RUB,MDL,0.19101449343009408,5.235204837301898,92.123465,17.596917,2023-12-23T23:59:57+00:00,openexchangerates.org
2023-12-23,RUB/TJS,RUB,TJS,0.11868097883639094,8.425950053702891,92.123465,10.933303,2023-12-23T23:59:57+00:00,openexchangerates.org
2023-12-23,RUB/TMT,RUB,TMT,0.037992491923746034,26.320989999999995,92.123465,3.5,2023-12-23T23:59:57+00:00,openexchangerates.org
2023-12-23,RUB/UZS,RUB,UZS,134.41271930012618,0.007439772107929232,92.123465,12382.565442,2023-12-23T23:59:57+00:00,openexchangerates.org
2023-12-24,RUB/AMD,RUB,AMD,4.395736319731352,0.22749317230682198,92.123465,404.950461,2023-12-24T23:59:52+00:00,openexchangerates.org
2023-12-24,RUB/AZN,RUB,AZN,0.018453496077248072,54.19027352941176,92.123465,1.7,2023-12-24T23:59:52+00:00,openexchangerates.org
2023-12-24,RUB/BYN,RUB,BYN,0.03580157346448052,27.931733251671762,92.123465,3.298165,2023-12-24T23:59:52+00:00,openexchangerates.org
2023-12-24,RUB/KGS,RUB,KGS,0.9685371691132113,1.0324848977304566,92.123465,89.225,2023-12-24T23:59:52+00:00,openexchangerates.org
2023-12-24,RUB/KZT,RUB,KZT,4.9858082194368185,0.20056928706193936,92.123465,459.309929,2023-12-24T23:59:52+00:00,openexchangerates.org
2023-12-24,RUB/MDL,RUB,MDL,0.1912538244192183,5.228653612740589,92.123465,17.618965,2023-12-24T23:59:52+00:00,openexchangerates.org
2023-12-24,RUB/TJS,RUB,TJS,0.11882968144978047,8.415405880075658,92.123465,10.947002,2023-12-24T23:59:52+00:00,openexchangerates.org
2023-12-24,RUB/TMT,RUB,TMT,0.037992491923746034,26.320989999999995,92.123465,3.5,2023-12-24T23:59:52+00:00,openexchangerates.org
2023-12-24,RUB/UZS,RUB,UZS,134.5843997617762,0.007430281680269555,92.123465,12398.381241,2023-12-24T23:59:52+00:00,openexchangerates.org
2023-12-25,RUB/AMD,RUB,AMD,4.404363685436673,0.22704755361292434,92.018686,405.283759,2023-12-25T23:59:59+00:00,openexchangerates.org
2023-12-25,RUB/AZN,RUB,AZN,0.018474508536233607,54.128638823529414,92.018686,1.7,2023-12-25T23:59:59+00:00,openexchangerates.org
2023-12-25,RUB/BYN,RUB,BYN,0.03586644347431781,27.88121439239022,92.018686,3.300383,2023-12-25T23:59:59+00:00,openexchangerates.org
2023-12-25,RUB/KGS,RUB,KGS,0.968980365574879,1.0320126552891684,92.018686,89.1643,2023-12-25T23:59:59+00:00,openexchangerates.org
2023-12-25,RUB/KZT,RUB,KZT,4.994838070171965,0.20020669057757293,92.018686,459.618436,2023-12-25T23:59:59+00:00,openexchangerates.org
2023-12-25,RUB/MDL,RUB,MDL,0.19122275882096382,5.229503047470779,92.018686,17.596067,2023-12-25T23:59:59+00:00,openexchangerates.org
2023-12-25,RUB/TJS,RUB,TJS,0.11904498397205977,8.400185935047066,92.018686,10.954363,2023-12-25T23:59:59+00:00,openexchangerates.org
2023-12-25,RUB/TMT,RUB,TMT,0.03803575286871625,26.291053142857145,92.018686,3.5,2023-12-25T23:59:59+00:00,openexchangerates.org
2023-12-25,RUB/UZS,RUB,UZS,134.82473181588358,0.007417036819072618,92.018686,12406.394662,2023-12-25T23:59:59+00:00,openexchangerates.org
2023-12-26,RUB/AMD,RUB,AMD,4.422132923706169,0.22613521964461997,91.629991,405.2,2023-12-26T23:59:59+00:00,openexchangerates.org
2023-12-26,RUB/AZN,RUB,AZN,0.018552877518017,53.89999470588235,91.629991,1.7,2023-12-26T23:59:59+00:00,openexchangerates.org
2023-12-26,RUB/BYN,RUB,BYN,0.03601858915385029,27.7634416975242,91.629991,3.300383,2023-12-26T23:59:59+00:00,openexchangerates.org
2023-12-26,RUB/KGS,RUB,KGS,0.9713697341736071,1.0294741176497022,91.629991,89.0066,2023-12-26T23:59:59+00:00,openexchangerates.org
2023-12-26,RUB/KZT,RUB,KZT,5.016026204782667,0.1993609999577998,91.629991,459.618436,2023-12-26T23:59:59+00:00,openexchangerates.org
2023-12-26,RUB/MDL,RUB,MDL,0.1914651612265246,5.222882291451909,91.629991,17.543951,2023-12-26T23:59:59+00:00,openexchangerates.org
2023-12-26,RUB/TJS,RUB,TJS,0.11954997354523368,8.364702812933988,91.629991,10.954363,2023-12-26T23:59:59+00:00,openexchangerates.org
2023-12-26,RUB/TMT,RUB,TMT,0.03830623534602333,26.105410541310544,91.629991,3.51,2023-12-26T23:59:59+00:00,openexchangerates.org
2023-12-26,RUB/UZS,RUB,UZS,134.94490030016482,0.007410431945006066,91.629991,12365.0,2023-12-26T23:59:59+00:00,openexchangerates.org
2023-12-27,RUB/AMD,RUB,AMD,4.413938537511002,0.22655503503315547,91.659028,404.577316,2023-12-27T23:59:59+00:00,openexchangerates.org
2023-12-27,RUB/AZN,RUB,AZN,0.01854700008383244,53.91707529411765,91.659028,1.7,2023-12-27T23:59:59+00:00,openexchangerates.org
2023-12-27,RUB/BYN,RUB,BYN,0.03601763047279968,27.76418067688252,91.659028,3.301341,2023-12-27T23:59:59+00:00,openexchangerates.org
2023-12-27,RUB/KGS,RUB,KGS,0.9713009393902801,1.0295470326917786,91.659028,89.0285,2023-12-27T23:59:59+00:00,openexchangerates.org
2023-12-27,RUB/KZT,RUB,KZT,4.976392014543292,0.20094879926612352,91.659028,456.131255,2023-12-27T23:59:59+00:00,openexchangerates.org
2023-12-27,RUB/MDL,RUB,MDL,0.1892957341856167,5.282739224431943,91.659028,17.350663,2023-12-27T23:59:59+00:00,openexchangerates.org
2023-12-27,RUB/TJS,RUB,TJS,0.11907082409820012,8.398362970724715,91.659028,10.913916,2023-12-27T23:59:59+00:00,openexchangerates.org
2023-12-27,RUB/TMT,RUB,TMT,0.0381850001725962,26.188293714285717,91.659028,3.5,2023-12-27T23:59:59+00:00,openexchangerates.org
2023-12-27,RUB/UZS,RUB,UZS,134.92129638337425,0.007411728369097004,91.659028,12366.754883,2023-12-27T23:59:59+00:00,openexchangerates.org
2023-12-28,RUB/AMD,RUB,AMD,4.598565499842503,0.21745911850864125,88.474999,406.858078,2023-12-28T23:59:58+00:00,openexchangerates.org
2023-12-28,RUB/AZN,RUB,AZN,0.019214467580836028,52.04411705882353,88.474999,1.7,2023-12-28T23:59:58+00:00,openexchangerates.org
2023-12-28,RUB/BYN,RUB,BYN,0.03750753362540304,26.661310497972114,88.474999,3.318479,2023-12-28T23:59:58+00:00,openexchangerates.org
2023-12-28,RUB/KGS,RUB,KGS,1.0066380447204073,0.9934057283497059,88.474999,89.0623,2023-12-28T23:59:58+00:00,openexchangerates.org
2023-12-28,RUB/KZT,RUB,KZT,5.15618674378284,0.19394177319232417,88.474999,456.193617,2023-12-28T23:59:58+00:00,openexchangerates.org
2023-12-28,RUB/MDL,RUB,MDL,0.1955313500483905,5.114269398500639,88.474999,17.299636,2023-12-28T23:59:58+00:00,openexchangerates.org
2023-12-28,RUB/TJS,RUB,TJS,0.12394120513072851,8.068341750794158,88.474999,10.965698,2023-12-28T23:59:58+00:00,openexchangerates.org
2023-12-28,RUB/TMT,RUB,TMT,0.039672224240432034,25.20655242165242,88.474999,3.51,2023-12-28T23:59:58+00:00,openexchangerates.org
2023-12-28,RUB/UZS,RUB,UZS,139.53094252083574,0.007166869096800324,88.474999,12345.0,2023-12-28T23:59:58+00:00,openexchangerates.org
2023-12-29,RUB/AMD,RUB,AMD,4.532130691235677,0.22064677038855468,89.249994,404.492637,2023-12-29T23:59:52+00:00,openexchangerates.org
2023-12-29,RUB/AZN,RUB,AZN,0.01904762032813134,52.499996470588236,89.249994,1.7,2023-12-29T23:59:52+00:00,openexchangerates.org
2023-12-29,RUB/BYN,RUB,BYN,0.036995218173348,27.030520412511514,89.249994,3.301823,2023-12-29T23:59:52+00:00,openexchangerates.org
2023-12-29,RUB/KGS,RUB,KGS,0.9981546889515758,1.0018487225165094,89.249994,89.0853,2023-12-29T23:59:52+00:00,openexchangerates.org
2023-12-29,RUB/KZT,RUB,KZT,5.12014806409959,0.19530685196617575,89.249994,456.973184,2023-12-29T23:59:52+00:00,openexchangerates.org
2023-12-29,RUB/MDL,RUB,MDL,0.19381662927618795,5.159516000946461,89.249994,17.298133,2023-12-29T23:59:52+00:00,openexchangerates.org
2023-12-29,RUB/TJS,RUB,TJS,0.122640512446421,8.153912439308165,89.249994,10.945665,2023-12-29T23:59:52+00:00,openexchangerates.org
2023-12-29,RUB/TMT,RUB,TMT,0.03932773373631823,25.427348717948718,89.249994,3.51,2023-12-29T23:59:52+00:00,openexchangerates.org
2023-12-29,RUB/UZS,RUB,UZS,138.2593630762597,0.007232783210844319,89.249994,12339.647325,2023-12-29T23:59:52+00:00,openexchangerates.org
2023-12-30,RUB/AMD,RUB,AMD,4.5403684620976,0.22024644218808864,89.249994,405.227858,2023-12-30T23:59:52+00:00,openexchangerates.org
2023-12-30,RUB/AZN,RUB,AZN,0.01904762032813134,52.499996470588236,89.249994,1.7,2023-12-30T23:59:52+00:00,openexchangerates.org
2023-12-30,RUB/BYN,RUB,BYN,0.03706281481654777,26.981221068873616,89.249994,3.307856,2023-12-30T23:59:52+00:00,openexchangerates.org
2023-12-30,RUB/KGS,RUB,KGS,0.9981546889515758,1.0018487225165094,89.249994,89.0853,2023-12-30T23:59:52+00:00,openexchangerates.org
2023-12-30,RUB/KZT,RUB,KZT,5.1295077285943576,0.19495048119832556,89.249994,457.808534,2023-12-30T23:59:52+00:00,openexchangerates.org
2023-12-30,RUB/MDL,RUB,MDL,0.19420225395197227,5.149270822816031,89.249994,17.33255,2023-12-30T23:59:52+00:00,openexchangerates.org
2023-12-30,RUB/TJS,RUB,TJS,0.12286571134111225,8.13896724386919,89.249994,10.965764,2023-12-30T23:59:52+00:00,openexchangerates.org
2023-12-30,RUB/TMT,RUB,TMT,0.03932773373631823,25.427348717948718,89.249994,3.51,2023-12-30T23:59:52+00:00,openexchangerates.org
2023-12-30,RUB/UZS,RUB,UZS,138.50956382137124,0.007219718064303843,89.249994,12361.97774,2023-12-30T23:59:52+00:00,openexchangerates.org
2023-12-31,RUB/AMD,RUB,AMD,4.539429020815689,0.22029202250205251,89.249173,405.140286,2023-12-31T23:59:59+00:00,openexchangerates.org
2023-12-31,RUB/AZN,RUB,AZN,0.01904779554652008,52.499513529411765,89.249173,1.7,2023-12-31T23:59:59+00:00,openexchangerates.org
2023-12-31,RUB/BYN,RUB,BYN,0.037063155756076306,26.980972871854156,89.249173,3.307856,2023-12-31T23:59:59+00:00,openexchangerates.org
2023-12-31,RUB/KGS,RUB,KGS,0.9981638709414148,1.0018395066301624,89.249173,89.0853,2023-12-31T23:59:59+00:00,openexchangerates.org
2023-12-31,RUB/KZT,RUB,KZT,5.129554914755345,0.1949486878722099,89.249173,457.808534,2023-12-31T23:59:59+00:00,openexchangerates.org
2023-12-31,RUB/MDL,RUB,MDL,0.19397929883339085,5.155189270267966,89.249173,17.312492,2023-12-31T23:59:59+00:00,openexchangerates.org
2023-12-31,RUB/TJS,RUB,TJS,0.12286684157846482,8.138892374484806,89.249173,10.965764,2023-12-31T23:59:59+00:00,openexchangerates.org
2023-12-31,RUB/TMT,RUB,TMT,0.03932809551075616,25.427114814814814,89.249173,3.51,2023-12-31T23:59:59+00:00,openexchangerates.org
2023-12-31,RUB/UZS,RUB,UZS,138.4727922576941,0.00722163526636357,89.249173,12358.582192,2023-12-31T23:59:59+00:00,openexchangerates.org
2024-01-01,RUB/AMD,RUB,AMD,4.544486322318408,0.22004687198394768,89.249994,405.595377,2024-01-01T23:59:59+00:00,openexchangerates.org
2024-01-01,RUB/AZN,RUB,AZN,0.01904762032813134,52.499996470588236,89.249994,1.7,2024-01-01T23:59:59+00:00,openexchangerates.org
2024-01-01,RUB/BYN,RUB,BYN,0.037096372241772924,26.9568138221865,89.249994,3.310851,2024-01-01T23:59:59+00:00,openexchangerates.org
2024-01-01,RUB/KGS,RUB,KGS,0.9981546889515758,1.0018487225165094,89.249994,89.0853,2024-01-01T23:59:59+00:00,openexchangerates.org
2024-01-01,RUB/KZT,RUB,KZT,5.134144860558758,0.1947744029745137,89.249994,458.222398,2024-01-01T23:59:59+00:00,openexchangerates.org
2024-01-01,RUB/MDL,RUB,MDL,0.19417462369801392,5.150003542971863,89.249994,17.330084,2024-01-01T23:59:59+00:00,openexchangerates.org
2024-01-01,RUB/TJS,RUB,TJS,0.12297693823934598,8.131605928045898,89.249994,10.975691,2024-01-01T23:59:59+00:00,openexchangerates.org
2024-01-01,RUB/TMT,RUB,TMT,0.03932773373631823,25.427348717948718,89.249994,3.51,2024-01-01T23:59:59+00:00,openexchangerates.org
2024-01-01,RUB/UZS,RUB,UZS,138.63655382430613,0.007213104858818824,89.249994,12373.311597,2024-01-01T23:59:59+00:00,openexchangerates.org
2024-01-02,RUB/AMD,RUB,AMD,4.477980242261116,0.22331496476077772,90.415913,404.880672,2024-01-02T23:59:59+00:00,openexchangerates.org
2024-01-02,RUB/AZN,RUB,AZN,0.01880200004174044,53.185831176470586,90.415913,1.7,2024-01-02T23:59:59+00:00,openexchangerates.org
2024-01-02,RUB/BYN,RUB,BYN,0.03653349162110435,27.372144178585128,90.415913,3.303209,2024-01-02T23:59:59+00:00,openexchangerates.org
2024-01-02,RUB/KGS,RUB,KGS,0.9852834201873292,1.0149363924238903,90.415913,89.0853,2024-01-02T23:59:59+00:00,openexchangerates.org
2024-01-02,RUB/KZT,RUB,KZT,5.039161812146939,0.1984457013445157,90.415913,455.620416,2024-01-02T23:59:59+00:00,openexchangerates.org
2024-01-02,RUB/MDL,RUB,MDL,0.19133397458476142,5.226463319806267,90.415913,17.299636,2024-01-02T23:59:59+00:00,openexchangerates.org
2024-01-02,RUB/TJS,RUB,TJS,0.12108823144881586,8.258440874352857,90.415913,10.948303,2024-01-02T23:59:59+00:00,openexchangerates.org
2024-01-02,RUB/TMT,RUB,TMT,0.038820600086181725,25.759519373219376,90.415913,3.51,2024-01-02T23:59:59+00:00,openexchangerates.org
