config_id,train_horizon,evaluation_horizon,policy,year,corridor,rows,dates,signals,hits,base_hit,hit_rate,lift,forward_delta_bps,forward_signal_bps,regret_bps,brier,raw_brier,auc,log_loss,week_cells,weeks_with_1_2,week_coverage,mean_cell_week_coverage,signals_per_corridor_week,silent_weeks,max_week_signals,max_silent_week_run,min_year_corridor_coverage
tabm_pooled,5,5,rank80,2026,UZS,156,156,42,24,0.38461538461538464,0.5714285714285714,1.4857142857142858,31.20201948417973,51.69361623233239,93.05820002623541,0.20099293528642947,0.1947062588326939,0.7680555555555555,0.5835882440115282,33,31,0.9393939393939394,0.9393939393939394,1.2727272727272727,2,2,1,0.9393939393939394
tabm_pooled,5,5,rank90,2024,AMD,243,243,61,28,0.3497942386831276,0.45901639344262296,1.3122468659594986,46.40060751696986,64.57445395490244,57.48228910215849,0.1980244458183008,0.22201896827070336,0.7252419955323901,0.5802045411746586,51,44,0.8627450980392157,0.8627450980392157,1.196078431372549,7,2,3,0.8627450980392157
tabm_pooled,5,5,rank90,2024,KGS,243,243,62,29,0.37037037037037035,0.46774193548387094,1.2629032258064519,38.415388450237884,56.78055499885303,57.17465869918543,0.21260029017785298,0.23809743825875332,0.6868554829339144,0.6183621356190256,51,45,0.8823529411764706,0.8823529411764706,1.2156862745098038,6,2,3,0.8823529411764706
tabm_pooled,5,5,rank90,2024,KZT,243,243,58,23,0.2674897119341564,0.39655172413793105,1.482493368700265,57.48844604953616,56.32184347836289,72.04090910691518,0.20093565464439428,0.18620033660999497,0.6808124459809852,0.5908382355040985,51,44,0.8627450980392157,0.8627450980392157,1.1372549019607843,7,2,3,0.8627450980392157
tabm_pooled,5,5,rank90,2024,TJS,243,243,59,27,0.3497942386831276,0.4576271186440678,1.3082751744765702,49.47982429145419,65.01680953958919,54.56081988209528,0.20099650507436417,0.22395602405875595,0.7189873417721518,0.5874894685152153,51,45,0.8823529411764706,0.8823529411764706,1.1568627450980393,6,2,3,0.8823529411764706
tabm_pooled,5,5,rank90,2024,UZS,243,243,61,28,0.3292181069958848,0.45901639344262296,1.394262295081967,50.459479714253085,60.68588741631714,59.4736779794084,0.18618028839736597,0.21032774366238677,0.7409509202453987,0.5517352378611393,51,43,0.8431372549019608,0.8431372549019608,1.196078431372549,8,2,3,0.8431372549019608
tabm_pooled,5,5,rank90,2025,AMD,242,242,73,20,0.2190082644628099,0.273972602739726,1.2509692426983716,22.190099992272028,-5.287951997143736,123.90365984170882,0.1633157830773747,0.1592961705874412,0.6682639512828192,0.5056079882354427,51,50,0.9803921568627451,0.9803921568627451,1.4313725490196079,1,2,1,0.9803921568627451
tabm_pooled,5,5,rank90,2025,KGS,242,242,75,21,0.2024793388429752,0.28,1.3828571428571426,15.672851068307525,-17.129957308180497,129.8206763965807,0.164650214160298,0.15417755730194146,0.6595114729829756,0.5091742911917315,51,51,1.0,1.0,1.4705882352941178,0,2,0,1.0
tabm_pooled,5,5,rank90,2025,KZT,242,242,70,15,0.19834710743801653,0.21428571428571427,1.0803571428571432,23.144280268865682,-5.102018618854427,132.3531986561348,0.1518251924097314,0.1552895131026106,0.6619415807560137,0.47603931957102635,51,51,1.0,1.0,1.3725490196078431,0,2,0,1.0
tabm_pooled,5,5,rank90,2025,TJS,242,242,77,24,0.2892561983471074,0.3116883116883117,1.0775510204081633,14.22873394364243,2.867172741557036,127.73633727986905,0.18784170092171276,0.1977353704779077,0.6681893687707641,0.5590539946914755,51,51,1.0,1.0,1.5098039215686274,0,2,0,1.0
tabm_pooled,5,5,rank90,2025,UZS,242,242,69,21,0.19834710743801653,0.30434782608695654,1.5344202898550727,26.15098638360753,2.9147921828142986,136.57098100133996,0.14854311354595684,0.14363113988599444,0.7240120274914089,0.4678141093714411,51,50,0.9803921568627451,0.9803921568627451,1.3529411764705883,1,2,1,0.9803921568627451
tabm_pooled,5,5,rank90,2026,AMD,156,156,42,20,0.3333333333333333,0.47619047619047616,1.4285714285714286,34.138921273560456,58.731801919090685,80.37063936041707,0.19028799196633592,0.1884613267730353,0.73021449704142,0.5626266060394045,33,30,0.9090909090909091,0.9090909090909091,1.2727272727272727,3,2,1,0.9090909090909091
tabm_pooled,5,5,rank90,2026,KGS,156,156,42,19,0.3076923076923077,0.4523809523809524,1.470238095238095,35.01938357906967,51.36342961424413,86.72515323729395,0.180201936426401,0.1774496739527452,0.7511574074074073,0.534870885880984,33,30,0.9090909090909091,0.9090909090909091,1.2727272727272727,3,2,1,0.9090909090909091
tabm_pooled,5,5,rank90,2026,KZT,156,156,41,16,0.36538461538461536,0.3902439024390244,1.0680359435173299,43.74463909583403,80.90921538755316,89.778230855371,0.2142154418513384,0.20685560100342146,0.7146907673223462,0.6206426181957624,33,30,0.9090909090909091,0.9090909090909091,1.2424242424242424,3,2,1,0.9090909090909091
tabm_pooled,5,5,rank90,2026,TJS,156,156,42,20,0.32051282051282054,0.47619047619047616,1.4857142857142855,38.0195712790379,56.25162511851043,83.23107867131044,0.1846519371257382,0.18285386855320865,0.7396226415094339,0.5497309573002259,33,31,0.9393939393939394,0.9393939393939394,1.2727272727272727,2,2,1,0.9393939393939394
tabm_pooled,5,5,rank90,2026,UZS,156,156,42,24,0.38461538461538464,0.5714285714285714,1.4857142857142858,31.20201948417973,51.69361623233239,93.05820002623541,0.20099293528642947,0.1947062588326939,0.7680555555555555,0.5835882440115282,33,31,0.9393939393939394,0.9393939393939394,1.2727272727272727,2,2,1,0.9393939393939394
tabm_pooled,5,5,rank90_shared,2024,AMD,243,243,61,28,0.3497942386831276,0.45901639344262296,1.3122468659594986,46.40060751696986,64.57445395490244,57.48228910215849,0.1980244458183008,0.22201896827070336,0.7252419955323901,0.5802045411746586,51,44,0.8627450980392157,0.8627450980392157,1.196078431372549,7,2,3,0.8627450980392157
tabm_pooled,5,5,rank90_shared,2024,KGS,243,243,62,29,0.37037037037037035,0.46774193548387094,1.2629032258064519,38.415388450237884,56.78055499885303,57.17465869918543,0.21260029017785298,0.23809743825875332,0.6868554829339144,0.6183621356190256,51,45,0.8823529411764706,0.8823529411764706,1.2156862745098038,6,2,3,0.8823529411764706
