config_id,train_horizon,evaluation_horizon,policy,year,evaluation_scope,cohort,rows,dates,signals,hits,base_hit,hit_rate,lift,forward_delta_bps,forward_signal_bps,regret_bps,brier,raw_brier,auc,log_loss,week_cells,weeks_with_1_2,week_coverage,mean_cell_week_coverage,signals_per_corridor_week,silent_weeks,max_week_signals,max_silent_week_run,min_year_corridor_coverage
tabm_kzt,3,3,cadence80,2024,KZT,common_H5_dates_frozen_contacts,243,243,37,23,0.3333333333333333,0.6216216216216216,1.8648648648648645,82.99418055014783,81.56398515294082,43.88006647472324,0.19202365767409543,0.21228892318135817,0.7448559670781894,0.5626184898569365,51,31,0.6078431372549019,0.6078431372549019,0.7254901960784313,20,2,8,0.6078431372549019
tabm_kzt,3,5,cadence80,2024,KZT,common_H5_dates_frozen_contacts,243,243,37,19,0.2674897119341564,0.5135135135135135,1.919750519750519,92.69372496016281,91.52712238898954,81.4007012935493,,,,,51,31,0.6078431372549019,0.6078431372549019,0.7254901960784313,20,2,8,0.6078431372549019
tabm_kzt,3,3,cadence80,2025,KZT,common_H5_dates_frozen_contacts,242,242,46,23,0.2644628099173554,0.5,1.8906250000000007,71.77848941042382,53.07073179255442,48.82826108174027,0.16018257540471678,0.16133452107790847,0.7618504213483147,0.4911557001671538,51,38,0.7450980392156863,0.7450980392156863,0.9019607843137255,13,2,3,0.7450980392156863
tabm_kzt,3,5,cadence80,2025,KZT,common_H5_dates_frozen_contacts,242,242,46,18,0.19834710743801653,0.391304347826087,1.9728260869565226,68.66906580856867,40.422766920848574,92.15880970277871,,,,,51,38,0.7450980392156863,0.7450980392156863,0.9019607843137255,13,2,3,0.7450980392156863
tabm_kzt,3,3,cadence80,2026,KZT,common_H5_dates_frozen_contacts,156,156,39,22,0.4230769230769231,0.5641025641025641,1.3333333333333333,56.07178245355846,80.2947470077377,47.44704321281794,0.18817562467531046,0.19209396819261465,0.795959595959596,0.5542340225795723,33,29,0.8787878787878788,0.8787878787878788,1.1818181818181819,4,2,1,0.8787878787878788
tabm_kzt,3,5,cadence80,2026,KZT,common_H5_dates_frozen_contacts,156,156,39,18,0.36538461538461536,0.46153846153846156,1.2631578947368425,61.245085739462525,98.40966203118165,76.02749251605562,,,,,33,29,0.8787878787878788,0.8787878787878788,1.1818181818181819,4,2,1,0.8787878787878788
tabm_kzt,3,3,cadence85,2024,KZT,common_H5_dates_frozen_contacts,243,243,39,24,0.3333333333333333,0.6153846153846154,1.8461538461538456,80.46866546454594,79.03847006733892,41.95846143305575,0.19202365767409543,0.21228892318135817,0.7448559670781894,0.5626184898569365,51,33,0.6470588235294118,0.6470588235294118,0.7647058823529411,18,2,4,0.6470588235294118
tabm_kzt,3,5,cadence85,2024,KZT,common_H5_dates_frozen_contacts,243,243,39,20,0.2674897119341564,0.5128205128205128,1.9171597633136084,90.09725303588228,88.93065046470899,77.55496113296765,,,,,51,33,0.6470588235294118,0.6470588235294118,0.7647058823529411,18,2,4,0.6470588235294118
tabm_kzt,3,3,cadence85,2025,KZT,common_H5_dates_frozen_contacts,242,242,51,23,0.2644628099173554,0.45098039215686275,1.7052696078431375,58.89153043070288,40.183772812833475,60.03691479061663,0.16018257540471678,0.16133452107790847,0.7618504213483147,0.4911557001671538,51,41,0.803921568627451,0.803921568627451,1.0,10,2,1,0.803921568627451
tabm_kzt,3,5,cadence85,2025,KZT,common_H5_dates_frozen_contacts,242,242,51,19,0.19834710743801653,0.37254901960784315,1.8782679738562094,54.85171124095944,26.605412353239334,112.78663837338075,,,,,51,41,0.803921568627451,0.803921568627451,1.0,10,2,1,0.803921568627451
