config_id,train_horizon,evaluation_horizon,policy,evaluation_scope,cohort,period,rows,dates,signals,hits,base_hit,hit_rate,lift,forward_delta_bps,forward_signal_bps,regret_bps,brier,raw_brier,auc,log_loss,week_cells,weeks_with_1_2,week_coverage,mean_cell_week_coverage,signals_per_corridor_week,silent_weeks,max_week_signals,max_silent_week_run,min_year_corridor_coverage
tabm_kzt,3,3,cadence80,KZT,native_matured,2024-2026,647,647,124,70,0.32921174652241114,0.5645161290322581,1.6768087070366442,70.52830348936438,71.52118155622918,46.12981576310252,0.17842597897169818,0.18773549068192313,0.7706670128296662,0.5321612811872031,135,100,0.7407407407407407,0.7605466428995841,0.9185185185185185,35,2,8,0.6274509803921569
tabm_kzt,3,3,cadence85,KZT,native_matured,2024-2026,647,647,136,68,0.32921174652241114,0.5,1.483191424652922,53.46849781876237,54.600921492062476,57.499858712703464,0.17842597897169818,0.18773549068192313,0.7706670128296662,0.5321612811872031,135,108,0.8,0.823529411764706,1.0074074074074073,27,2,4,0.6666666666666666
tabm_kzt,3,3,cadence90,KZT,native_matured,2024-2026,647,647,152,74,0.32921174652241114,0.4868421052631579,1.4596987078650077,51.921595442846204,52.04326026194743,54.45965079347216,0.17842597897169818,0.18773549068192313,0.7706670128296662,0.5321612811872031,135,118,0.8740740740740741,0.8888888888888888,1.125925925925926,17,2,4,0.7843137254901961
tabm_kzt,3,3,rank80,KZT,native_matured,2024-2026,647,647,158,76,0.32921174652241114,0.4810126582278481,1.4534136377247564,48.10921427202935,47.49012713249657,56.724191534212245,0.17842597897169818,0.18773549068192313,0.7706670128296662,0.5321612811872031,135,123,0.9111111111111111,0.9180035650623886,1.1703703703703703,12,2,3,0.8627450980392157
tabm_kzt,3,3,rank90,KZT,native_matured,2024-2026,647,647,175,75,0.32921174652241114,0.42857142857142855,1.316553966005988,33.862280244778,31.801780091006087,66.52441717360023,0.17842597897169818,0.18773549068192313,0.7706670128296662,0.5321612811872031,135,126,0.9333333333333333,0.9376114081996435,1.2962962962962963,9,2,3,0.8627450980392157
tabm_kzt,3,3,rank90_shared,KZT,native_matured,2024-2026,647,647,175,75,0.32921174652241114,0.42857142857142855,1.316553966005988,33.862280244778,31.801780091006087,66.52441717360023,0.17842597897169818,0.18773549068192313,0.7706670128296662,0.5321612811872031,135,126,0.9333333333333333,0.9376114081996435,1.2962962962962963,9,2,3,0.8627450980392157
tabm_kzt,3,3,strict05,KZT,native_matured,2024-2026,647,647,83,52,0.32921174652241114,0.6265060240963856,1.8484852102434597,86.18089572901225,87.67120441530464,41.63327545910606,0.17842597897169818,0.18773549068192313,0.7706670128296662,0.5321612811872031,135,79,0.5851851851851851,0.5983363042186572,0.6148148148148148,56,2,8,0.47058823529411764
tabm_kzt,5,5,cadence80,KZT,native_matured,2024-2026,641,641,134,53,0.26521060842433697,0.39552238805970147,1.4883099738022574,60.934496017523756,59.0847992338347,93.3997862839706,0.17136951642488152,0.1832913591778014,0.7321968277756962,0.5147258062047264,135,104,0.7703703703703704,0.7831253713606655,0.9925925925925926,31,2,5,0.5882352941176471
tabm_kzt,5,5,cadence85,KZT,native_matured,2024-2026,641,641,139,58,0.26521060842433697,0.4172661870503597,1.5697605728493453,62.565783839340256,60.74065878991434,91.77698330901744,0.17136951642488152,0.1832913591778014,0.7321968277756962,0.5147258062047264,135,108,0.8,0.8092691622103386,1.0296296296296297,27,2,5,0.6666666666666666
tabm_kzt,5,5,cadence90,KZT,native_matured,2024-2026,641,641,153,62,0.26521060842433697,0.40522875816993464,1.5370955157606683,43.70170160448977,41.02196284191973,106.58087047057285,0.17136951642488152,0.1832913591778014,0.7321968277756962,0.5147258062047264,135,115,0.8518518518518519,0.8621509209744503,1.1333333333333333,20,2,4,0.7058823529411765
tabm_kzt,5,5,rank80,KZT,native_matured,2024-2026,641,641,138,59,0.26521060842433697,0.427536231884058,1.6147988433603981,61.98762421920427,59.75006485666258,90.72559427179355,0.17136951642488152,0.1832913591778014,0.7321968277756962,0.5147258062047264,135,108,0.8,0.8057040998217468,1.0222222222222221,27,2,3,0.7450980392156863
tabm_kzt,5,5,rank90,KZT,native_matured,2024-2026,641,641,173,65,0.26521060842433697,0.37572254335260113,1.4274518737308257,33.67842891123581,30.83410402133043,105.80937944810411,0.17136951642488152,0.1832913591778014,0.7321968277756962,0.5147258062047264,135,122,0.9037037037037037,0.9079025549613785,1.2814814814814814,13,2,3,0.8235294117647058
