candidate,baseline,train_horizon,evaluation_scope,inference,delta_brier,ci_low,ci_high,blocks,improved_years,lift_delta,lift_ci_low,lift_ci_high,forward_delta_bps_delta,forward_delta_bps_ci_low,forward_delta_bps_ci_high
tabm_pooled::rank80,v3::strict05,3,all5,descriptive_post_selection,-0.003276052572480004,-0.008111700179011134,0.0018928724859973117,32,2,-0.1368143437003395,-0.3507001784564533,0.09456869232596904,-14.961736369159262,-30.868306417832216,-0.04132943842147083
tabm_kzt::rank90,v3::strict05,5,KZT,descriptive_post_selection,-0.017889808495185358,-0.027637584976802486,-0.009265780029032557,32,3,-0.45200169279290336,-0.773866871747571,-0.15609670544979973,-55.433914247796864,-84.19534642695182,-28.24204231328589
tabm_kzt::rank90,tabm_kzt::cadence85,5,KZT,same_weights_policy_change_post_selection,0.0,0.0,0.0,32,0,-0.14230869911851962,-0.37535789377352896,0.07840344508882571,-28.887354928104443,-44.322509195587365,-14.825142831677834
