baseline,candidate,train_horizon,evaluation_horizon,evaluation_scope,year,delta_brier,ci_low,ci_high,blocks,improved_years,lift_delta,lift_ci_low,lift_ci_high,forward_delta_bps_delta,forward_delta_bps_ci_low,forward_delta_bps_ci_high
v3::strict05,tabm_pooled::rank80,3,3,all5,2024,0.001255619335308033,-0.009199333639846515,0.013745159440587537,12,0,0.06607221875348346,-0.2294532296370945,0.32682221587442817,8.309658193468458,-10.1591930356659,22.0960998435661
v3::strict05,tabm_pooled::rank80,3,3,all5,2025,-0.0006623730796928178,-0.005487428275781355,0.003598651932504708,12,1,-0.3114241268165876,-0.821651194776797,0.3550950279045045,-40.309660040955784,-77.19946282638094,-3.499131249661662
v3::strict05,tabm_pooled::rank80,3,3,all5,2026,-0.01433932734240496,-0.02247605544204305,-0.0061385366406375525,8,1,-0.3722606897471814,-0.717682809652016,0.028203296802745838,-34.374779859516664,-59.51463791025559,-10.130619645570633
v3::strict05,tabm_pooled::rank80,3,3,all5,all,-0.003276052572480004,-0.008111700179011134,0.0018928724859973117,32,2,-0.1368143437003395,-0.3507001784564533,0.09456869232596904,-14.961736369159262,-30.868306417832216,-0.04132943842147083
v3::strict05,tabm_pooled::cadence85,3,3,KZT,2024,-0.003703299275987456,-0.015371682059977484,0.00952990058647859,12,1,0.3179925369098471,-0.15608118677141877,0.7816529967535204,40.87513616908417,2.9052807515801313,76.46953400409213
v3::strict05,tabm_pooled::cadence85,3,3,KZT,2025,-0.009368862499140398,-0.020034262555829543,-0.00031025625871177636,12,1,-0.08252164502164505,-0.6246854162918558,0.6122968203875258,-19.91777966333928,-53.29754238622723,18.484189109629895
v3::strict05,tabm_pooled::cadence85,3,3,KZT,2026,-0.02312572861575703,-0.02877612917952286,-0.01712629511460128,8,1,-0.32211124826992843,-0.832520325203252,0.14584382026242504,-33.382290600368464,-71.72866789081107,8.568419803884762
v3::strict05,tabm_pooled::cadence85,3,3,KZT,all,-0.010582961195821939,-0.01678193971059884,-0.004363156978594886,32,3,0.037633373150014915,-0.23602818799001413,0.3296905852099145,6.54824746101049,-16.889725246223602,30.154513007003416
