scenario,seed,policy,contacts,relevant_contacts,shifted_transfers,planned_transfers,completed_transfers,organic_volume_rub,policy_volume_rub,gross_timing_value_rub,net_scenario_value_rub,execution_drag_rub,shifted_amount_rub,sum_advance_days,hurt_transfers,contact_target_sum,contact_forward_bps_sum,own_h_target_sum,all_date_h5_base_sum,exposure_weeks,contacts_per_week,relevance,h5_quality,own_h_quality,h5_unconditional_same_dates,forward_bps_per_contact,timing_bps_all_volume,h5_lift_vs_unconditional
base,8101,group_aware,4.4037037037037035,2.819023569023569,0.8613636363636363,7.870033670033671,7.870033670033671,449035.2395037027,449035.2395037027,125.29034658134705,120.88664287764335,0.0,49999.72257928652,3.725420875420875,0.2894781144781145,1.615740740740741,119.20063001788279,1.1735690235690235,1.2733075597149328,48.21428571428571,0.0913360768175583,0.6401483293829804,0.3669049621530699,0.2664959094732013,0.28914469396386194,27.068267539805177,2.7902118933878,0.07776026818920795
base,8101,group_expected_budget,4.4037037037037035,2.819023569023569,0.8613636363636363,7.870033670033671,7.870033670033671,449035.2395037027,449035.2395037027,125.29034658134705,120.88664287764335,0.0,49999.72257928652,3.725420875420875,0.2894781144781145,1.615740740740741,119.20063001788279,1.1735690235690235,1.2733075597149328,48.21428571428571,0.0913360768175583,0.6401483293829804,0.3669049621530699,0.2664959094732013,0.28914469396386194,27.068267539805177,2.7902118933878,0.07776026818920795
base,8101,group_unconstrained_expected_budget,4.1848484848484855,2.365909090909091,0.8258417508417508,7.870033670033671,7.870033670033671,449035.2395037027,449035.2395037027,107.89410803403473,103.70925954918621,0.0,50381.84379087048,3.6845117845117845,0.2710437710437711,1.477020202020202,67.20026599870519,1.4774410774410773,1.2344807823969661,48.21428571428571,0.08679685746352415,0.5653511947863866,0.35294472604392946,0.3530452972885992,0.29498816668428585,16.057992599256124,2.4027982336817253,0.05795655935964361
base,8101,group_unconstrained_exploratory,8.202525252525252,4.583838383838384,1.51489898989899,7.870033670033671,7.870033670033671,449035.2395037027,449035.2395037027,293.9199669892189,285.7174417366937,0.0,92630.58853961994,6.76986531986532,0.5446969696969697,3.090740740740741,182.7143664905577,3.0025252525252526,2.3661442041040543,48.21428571428571,0.17012644968200524,0.5588325842004803,0.37680356299899437,0.3660488886152331,0.28846533613238273,22.27537994281782,6.545587988017927,0.08833822686661164
base,8101,random_expected_budget,4.349158249158249,2.516329966329966,0.859090909090909,7.870033670033671,7.870033670033671,449035.2395037027,449035.2395037027,4.662333146434005,0.313174897275756,0.0,59377.996321353094,4.20580808080808,0.3351010101010101,1.2235690235690235,-28.759820085080758,1.2235690235690235,1.2356019458567955,48.21428571428571,0.09020476368624517,0.5785786173260045,0.28133467523418754,0.28133467523418754,0.28410139964346853,-6.61273249614383,0.10383000567142704,-0.002766724409280996
base,8101,universal,7.6089225589225595,4.1603535353535355,1.3803872053872053,7.870033670033671,7.870033670033671,449035.2395037027,449035.2395037027,499.69117489520295,492.08225233628036,0.0,87810.12515813328,6.3501683501683495,0.3842592592592593,3.401515151515152,359.91891843574444,4.477525252525252,2.2154880561026706,48.21428571428571,0.15781469011098645,0.5467730159081354,0.44704294532822975,0.5884571984866251,0.29116974695775966,47.30221863195172,11.128106013405269,0.1558731983704701
base,8101,universal_expected_budget,3.5574915824915827,2.0166666666666666,0.6548821548821548,7.870033670033671,7.870033670033671,449035.2395037027,449035.2395037027,199.27405337748203,195.71656179499047,0.0,45654.33214528416,3.029124579124579,0.18888888888888888,1.5351851851851852,161.4818845840223,2.023905723905724,1.0219950587878943,48.21428571428571,0.07378501059982542,0.566878830182429,0.43153585878901163,0.5689137070250574,0.287279684319622,45.39206371668327,4.437826607945741,0.14425617446938965
base,8101,v3_readiness,5.589814814814815,3.372811447811448,1.1446127946127946,7.870033670033671,7.870033670033671,449035.2395037027,449035.2395037027,322.26219544454875,316.6723806297339,0.0,73912.93395732663,5.172138047138047,0.3699494949494949,2.423063973063973,242.05064150507195,2.423063973063973,1.6174716254697317,48.21428571428571,0.1159368998628258,0.6033851852967307,0.43347839836161844,0.43347839836161844,0.28936050281717907,43.3020859409438,7.1767684825968185,0.14411789554443938
base,8101,weekly_expected_budget,4.468013468013469,2.6665824915824916,0.8806397306397307,7.870033670033671,7.870033670033671,449035.2395037027,449035.2395037027,-109.25549066356822,-113.72350413158169,0.0,57977.57144108956,4.038804713804714,0.44898989898989905,1.1151515151515152,-68.88320635746001,1.1151515151515152,1.2570380265285204,48.21428571428571,0.09266990896620529,0.5968161266013563,0.24958553127354932,0.24958553127354932,0.2813415929758632,-15.41696479891908,-2.43311618002015,-0.031756061702313876
base,8102,group_aware,4.625252525252525,2.8643939393939393,0.9640572390572391,8.071717171717172,8.071717171717172,484053.76917414437,484053.76917414437,307.7488303286692,303.12357780341665,0.0,57955.210099564574,3.6874579124579125,0.3376262626262626,1.8474747474747475,157.52735083471623,1.3335858585858587,1.3355230402538927,48.21428571428571,0.09593116348671904,0.6192946058091287,0.39943219043459277,0.2883271456649924,0.2887459728873889,34.05810817348091,6.3577406050102,0.11068621754720387
base,8102,group_expected_budget,4.625252525252525,2.8643939393939393,0.9640572390572391,8.071717171717172,8.071717171717172,484053.76917414437,484053.76917414437,307.7488303286692,303.12357780341665,0.0,57955.210099564574,3.6874579124579125,0.3376262626262626,1.8474747474747475,157.52735083471623,1.3335858585858587,1.3355230402538927,48.21428571428571,0.09593116348671904,0.6192946058091287,0.39943219043459277,0.2883271456649924,0.2887459728873889,34.05810817348091,6.3577406050102,0.11068621754720387
