scenario,policy,segment,contacts,relevant_contacts,shifted_transfers,planned_transfers,completed_transfers,organic_volume_rub,policy_volume_rub,gross_timing_value_rub,net_scenario_value_rub,execution_drag_rub,shifted_amount_rub,sum_advance_days,hurt_transfers,contact_target_sum,contact_forward_bps_sum,own_h_target_sum,all_date_h5_base_sum,exposure_weeks,contacts_per_week,relevance,h5_quality,own_h_quality,h5_unconditional_same_dates,forward_bps_per_contact,timing_bps_all_volume,h5_lift_vs_unconditional
base,group_aware,frequent,11.947222222222223,8.030555555555555,2.7055555555555557,36.31666666666667,36.31666666666667,682315.3800270882,682315.3800270882,199.9677876511413,188.02056542891907,0.0,49947.86048530681,4.227777777777778,0.6777777777777778,5.069444444444445,528.602524246771,4.927777777777778,3.525708559823445,48.214285714285715,0.24779423868312758,0.6721692629621018,0.42431992559869797,0.41246221808881656,0.29510697082921183,44.2448055635521,2.930723731351365,0.12921295476948613
base,group_aware,monthly,6.991666666666666,4.169444444444444,1.4,11.063888888888888,11.063888888888888,515646.8846276798,515646.8846276798,176.41583528615436,169.4241686194877,0.0,63211.95060055521,4.480555555555555,0.5,2.411111111111111,129.61547986263517,1.113888888888889,2.0027086499901245,48.214285714285715,0.14501234567901233,0.5963448549860946,0.344854986094557,0.15931664680174812,0.2864422383776102,18.538566845668917,3.4212528097311106,0.05841274771694682
base,group_aware,occasional,2.6083333333333334,1.6333333333333333,0.5138888888888888,4.211111111111111,4.211111111111111,411924.2410760781,411924.2410760781,324.15772530671893,321.5493919733856,0.0,48866.39251739056,3.1638888888888888,0.16111111111111112,1.175,127.3593695202335,1.1194444444444445,0.7450338554413444,48.214285714285715,0.05409876543209877,0.6261980830670927,0.4504792332268371,0.4291799787007455,0.28563598291680936,48.82787329849207,7.869352977623145,0.16484325031002772
base,group_expected_budget,frequent,11.947222222222223,8.030555555555555,2.7055555555555557,36.31666666666667,36.31666666666667,682315.3800270882,682315.3800270882,199.9677876511413,188.02056542891907,0.0,49947.86048530681,4.227777777777778,0.6777777777777778,5.069444444444445,528.602524246771,4.927777777777778,3.525708559823445,48.214285714285715,0.24779423868312758,0.6721692629621018,0.42431992559869797,0.41246221808881656,0.29510697082921183,44.2448055635521,2.930723731351365,0.12921295476948613
base,group_expected_budget,monthly,6.991666666666666,4.169444444444444,1.4,11.063888888888888,11.063888888888888,515646.8846276798,515646.8846276798,176.41583528615436,169.4241686194877,0.0,63211.95060055521,4.480555555555555,0.5,2.411111111111111,129.61547986263517,1.113888888888889,2.0027086499901245,48.214285714285715,0.14501234567901233,0.5963448549860946,0.344854986094557,0.15931664680174812,0.2864422383776102,18.538566845668917,3.4212528097311106,0.05841274771694682
base,group_expected_budget,occasional,2.6083333333333334,1.6333333333333333,0.5138888888888888,4.211111111111111,4.211111111111111,411924.2410760781,411924.2410760781,324.15772530671893,321.5493919733856,0.0,48866.39251739056,3.1638888888888888,0.16111111111111112,1.175,127.3593695202335,1.1194444444444445,0.7450338554413444,48.214285714285715,0.05409876543209877,0.6261980830670927,0.4504792332268371,0.4291799787007455,0.28563598291680936,48.82787329849207,7.869352977623145,0.16484325031002772
base,group_unconstrained_expected_budget,frequent,6.211111111111111,4.144444444444445,1.4333333333333333,36.31666666666667,36.31666666666667,682315.3800270882,682315.3800270882,96.09663976802206,89.88552865691094,0.0,26170.928496835175,2.2416666666666667,0.37777777777777777,2.6222222222222222,264.4903365038656,2.5,1.8581644854917518,48.214285714285715,0.12882304526748972,0.667262969588551,0.4221824686940966,0.4025044722719141,0.29916780625090816,42.58341732620376,1.4083903511629325,0.12301466244318843
base,group_unconstrained_expected_budget,monthly,6.447222222222222,3.602777777777778,1.225,11.063888888888888,11.063888888888888,515646.8846276798,515646.8846276798,179.79549566147267,173.34827343925048,0.0,56805.477241507295,3.938888888888889,0.41944444444444445,2.4972222222222222,154.3441245691126,2.763888888888889,1.9215024989051188,48.214285714285715,0.13372016460905348,0.5588108573890564,0.38733304610081865,0.42869452822059456,0.29803571719338334,23.939631557466843,3.4867949564224183,0.0892973289074353
base,group_unconstrained_expected_budget,occasional,2.7222222222222223,1.5305555555555554,0.5083333333333333,4.211111111111111,4.211111111111111,411924.2410760781,411924.2410760781,203.24593585362265,200.52371363140043,0.0,47127.19651599388,3.236111111111111,0.17222222222222222,0.9972222222222222,77.17386967606306,0.8166666666666667,0.7793393787945144,48.214285714285715,0.05646090534979424,0.5622448979591836,0.3663265306122449,0.3,0.28628793506737266,28.34958477896194,4.93406106236135,0.08003859554487225
base,group_unconstrained_exploratory,frequent,11.947222222222223,8.030555555555555,2.7055555555555557,36.31666666666667,36.31666666666667,682315.3800270882,682315.3800270882,199.9677876511413,188.02056542891907,0.0,49947.86048530681,4.227777777777778,0.6777777777777778,5.069444444444445,528.602524246771,4.927777777777778,3.525708559823445,48.214285714285715,0.24779423868312758,0.6721692629621018,0.42431992559869797,0.41246221808881656,0.29510697082921183,44.2448055635521,2.930723731351365,0.12921295476948613
base,group_unconstrained_exploratory,monthly,12.71111111111111,6.913888888888889,2.3361111111111112,11.063888888888888,11.063888888888888,515646.8846276798,515646.8846276798,209.34522040135053,196.63410929023942,0.0,108948.10932566319,7.775,0.8777777777777778,4.875,240.03793216714172,5.319444444444445,3.7066355162257087,48.214285714285715,0.2636378600823045,0.5439248251748252,0.3835227272727273,0.4184877622377623,0.29160594096181275,18.884103055107303,4.059856204745757,0.09191678631091454
