year,scenario,policy,mix,contacts,relevant_contacts,shifted_transfers,planned_transfers,completed_transfers,organic_volume_rub,policy_volume_rub,gross_timing_value_rub,net_scenario_value_rub,execution_drag_rub,shifted_amount_rub,sum_advance_days,hurt_transfers,contact_target_sum,contact_forward_bps_sum,own_h_target_sum,all_date_h5_base_sum,exposure_weeks,contacts_per_week,relevance,h5_quality,own_h_quality,h5_unconditional_same_dates,forward_bps_per_contact,timing_bps_all_volume,h5_lift_vs_unconditional
2024,base,universal,wb2016_kg_planning,8.57020202020202,4.584567901234568,1.5474747474747474,7.9993265993266,7.9993265993266,463577.5057630537,463577.5057630537,975.077827049236,966.507625029034,0.0,104532.33604242056,6.9157126823793496,0.3693602693602694,4.2414141414141415,498.9589606377301,6.451290684624018,2.9538307047078973,48.285714285714285,0.17748939095092942,0.5349428041985058,0.4949024692085568,0.7527582978110411,0.3446629026649559,58.220209915888134,21.033760588625782,0.15023956654360088
2024,base,universal,wb2016_kg_no_frequent,8.524186307519642,4.49949494949495,1.5120089786756454,6.976655443322111,6.976655443322111,456955.04056167696,456955.04056167696,984.3814098222324,975.8572235147128,0.0,106074.27719631832,6.996071829405164,0.3653198653198654,4.2061728395061735,493.09497048589395,6.407744107744108,2.938712662689271,48.285714285714285,0.17653640281845412,0.5278503762318878,0.4934398061895577,0.7517132869434697,0.3447499335035503,57.846573584496674,21.5421939237667,0.14868987268600736
2024,base,universal,wb2016_kg_frequent_quarter_of_monthly,8.639225589225589,4.712177328843996,1.6006734006734007,9.533333333333335,9.533333333333335,473511.20356511895,473511.20356511895,961.1224528897412,952.4832273005156,0.0,102219.42431157394,6.795173961840629,0.37542087542087543,4.2942760942760945,507.7549458654844,6.516610549943884,2.976507767735838,48.285714285714285,0.1789188731496424,0.5454397827880301,0.49706724867003144,0.7543049411825842,0.3445340947512691,58.77320144281578,20.297776391632183,0.15253315391876232
2024,base,universal,wb2016_kg_frequent_half_of_monthly,8.754264870931538,4.924859708193042,1.6893378226711562,12.090011223344558,12.090011223344558,490067.36656856094,490067.36656856094,937.86349595725,929.1092310863186,0.0,98364.57142682956,6.594276094276095,0.38552188552188554,4.3823793490460154,522.4149212450749,6.62547699214366,3.014302872782405,48.285714285714285,0.18130134348083066,0.5625669066223935,0.5005993551323389,0.7568284818687061,0.34432392864778083,59.6754757763555,19.137440277326483,0.15627542648455806
2024,base,universal,wb2016_tj_same_split,8.60681818181818,4.610432098765433,1.5561616161616163,8.094309764309765,8.094309764309765,464838.8340710653,464838.8340710653,965.2820791913186,956.6752610095004,0.0,104247.75682021261,6.903883277216611,0.3716498316498317,4.257727272727273,500.38706971442576,6.47729517396184,2.966389922617993,48.28571428571429,0.17824771382463686,0.5356720685124876,0.49469236862952215,0.7525772053190415,0.34465581356005204,58.13845013845983,20.765951732934273,0.1500365550694701
2024,base,universal,iom2024_returnees_scenario,9.54983164983165,5.308080808080808,1.7946127946127945,11.082491582491583,11.082491582491583,500345.52089217905,500345.52089217905,714.806233079584,705.2564014297523,0.0,96208.11157267498,6.5599326599326595,0.4313131313131313,4.686700336700336,539.6081907229197,7.153535353535353,3.2894411955815457,48.28571428571429,0.19777757854680927,0.5558297782322039,0.4907626132637591,0.7490744984663117,0.34445017631693375,56.504471545572464,14.286252264335143,0.14631243694682533
2024,base,universal,v3_balanced,9.825925925925926,5.818518518518518,2.0074074074074075,17.218518518518515,17.218518518518515,540080.3121004398,540080.3121004398,658.984736441605,649.1588105156791,0.0,86956.46464928848,6.0777777777777775,0.4555555555555555,4.898148148148148,574.7921316339368,7.4148148148148145,3.380149447693307,48.285714285714285,0.2034955073416612,0.5921598190727477,0.4984922728986053,0.7546174142480211,0.3440031477109661,58.497503030969824,12.201606347743562,0.15448912518763924
2024,base,universal,frequent_heavy_stress,10.659444444444446,6.6002777777777775,2.295277777777778,22.696944444444444,22.696944444444444,587286.1462614032,587286.1462614032,447.0361345650397,436.3766901205952,0.0,76130.50030496692,5.5680555555555555,0.5119444444444444,5.32361111111111,622.2404852208923,8.046666666666667,3.6636013645224175,48.285714285714285,0.22075772518080214,0.6191952884765726,0.49942669515817983,0.7548861208109656,0.34369533830929017,58.37456993785407,7.611896473479255,0.15573135684888967
2024,base,universal,l2kgz_regular10pct_frequent_scenario,7.893431710820646,4.106524321780354,1.3869168258008218,6.243768858853171,6.243768858853171,440264.58841817133,440264.58841817133,1156.1309745069045,1148.2375427960837,0.0,109792.16557551349,7.134353573134281,0.3270426776012502,3.93990130013113,472.5634626115499,5.970654115478688,2.7217008086334946,48.285714285714285,0.16347343779806073,0.5202457526997996,0.49913668027686214,0.7564079014320052,0.3448057712214667,59.86793576281152,26.259912900575827,0.15433090905539543
2024,base,group_aware,wb2016_kg_planning,5.011167227833894,3.1031425364758696,0.9950617283950618,7.9993265993266,7.9993265993266,463577.5057630537,463577.5057630537,236.2409382792834,231.2297710514495,0.0,53774.87928596091,3.6809764309764312,0.37508417508417513,1.8864758698092032,101.27001640793,1.1833894500561168,1.718289621359797,48.285714285714285,0.10378156980721083,0.619245456276106,0.37645438358772215,0.2361504608114313,0.34289209344596894,20.20886787522047,5.096039720271333,0.033562290141753215
2024,base,group_aware,wb2016_kg_no_frequent,4.734399551066218,2.8988776655443322,0.9268237934904603,6.976655443322111,6.976655443322111,456955.04056167696,456955.04056167696,233.03484963889127,228.30045008782506,0.0,54167.73253080832,3.674915824915825,0.3645342312008979,1.7414702581369248,81.24176252014954,1.0372615039281707,1.623239707011637,48.285714285714285,0.09804969484456665,0.6123010181706117,0.3678333945737077,0.2190904026455842,0.3428607343978969,17.159887255787982,5.099732554704967,0.02497266017581079
2024,base,group_aware,wb2016_kg_frequent_quarter_of_monthly,5.42631874298541,3.4095398428731762,1.0974186307519642,9.533333333333335,9.533333333333335,473511.20356511895,473511.20356511895,241.05007123987156,235.62375249688614,0.0,53185.599418689795,3.69006734006734,0.39090909090909093,2.103984287317621,131.31239723960067,1.402581369248036,1.8608644928820368,48.285714285714285,0.11237938225117713,0.6283338676484275,0.3877369515083198,0.25847751222892124,0.3429331340492248,24.199167697133145,5.090694146727227,0.04480381745909501
2024,base,group_aware,wb2016_kg_frequent_half_of_monthly,6.118237934904602,3.9202020202020207,1.2680134680134683,12.090011223344558,12.090011223344558,490067.36656856094,490067.36656856094,249.06529284085184,242.94705490594723,0.0,52203.46630657128,3.705218855218855,0.41728395061728396,2.466498316498317,181.3830319590518,1.7679012345679015,2.0984892787524365,48.285714285714285,0.12670906965778764,0.6407403670650389,0.40313867207205556,0.2889559466921038,0.3429891581660361,29.646286053090545,5.08226643583311,0.06014951390601947
2024,base,group_aware,wb2016_tj_same_split,5.06797418630752,3.1387766554433223,1.0082716049382716,8.094309764309765,8.094309764309765,464838.8340710653,464838.8340710653,234.19157704700928,229.12360286070174,0.0,54079.16445824309,3.7045286195286193,0.3811279461279461,1.907665544332211,102.36811689557953,1.1968630751964087,1.7376588989308288,48.28571428571429,0.1049580452785581,0.6193355648739416,0.3764157973586915,0.23616203066504413,0.3428705109875217,20.199020976104066,5.038124181578291,0.033545286371169825
2024,base,group_aware,iom2024_returnees_scenario,6.654208754208754,4.152188552188552,1.3794612794612795,11.082491582491583,11.082491582491583,500345.52089217905,500345.52089217905,184.88119942439081,178.22699067018203,0.0,61450.58181838905,4.296969696969697,0.5385521885521886,2.524410774410774,141.83758141948624,1.6213804713804714,2.2789207868155232,48.28571428571429,0.13780905703982624,0.6239943328442039,0.3793705409097809,0.24366239943328444,0.34247810235501214,21.315469150223862,3.695070540348285,0.03689243855476876
2024,base,group_aware,v3_balanced,8.314814814814815,5.377777777777778,1.7888888888888888,17.218518518518515,17.218518518518515,540080.3121004398,540080.3121004398,204.11773126674348,195.80291645192864,0.0,59093.4623493046,4.333333333333333,0.6018518518518517,3.394444444444444,262.0071047461689,2.498148148148148,2.849220272904483,48.285714285714285,0.17220030681569143,0.6467706013363029,0.40824053452115805,0.30044543429844095,0.342667917008557,31.51087674007377,3.7793958915647954,0.06557261751260107
2024,base,group_aware,frequent_heavy_stress,10.361944444444443,6.774444444444445,2.2791666666666663,22.696944444444444,22.696944444444444,587286.1462614032,587286.1462614032,178.6921778220072,168.33023337756276,0.0,63173.97575108007,4.783055555555555,0.7502777777777778,4.311388888888889,355.466355682522,3.279166666666667,3.5497246588693954,48.285714285714285,0.21459648257725178,0.6537811972227435,0.41607913572634914,0.3164624829102217,0.3425732185596286,34.30498567024313,3.042676537826429,0.07350591716672056
2024,base,group_aware,l2kgz_regular10pct_frequent_scenario,3.9612138421070537,2.4445231549323116,0.7509058190795442,6.243768858853171,6.243768858853171,440264.58841817133,440264.58841817133,274.1189346061348,270.1577207640278,0.0,48150.82801744457,3.2456653216318148,0.2633781791908818,1.4948307068629865,80.97401120266571,0.9343587201213004,1.3602905467529394,48.285714285714285,0.08203697306138868,0.6171146654460891,0.3773668290697112,0.23587686940533742,0.3434024521204268,20.44171671368136,6.226231721043429,0.03396437694928439
