bin,authors,author_share,messages,message_share
1-3,20366,0.5620377525113147,33563,0.06981920605434011
4-20,12521,0.34554034661662436,103166,0.2146103808301419
21-99,2852,0.07870625896898112,114920,0.23906156064013248
100-999,462,0.012749751628215034,112837,0.23472841383528217
1000+,35,0.0009658902748647753,116227,0.24178043864010335
