stage,scope,config_id,date_first,date_last,signals,hit_rate,lift,forward_delta_bps,symmetric_delta_bps,regret_bps,brier,logloss,auc,ece10,rows,dates,mean_signals_per_corridor_week,min_cell_week_coverage,mean_cell_week_coverage
development_2023_2025,all,small_basis2010_D2,2023-01-10,2025-12-24,761.0,0.4060446780551905,1.2732344986034825,34.82805516083797,27.387873184278057,87.41341163187684,0.18634912770682327,0.5523966514341928,0.7272084519917028,0.026475761918193754,3635,727,1.0175740210124162,0.7959183673469388,0.8992063492063491
development_2023_2025,all,small_no_oxr,2023-01-10,2025-12-24,754.0,0.4204244031830239,1.3125996384586338,36.41685579166825,27.752790381651394,82.44145718032966,0.18655543875487862,0.5528744444191632,0.7270243996765461,0.026980256882371705,3635,727,1.0082139446036291,0.7755102040816326,0.906065759637188
development_2023_2025,all,synth_availability2010_D2,2023-01-10,2025-12-24,729.0,0.4375857338820302,1.3721493914091052,41.491510143575006,29.717560752194856,83.65863740181912,0.18503698444522487,0.5487284152307872,0.736682311992406,0.04835285069726545,3635,727,0.9747851002865328,0.7551020408163265,0.8883503401360545
development_2023_2025,all,synth_basis2010_D2,2023-01-10,2025-12-24,745.0,0.42818791946308726,1.348502886227203,38.05174551066032,27.838186940132257,85.62767305295996,0.18472591234844854,0.5479402493798259,0.736099567556165,0.05217256570061819,3635,727,0.9961795606494745,0.7142857142857143,0.9059807256235827
development_2023_2025,all,synth_basis2010_D3,2023-01-10,2025-12-24,727.0,0.43878954607977994,1.3746153130291985,41.19333590989993,29.55116424651995,84.38801133013894,0.1845432915936878,0.5471240669627132,0.7380896881482262,0.045948120090838,3635,727,0.9721107927411651,0.7755102040816326,0.8842120181405896
development_2023_2025,all,synth_basis2018_D2,2023-01-10,2025-12-24,745.0,0.4348993288590604,1.3694957601154354,37.77642066244211,27.287261001150483,88.09464832640133,0.1847069165110523,0.5478456393997853,0.7357599409345007,0.048767520774553076,3635,727,0.9961795606494745,0.7142857142857143,0.9086451247165532
development_2023_2025,all,synth_full2010_D2,2023-01-10,2025-12-24,751.0,0.4181091877496671,1.3126826390708592,35.11575463059694,25.37252380492911,89.15207725718291,0.18642223825640514,0.5514731060008549,0.7303192349611505,0.056509748803168294,3635,727,1.0042024832855776,0.7142857142857143,0.9101190476190476
development_2023_2025,all,synth_full2010_D3,2023-01-10,2025-12-24,720.0,0.4263888888888889,1.3382249906379173,43.84208951465426,31.586760821099748,82.74828807859396,0.186455442351824,0.5518410929810551,0.7304004500228527,0.04961051423473378,3635,727,0.9627507163323781,0.7142857142857143,0.8856009070294785
development_2023_2025,all,synth_no_oxr,2023-01-10,2025-12-24,731.0,0.43912448700410395,1.3724127296200077,41.90335685307917,29.169244176609393,79.84410762832702,0.18486162539751388,0.548472410608805,0.7360366346728545,0.04867865064405677,3635,727,0.9774594078319004,0.7551020408163265,0.8883219954648526
development_2023_2025,all,v3_long,2023-01-10,2025-12-24,723.0,0.4412171507607192,1.3709701913909238,40.078411599802024,26.40696876898918,80.96092783122008,0.18485040099862832,0.5484652229971574,0.7374039306683542,0.04785109801160326,3635,727,0.9667621776504296,0.7346938775510204,0.8828798185941042
