stage,scope,config_id,benchmark,delta_brier,delta_brier_ci95_low,delta_brier_ci95_high,repetitions,lift_delta,lift_delta_ci95_low,lift_delta_ci95_high,forward_delta_bps_delta,forward_delta_bps_delta_ci95_low,forward_delta_bps_delta_ci95_high,symmetric_delta_bps_delta,symmetric_delta_bps_delta_ci95_low,symmetric_delta_bps_delta_ci95_high,regret_bps_delta,regret_bps_delta_ci95_low,regret_bps_delta_ci95_high,signals_delta,signals_delta_ci95_low,signals_delta_ci95_high
development_2023_2025,all,small_basis2010_D2,small_no_oxr,-0.00020631104805532937,-0.0013781866905073624,0.0009414225873172285,10000,-0.03936513985515133,-0.09098928810996272,0.01079065876241006,-1.5888006308302778,-6.949901529873114,3.2749738191518256,-0.3649171973733374,-3.3024566578222387,2.5909219275469315,4.971954451547177,-2.6551808778108477,13.646119682246587,7.0,-11.0,24.0
development_2023_2025,all,small_basis2010_D2,v3_long,0.0014987267081949752,-0.0036739665326344984,0.006372364099003329,10000,-0.09773569278744132,-0.2223916553545683,0.017636662882442217,-5.2503564389640545,-14.990749413935857,3.4340601515524503,0.980904415288876,-5.299290857028291,7.27029069085919,6.452483800656765,-2.7767542081416887,16.303941119844005,38.0,7.0,71.0
development_2023_2025,all,small_no_oxr,v3_long,0.0017050377562503045,-0.003038514491091932,0.006288322544313271,10000,-0.05837055293228999,-0.1760149694125135,0.0531984544124834,-3.6615558081337767,-15.050459194015778,7.775954242021083,1.3458216126622133,-5.237916657181298,8.7841217050049,1.480529349109588,-13.020854537483052,15.180250093792662,31.0,5.975000000000023,58.0
development_2023_2025,all,synth_availability2010_D2,synth_no_oxr,0.0001753590477109924,-0.0005238505559404948,0.0008609480961057353,10000,-0.0002633382109025195,-0.036370503925354215,0.03496033119278051,-0.4118467095041609,-4.955073524354146,3.6324246159575484,0.5483165755854635,-1.8064224092616294,2.793943022774922,3.8145297734920973,-1.9022554745824671,9.97809058695985,-2.0,-11.0,8.0
development_2023_2025,all,synth_availability2010_D2,v3_long,0.00018658344659657847,-0.0011837548734317126,0.001466604502386645,10000,0.0011792000181813922,-0.048843337375616545,0.05179324685995454,1.413098543772982,-2.0122987923341444,4.844033116198646,3.3105919832056756,0.4639061269794806,6.375964441857648,2.697709570599045,-1.1869799701137966,6.771742906119516,6.0,-9.0,22.0
development_2023_2025,all,synth_basis2010_D2,synth_no_oxr,-0.00013571304906535625,-0.0011246741292306784,0.0008480274274470798,10000,-0.023909843392804664,-0.08628135288734433,0.035864833640716326,-3.851611342418849,-8.8822717782287,1.2430066559658497,-1.331057236477136,-4.29341489188509,1.5358476320124406,5.78356542463294,-0.7627087629472182,12.134626923149929,14.0,-1.0,30.0
development_2023_2025,all,synth_basis2010_D2,v3_long,-0.00012448865017977007,-0.0018239276444105678,0.0014123763078466812,10000,-0.022467305163720752,-0.08407299824373748,0.040453300530908766,-2.026666089141706,-7.429725094220225,2.7148543139231123,1.431218171143076,-1.998311782649486,4.642765487913823,4.6667452217398875,-1.57068364929952,11.353934877400267,22.0,2.0,43.0
development_2023_2025,all,synth_basis2010_D2,synth_basis2018_D2,1.8995837396225916e-05,-0.0008605276181508155,0.0009017622325953611,10000,-0.020992873888232344,-0.06574565675144253,0.01756792413059394,0.27532484821820447,-3.7520893102592736,4.223834205717487,0.5509259389817736,-2.7690795452982613,3.4614556025019425,-2.4669752734413635,-7.424302746208372,2.2653228288186837,0.0,-16.0,15.0
development_2023_2025,all,synth_basis2010_D2,synth_availability2010_D2,-0.00031107209677634856,-0.0011378538589910522,0.0004872592374579665,10000,-0.023646505181902144,-0.08434766236490475,0.03363659086379741,-3.439764632914688,-8.416156329414202,1.5272841907177803,-1.8793738120625996,-5.088554213342748,1.2275421101034452,1.9690356511408424,-4.215976148302939,7.889825927926666,16.0,2.0,30.0
development_2023_2025,all,synth_basis2010_D3,synth_no_oxr,-0.0003183338038261108,-0.0011347166215671593,0.000429212947899809,10000,0.0022025834091907726,-0.05812540474424351,0.05896104552150112,-0.7100209431792379,-6.801736579821662,5.268120775124662,0.3819200699105565,-2.6978258082552244,3.346789295085282,4.543903701811914,-2.7971056427155374,12.141475364666526,-4.0,-20.0,11.0
development_2023_2025,all,synth_basis2010_D3,v3_long,-0.0003071094049405246,-0.0018797823493339584,0.0010989821439589692,10000,0.0036451216382746843,-0.05948274277435578,0.0667978948334268,1.114924310097905,-4.020298380679944,5.912567845215179,3.1441954775307686,0.1916688057711983,6.161522422580348,3.4270834989188614,-1.6944168267775754,9.058423791915105,4.0,-14.0,23.0
development_2023_2025,all,synth_basis2010_D3,synth_basis2010_D2,-0.00018262075476075472,-0.0011714689648997523,0.0007809699015169839,10000,0.026112426801995436,-0.038862580614945325,0.09136038996745728,3.141590399239611,-1.2492421589473373,7.3624259121404965,1.7129773063876925,-1.2353086200933674,4.667713280165278,-1.239661722821026,-6.844556334798494,4.606739387397099,-18.0,-31.0,-5.0
development_2023_2025,all,synth_basis2018_D2,synth_no_oxr,-0.00015470888646158207,-0.0009697167577512267,0.0006507393009428171,10000,-0.00291696950457232,-0.06532402763868474,0.05894543654849347,-4.126936190637053,-9.281883083958785,0.7319374686330545,-1.8819831754589096,-4.844207421946187,1.096005952774441,8.250540698074303,2.4108206172312827,14.575503951232442,14.0,-3.0,31.0
development_2023_2025,all,synth_basis2018_D2,v3_long,-0.00014348448757599597,-0.0017501701709291234,0.0013051420941579536,10000,-0.0014744312754884081,-0.05958021958578456,0.05560537377551292,-2.3019909373599106,-8.379601911092006,3.2794522687791043,0.8802922321613025,-3.040744436571466,4.871793218760236,7.133720495181251,1.2128053460003556,13.65125346948703,22.0,-2.0,47.0
development_2023_2025,all,synth_full2010_D2,synth_no_oxr,0.0015606128588912653,-0.00021212777561204616,0.003420458475482699,10000,-0.05973009054914846,-0.15800763523711492,0.027936486532418422,-6.787602222482228,-13.332213218919403,-0.40558510725892455,-3.7967203716802835,-8.139669904146283,0.340323744458671,9.307969628855886,2.420804960659706,16.468470100028213,20.0,2.0,38.0
development_2023_2025,all,synth_full2010_D2,v3_long,0.0015718372577768517,-0.0008210970877121104,0.0039782128130150755,10000,-0.05828755232006455,-0.15105804414001947,0.0331132676173229,-4.962656969205085,-11.734232407203288,1.7324857392538244,-1.0344449640600715,-5.813482147090297,3.667097693090524,8.191149425962834,2.093934269452402,14.62959320156154,28.0,3.0,53.0
development_2023_2025,all,synth_full2010_D2,synth_basis2010_D2,0.0016963259079566216,-4.087385926892183e-05,0.0036942912252977246,10000,-0.0358202471563438,-0.10743665466161764,0.031641743697016826,-2.935990880063379,-8.20299187964224,2.0714242472574975,-2.4656631352031475,-6.383458495163965,1.5218140117879504,3.5244042042229466,-1.3890144978372114,9.689714856123697,6.0,-9.0,21.0
development_2023_2025,all,synth_full2010_D2,synth_availability2010_D2,0.0013852538111802726,-0.0005483818949491922,0.003482781534025349,10000,-0.05946675233824594,-0.14396482595389995,0.021729645644338387,-6.375755512978067,-12.287871776903799,-0.8132556603987835,-4.345036947265747,-8.299976690899426,-0.4177200120909245,5.493439855363789,-0.502259860492291,12.190568385775675,22.0,6.0,38.0
