config_id,cutoff,scope,signals,hit_rate,lift,forward_delta_bps,symmetric_delta_bps,regret_bps,brier,logloss,auc,ece10,rows,dates,mean_signals_per_corridor_week,min_cell_week_coverage,mean_cell_week_coverage
small_basis2010_D2,2023-01-01,all,283.0,0.4381625441696113,1.1346895560765333,23.76182896923194,18.969986293699943,79.54237355409558,0.2038989143428949,0.5919511601191499,0.7366066153478145,0.06667868637799935,1210,242,1.1385057471264368,0.9583333333333334,0.9833333333333332
small_basis2010_D2,2023-01-01,KZT,54.0,0.42592592592592593,1.1581356637536413,21.041376418787628,17.138030725247514,100.92149096324253,0.20768860828194147,0.6003238485783853,0.693654990085922,0.057087608837629575,242,242,1.0862068965517242,0.9583333333333334,0.9583333333333334
small_basis2010_D2,2024-01-01,all,246.0,0.44715447154471544,1.337168584292146,30.827490473680577,21.991444234847126,78.91541656135809,0.18891048055265924,0.559914417781939,0.7385307117817407,0.05921889872617689,1215,243,0.984,0.8163265306122449,0.8693877551020408
small_basis2010_D2,2024-01-01,KZT,47.0,0.425531914893617,1.5908346972176761,47.24520188061299,38.944290673616294,78.03710186812238,0.18516604284334692,0.5536511134675889,0.7054883318928262,0.09847665599273671,243,243,0.94,0.8571428571428571,0.8571428571428571
small_basis2010_D2,2025-01-01,all,232.0,0.3232758620689655,1.4664296679324553,52.56892121801563,43.37831935494018,106.02552612911701,0.16622740412224696,0.5052933112512924,0.6778824824919986,0.048657604767203794,1210,242,0.9306590257879657,0.7959183673469388,0.8448979591836736
small_basis2010_D2,2025-01-01,KZT,51.0,0.27450980392156865,1.3839869281045751,30.174873617169034,24.847989939729032,132.91119849601978,0.16734607391510678,0.5064833778952191,0.660706615120275,0.09398768380405657,242,242,1.0229226361031518,0.8979591836734694,0.8979591836734694
small_no_oxr,2023-01-01,all,285.0,0.43859649122807015,1.136192908653846,23.629387959768714,18.98574057704927,78.652662826866,0.20604764758234143,0.596686037996534,0.7359696928650272,0.07935720848633812,1210,242,1.146551724137931,0.9791666666666666,0.9916666666666666
small_no_oxr,2023-01-01,KZT,56.0,0.42857142857142855,1.1653290529695024,17.84384535123707,16.393424978761775,104.08042119409187,0.2085298872144331,0.6021948802168102,0.6977674965117132,0.07971413530109284,242,242,1.1264367816091954,1.0,1.0
small_no_oxr,2024-01-01,all,248.0,0.4435483870967742,1.3305126928820308,25.433659747638607,20.20411653343434,81.2237257699391,0.18806183942852164,0.5576293245727701,0.7414037494284408,0.04595038007942824,1215,243,0.992,0.8163265306122449,0.9061224489795918
small_no_oxr,2024-01-01,KZT,51.0,0.4117647058823529,1.5393665158371042,23.951852168562528,21.209776704512755,100.82819576466002,0.18528312016375098,0.5545063069165643,0.700561797752809,0.096662303259347,243,243,1.02,0.9183673469387755,0.9183673469387755
small_no_oxr,2025-01-01,all,221.0,0.37104072398190047,1.6798442393972743,65.23251620348142,47.529624357531176,88.69396297451065,0.16555060445760067,0.504288322423088,0.6740758785689387,0.04614312175818674,1210,242,0.8865329512893984,0.7755102040816326,0.8204081632653061
small_no_oxr,2025-01-01,KZT,47.0,0.3404255319148936,1.7163120567375885,44.53566318330222,31.399730080059335,121.47463169858672,0.16486606300615536,0.5010158035708252,0.6605455326460481,0.10253252346859766,242,242,0.9426934097421203,0.8775510204081632,0.8775510204081632
synth_availability2010_D2,2023-01-01,all,283.0,0.4734982332155477,1.226985508343108,25.45935193913041,23.746586251685983,81.36297493647167,0.19965224925769218,0.5813726488264681,0.756087509114332,0.0721449140496036,1210,242,1.1385057471264368,0.9791666666666666,0.9875
