config_id,cutoff,corridor,signals,hit_rate,lift,forward_delta_bps,symmetric_delta_bps,regret_bps,brier,logloss,auc,ece10,rows,dates,mean_signals_per_corridor_week,min_cell_week_coverage,mean_cell_week_coverage
small_basis2010_D2,2023-01-01,AMD,59.0,0.423728813559322,1.079393398751115,17.379584683723397,12.641314292845905,93.62064539992163,0.20472210304270996,0.5938514500088472,0.7448621553884712,0.09581880794246765,242,242,1.1867816091954022,0.9791666666666666,0.9791666666666666
small_basis2010_D2,2023-01-01,KGS,57.0,0.47368421052631576,1.2194848824188131,27.24512538813843,21.829446978413603,64.64804521084935,0.20779166557138018,0.601301817456187,0.7183007475560668,0.046731560383850616,242,242,1.146551724137931,1.0,1.0
small_basis2010_D2,2023-01-01,KZT,54.0,0.42592592592592593,1.1581356637536413,21.041376418787628,17.13803072524751,100.92149096324253,0.20768860828194147,0.6003238485783853,0.693654990085922,0.05708760883762959,242,242,1.0862068965517242,0.9583333333333334,0.9583333333333334
small_basis2010_D2,2023-01-01,TJS,58.0,0.4482758620689655,1.1540719002201028,26.816564355334396,19.68090976695571,62.57465192014476,0.19454281673442367,0.5718167601569532,0.781843013225992,0.08803053565005256,242,242,1.1666666666666667,0.9791666666666666,0.9791666666666666
small_basis2010_D2,2023-01-01,UZS,55.0,0.41818181818181815,1.0652631578947367,26.447907192820754,23.84443044405097,76.77899521475935,0.20474937808401902,0.592461924395377,0.738202649480845,0.06490896330804437,242,242,1.1063218390804597,1.0,1.0
small_basis2010_D2,2024-01-01,AMD,55.0,0.43636363636363634,1.2474866310160428,18.651799835551778,14.282551785833647,80.68211108883902,0.18976424245661597,0.5610896990494544,0.7494415487714073,0.06556043156185101,243,243,1.1,0.9387755102040817,0.9387755102040817
small_basis2010_D2,2024-01-01,KGS,50.0,0.5,1.3499999999999999,35.956959313108996,27.635338830556663,68.64414955948729,0.19661472450075085,0.5776169620677888,0.7318809005083514,0.08218043722956088,243,243,1.0,0.8775510204081632,0.8775510204081632
small_basis2010_D2,2024-01-01,KZT,47.0,0.425531914893617,1.5908346972176761,47.245201880612996,38.944290673616294,78.03710186812238,0.18516604284334692,0.553651113467589,0.7054883318928262,0.09847665599273671,243,243,0.94,0.8571428571428571,0.8571428571428571
small_basis2010_D2,2024-01-01,TJS,48.0,0.4166666666666667,1.1911764705882353,24.223421368360324,14.523673941683562,83.26623385344332,0.19267359838539147,0.5680661664961296,0.7369322412509308,0.06148862262343435,243,243,0.96,0.8571428571428571,0.8571428571428571
small_basis2010_D2,2024-01-01,UZS,46.0,0.45652173913043476,1.3866847826086957,29.926456214011274,15.54499959049851,84.324910292751,0.18033379457719112,0.5391481478287328,0.7748466257668711,0.07746817891597697,243,243,0.92,0.8163265306122449,0.8163265306122449
small_basis2010_D2,2025-01-01,AMD,45.0,0.3333333333333333,1.5220125786163523,55.83750256412036,45.48370762129407,92.78256828164179,0.1634176392749314,0.49797934930791854,0.6710591993610862,0.06852779186301577,242,242,0.9025787965616047,0.8163265306122449,0.8163265306122449
small_basis2010_D2,2025-01-01,KGS,48.0,0.3125,1.5433673469387756,42.04124670049483,36.694036317620494,110.97191885944086,0.15541977638443324,0.4788811219722825,0.694300518134715,0.07202075307246507,242,242,0.9627507163323783,0.8775510204081632,0.8775510204081632
small_basis2010_D2,2025-01-01,KZT,51.0,0.27450980392156865,1.3839869281045751,30.174873617169045,24.847989939729032,132.91119849601978,0.16734607391510678,0.5064833778952191,0.660706615120275,0.09398768380405655,242,242,1.0229226361031518,0.8979591836734694,0.8979591836734694
small_basis2010_D2,2025-01-01,TJS,44.0,0.4090909090909091,1.4142857142857144,61.969354019932695,53.74695783158129,97.8379785504349,0.19449489044476076,0.5766716009971092,0.6637043189368771,0.0523365841443698,242,242,0.8825214899713467,0.8367346938775511,0.8367346938775511
small_basis2010_D2,2025-01-01,UZS,44.0,0.29545454545454547,1.4895833333333335,77.26709395949537,59.62672437787155,91.19800464799901,0.15045864059200278,0.46645110608393264,0.7202534364261168,0.07359270729464217,242,242,0.8825214899713467,0.7959183673469388,0.7959183673469388
small_basis2010_D2,2026-01-01,AMD,35.0,0.42857142857142855,1.2857142857142858,31.306509897749596,25.376236326689938,79.1057566244134,0.20738976403459475,0.6160843599475646,0.6810281065088757,0.09962307380425539,156,156,1.0888888888888888,0.967741935483871,0.967741935483871
small_basis2010_D2,2026-01-01,KGS,36.0,0.3888888888888889,1.2638888888888888,22.694701440648934,20.667571124538302,93.16238073895151,0.19610069613707287,0.5811442241706575,0.6930941358024691,0.07712515737979182,156,156,1.1199999999999999,0.967741935483871,0.967741935483871
