scope,config_id,cutoff,date_first,date_last,signals,hit_rate,lift,forward_delta_bps,symmetric_delta_bps,regret_bps,brier,logloss,auc,ece10,rows,dates,mean_signals_per_corridor_week,min_cell_week_coverage,mean_cell_week_coverage
all,small_basis2010_D2,2026-01-01,2026-03-03,2026-08-25,139.0,0.4316546762589928,1.1327762302692663,22.204232345001618,18.397567473929573,95.26611964056147,0.24451764844500284,0.7018829233604932,0.628857822656846,0.132101400895567,610,122,1.1056818181818182,0.875,0.9666666666666666
all,small_basis2010_D2,2026-03-01,2026-03-03,2026-08-25,143.0,0.4195804195804196,1.09992486851991,14.61467887876406,13.709004559679448,104.20349864048704,0.24480999390319896,0.704121824185045,0.6270306576655548,0.1332222117311048,610,122,1.1375,0.9583333333333334,0.9916666666666666
all,small_no_oxr,2026-01-01,2026-03-03,2026-08-25,140.0,0.45714285714285713,1.199017199017199,23.152127978195765,20.70126630952673,95.64059713352178,0.2443085610651459,0.7013986465871098,0.6298596327455287,0.133843701927509,610,122,1.1136363636363638,0.9583333333333334,0.9833333333333334
all,small_no_oxr,2026-03-01,2026-03-03,2026-08-25,138.0,0.43478260869565216,1.1408977556109725,21.637863338361264,18.952162436010052,97.15232659771067,0.24388664959944728,0.7014226778887914,0.6288009016290799,0.13023786009489666,610,122,1.0977272727272729,0.875,0.9666666666666666
all,synth_availability2010_D2,2026-01-01,2026-03-03,2026-08-25,140.0,0.42142857142857143,1.1036491873658387,19.306114019464946,15.55121849798565,95.04176304333542,0.23335662643367872,0.6662061761624326,0.6647009938411448,0.13667150348350307,610,122,1.1136363636363638,0.9583333333333334,0.975
all,synth_availability2010_D2,2026-03-01,2026-03-03,2026-08-25,141.0,0.425531914893617,1.1163641909409794,18.959278798750713,16.718544751508556,96.34707995626133,0.23246181780112565,0.6654085840953179,0.6642114730023565,0.13170325656024603,610,122,1.121590909090909,0.9583333333333334,0.9916666666666666
all,synth_basis2010_D2,2026-01-01,2026-03-03,2026-08-25,142.0,0.4225352112676056,1.1075805719473446,16.9730564506306,15.30781736161849,97.91101110530045,0.2334907214082317,0.667801292536949,0.6615703373140105,0.14114198040448844,610,122,1.1295454545454546,0.9583333333333334,0.9916666666666666
all,synth_basis2010_D2,2026-03-01,2026-03-03,2026-08-25,141.0,0.4326241134751773,1.1349702607899956,18.773248909695603,15.882425156435215,97.19476412990664,0.23249461475136704,0.6659381743549567,0.6618150977334047,0.14011938596155488,610,122,1.121590909090909,0.9583333333333334,0.9833333333333334
all,synth_basis2010_D3,2026-01-01,2026-03-03,2026-08-25,142.0,0.4014084507042254,1.0517241379310345,15.07847923006444,12.879184118993319,98.68473963128528,0.23264791277500269,0.6647406414390108,0.6653043567354653,0.1327639030076305,610,122,1.1295454545454546,0.9583333333333334,0.9833333333333334
all,synth_basis2010_D3,2026-03-01,2026-03-03,2026-08-25,143.0,0.40559440559440557,1.0629412648340093,15.629059101878356,13.974436818672803,98.75602440490762,0.23250227694818384,0.6652319207421631,0.6634145786136315,0.13421906997521385,610,122,1.1375,0.9583333333333334,0.9916666666666666
