config_id,history_mode,policy,year,train_horizon,evaluation_horizon,evaluation_scope,rows,dates,signals,hits,base_hit,hit_rate,lift,forward_delta_bps,forward_signal_bps,regret_bps,brier,raw_brier,auc,log_loss,week_cells,weeks_with_1_2,week_coverage,mean_cell_week_coverage,signals_per_corridor_week,silent_weeks,max_week_signals,max_silent_week_run,min_year_corridor_coverage
tabm_kzt_h5_120m,120m,rare65,2024,5,5,KZT,243,243,34,17,0.2674897119341564,0.5,1.8692307692307688,81.58194921650816,80.41534664533488,73.73043563682336,0.1812685987615,0.20662331432123193,0.7094209161624891,0.5353783171139891,51,28,0.5490196078431373,0.5490196078431373,0.6666666666666666,23,2,8,0.5490196078431373
tabm_kzt_h5_120m,120m,rare65,2025,5,5,KZT,242,242,38,17,0.19834710743801653,0.4473684210526316,2.2554824561403506,79.81010122374661,51.563802336026505,93.40901284600412,0.1440268164617928,0.148583864018614,0.7226159793814433,0.4515849396580375,51,32,0.6274509803921569,0.6274509803921569,0.7450980392156863,19,2,3,0.6274509803921569
tabm_kzt_h5_120m,120m,rare65,2026,5,5,KZT,156,156,27,16,0.36538461538461536,0.5925925925925926,1.6218323586744643,112.86390466612593,150.028480957845,51.508625884617736,0.19836603170224804,0.20078846641286383,0.7706893496367181,0.5805048418031103,33,23,0.696969696969697,0.696969696969697,0.8181818181818182,10,2,6,0.696969696969697
tabm_kzt_h5_fullhistory,full_history,rare65,2024,5,5,KZT,243,243,29,16,0.2674897119341564,0.5517241379310345,2.0625994694960212,96.55803557665179,95.39143300547853,73.7078363179405,0.18192449259360113,0.19736155300415797,0.7039757994814175,0.5375748008118622,51,25,0.49019607843137253,0.49019607843137253,0.5686274509803921,26,2,8,0.49019607843137253
tabm_kzt_h5_fullhistory,full_history,rare65,2025,5,5,KZT,242,242,36,16,0.19834710743801653,0.4444444444444444,2.2407407407407405,74.80180624291405,46.55550735519394,76.24710926683974,0.1437770590048811,0.14805454307773028,0.7305627147766323,0.44846561955654995,51,31,0.6078431372549019,0.6078431372549019,0.7058823529411765,20,2,3,0.6078431372549019
tabm_kzt_h5_fullhistory,full_history,rare65,2026,5,5,KZT,156,156,24,15,0.36538461538461536,0.625,1.710526315789474,125.67367421544911,162.83825050716823,48.87185565981204,0.19413648638115616,0.19552257006440824,0.7550948077263865,0.5739356562106803,33,20,0.6060606060606061,0.6060606060606061,0.7272727272727273,13,2,7,0.6060606060606061
