config_id,history_mode,policy,period,train_horizon,evaluation_horizon,evaluation_scope,rows,dates,signals,hits,base_hit,hit_rate,lift,forward_delta_bps,forward_signal_bps,regret_bps,brier,raw_brier,auc,log_loss,week_cells,weeks_with_1_2,week_coverage,mean_cell_week_coverage,signals_per_corridor_week,silent_weeks,max_week_signals,max_silent_week_run,min_year_corridor_coverage
tabm_kzt_h5_120m,120m,rare65,2024-2026,5,5,KZT,641,641,99,50,0.26521060842433697,0.5050505050505051,1.8869900595834561,89.43328834190959,88.32641677345663,75.2233353402508,0.17136951642488152,0.1832913591778014,0.7321968277756962,0.5147258062047264,135,83,0.6148148148148148,0.6244800950683304,0.7333333333333333,52,2,8,0.5490196078431373
tabm_kzt_h5_fullhistory,full_history,rare65,2024-2026,5,5,KZT,641,641,89,47,0.26521060842433697,0.5280898876404494,1.9858935404634515,95.60917120942231,93.82548128222356,68.03761486137073,0.17049452707470616,0.17829887322132418,0.7372049456725366,0.5127820887657313,135,76,0.562962962962963,0.5680332739156269,0.6592592592592592,59,2,8,0.49019607843137253
