rule,delay,rows,brier,raw_brier,candidate_count,candidate_quality,candidate_lift,candidate_lift_standardized,candidate_lift_unstandardized,forward_delta_bps,forward_bps_absolute,forward_bps_per_candidate,regret_bps_per_candidate
feature_dropout,0,727,0.18139914128194476,0.17981582207139782,136,0.4485294117647059,1.6218956175125874,1.6218956175125874,1.6142617938264414,53.69076250606257,56.011686471916086,56.011686471916086,89.26669684157174
feature_dropout,1,727,0.18765368826002296,0.1880076573300221,136,0.40441176470588236,1.4836430592405843,1.4836430592405843,1.4554819452533487,32.492720247172656,33.26570105890798,33.26570105890798,108.46814881523727
halyk_l1,0,727,0.17632441489206915,0.177817242853083,134,0.4626865671641791,1.6799476936020963,1.6799476936020963,1.665213536279001,50.22904641504236,52.10821767698364,52.10821767698364,91.83980481495064
halyk_l1,1,727,0.18140430013544134,0.18393686509772256,131,0.44274809160305345,1.6123639777608751,1.6123639777608751,1.5934547653238607,49.27914318376611,50.83798299267229,50.83798299267229,93.94980381395453
halyk_l2_retrained,0,727,0.18625017197248522,0.18398724055234986,141,0.41843971631205673,1.490371691497217,1.490371691497217,1.5059686819745803,42.01225942854663,45.97979938983764,45.97979938983764,99.91303621510544
halyk_l2_retrained,1,727,0.18839972517827908,0.1864103826362511,143,0.4195804195804196,1.490541225017077,1.490541225017077,1.51007408433151,39.07570375501301,43.32878537212232,43.32878537212232,100.59022582172244
lag_augmentation,0,727,0.18112246455128095,0.18384625560369652,146,0.4246575342465753,1.5075824204450585,1.5075824204450585,1.5283466702834665,39.66546585017564,43.992661465584256,43.992661465584256,100.39444122275309
lag_augmentation,1,727,0.18592596358555732,0.18841151095011935,148,0.3716216216216216,1.3170275839040955,1.3170275839040955,1.3374698956382123,30.030584552640164,34.547662753917564,34.547662753917564,108.58769958974443
lag_ensemble,0,727,0.18041779385131135,0.17972683740761203,140,0.4642857142857143,1.658648369878165,1.658648369878165,1.670968882602546,47.59834568305588,51.237552792100615,51.237552792100615,93.41401229434491
lag_ensemble,1,727,0.1847057747079833,0.18408015549811285,138,0.45652173913043476,1.6298629909184135,1.6298629909184135,1.6430262591476537,45.174875111917345,48.883731636617405,48.883731636617405,97.3973351309015
minimax_shrink_v3,0,727,0.178227515046218,0.178227515046218,152,0.3881578947368421,1.3757382161003473,1.3757382161003473,1.3969841063053672,30.09107851796914,34.59649666434157,34.59649666434157,108.18916718634007
minimax_shrink_v3,1,727,0.18075250070645046,0.18075250070645046,153,0.39215686274509803,1.3871602482323175,1.3871602482323175,1.411376431760823,27.34971862745527,32.07355637097934,32.07355637097934,108.83417271971577
v3_long_globalcal,0,727,0.18270478175104507,0.1811595806422111,149,0.4228187919463087,1.4778370986863412,1.4778370986863412,1.5217290185394377,29.971420647932167,36.024456122484885,36.024456122484885,103.34454235759662
v3_long_globalcal,1,727,0.18270478175104507,0.1811595806422111,149,0.4228187919463087,1.4778370986863412,1.4778370986863412,1.5217290185394377,29.971420647932167,36.024456122484885,36.024456122484885,103.34454235759662
v3_long_localcal,0,727,0.18043451381085637,0.1811595806422111,149,0.4228187919463087,1.4778370986863412,1.4778370986863412,1.5217290185394377,29.971420647932167,36.024456122484885,36.024456122484885,103.34454235759662
v3_long_localcal,1,727,0.18043451381085637,0.1811595806422111,149,0.4228187919463087,1.4778370986863412,1.4778370986863412,1.5217290185394377,29.971420647932167,36.024456122484885,36.024456122484885,103.34454235759662
