rule,normal_brier,delayed_brier,worst_brier,delay_penalty
age_fallback_minimax,0.1767635541120595,0.1818890115009045,0.1818890115009045,0.005125457388845012
age_fallback_v3,0.1768479732051965,0.1815124311771259,0.1815124311771259,0.004664457971929409
feature_dropout,0.1813991412819447,0.1876536882600229,0.1876536882600229,0.0062545469780782015
halyk_l1,0.1763244148920691,0.1814043001354413,0.1814043001354413,0.00507988524337219
halyk_l2_retrained,0.1862501719724852,0.188399725178279,0.188399725178279,0.002149553205793797
lag_augmentation,0.1811224645512809,0.1859259635855573,0.1859259635855573,0.004803499034276404
lag_ensemble,0.1804177938513113,0.1847057747079833,0.1847057747079833,0.004287980856672008
minimax_shrink_v3,0.178227515046218,0.1807525007064504,0.1807525007064504,0.002524985660232404
v3_long_globalcal,0.182704781751045,0.182704781751045,0.182704781751045,0.0
v3_long_localcal,0.1804345138108563,0.1804345138108563,0.1804345138108563,0.0
