cutoff,rule,delay,rows,first_date,last_date,brier,log_loss,raw_brier,candidate_frequency_per_week,weeks_1_to_2_share,threshold,candidate_count,candidate_quality,candidate_lift,candidate_lift_standardized,candidate_lift_unstandardized,forward_delta_bps,forward_bps_absolute,forward_bps_per_candidate,regret_bps_per_candidate
2023-01-01,feature_dropout,0,242,2023-01-10,2023-12-23,0.20761047749874842,0.6019048606175764,0.1939058983294566,0.8850574712643678,0.84,0.23214019309423647,44,0.5681818181818182,1.544943820224719,1.544943820224719,1.5449438202247192,69.1857986451317,107.10941515570384,107.10941515570384,58.34027308056448
2023-01-01,feature_dropout,1,242,2023-01-10,2023-12-23,0.22368770329069884,0.6403458258840788,0.21570002625443135,0.8045977011494253,0.76,0.23214019309423647,40,0.525,1.4275280898876406,1.4275280898876406,1.4275280898876406,42.104195560019456,80.02781207059158,80.02781207059158,87.05270123999637
2023-01-01,halyk_l1,0,242,2023-01-10,2023-12-23,0.18976914059804337,0.5633377191538241,0.18781267024165316,0.8649425287356322,0.78,0.23936990859805005,43,0.627906976744186,1.7073425659785733,1.7073425659785733,1.7073425659785733,68.77975523491388,106.70337174548604,106.70337174548604,57.89410151198925
2023-01-01,halyk_l1,1,242,2023-01-10,2023-12-23,0.20483248283684077,0.6021575041009601,0.2026180181438988,0.8247126436781609,0.76,0.23936990859805005,41,0.5609756097560976,1.5253494107974788,1.5253494107974788,1.525349410797479,65.36171930070925,103.28533581128139,103.28533581128139,59.137040133775216
2023-01-01,halyk_l2_retrained,0,242,2023-01-10,2023-12-23,0.2043319566827593,0.5993747907806523,0.2010898098089883,0.985632183908046,0.88,0.20268518646136177,49,0.4897959183673469,1.3318046319651455,1.3318046319651455,1.3318046319651455,47.00435129798201,84.92796780855416,84.92796780855416,81.84030137652887
2023-01-01,halyk_l2_retrained,1,242,2023-01-10,2023-12-23,0.20856524739056118,0.6144373160229067,0.2055521861256163,1.0258620689655173,0.9,0.20268518646136177,51,0.49019607843137253,1.3328927076448556,1.3328927076448556,1.3328927076448556,38.601010964861864,76.52462747543399,76.52462747543399,85.69200691663255
2023-01-01,lag_augmentation,0,242,2023-01-10,2023-12-23,0.1957761362950731,0.5729731775870338,0.1957761362950731,1.0258620689655173,0.92,0.2057493734122307,51,0.49019607843137253,1.3328927076448556,1.3328927076448556,1.3328927076448556,37.85880982625661,75.78242633682875,75.78242633682875,94.24611804567584
2023-01-01,lag_augmentation,1,242,2023-01-10,2023-12-23,0.2061320350271092,0.599196507920023,0.2061320350271092,1.0459770114942528,0.94,0.2057493734122307,52,0.4807692307692308,1.3072601555747623,1.3072601555747623,1.3072601555747623,32.48656491339425,70.41018142396638,70.41018142396638,97.38481894477339
2023-01-01,lag_ensemble,0,242,2023-01-10,2023-12-23,0.19491615432754492,0.5755298185834715,0.19300494410816657,0.9454022988505747,0.86,0.2164177393840397,47,0.574468085106383,1.5620368156825242,1.5620368156825242,1.5620368156825246,60.32300909225085,98.24662560282297,98.24662560282297,69.8515362902181
2023-01-01,lag_ensemble,1,242,2023-01-10,2023-12-23,0.20511900789831217,0.6047227537985667,0.20296803197443022,0.9454022988505747,0.9,0.2164177393840397,47,0.574468085106383,1.5620368156825242,1.5620368156825242,1.5620368156825246,57.909578813127204,95.83319532369934,95.83319532369934,76.33221774696037
