rule,delay,rows,brier,raw_brier,candidate_count,candidate_quality,candidate_lift,candidate_lift_standardized,candidate_lift_unstandardized,forward_delta_bps,forward_bps_absolute,forward_bps_per_candidate,regret_bps_per_candidate
age_fallback_minimax,0,727,0.17676355411205957,0.17676355411205957,136,0.4485294117647059,1.624882793708774,1.624882793708774,1.6142617938264414,45.40083793953795,47.52264649129921,47.52264649129921,95.08812380691292
age_fallback_minimax,1,727,0.18188901150090458,0.18188901150090458,141,0.425531914893617,1.532632888474977,1.532632888474977,1.5314935748894039,42.719205294980085,45.47092929968721,45.47092929968721,96.07925447799897
age_fallback_v3,0,727,0.1768479732051965,0.1768479732051965,136,0.4485294117647059,1.624882793708774,1.624882793708774,1.6142617938264414,45.40083793953795,47.52264649129921,47.52264649129921,95.08812380691292
age_fallback_v3,1,727,0.1815124311771259,0.1815124311771259,143,0.3916083916083916,1.4040768991349057,1.4040768991349057,1.4094024787094093,37.71418088906499,40.957819474273705,40.957819474273705,101.27263678761028
