rule,delay,rows,brier,raw_brier,candidate_count,candidate_quality,candidate_lift,candidate_lift_standardized,candidate_lift_unstandardized,forward_delta_bps,forward_bps_absolute,forward_bps_per_candidate,regret_bps_per_candidate
feature_dropout,0,727,0.1813991412819447,0.1798158220713978,136,0.4485294117647059,1.6218956175125874,1.6218956175125874,1.6142617938264414,53.69076250606257,56.011686471916086,56.011686471916086,89.26669684157174
feature_dropout,1,727,0.1876536882600229,0.1880076573300221,136,0.4044117647058823,1.4836430592405845,1.4836430592405845,1.4554819452533487,32.492720247172656,33.26570105890798,33.26570105890798,108.46814881523729
halyk_l1,0,727,0.1763244148920691,0.177817242853083,134,0.4626865671641791,1.6799476936020965,1.6799476936020965,1.665213536279001,50.22904641504236,52.10821767698364,52.10821767698364,91.83980481495064
halyk_l1,1,727,0.1814043001354413,0.1839368650977225,131,0.4427480916030534,1.6123639777608751,1.6123639777608751,1.5934547653238609,49.27914318376611,50.83798299267229,50.83798299267229,93.94980381395452
halyk_l2_retrained,0,727,0.1862501719724852,0.1839872405523498,141,0.4184397163120567,1.490371691497217,1.490371691497217,1.5059686819745803,42.01225942854663,45.97979938983764,45.97979938983764,99.91303621510544
halyk_l2_retrained,1,727,0.188399725178279,0.1864103826362511,143,0.4195804195804196,1.490541225017077,1.490541225017077,1.51007408433151,39.07570375501301,43.32878537212232,43.32878537212232,100.59022582172244
lag_augmentation,0,727,0.1811224645512809,0.1838462556036965,146,0.4246575342465753,1.5075824204450583,1.5075824204450583,1.5283466702834665,39.66546585017564,43.992661465584256,43.992661465584256,100.39444122275307
lag_augmentation,1,727,0.1859259635855573,0.1884115109501193,148,0.3716216216216216,1.3170275839040957,1.3170275839040957,1.3374698956382125,30.030584552640164,34.547662753917564,34.547662753917564,108.58769958974445
lag_ensemble,0,727,0.1804177938513113,0.179726837407612,140,0.4642857142857143,1.658648369878165,1.658648369878165,1.670968882602546,47.59834568305588,51.237552792100615,51.237552792100615,93.41401229434491
lag_ensemble,1,727,0.1847057747079833,0.1840801554981128,138,0.4565217391304347,1.6298629909184137,1.6298629909184137,1.6430262591476537,45.174875111917345,48.883731636617405,48.883731636617405,97.3973351309015
minimax_shrink_v3,0,727,0.178227515046218,0.178227515046218,152,0.3881578947368421,1.3757382161003473,1.3757382161003473,1.3969841063053672,30.09107851796914,34.59649666434157,34.59649666434157,108.18916718634009
minimax_shrink_v3,1,727,0.1807525007064504,0.1807525007064504,153,0.392156862745098,1.3871602482323175,1.3871602482323175,1.411376431760823,27.34971862745527,32.07355637097934,32.07355637097934,108.83417271971577
v3_long_globalcal,0,727,0.182704781751045,0.1811595806422111,149,0.4228187919463087,1.4778370986863412,1.4778370986863412,1.5217290185394377,29.971420647932167,36.024456122484885,36.024456122484885,103.34454235759662
v3_long_globalcal,1,727,0.182704781751045,0.1811595806422111,149,0.4228187919463087,1.4778370986863412,1.4778370986863412,1.5217290185394377,29.971420647932167,36.024456122484885,36.024456122484885,103.34454235759662
v3_long_localcal,0,727,0.1804345138108563,0.1811595806422111,149,0.4228187919463087,1.4778370986863412,1.4778370986863412,1.5217290185394377,29.971420647932167,36.024456122484885,36.024456122484885,103.34454235759662
v3_long_localcal,1,727,0.1804345138108563,0.1811595806422111,149,0.4228187919463087,1.4778370986863412,1.4778370986863412,1.5217290185394377,29.971420647932167,36.024456122484885,36.024456122484885,103.34454235759662
age_fallback_minimax,0,727,0.1767635541120595,0.1767635541120595,136,0.4485294117647059,1.624882793708774,1.624882793708774,1.6142617938264414,45.40083793953795,47.52264649129921,47.52264649129921,95.08812380691292
age_fallback_minimax,1,727,0.1818890115009045,0.1818890115009045,141,0.425531914893617,1.532632888474977,1.532632888474977,1.531493574889404,42.719205294980085,45.47092929968721,45.47092929968721,96.07925447799896
age_fallback_v3,0,727,0.1768479732051965,0.1768479732051965,136,0.4485294117647059,1.624882793708774,1.624882793708774,1.6142617938264414,45.40083793953795,47.52264649129921,47.52264649129921,95.08812380691292
age_fallback_v3,1,727,0.1815124311771259,0.1815124311771259,143,0.3916083916083916,1.4040768991349055,1.4040768991349055,1.4094024787094093,37.71418088906499,40.957819474273705,40.957819474273705,101.27263678761028
