year,split,rows,raw_brier
2024,validation,244,0.22864059119629507
2024,test,245,0.21440638803719456
2025,validation,245,0.19124514191293066
2025,test,244,0.16605940782551706
2026,validation,244,0.15654870929301665
2026,test,158,0.18403075814469924
