config_id,model_kind,feature_set,horizon_cbr_rows_pub_proxy,eligible_count,baseline_hits,baseline_hit_rate,signal_count,signal_hits,hit_rate,candidate_signal_count,candidate_signal_hits,candidate_hit_rate,candidate_expected_hits_cell_standardized,candidate_cell_standardized_lift,candidate_false_positives,candidate_false_negatives,candidate_weighted_error_1,candidate_weighted_error_2,candidate_weighted_error_3,candidate_weighted_error_5,lift,expected_signal_hits_cell_standardized,signal_weighted_baseline_hit_rate,cell_standardized_lift,mean_signals_per_week,mean_portfolio_signals_per_week,mean_candidate_signals_per_corridor_week,minimum_fold_corridor_candidate_signals_per_week,maximum_fold_corridor_candidate_signals_per_week,mean_candidate_silent_week_share,minimum_candidate_weeks_with_1_to_2_signals_share,mean_candidate_weeks_with_1_to_2_signals_share,maximum_candidate_calendar_gap_days,candidate_top_fold_signal_share,mean_portfolio_silent_week_share,minimum_portfolio_weeks_with_1_to_2_signals_share,mean_portfolio_weeks_with_1_to_2_signals_share,maximum_portfolio_calendar_gap_days,portfolio_top_fold_signal_share,min_fold_lift,folds_lift_ge_1,active_fold_count,fold_count,candidate_min_fold_lift,candidate_folds_lift_ge_1,candidate_active_fold_count,min_corridor_lift,corridors_lift_ge_1,active_corridor_count,corridor_count,candidate_min_corridor_lift,candidate_corridors_lift_ge_1,candidate_active_corridor_count,positive_fold_corridor_cells,active_fold_corridor_cells,fold_corridor_cell_count,signal_symmetric_bps,baseline_symmetric_bps,symmetric_bps_delta,cell_standardized_symmetric_bps_delta,signal_forward_bps,baseline_forward_bps,forward_bps_delta,cell_standardized_forward_bps_delta,signal_regret_bps,baseline_regret_bps,regret_bps_improvement,cell_standardized_regret_bps_improvement,candidate_signal_symmetric_bps,candidate_cell_standardized_symmetric_bps_delta,candidate_signal_forward_bps,candidate_cell_standardized_forward_bps_delta,candidate_signal_regret_bps,candidate_cell_standardized_regret_bps_improvement,model_brier,prior_year_prevalence_brier,brier_skill_vs_prior_year,exploratory_post_selection,prediction_rows,brier,log_loss,average_precision,roc_auc,macro_fold_corridor_brier,worst_fold_corridor_brier,macro_fold_corridor_log_loss,worst_fold_corridor_log_loss,macro_fold_corridor_average_precision,worst_fold_corridor_average_precision,macro_fold_corridor_roc_auc,worst_fold_corridor_roc_auc,minimum_future_advantage_bps
hgb_all_contract_market,hist_gradient_boosting,all_contract_market,5,3635,1140,0.31361760660247595,158,59,0.37341772151898733,770,297,0.38571428571428573,247.15603849947286,1.2016700130133922,473,843,0.36203576341127924,0.4921595598349381,0.622283356258597,0.8825309491059147,1.1906784365978236,49.843689419446996,0.31546638873067717,1.1837004982416206,1.0563002118806881,1.0563002118806881,1.0295838795024645,0.8022922636103152,1.16,0.0627267573696145,0.7959183673469388,0.9372732426303855,22.0,0.36753246753246754,0.054563492063492064,0.8571428571428571,0.9454365079365079,17.0,0.3670886075949367,1.0743099787685775,3,3,3,1.1035807860262008,3,3,0.6199524189382466,3,5,5,1.1531197560788358,5,5,8,15,15,19.139434387811846,1.202433901388913,17.93700048642293,17.896726966669984,27.480625268037162,6.18681459909674,21.293810668940424,21.947331188861064,97.31925997689744,116.72717357913415,19.407913602236704,16.718580532366005,14.498447692881559,13.163874266120503,30.84935797558,22.18158603490842,97.59998922468104,16.670736321927336,0.2134449885188984,0.2195249231631005,0.02769587414766972,True,3635,0.21344498851889837,0.6167424896744645,0.42840790465059353,0.6569676194494252,0.21338333053186556,0.27234158202035813,0.6165996967684642,0.7544874864102532,0.4647425297915925,0.3207397459286211,0.6643219062917427,0.5612791702679343,0.0
hgb_base,hist_gradient_boosting,base,5,3635,1140,0.31361760660247595,166,57,0.3433734939759036,742,260,0.3504043126684636,238.74834200591775,1.0890127982273297,482,880,0.3746905089408528,0.5072902338376891,0.6398899587345255,0.9050894085281981,1.094879518072289,52.462724892017825,0.31604051139769773,1.0864856927908546,1.1097481583945372,1.1097481583945372,0.992020858720592,0.7020057306590257,1.22,0.16142290249433108,0.6326530612244898,0.838577097505669,39.0,0.39622641509433965,0.08900226757369613,0.8367346938775511,0.910997732426304,17.0,0.3614457831325301,0.978813559322034,2,3,3,1.0079939414338608,3,3,0.9035469819539516,3,5,5,1.02392114822604,5,5,8,13,15,-0.5031384139000101,1.202433901388913,-1.705572315288923,-1.8544159193185448,6.305484946441462,6.18681459909674,0.1186703473447217,0.06954927160354263,111.5928335419219,116.72717357913415,5.13434003721224,4.105178201966837,0.2774751702056662,-1.0549817329137177,14.83857908191806,6.022109865660774,103.45404775949886,10.212620306250386,0.21871360186342634,0.2195249231631005,0.003695804959108706,True,3635,0.2187136018634263,0.629144222269849,0.3570220607852663,0.5507182786625884,0.21869580838801478,0.25089322712502415,0.6291073657189625,0.6986867397715276,0.3939849123375209,0.21097836887502755,0.5811229089704955,0.43830541237113396,0.0
hgb_plus_cnyrub_basis,hist_gradient_boosting,plus_cnyrub_basis,5,3635,1140,0.31361760660247595,153,65,0.42483660130718953,663,300,0.45248868778280543,209.0314593748937,1.4351906688933174,363,840,0.33094910591471804,0.4308115543328748,0.5306740027510316,0.7303988995873453,1.354632496273363,48.814423698262075,0.3190485209036737,1.331573643105699,1.022813512059634,1.022813512059634,0.8864039126568523,0.7040229885057472,1.12,0.16592970521541953,0.6666666666666666,0.8340702947845805,52.0,0.3740573152337858,0.06859410430839002,0.9166666666666666,0.9314058956916099,15.0,0.3660130718954248,1.127488352393054,3,3,3,1.335164835164835,3,3,1.1222947440742013,5,5,5,1.3333439886884733,5,5,11,15,15,22.51969765294364,1.202433901388913,21.317263751554727,21.216119461892987,45.28792706254675,6.18681459909674,39.10111246345001,37.2356004503898,87.5021469422365,116.72717357913415,29.225026636897653,28.360121429070944,28.021645463373336,26.797808395252666,54.48839030246016,47.68564601517411,80.3287546666157,35.388047612674015,0.19061658311191612,0.2195249231631005,0.13168591353842007,True,3635,0.19061658311191612,0.5611614972587021,0.506606064592488,0.7226837886298914,0.1906090702573305,0.22261312906132938,0.5611441666635938,0.6327773707927158,0.5315307875557818,0.33339438666784355,0.7272090554450508,0.6650332225913621,0.0
hgb_plus_direct_corridor_basis,hist_gradient_boosting,plus_direct_corridor_basis,5,3635,1140,0.31361760660247595,168,55,0.3273809523809524,749,252,0.3364485981308411,240.08322280039454,1.0496360264603457,497,888,0.3810178817056396,0.5177441540577716,0.6544704264099037,0.9279229711141678,1.0438857560568087,51.01574669251438,0.30366515888401413,1.0780985002826635,1.1231196961213759,1.1231196961213759,1.001380935129379,0.7020057306590257,1.2,0.13965419501133788,0.6530612244897959,0.8603458049886622,33.0,0.3925233644859813,0.05498866213151927,0.9166666666666666,0.9450113378684808,13.0,0.35714285714285715,0.978813559322034,2,3,3,1.0079939414338608,3,3,0.8038563985596112,3,5,5,0.9734823070109115,4,5,7,14,15,6.174744954454086,1.202433901388913,4.972311053065173,4.702046299024688,5.7254388427364855,6.18681459909674,-0.46137575636025474,2.4043024047684534,117.36211001963504,116.72717357913415,-0.6349364405008942,2.0747077869847743,2.673873107786917,1.353034014385109,16.676279731740742,8.226245939623528,102.95392117636426,11.034285905619669,0.2178775467098925,0.2195249231631005,0.007504279830605087,True,3635,0.21787754670989248,0.6270555135100586,0.36515139551473064,0.5663753823436346,0.21785937616397355,0.25089322712502415,0.6270174197499583,0.6986867397715276,0.3984681409468968,0.2291981327294625,0.5902171326635101,0.5166451890034365,0.0
hgb_all_contract_market,hist_gradient_boosting,all_contract_market,5,3635,1011,0.2781292984869326,156,50,0.32051282051282054,768,257,0.3346354166666667,218.67782199095333,1.1752449226910264,511,754,0.34800550206327374,0.48858321870701515,0.6291609353507566,0.9103163686382394,1.1523878363640976,43.87472366765296,0.281248228638801,1.1396083170516458,1.0430626090965978,1.0430626090965978,1.0270090570760464,0.8825214899713467,1.146551724137931,0.05994897959183674,0.8571428571428571,0.9400510204081632,18.0,0.3671875,0.047619047619047616,0.8979591836734694,0.9523809523809524,17.0,0.36538461538461536,1.0445996775926922,3,3,3,1.0501543853792872,3,3,0.6192484480879495,3,5,5,1.091378126411254,5,5,10,15,15,10.024015745093777,1.202433901388913,8.821581843704864,8.630966531343867,23.28088103347632,6.18681459909674,17.094066434379577,15.629602424274143,104.948416660557,116.72717357913415,11.778756918577145,10.00540480344786,11.933584964343366,10.593535956046301,30.383390071387684,21.88678922885451,98.4917111616643,16.26103814744161,0.20151825744242616,0.20418119566031986,0.013042034597171348,True,3635,0.20151825744242613,0.5892182663281252,0.3837445721698558,0.6511460821210586,0.20145443365483942,0.253017261408274,0.5890677203259951,0.7110947872945049,0.42440446235815615,0.29492636833619884,0.6553919435088551,0.5347273397199706,10.0
hgb_base,hist_gradient_boosting,base,5,3635,1011,0.2781292984869326,165,51,0.3090909090909091,728,219,0.3008241758241758,208.58883447267283,1.049912381713275,509,792,0.3579092159559835,0.49793672627235214,0.6379642365887208,0.918019257221458,1.1113209243773043,46.0300989694929,0.27897029678480545,1.1079706787900017,1.1031389081008685,1.1031389081008685,0.9734537869556149,0.6418338108882521,1.12,0.1584750566893424,0.6122448979591837,0.8415249433106575,43.0,0.36538461538461536,0.06859410430839002,0.8979591836734694,0.93140589569161,17.0,0.34545454545454546,0.9189873417721518,2,3,3,0.984172345570455,2,3,0.6660305289475695,3,5,5,0.9953351867676911,4,5,8,15,15,-1.582237671683089,1.202433901388913,-2.7846715730720017,-2.961643145801359,4.239629685396685,6.18681459909674,-1.9471849137000552,-2.928429535431225,119.72400731569408,116.72717357913415,-2.9968337365599353,-2.954941648787951,-1.3934796823466038,-2.7711165809119995,16.799532532254574,7.6639388980179906,102.68891729130122,11.394680156349821,0.2067816819212486,0.20418119566031986,-0.012736169227135719,True,3635,0.2067816819212486,0.6142450024036358,0.3210835654458317,0.5413042281850861,0.2067787900105629,0.26098131575936806,0.6142565433804446,0.7772275325447131,0.3579708596141456,0.19045692330721883,0.5748402806278552,0.4427380952380953,10.0
hgb_plus_cnyrub_basis,hist_gradient_boosting,plus_cnyrub_basis,5,3635,1011,0.2781292984869326,154,60,0.38961038961038963,691,291,0.4211287988422576,192.21667857021396,1.513916493431146,400,720,0.3081155433287483,0.41815680880330125,0.5281980742778541,0.7482806052269602,1.4008246945932408,42.648879366051084,0.2769407751042278,1.4068364958672412,1.0295949016895563,1.0295949016895563,0.9238825763813413,0.764367816091954,1.04,0.13854875283446713,0.7291666666666666,0.8614512471655329,31.0,0.3545586107091172,0.07539682539682539,0.9166666666666666,0.9246031746031745,14.0,0.33766233766233766,1.06533827618165,3,3,3,1.383374292125227,3,3,1.2496336771664724,5,5,5,1.3775079226813003,5,5,13,15,15,17.575690448666755,1.202433901388913,16.37325654727784,16.13611659507225,35.83010112543022,6.18681459909674,29.643286526333476,28.956941916661098,94.1842197058025,116.72717357913415,22.54295387333164,24.996125505668175,33.75823272129531,32.57757249058332,58.02612388319429,51.89481130146493,78.52680979215064,37.9168980219808,0.17975420962977848,0.20418119566031986,0.11963386712250734,True,3635,0.1797542096297785,0.5361019278370383,0.4642069665192218,0.7228704524619429,0.1797449089302271,0.21008725707622458,0.5360767600577353,0.6068623125263394,0.49739752186062414,0.3139044578220948,0.7253708791979946,0.6740972733971997,10.0
hgb_plus_direct_corridor_basis,hist_gradient_boosting,plus_direct_corridor_basis,5,3635,1011,0.2781292984869326,170,44,0.25882352941176473,752,220,0.2925531914893617,213.90421045471552,1.02849775388865,532,791,0.3639614855570839,0.5103163686382394,0.6566712517193948,0.9493810178817056,0.930587071623902,48.14127810087406,0.28318398882867096,0.9139765651382058,1.136548650221212,1.136548650221212,1.0055225548639242,0.7220630372492837,1.16,0.12037981859410432,0.673469387755102,0.8796201814058956,35.0,0.3617021276595745,0.04138321995464852,0.9166666666666666,0.9586167800453514,14.0,0.3411764705882353,0.8376923076923076,0,3,3,0.9458809380637402,2,3,0.8007711207122945,2,5,5,0.9527640299204918,2,5,5,15,15,3.1029042871628585,1.202433901388913,1.9004703857739456,1.7087333220430017,4.682920138111619,6.18681459909674,-1.503894460985121,-2.6351314225226288,116.76900145327953,116.72717357913415,-0.04182787414538325,0.01918961179966061,0.7643681943866162,-0.5711991834235762,16.026708509834744,7.693225845888625,103.90565630860434,10.820188262813602,0.20634058418602022,0.20418119566031986,-0.01057584425792446,True,3635,0.20634058418602022,0.6132052043927311,0.32595852301895556,0.5486219798677957,0.20633708731218664,0.26098131575936806,0.6132144254156657,0.7772275325447131,0.36474158305794924,0.2238470169068501,0.5852370509881039,0.534702380952381,10.0
hgb_all_contract_market,hist_gradient_boosting,all_contract_market,5,3635,775,0.21320495185694635,157,39,0.2484076433121019,762,200,0.26246719160104987,165.36076250722712,1.2094767644244442,562,575,0.31279229711141676,0.4674002751031637,0.6220082530949106,0.9312242090784044,1.1651119786316007,33.677090773050374,0.21450376288567116,1.158057275873996,1.0495377048820385,1.0495377048820385,1.0187754174488688,0.8223495702005731,1.18,0.07372448979591836,0.7959183673469388,0.9262755102040817,23.0,0.38320209973753283,0.04095804988662131,0.9183673469387755,0.9590419501133787,17.0,0.37579617834394907,1.0651221039448966,3,3,3,0.9105827626308309,2,3,0.5910665585612147,4,5,5,1.1645893396539109,5,5,10,15,15,17.483799631250932,1.202433901388913,16.281365729862017,16.191646232752635,31.654128826763735,6.18681459909674,25.467314227666996,24.634012971282562,96.37988601842056,116.72717357913415,20.347287560713582,19.146175138231357,11.096367314461178,9.825719656242313,26.701636646257928,18.673355495008867,103.49654834144029,11.154015174251043,0.16023853444710956,0.1697723300336829,0.0561563570735103,True,3635,0.16023853444710953,0.49178591671468647,0.3370298686767075,0.6787227611098579,0.16020846140209816,0.20484599275490456,0.4917141826687977,0.6080549057177809,0.37945576897559585,0.2562103268613344,0.6800074463139474,0.5673076923076923,25.0
hgb_base,hist_gradient_boosting,base,5,3635,775,0.21320495185694635,171,37,0.21637426900584794,738,159,0.21544715447154472,160.54145835458965,0.9903983782731995,579,616,0.328748280605227,0.48803301237964236,0.6473177441540577,0.9658872077028886,1.014865119788719,36.9396660204741,0.2160214387162228,1.001633311451502,1.1432921648058492,1.1432921648058492,0.9867448319775165,0.7822349570200573,1.206896551724138,0.15334467120181403,0.6938775510204082,0.8466553287981858,27.0,0.37262872628726285,0.040958049886621314,0.8979591836734694,0.9590419501133787,17.0,0.3508771929824561,0.7935989549314174,2,3,3,0.9505215481745815,1,3,0.6555706673206841,2,5,5,0.8929241463085436,2,5,6,15,15,-9.199356548797175,1.202433901388913,-10.401790450186088,-10.68780681194873,1.2306544698714856,6.18681459909674,-4.956160129225255,-5.612078730716309,123.74008600549,116.72717357913415,-7.012912426355854,-4.973820969659101,-4.159029669572678,-5.467412626730749,14.890979835684238,6.732382261905817,105.0395807152572,9.755505807852757,0.1722096643752475,0.1697723300336829,-0.014356487544707974,True,3635,0.1722096643752475,0.5371624516072613,0.246912353130736,0.5340651928716444,0.17220542120576032,0.24923928603670914,0.5371687170215556,0.7728144316575353,0.3022962628323841,0.13505359405724038,0.5691787044452513,0.3906130561076288,25.0
