config_id,model_kind,feature_set,horizon_cbr_rows_pub_proxy,eligible_count,baseline_hits,baseline_hit_rate,signal_count,signal_hits,hit_rate,candidate_signal_count,candidate_signal_hits,candidate_hit_rate,candidate_expected_hits_cell_standardized,candidate_cell_standardized_lift,candidate_false_positives,candidate_false_negatives,candidate_weighted_error_1,candidate_weighted_error_2,candidate_weighted_error_3,candidate_weighted_error_5,lift,expected_signal_hits_cell_standardized,signal_weighted_baseline_hit_rate,cell_standardized_lift,mean_signals_per_week,mean_portfolio_signals_per_week,mean_candidate_signals_per_corridor_week,minimum_fold_corridor_candidate_signals_per_week,maximum_fold_corridor_candidate_signals_per_week,mean_candidate_silent_week_share,minimum_candidate_weeks_with_1_to_2_signals_share,mean_candidate_weeks_with_1_to_2_signals_share,maximum_candidate_calendar_gap_days,candidate_top_fold_signal_share,mean_portfolio_silent_week_share,minimum_portfolio_weeks_with_1_to_2_signals_share,mean_portfolio_weeks_with_1_to_2_signals_share,maximum_portfolio_calendar_gap_days,portfolio_top_fold_signal_share,min_fold_lift,folds_lift_ge_1,active_fold_count,fold_count,candidate_min_fold_lift,candidate_folds_lift_ge_1,candidate_active_fold_count,min_corridor_lift,corridors_lift_ge_1,active_corridor_count,corridor_count,candidate_min_corridor_lift,candidate_corridors_lift_ge_1,candidate_active_corridor_count,positive_fold_corridor_cells,active_fold_corridor_cells,fold_corridor_cell_count,signal_symmetric_bps,baseline_symmetric_bps,symmetric_bps_delta,cell_standardized_symmetric_bps_delta,signal_forward_bps,baseline_forward_bps,forward_bps_delta,cell_standardized_forward_bps_delta,signal_regret_bps,baseline_regret_bps,regret_bps_improvement,cell_standardized_regret_bps_improvement,candidate_signal_symmetric_bps,candidate_cell_standardized_symmetric_bps_delta,candidate_signal_forward_bps,candidate_cell_standardized_forward_bps_delta,candidate_signal_regret_bps,candidate_cell_standardized_regret_bps_improvement,model_brier,prior_year_prevalence_brier,brier_skill_vs_prior_year,exploratory_post_selection,prediction_rows,brier,log_loss,average_precision,roc_auc,macro_fold_corridor_brier,worst_fold_corridor_brier,macro_fold_corridor_log_loss,worst_fold_corridor_log_loss,macro_fold_corridor_average_precision,worst_fold_corridor_average_precision,macro_fold_corridor_roc_auc,worst_fold_corridor_roc_auc,moex_calendar_lag_days
hgb_all_contract_market,hist_gradient_boosting,all_contract_market,5,3635,1140,0.31361760660247595,166,59,0.35542168674698793,801,325,0.40574282147315854,256.2639016426896,1.2682238813843927,476,815,0.35515818431911966,0.4861072902338377,0.6170563961485557,0.8789546079779917,1.1332963432678078,52.132605516443896,0.3140518404605054,1.1317293547008687,1.10984399872652,1.10984399872652,1.0710817552064464,0.8624641833810889,1.1666666666666665,0.07772108843537415,0.8163265306122449,0.9222789115646257,21.0,0.35830212234706615,0.07497165532879818,0.8775510204081632,0.9250283446712019,15.0,0.3493975903614458,1.057671381936888,3,3,3,1.1372095625256406,3,3,0.8527238311100898,3,5,5,1.160009073975003,5,5,9,15,15,24.921350376707654,1.202433901388913,23.718916475318743,23.638508909484266,36.020031719397984,6.18681459909674,29.833217120301242,29.295960802060037,94.09726653843634,116.72717357913415,22.629907040697802,21.58742170970872,24.773925532106674,23.454586126835864,41.22978490233709,32.98012053227656,88.63868570065092,26.120015700999218,0.19665024629197583,0.2195249231631005,0.10420081939456804,True,3635,0.19665024629197586,0.5764450225569364,0.48192496647201866,0.7254071300495728,0.19659367651060883,0.2448285051626393,0.5763032606151002,0.6960655997955238,0.5168393867918896,0.4027717513137291,0.7296466654595753,0.6582973206568713,0
hgb_plus_cnyrub_basis,hist_gradient_boosting,plus_cnyrub_basis,5,3635,1140,0.31361760660247595,163,60,0.36809815950920244,723,258,0.35684647302904565,231.23521409379995,1.1157470154841684,465,882,0.3705639614855571,0.4984869325997249,0.6264099037138927,0.8822558459422284,1.1737164998385532,50.404482535795665,0.30922995420733534,1.190370319889504,1.0896716398247868,1.0896716398247868,0.9666606725290652,0.6418338108882521,1.2,0.1641156462585034,0.6326530612244898,0.8358843537414965,35.0,0.3831258644536653,0.08886054421768708,0.8367346938775511,0.911139455782313,17.0,0.36809815950920244,1.0898766399060114,3,3,3,1.0491029272898962,3,3,1.001000898766239,5,5,5,0.984745537071133,4,5,11,14,15,10.146335436411675,1.202433901388913,8.943901535022762,8.79747684906739,23.227665935163525,6.18681459909674,17.040851336066787,18.193597760178715,98.54799585968969,116.72717357913415,18.179177719444453,18.38056110833962,11.324414485931507,10.004154984428485,29.321404640766065,21.035883963621966,91.6992964477317,22.534944170135716,0.21272917816273296,0.2195249231631005,0.030956598924845036,True,3635,0.212729178162733,0.6144948914284831,0.41260293413748184,0.6036119607636325,0.2127223298812164,0.2465802151636117,0.6144800143120843,0.6885127594685733,0.42380973508257125,0.2251734254776086,0.6183486488301646,0.4945231958762887,0
hgb_plus_cnyrub_ret1,hist_gradient_boosting,plus_cnyrub_ret1,5,3635,1140,0.31361760660247595,169,60,0.35502958579881655,747,287,0.38420348058902276,239.88144066931946,1.1964243636323422,460,853,0.3612104539202201,0.48775790921595596,0.6143053645116919,0.8674002751031636,1.1320460915602615,53.10415603849947,0.3142257753757365,1.1298550711643205,1.1298629911405331,1.1298629911405331,0.9988713236504956,0.6819484240687679,1.18,0.15034013605442179,0.673469387755102,0.8496598639455782,27.0,0.3654618473895582,0.06150793650793651,0.8775510204081632,0.9384920634920634,17.0,0.34911242603550297,1.0326530612244897,3,3,3,1.1094827586206897,3,3,0.7762963354102862,3,5,5,1.0930772902706827,5,5,8,15,15,12.606560176865417,1.202433901388913,11.404126275476504,11.307924279980483,25.013049936406567,6.18681459909674,18.826235337309825,18.335659827803976,98.0164042138729,116.72717357913415,18.710769365261243,19.052489333349016,17.3193893455132,15.95351394350468,39.20763164961389,30.468178617433995,86.53502369166543,27.742258144797773,0.20412845795561357,0.2195249231631005,0.0701353859308621,True,3635,0.2041284579556136,0.5930037956739039,0.4511045667478927,0.6720804767429597,0.20410931504183755,0.2295976008711358,0.5929600983935808,0.6478848410547742,0.4610043806686862,0.26729914073790967,0.6745940657754425,0.5547680412371134,0
hgb_plus_direct_corridor_basis,hist_gradient_boosting,plus_direct_corridor_basis,5,3635,1140,0.31361760660247595,173,49,0.2832369942196532,767,254,0.33116036505867014,244.13490120055778,1.0404083920444378,513,886,0.384869325997249,0.5259972489683631,0.6671251719394773,0.9493810178817056,0.9031284859547714,54.87761452912969,0.3172116446770502,0.8928959543966734,1.1565294382417195,1.1565294382417195,1.0254151434311498,0.6819484240687679,1.22,0.13299319727891154,0.6122448979591837,0.8670068027210882,26.0,0.38461538461538464,0.04832766439909297,0.8958333333333334,0.951672335600907,15.0,0.35260115606936415,0.7760479041916167,1,3,3,0.9964016736401673,2,3,0.787417776463565,2,5,5,0.9185459401834561,3,5,6,13,15,7.8677868610952935,1.202433901388913,6.6653529597063805,6.566919741592335,12.450806751883569,6.18681459909674,6.2639921527868285,5.477062067933175,119.00681159409774,116.72717357913415,-2.279638014963595,-2.6538281013929748,5.666187424347093,4.434862014007653,17.476897775216944,9.977449537176037,102.75340815302222,12.344703577265705,0.21672105528314073,0.2195249231631005,0.012772435309664432,True,3635,0.21672105528314073,0.6241778387162437,0.37977080902918725,0.5867584291389798,0.2167012674793174,0.2504342048373177,0.624135082510751,0.6977074741522716,0.41063270016384895,0.2404237719397015,0.6076586545399661,0.5362692445399212,0
hgb_all_contract_market,hist_gradient_boosting,all_contract_market,5,3635,1140,0.31361760660247595,158,59,0.37341772151898733,770,297,0.38571428571428573,247.15603849947286,1.2016700130133922,473,843,0.36203576341127924,0.4921595598349381,0.622283356258597,0.8825309491059147,1.1906784365978236,49.843689419446996,0.31546638873067717,1.1837004982416206,1.0563002118806881,1.0563002118806881,1.0295838795024645,0.8022922636103152,1.16,0.0627267573696145,0.7959183673469388,0.9372732426303855,22.0,0.36753246753246754,0.054563492063492064,0.8571428571428571,0.9454365079365079,17.0,0.3670886075949367,1.0743099787685775,3,3,3,1.1035807860262008,3,3,0.6199524189382466,3,5,5,1.1531197560788358,5,5,8,15,15,19.139434387811846,1.202433901388913,17.93700048642293,17.896726966669984,27.480625268037162,6.18681459909674,21.293810668940424,21.947331188861064,97.31925997689744,116.72717357913415,19.407913602236704,16.718580532366005,14.498447692881559,13.163874266120503,30.84935797558,22.18158603490842,97.59998922468104,16.670736321927336,0.2134449885188984,0.2195249231631005,0.02769587414766972,True,3635,0.21344498851889837,0.6167424896744645,0.42840790465059353,0.6569676194494252,0.21338333053186556,0.27234158202035813,0.6165996967684642,0.7544874864102532,0.4647425297915925,0.3207397459286211,0.6643219062917427,0.5612791702679343,1
hgb_plus_cnyrub_basis,hist_gradient_boosting,plus_cnyrub_basis,5,3635,1140,0.31361760660247595,153,65,0.42483660130718953,663,300,0.45248868778280543,209.0314593748937,1.4351906688933174,363,840,0.33094910591471804,0.4308115543328748,0.5306740027510316,0.7303988995873453,1.354632496273363,48.814423698262075,0.3190485209036737,1.331573643105699,1.022813512059634,1.022813512059634,0.8864039126568523,0.7040229885057472,1.12,0.16592970521541953,0.6666666666666666,0.8340702947845805,52.0,0.3740573152337858,0.06859410430839002,0.9166666666666666,0.9314058956916099,15.0,0.3660130718954248,1.127488352393054,3,3,3,1.335164835164835,3,3,1.1222947440742013,5,5,5,1.3333439886884733,5,5,11,15,15,22.51969765294364,1.202433901388913,21.317263751554727,21.216119461892987,45.28792706254675,6.18681459909674,39.10111246345001,37.2356004503898,87.5021469422365,116.72717357913415,29.225026636897653,28.360121429070944,28.021645463373336,26.797808395252666,54.48839030246016,47.68564601517411,80.3287546666157,35.388047612674015,0.19061658311191612,0.2195249231631005,0.13168591353842007,True,3635,0.19061658311191612,0.5611614972587021,0.506606064592488,0.7226837886298914,0.1906090702573305,0.22261312906132938,0.5611441666635938,0.6327773707927158,0.5315307875557818,0.33339438666784355,0.7272090554450508,0.6650332225913621,1
hgb_plus_cnyrub_ret1,hist_gradient_boosting,plus_cnyrub_ret1,5,3635,1140,0.31361760660247595,165,56,0.3393939393939394,758,310,0.40897097625329815,241.15277352651094,1.2854921611171948,448,830,0.3515818431911967,0.474828060522696,0.5980742778541953,0.844566712517194,1.0821903242955875,49.129561609359584,0.29775491884460353,1.1398432667742662,1.103100703707363,1.103100703707363,1.013518624641834,0.8424068767908309,1.18,0.09163832199546486,0.7755102040816326,0.9083616780045352,24.0,0.36147757255936674,0.0548469387755102,0.9183673469387755,0.9451530612244898,15.0,0.3575757575757576,1.0557663125948404,3,3,3,1.241365280289331,3,3,0.8283795281535782,3,5,5,1.2191923230707715,5,5,12,15,15,5.721863808661165,1.202433901388913,4.519429907272252,4.310456839594051,13.943909518095921,6.18681459909674,7.757094918999181,11.122144761185714,115.95930220295213,116.72717357913415,0.7678713761820148,4.150568422779045,18.40898007819932,17.12801167347373,37.34178212496223,29.708500482779723,94.19776376079173,20.85881602936996,0.201846905838986,0.2195249231631005,0.08052852072281669,True,3635,0.201846905838986,0.5902910277806339,0.46552725322540767,0.6857601167246774,0.2018204308182592,0.23279295759449353,0.5902259966040531,0.6674081680038649,0.5001563861983535,0.27314547232528863,0.6956358046981596,0.5950386597938144,1
hgb_plus_direct_corridor_basis,hist_gradient_boosting,plus_direct_corridor_basis,5,3635,1140,0.31361760660247595,168,55,0.3273809523809524,749,252,0.3364485981308411,240.08322280039454,1.0496360264603457,497,888,0.3810178817056396,0.5177441540577716,0.6544704264099037,0.9279229711141678,1.0438857560568087,51.01574669251438,0.30366515888401413,1.0780985002826635,1.1231196961213759,1.1231196961213759,1.001380935129379,0.7020057306590257,1.2,0.13965419501133788,0.6530612244897959,0.8603458049886622,33.0,0.3925233644859813,0.05498866213151927,0.9166666666666666,0.9450113378684808,13.0,0.35714285714285715,0.978813559322034,2,3,3,1.0079939414338608,3,3,0.8038563985596112,3,5,5,0.9734823070109115,4,5,7,14,15,6.174744954454086,1.202433901388913,4.972311053065173,4.702046299024688,5.7254388427364855,6.18681459909674,-0.46137575636025474,2.4043024047684534,117.36211001963504,116.72717357913415,-0.6349364405008942,2.0747077869847743,2.673873107786917,1.353034014385109,16.676279731740742,8.226245939623528,102.95392117636426,11.034285905619669,0.2178775467098925,0.2195249231631005,0.007504279830605087,True,3635,0.21787754670989248,0.6270555135100586,0.36515139551473064,0.5663753823436346,0.21785937616397355,0.25089322712502415,0.6270174197499583,0.6986867397715276,0.3984681409468968,0.2291981327294625,0.5902171326635101,0.5166451890034365,1
hgb_all_contract_market,hist_gradient_boosting,all_contract_market,5,3635,1140,0.31361760660247595,157,58,0.36942675159235666,711,242,0.340365682137834,234.78801482841888,1.0307170073261687,469,898,0.37606602475928474,0.5050894085281981,0.6341127922971114,0.8921595598349381,1.1779528438931723,51.01465836819373,0.324934129733718,1.136928127233357,1.049595450603256,1.049595450603256,0.9506191307402649,0.4613180515759312,1.2,0.2017857142857143,0.3877551020408163,0.7982142857142857,46.0,0.4191279887482419,0.12287414965986394,0.7142857142857143,0.877125850340136,26.0,0.3821656050955414,0.8036053130929791,2,3,3,0.9069736313746487,1,3,0.730974234544207,4,5,5,0.9501843107790409,4,5,7,13,15,-1.613958902950232,1.202433901388913,-2.816392804339145,-3.019322142637998,9.000422414027852,6.18681459909674,2.813607814931112,-0.054223437803782915,109.13541559257642,116.72717357913415,7.591757986557724,2.2543720609840676,2.264979437283861,0.7543434805521454,16.689471606351646,4.861591463533319,104.51563286450242,6.534626497242996,0.22041934013517925,0.2195249231631005,-0.0040743299630459084,True,3635,0.22041934013517928,0.6333258062047394,0.3118981924118392,0.5082825299722251,0.2204028810511161,0.2564773056584677,0.6332925633344179,0.7123270689442159,0.306247812333064,0.21923130309193925,0.48512328133934124,0.4043322592194773,2
hgb_plus_cnyrub_basis,hist_gradient_boosting,plus_cnyrub_basis,5,3635,1140,0.31361760660247595,168,62,0.36904761904761907,739,254,0.34370771312584575,238.45917083290823,1.0651718661639624,485,886,0.3771664374140303,0.5105914718019258,0.6440165061898212,0.9108665749656121,1.1767439431913116,50.89177975036561,0.3029272604188429,1.2182714046182397,1.1231198059041159,1.1231198059041159,0.9880093974025403,0.6017191977077363,1.22,0.16003401360544217,0.5714285714285714,0.8399659863945578,42.0,0.39783491204330174,0.07525510204081633,0.8571428571428571,0.9247448979591836,18.0,0.3630952380952381,1.154524886877828,3,3,3,1.0114357788522177,3,3,0.7627163159891442,4,5,5,1.0056213284886026,5,5,10,14,15,-1.4520836609596497,1.202433901388913,-2.6545175623485626,-2.901782350246231,4.872753175846147,6.18681459909674,-1.3140614232505934,1.898454451119755,115.61814851597336,116.72717357913415,1.1090250631607859,3.588187017298452,0.7701329255190796,-0.5758717179726831,18.48099897201161,9.373717916041715,102.4596133543416,11.083950891523045,0.22551088163203992,0.2195249231631005,-0.027267785282366397,True,3635,0.22551088163203997,0.6543091697248722,0.35247139305382946,0.5324538550785782,0.22550449610552656,0.276713964665464,0.6543113540996167,0.7936360285882106,0.3866728449016222,0.1986517390002363,0.5818858200528019,0.4267611683848797,2
