config_id,horizon_cbr_rows_pub_proxy,fold_test_year,corridor,rows,probability_kind,mean_probability,event_rate,quantile_ece,calibration_intercept,calibration_slope
hgb_all_contract_market,1,2023,__ALL__,1230,probability,0.5171415805286894,0.5642276422764227,0.10454989239320908,0.18913951642044657,1.722480783296147
hgb_all_contract_market,1,2023,AMD,246,probability,0.516765425814111,0.5691056910569106,0.11073431788498997,0.22388540301136295,1.578945598960871
hgb_all_contract_market,1,2023,KGS,246,probability,0.5169518549172676,0.5650406504065041,0.13101830891420796,0.18234996448468652,2.0479471067245485
hgb_all_contract_market,1,2023,KZT,246,probability,0.5163238063886636,0.556910569105691,0.0658135680553376,0.17290273143519405,1.3190623330699813
hgb_all_contract_market,1,2023,TJS,246,probability,0.5174322418139183,0.5691056910569106,0.11589945450148385,0.20502754793209854,2.0055755170852563
hgb_all_contract_market,1,2023,UZS,246,probability,0.5182345737094873,0.5609756097560976,0.12283890012584345,0.1580366554832698,1.7941720361553184
hgb_all_contract_market,1,2024,__ALL__,1235,probability,0.4731260973909078,0.5425101214574899,0.07093095484760556,0.36772423228338935,0.9769459960588013
hgb_all_contract_market,1,2024,AMD,247,probability,0.49269686751026476,0.5587044534412956,0.07590105105259896,0.351118090862853,0.9760360044939329
hgb_all_contract_market,1,2024,KGS,247,probability,0.4568605387029791,0.562753036437247,0.12869045966712794,0.6006931539860766,1.0845692582653281
hgb_all_contract_market,1,2024,KZT,247,probability,0.45222610589253315,0.5060728744939271,0.08020230092975326,0.254747765696527,0.8662084117966525
hgb_all_contract_market,1,2024,TJS,247,probability,0.4927283112632811,0.5465587044534413,0.08314225512571934,0.29977987122681704,1.0784058104887515
hgb_all_contract_market,1,2024,UZS,247,probability,0.4711186635854804,0.5384615384615384,0.07479355499057445,0.3447633651077635,0.9259719446801021
hgb_all_contract_market,1,2025,__ALL__,1230,probability,0.4885837527155994,0.4634146341463415,0.044466036065066945,-0.13115468161127178,0.7906101302249221
hgb_all_contract_market,1,2025,AMD,246,probability,0.48064945637557466,0.45934959349593496,0.06977904658996252,-0.11863595942802443,0.819764482528494
hgb_all_contract_market,1,2025,KGS,246,probability,0.4922772567631145,0.4268292682926829,0.11269558672254154,-0.32519567598641913,0.8275874596770589
hgb_all_contract_market,1,2025,KZT,246,probability,0.49635230736452574,0.46747967479674796,0.06896121264597208,-0.14136127833869852,0.6517370198295397
hgb_all_contract_market,1,2025,TJS,246,probability,0.5066847396353192,0.5040650406504065,0.04819881332299728,-0.00974194534907266,0.7047139288498473
hgb_all_contract_market,1,2025,UZS,246,probability,0.466955003439463,0.45934959349593496,0.06328274369899482,-0.04064195966971021,0.9836686763559326
hgb_all_contract_market,3,2023,__ALL__,1220,probability,0.340127320152915,0.44508196721311477,0.14514852709665624,1.0060725671230482,1.8000269653842906
hgb_all_contract_market,3,2023,AMD,244,probability,0.34033300872974626,0.45901639344262296,0.1534086921191388,0.967507888579565,1.643621745210101
hgb_all_contract_market,3,2023,KGS,244,probability,0.3412026679431761,0.45491803278688525,0.16522909760600718,1.175344251987881,1.9966570404456638
hgb_all_contract_market,3,2023,KZT,244,probability,0.3373779704757461,0.4098360655737705,0.10863622960864473,0.6909459677116208,1.5455172332596812
hgb_all_contract_market,3,2023,TJS,244,probability,0.3407677950232231,0.45081967213114754,0.16944531347615144,1.133013369910329,1.9588550177408843
hgb_all_contract_market,3,2023,UZS,244,probability,0.34095515859268366,0.45081967213114754,0.16923861560065134,1.0807200629280855,1.8799429859722936
hgb_all_contract_market,3,2024,__ALL__,1225,probability,0.4443981693564374,0.38612244897959186,0.12109679715334305,-0.33835394301912264,0.532912679477584
hgb_all_contract_market,3,2024,AMD,245,probability,0.4496040749424641,0.4,0.11190459107996625,-0.28889072502900615,0.5454031326729989
hgb_all_contract_market,3,2024,KGS,245,probability,0.438320854496131,0.4122448979591837,0.11163288577190099,-0.19773422910514166,0.5424174210800952
hgb_all_contract_market,3,2024,KZT,245,probability,0.42688836272209196,0.3346938775510204,0.13276862084383984,-0.544389376274566,0.4745516319360398
hgb_all_contract_market,3,2024,TJS,245,probability,0.46213768852479714,0.4,0.1256167233918891,-0.3239164542112544,0.5426322999290252
