config_id,model_kind,feature_set,horizon_cbr_rows_pub_proxy,fold_test_year,corridor,prediction_rows,brier,log_loss,average_precision,roc_auc
hgb_all_contract_market,hist_gradient_boosting,all_contract_market,1,2023,AMD,246,0.1938380939098317,0.5743688978502551,0.7862648331858222,0.7830862533692723
hgb_all_contract_market,hist_gradient_boosting,all_contract_market,1,2023,KGS,246,0.18063663546076,0.544779641870974,0.8486629033023143,0.8264304444295031
hgb_all_contract_market,hist_gradient_boosting,all_contract_market,1,2023,KZT,246,0.20507719212328684,0.5967905680344241,0.7710392724580283,0.743119266055046
hgb_all_contract_market,hist_gradient_boosting,all_contract_market,1,2023,TJS,246,0.1819052600112923,0.547345640113202,0.8491959075752228,0.8210916442048517
hgb_all_contract_market,hist_gradient_boosting,all_contract_market,1,2023,UZS,246,0.18784791880503512,0.5601077371559638,0.8232004165873046,0.7982756307031671
hgb_all_contract_market,hist_gradient_boosting,all_contract_market,1,2024,AMD,247,0.19251458365247126,0.5648017285345643,0.8342018279967914,0.7835394229490759
hgb_all_contract_market,hist_gradient_boosting,all_contract_market,1,2024,KGS,247,0.19095990544074348,0.5645629700294427,0.8464646366885632,0.8032240873967492
hgb_all_contract_market,hist_gradient_boosting,all_contract_market,1,2024,KZT,247,0.20222717916309652,0.5862617022942098,0.7750041249277153,0.7607868852459017
hgb_all_contract_market,hist_gradient_boosting,all_contract_market,1,2024,TJS,247,0.18483317338612892,0.5466654627241492,0.8348756150081109,0.7988095238095239
hgb_all_contract_market,hist_gradient_boosting,all_contract_market,1,2024,UZS,247,0.1965896571331635,0.5771344259349603,0.8151675852904332,0.7758870861363936
hgb_all_contract_market,hist_gradient_boosting,all_contract_market,1,2025,AMD,246,0.20609849537401467,0.6029971878822092,0.6766609948187319,0.7447601304145318
hgb_all_contract_market,hist_gradient_boosting,all_contract_market,1,2025,KGS,246,0.20708279074549676,0.6078118255808262,0.6444282249721734,0.7429922323539345
hgb_all_contract_market,hist_gradient_boosting,all_contract_market,1,2025,KZT,246,0.22526857544200743,0.648413512463257,0.6465628198889161,0.6950547626949882
hgb_all_contract_market,hist_gradient_boosting,all_contract_market,1,2025,TJS,246,0.22134604494335305,0.6383571362101625,0.6811550918253279,0.705711263881544
hgb_all_contract_market,hist_gradient_boosting,all_contract_market,1,2025,UZS,246,0.1952468565299062,0.57777679655687,0.7044557414751782,0.7686472819216182
hgb_all_contract_market,hist_gradient_boosting,all_contract_market,3,2023,AMD,244,0.23240385431320817,0.6537249426337365,0.6359373933860009,0.730756222943723
hgb_all_contract_market,hist_gradient_boosting,all_contract_market,3,2023,KGS,244,0.2237112619100414,0.6349245285457502,0.6957908302149776,0.7622095779990516
hgb_all_contract_market,hist_gradient_boosting,all_contract_market,3,2023,KZT,244,0.220105196243572,0.6297289563706948,0.6249485169195113,0.7072222222222223
hgb_all_contract_market,hist_gradient_boosting,all_contract_market,3,2023,TJS,244,0.22349101071525426,0.634200863605061,0.6845769379579125,0.7573270013568522
hgb_all_contract_market,hist_gradient_boosting,all_contract_market,3,2023,UZS,244,0.2248099099241651,0.636912998437267,0.6752834521842757,0.7477611940298508
hgb_all_contract_market,hist_gradient_boosting,all_contract_market,3,2024,AMD,245,0.23115321144476825,0.6572954003570116,0.5788371243889956,0.6743023740108287
