config_id,comparison_base_id,model_kind,feature_set,comparison_rows,base_brier,candidate_brier,relative_brier_improvement,macro_fold_corridor_delta_brier,years_brier_improved,fold_corridor_cells_brier_improved,portfolio_cell_standardized_lift,base_portfolio_cell_standardized_lift,corridor_candidate_cell_standardized_lift,base_corridor_candidate_cell_standardized_lift,portfolio_forward_bps_delta,base_portfolio_forward_bps_delta,portfolio_forward_delta_vs_base_policy,corridor_candidate_forward_bps_delta,base_corridor_candidate_forward_bps_delta,corridor_candidate_forward_delta_vs_base_policy,portfolio_mean_signals_per_week,minimum_fold_signals_per_week,maximum_fold_signals_per_week,all_fold_portfolio_cadence_in_range,candidate_mean_signals_per_corridor_week,minimum_fold_corridor_candidate_signals_per_week,maximum_fold_corridor_candidate_signals_per_week,all_fold_corridor_candidate_cadence_in_range,minimum_candidate_weeks_with_1_to_2_signals_share,mean_candidate_silent_week_share,maximum_candidate_calendar_gap_days,candidate_top_fold_signal_share,minimum_synthetic_portfolio_weeks_with_1_to_2_signals_share,mean_synthetic_portfolio_silent_week_share,maximum_synthetic_portfolio_calendar_gap_days,portfolio_min_fold_lift,corridor_candidate_min_fold_lift,decision_dates,observed_delta_brier,ci95_low,ci95_high,one_sided_block_signflip_p_improvement,fast_operational_candidate,positive_brier_skill_vs_prior_year,snapshot_reproducible,historical_point_in_time_verified,production_data_rights_verified,source_lineage_and_policy_reproducible,per_signal_model_explanation_available,research_source_class,passes_exploratory_quality_cadence_gates,passes_exploratory_development_gates,holm_p_brier_improvement,passes_exploratory_multiplicity_screen,eligible_for_policy_uncertainty_audit,eligible_for_prospective_shadow,gate_failures,production_promotable
hgb_plus_cnyrub_basis,hgb_base,hist_gradient_boosting,plus_cnyrub_basis,3635,0.2187136018634263,0.19061658311191612,0.1284648897559426,-0.028086738130684297,3,15,1.331573643105699,1.0864856927908546,1.4351906688933174,1.0890127982273297,37.2356004503898,0.06954927160354263,37.16605117878626,47.68564601517411,6.022109865660774,41.663536149513334,1.022813512059634,0.9426934097421205,1.12,True,0.8864039126568523,0.7040229885057472,1.12,False,0.6666666666666666,0.16592970521541953,52.0,0.3740573152337858,0.9166666666666666,0.06859410430839002,15.0,1.127488352393054,1.335164835164835,727.0,-0.02809701875151019,-0.03811497044974685,-0.017824153835304828,9.999000099990002e-05,True,True,True,False,False,False,False,contract_required_market_data,False,False,0.0036996300369963007,True,False,False,"[""source_lineage_or_policy_not_reproducible"", ""historical_published_at_or_vintage_not_verified"", ""production_data_rights_not_verified"", ""per_signal_model_explanation_not_implemented"", ""one_or_more_development_quality_or_cadence_gates_failed""]",False
hgb_cnyrub_basis_stump,hgb_base,hist_gradient_boosting_stump,plus_cnyrub_basis,3635,0.2187136018634263,0.19077632315237036,0.12773452804504182,-0.027922494191883137,3,15,1.4417042611708766,1.0864856927908546,1.3588393697385353,1.0890127982273297,44.97065055398323,0.06954927160354263,44.90110128237969,39.072732501445586,6.022109865660774,33.05062263578481,1.029710173566512,0.9025787965616046,1.146551724137931,True,0.9776374754361119,0.8022922636103152,1.146551724137931,False,0.7551020408163265,0.09801587301587301,19.0,0.38303693570451436,0.8571428571428571,0.06802721088435375,15.0,1.222222222222222,1.1843695037088018,727.0,-0.02793727871105594,-0.03800924204341712,-0.017235607642740933,9.999000099990002e-05,True,True,True,False,False,False,False,contract_required_market_data,False,False,0.0036996300369963007,True,False,False,"[""source_lineage_or_policy_not_reproducible"", ""historical_published_at_or_vintage_not_verified"", ""production_data_rights_not_verified"", ""per_signal_model_explanation_not_implemented"", ""one_or_more_development_quality_or_cadence_gates_failed""]",False
hgb_plus_cnyrub_basis_ret1,hgb_base,hist_gradient_boosting,plus_cnyrub_basis_ret1,3635,0.2187136018634263,0.191052228890102,0.1264730347708195,-0.02765810444795596,3,15,1.3132976654312565,1.0864856927908546,1.4119162022778387,1.0890127982273297,28.484641203281157,0.06954927160354263,28.415091931677615,41.53928329911379,6.022109865660774,35.51717343345302,1.0562809999011955,0.9226361031518624,1.16,True,0.9532619965089087,0.7822349570200573,1.16,False,0.75,0.12480158730158729,30.0,0.37307152875175315,0.8775510204081632,0.06845238095238095,18.0,1.2809253087629877,1.304094378903539,727.0,-0.027661372973324293,-0.03775559073872361,-0.0177320548303974,0.00019998000199980003,True,True,True,False,False,False,False,contract_required_market_data,False,False,0.006199380061993801,True,False,False,"[""source_lineage_or_policy_not_reproducible"", ""historical_published_at_or_vintage_not_verified"", ""production_data_rights_not_verified"", ""per_signal_model_explanation_not_implemented"", ""one_or_more_development_quality_or_cadence_gates_failed""]",False
hgb_plus_cnyrub_spot_fixing,hgb_base,hist_gradient_boosting,plus_cnyrub_spot_fixing,3635,0.2187136018634263,0.19405160782657738,0.11275930635648757,-0.024664650636517634,3,15,1.2152733636098498,1.0864856927908546,1.3098322776908549,1.0890127982273297,28.12509123003043,0.06954927160354263,28.05554195842689,33.8619781134895,6.022109865660774,27.839868247828726,1.0697292757632646,0.9226361031518624,1.146551724137931,True,1.0161854010912406,0.8223495702005731,1.146551724137931,False,0.7959183673469388,0.08599773242630386,18.0,0.36973684210526314,0.8367346938775511,0.06122448979591836,17.0,1.0954732510288065,1.2061937184274105,727.0,-0.024661994036848933,-0.035229687920298604,-0.014585891094846107,9.999000099990002e-05,True,True,True,False,False,False,False,contract_required_market_data,False,False,0.0036996300369963007,True,False,False,"[""source_lineage_or_policy_not_reproducible"", ""historical_published_at_or_vintage_not_verified"", ""production_data_rights_not_verified"", ""per_signal_model_explanation_not_implemented"", ""one_or_more_development_quality_or_cadence_gates_failed""]",False
hgb_cnyrub_spot_stump,hgb_base,hist_gradient_boosting_stump,plus_cnyrub_spot,3635,0.2187136018634263,0.19756724912740362,0.09668512866075585,-0.02115773617188075,3,14,1.1426768554843303,1.0864856927908546,1.2598720401585202,1.0890127982273297,17.738818230129425,0.06954927160354263,17.669268958525883,29.010086685323202,6.022109865660774,22.98797681966243,1.0897483779600172,0.9426934097421205,1.18,True,1.0430320016686978,0.8825214899713467,1.18,False,0.8367346938775511,0.07619047619047617,18.0,0.3628205128205128,0.8775510204081632,0.05442176870748299,17.0,0.8647686832740215,1.1674673987645847,727.0,-0.021146352736022667,-0.02952901835304191,-0.013251803803244559,9.999000099990002e-05,True,True,True,False,False,False,False,contract_required_market_data,False,False,0.0036996300369963007,True,False,False,"[""source_lineage_or_policy_not_reproducible"", ""historical_published_at_or_vintage_not_verified"", ""production_data_rights_not_verified"", ""per_signal_model_explanation_not_implemented"", ""one_or_more_development_quality_or_cadence_gates_failed""]",False
logit_cnyrub_basis_only,logit_base,logistic,cnyrub_basis_only,3635,0.21778625148189312,0.1975164781766401,0.09307186825307145,-0.020250125539513948,3,15,1.2639401147945266,0.9559012158863204,1.3197265451752207,0.9827699222712536,23.315197424894194,7.890535676568954,15.42466174832524,28.34545705983729,3.2885947246877336,25.056862335149557,1.036414715278464,0.9600000000000001,1.0862068965517242,True,1.0177136646576423,0.86,1.0862068965517242,False,0.8571428571428571,0.06680839002267572,30.0,0.354796320630749,0.8979591836734694,0.06816893424036281,19.0,1.179337231968811,1.1803473709255294,727.0,-0.02026977330525307,-0.028749227595383904,-0.011807070500169038,9.999000099990002e-05,True,True,True,False,False,False,False,contract_required_market_data,False,False,0.0036996300369963007,True,False,False,"[""source_lineage_or_policy_not_reproducible"", ""historical_published_at_or_vintage_not_verified"", ""production_data_rights_not_verified"", ""per_signal_model_explanation_not_implemented"", ""one_or_more_development_quality_or_cadence_gates_failed""]",False
hgb_plus_cnyrub_ret1,hgb_base,hist_gradient_boosting,plus_cnyrub_ret1,3635,0.2187136018634263,0.201846905838986,0.07711772784471149,-0.0168753775697556,3,15,1.1398432667742662,1.0864856927908546,1.2854921611171948,1.0890127982273297,11.122144761185714,0.06954927160354263,11.05259548958217,29.708500482779723,6.022109865660774,23.68639061711895,1.103100703707363,1.002865329512894,1.18,True,1.013518624641834,0.8424068767908309,1.18,False,0.7755102040816326,0.09163832199546486,24.0,0.36147757255936674,0.9183673469387755,0.0548469387755102,15.0,1.0557663125948404,1.241365280289331,727.0,-0.016866696024440277,-0.024642327251731704,-0.009469131436190286,0.00029997000299970003,True,True,True,False,False,False,False,contract_required_market_data,False,False,0.008999100089991,True,False,False,"[""source_lineage_or_policy_not_reproducible"", ""historical_published_at_or_vintage_not_verified"", ""production_data_rights_not_verified"", ""per_signal_model_explanation_not_implemented"", ""one_or_more_development_quality_or_cadence_gates_failed""]",False
hgb_plus_cnyrub_spot,hgb_base,hist_gradient_boosting,plus_cnyrub_spot,3635,0.2187136018634263,0.20193851193202758,0.07669888744218922,-0.016795959187478792,3,13,1.2467826536799658,1.0864856927908546,1.278841364188053,1.0890127982273297,22.800188865720184,0.06954927160354263,22.730639594116642,26.763318337595308,6.022109865660774,20.741208471934534,1.08976737037403,1.002865329512894,1.1400000000000001,True,1.0416412080492707,0.8022922636103152,1.1400000000000001,False,0.7551020408163265,0.07636054421768708,24.0,0.35686777920410784,0.8979591836734694,0.054563492063492064,14.0,1.1943811693242217,1.154830113257828,727.0,-0.01677508993139872,-0.026583048736288934,-0.0071528380593025446,0.0023997600239976003,True,True,True,False,False,False,False,contract_required_market_data,False,False,0.06719328067193281,False,False,False,"[""source_lineage_or_policy_not_reproducible"", ""historical_published_at_or_vintage_not_verified"", ""production_data_rights_not_verified"", ""per_signal_model_explanation_not_implemented"", ""one_or_more_development_quality_or_cadence_gates_failed"", ""holm_multiplicity_screen_failed""]",False
logit_plus_cnyrub_basis,logit_base,logistic,plus_cnyrub_basis,3635,0.21778625148189312,0.20292730944970014,0.06822718115164572,-0.01485367262380004,3,15,1.1781700158275399,0.9559012158863204,1.2228017927665524,0.9827699222712536,28.794185335737346,7.890535676568954,20.903649659168394,26.678892729209544,3.2885947246877336,23.39029800452181,1.143253631064124,1.1232091690544412,1.16,True,1.0550165223023635,0.8022922636103152,1.16,False,0.7142857142857143,0.08174603174603173,32.0,0.3485424588086185,0.9387755102040817,0.027210884353741496,18.0,1.1178,1.1763334827431646,727.0,-0.014858942032192962,-0.021053341848290025,-0.008474883459106831,9.999000099990002e-05,True,True,True,False,False,False,False,contract_required_market_data,False,False,0.0036996300369963007,True,False,False,"[""source_lineage_or_policy_not_reproducible"", ""historical_published_at_or_vintage_not_verified"", ""production_data_rights_not_verified"", ""per_signal_model_explanation_not_implemented"", ""one_or_more_development_quality_or_cadence_gates_failed""]",False
hgb_full_research,hgb_base,hist_gradient_boosting,full_research,3635,0.2187136018634263,0.20390493331018145,0.06770803656963231,-0.01483287997934493,2,11,1.2852436085870866,1.0864856927908546,1.2314890710382513,1.0890127982273297,27.75605970372013,0.06954927160354263,27.686510432116588,24.174460815587164,6.022109865660774,18.15235094992639,1.0364150446266838,0.9426934097421205,1.146551724137931,True,1.0096604419853112,0.8223495702005731,1.146551724137931,False,0.7959183673469388,0.09404761904761906,20.0,0.37350993377483444,0.8979591836734694,0.07497165532879818,17.0,1.2668246445497628,1.0473406476595422,727.0,-0.014808668553244865,-0.030457753319509732,0.0034235177275334368,0.049595040495950406,True,True,True,False,False,False,False,contract_required_market_data,False,False,1.0,False,False,False,"[""source_lineage_or_policy_not_reproducible"", ""historical_published_at_or_vintage_not_verified"", ""production_data_rights_not_verified"", ""per_signal_model_explanation_not_implemented"", ""one_or_more_development_quality_or_cadence_gates_failed"", ""holm_multiplicity_screen_failed""]",False
