config_id,model_kind,feature_set,horizon_cbr_rows_pub_proxy,fold_test_year,corridor,train_start,train_end_inclusive,validation_start,validation_end_inclusive_after_purge,test_start,test_end_inclusive,purge_cbr_rows_pub_proxy,threshold,threshold_scope,threshold_selected_with_labels,validation_candidate_mean_signals_per_corridor_week,validation_portfolio_signals_per_week,validation_candidate_weighted_error_3,validation_corridor_candidate_signals_per_week,validation_corridor_candidate_weighted_error_3,validation_corridor_candidate_weeks_with_1_to_2_signals_share,validation_corridor_candidate_silent_week_share,eligible_count,baseline_hits,baseline_hit_rate,signal_count,signal_hits,hit_rate,hit_naive_iid_wilson95_low,hit_naive_iid_wilson95_high,hit_interval_note,lift,signals_per_week,candidate_signal_count,candidate_signal_hits,candidate_hit_rate,candidate_lift,candidate_false_positives,candidate_false_negatives,candidate_weighted_error_1,candidate_weighted_error_2,candidate_weighted_error_3,candidate_weighted_error_5,candidate_signals_per_corridor_week,candidate_silent_week_share,candidate_weeks_with_1_to_2_signals_share,candidate_weeks_above_2_signals_share,candidate_maximum_calendar_gap_days,portfolio_signals_per_week,portfolio_silent_week_share,portfolio_weeks_with_1_to_2_signals_share,portfolio_weeks_above_2_signals_share,portfolio_maximum_calendar_gap_days,candidate_signal_symmetric_bps,candidate_signal_forward_bps,candidate_signal_regret_bps,signal_symmetric_bps,baseline_symmetric_bps,signal_forward_bps,baseline_forward_bps,signal_regret_bps,baseline_regret_bps,prior_year_prevalence,model_brier,prior_year_prevalence_brier,oracle_test_climatology_brier,selection_policy,score_window,minimum_score_history,posthoc_policy,candidate_layer_available
logit_plus_kazakhstan_official__adaptive_q126,logistic,plus_kazakhstan_official,5,2023,AMD,2020-01-01,2021-12-24,2022-01-11,2022-12-24,2023-01-10,2023-12-23,5,0.51,shared_or_rule,False,,0.6507042253521127,,,,,,242,95,0.3925619834710744,26,10,0.38461538461538464,0.22428359511834428,0.5746547996057992,diagnostic_only_iid_interval; use date-grouped month-block uncertainty for claims,0.979757085020243,0.5229885057471265,,,,,,,,,,,,,,,,0.7442528735632183,0.3958333333333333,0.6041666666666666,0.0,35.0,,,,12.908463167862546,3.453191465705983,33.39585835540291,33.27828577245119,96.02226474053236,104.36677336765345,0.29338842975206614,0.25127691430341764,0.2482924663615873,0.23845707260433036,rolling_portfolio_best_score_quantile,126,40,True,False
logit_plus_kazakhstan_official__adaptive_q126,logistic,plus_kazakhstan_official,5,2023,KGS,2020-01-01,2021-12-24,2022-01-11,2022-12-24,2023-01-10,2023-12-23,5,0.51,shared_or_rule,False,,0.6507042253521127,,,,,,242,94,0.3884297520661157,2,1,0.5,0.09452865480086614,0.9054713451991339,diagnostic_only_iid_interval; use date-grouped month-block uncertainty for claims,1.2872340425531916,0.040229885057471264,,,,,,,,,,,,,,,,0.7442528735632183,0.3958333333333333,0.6041666666666666,0.0,35.0,,,,-55.426822994451555,2.7232742026426195,-18.590988984554805,31.084960136487794,194.80579177200696,90.3659060923096,0.2644628099173554,0.24944809406895002,0.25291988252168573,0.23755207977597154,rolling_portfolio_best_score_quantile,126,40,True,False
logit_plus_kazakhstan_official__adaptive_q126,logistic,plus_kazakhstan_official,5,2023,KZT,2020-01-01,2021-12-24,2022-01-11,2022-12-24,2023-01-10,2023-12-23,5,0.51,shared_or_rule,False,,0.6507042253521127,,,,,,242,89,0.3677685950413223,7,3,0.42857142857142855,0.15821692226262685,0.7495457695909742,diagnostic_only_iid_interval; use date-grouped month-block uncertainty for claims,1.1653290529695024,0.14080459770114942,,,,,,,,,,,,,,,,0.7442528735632183,0.3958333333333333,0.6041666666666666,0.0,35.0,,,,84.04381359332716,3.481329878340394,15.018161318878388,37.923616510572145,73.04505111873036,113.71450359207032,0.2603305785123967,0.24033932485699594,0.24405778293832384,0.23251485554265422,rolling_portfolio_best_score_quantile,126,40,True,False
logit_plus_kazakhstan_official__adaptive_q126,logistic,plus_kazakhstan_official,5,2023,TJS,2020-01-01,2021-12-24,2022-01-11,2022-12-24,2023-01-10,2023-12-23,5,0.51,shared_or_rule,False,,0.6507042253521127,,,,,,242,94,0.3884297520661157,0,0,,,,diagnostic_only_iid_interval; use date-grouped month-block uncertainty for claims,,0.0,,,,,,,,,,,,,,,,0.7442528735632183,0.3958333333333333,0.6041666666666666,0.0,35.0,,,,,2.9284129282172855,,27.384315785533037,,95.34290298170141,0.3140495867768595,0.24944610261832736,0.2430844887644286,0.2375520797759715,rolling_portfolio_best_score_quantile,126,40,True,False
logit_plus_kazakhstan_official__adaptive_q126,logistic,plus_kazakhstan_official,5,2023,UZS,2020-01-01,2021-12-24,2022-01-11,2022-12-24,2023-01-10,2023-12-23,5,0.51,shared_or_rule,False,,0.6507042253521127,,,,,,242,95,0.3925619834710744,2,1,0.5,0.09452865480086614,0.9054713451991339,diagnostic_only_iid_interval; use date-grouped month-block uncertainty for claims,1.2736842105263158,0.040229885057471264,,,,,,,,,,,,,,,,0.7442528735632183,0.3958333333333333,0.6041666666666666,0.0,35.0,,,,-15.41972921087542,3.502320614379478,72.3088992305676,24.995351533616585,16.658733936221193,99.84076244025565,0.2644628099173554,0.2512779673416773,0.25486647086947617,0.23845707260433033,rolling_portfolio_best_score_quantile,126,40,True,False
logit_plus_kazakhstan_official__adaptive_q126,logistic,plus_kazakhstan_official,5,2024,AMD,2021-01-01,2022-12-24,2023-01-10,2023-12-23,2024-01-10,2024-12-24,5,0.505,shared_or_rule,False,,0.6901408450704225,,,,,,243,85,0.3497942386831276,35,9,0.2571428571428571,0.1416286872655014,0.4206962427064873,diagnostic_only_iid_interval; use date-grouped month-block uncertainty for claims,0.735126050420168,0.7000000000000001,,,,,,,,,,,,,,,,0.94,0.1836734693877551,0.8163265306122449,0.0,17.0,,,,-26.118823423091577,0.6992829180310366,8.129729213416818,18.173846437932582,107.35104493996994,100.22664756167576,0.3925619834710744,0.2343653708593494,0.2292673092614657,0.22743822926721874,rolling_portfolio_best_score_quantile,126,40,True,False
logit_plus_kazakhstan_official__adaptive_q126,logistic,plus_kazakhstan_official,5,2024,KGS,2021-01-01,2022-12-24,2023-01-10,2023-12-23,2024-01-10,2024-12-24,5,0.505,shared_or_rule,False,,0.6901408450704225,,,,,,243,90,0.37037037037037035,3,2,0.6666666666666666,0.2076549551264879,0.9385096847238394,diagnostic_only_iid_interval; use date-grouped month-block uncertainty for claims,1.8,0.060000000000000005,,,,,,,,,,,,,,,,0.94,0.1836734693877551,0.8163265306122449,0.0,17.0,,,,51.448695189176085,0.79799538563217,87.12018439890483,18.36516654861514,71.86726736792289,93.51715187548805,0.3884297520661157,0.24014512000269955,0.23352230038931762,0.23319615912208508,rolling_portfolio_best_score_quantile,126,40,True,False
logit_plus_kazakhstan_official__adaptive_q126,logistic,plus_kazakhstan_official,5,2024,KZT,2021-01-01,2022-12-24,2023-01-10,2023-12-23,2024-01-10,2024-12-24,5,0.505,shared_or_rule,False,,0.6901408450704225,,,,,,243,65,0.2674897119341564,3,2,0.6666666666666666,0.2076549551264879,0.9385096847238394,diagnostic_only_iid_interval; use date-grouped month-block uncertainty for claims,2.4923076923076923,0.060000000000000005,,,,,,,,,,,,,,,,0.94,0.1836734693877551,0.8163265306122449,0.0,17.0,,,,70.48577772957827,1.2238776776293148,81.07483903510239,-1.1666025711732755,48.158846517950174,124.45766995796836,0.3677685950413223,0.21429539948145854,0.20599482034075908,0.1959389659435384,rolling_portfolio_best_score_quantile,126,40,True,False
logit_plus_kazakhstan_official__adaptive_q126,logistic,plus_kazakhstan_official,5,2024,TJS,2021-01-01,2022-12-24,2023-01-10,2023-12-23,2024-01-10,2024-12-24,5,0.505,shared_or_rule,False,,0.6901408450704225,,,,,,243,85,0.3497942386831276,6,2,0.3333333333333333,0.09676933255921683,0.7000116786584712,diagnostic_only_iid_interval; use date-grouped month-block uncertainty for claims,0.9529411764705882,0.12000000000000001,,,,,,,,,,,,,,,,0.94,0.1836734693877551,0.8163265306122449,0.0,17.0,,,,-41.6835636556793,0.6792096378517561,-26.511987858692795,15.536985248134993,80.94386696594125,98.28857458927315,0.3884297520661157,0.23312465096528678,0.22893093216158575,0.22743822926721874,rolling_portfolio_best_score_quantile,126,40,True,False
logit_plus_kazakhstan_official__adaptive_q126,logistic,plus_kazakhstan_official,5,2024,UZS,2021-01-01,2022-12-24,2023-01-10,2023-12-23,2024-01-10,2024-12-24,5,0.505,shared_or_rule,False,,0.6901408450704225,,,,,,243,80,0.3292181069958848,0,0,,,,diagnostic_only_iid_interval; use date-grouped month-block uncertainty for claims,,0.0,,,,,,,,,,,,,,,,0.94,0.1836734693877551,0.8163265306122449,0.0,17.0,,,,,0.8063454445855951,,10.226407702064064,,101.92994103230596,0.3925619834710744,0.22383512519697216,0.224845991708835,0.22083354502193084,rolling_portfolio_best_score_quantile,126,40,True,False
