config_id,fold_test_year,wait_cbr_rows,signal_count,mean_bps,median_bps
hgb_plus_cnyrub_basis,2023,1,50,37.266040107726624,27.69003156256278
hgb_plus_cnyrub_basis,2023,2,50,40.340485661066936,39.32693674436716
hgb_plus_cnyrub_basis,2023,3,50,66.53072539323786,57.00293911885313
hgb_plus_cnyrub_basis,2023,5,50,84.8030199391873,87.91904228941272
hgb_plus_cnyrub_basis,2024,1,56,31.272906625106145,19.792935726491436
hgb_plus_cnyrub_basis,2024,2,56,42.637089764519956,39.44222601439673
hgb_plus_cnyrub_basis,2024,3,56,48.65042495593296,32.26230402203267
hgb_plus_cnyrub_basis,2024,5,56,65.73591239152971,62.644129571617356
hgb_plus_cnyrub_basis,2025,1,47,40.80499669491327,21.49626399065907
hgb_plus_cnyrub_basis,2025,2,47,42.908932339700705,40.86460645045476
hgb_plus_cnyrub_basis,2025,3,47,24.578652724009963,19.656095472464497
hgb_plus_cnyrub_basis,2025,5,47,12.203927246403909,17.457645918430575
hgb_plus_cnyrub_basis,2026,1,34,30.305896418922696,57.425266333630546
hgb_plus_cnyrub_basis,2026,2,34,46.58977826728136,66.72776249039725
hgb_plus_cnyrub_basis,2026,3,34,62.376141379262286,84.86170408270044
hgb_plus_cnyrub_basis,2026,5,34,74.35673682195697,115.75826843120197
logit_plus_kazakhstan_official,2023,1,55,13.931909769922385,19.51006895979157
logit_plus_kazakhstan_official,2023,2,55,24.16231935647764,38.49322012419165
logit_plus_kazakhstan_official,2023,3,55,38.439058678520134,39.127592325878254
logit_plus_kazakhstan_official,2023,5,55,69.88740729100665,73.86054545760467
logit_plus_kazakhstan_official,2024,1,59,8.060298978974682,13.797224736578073
logit_plus_kazakhstan_official,2024,2,59,15.60431389873761,18.09007794695283
logit_plus_kazakhstan_official,2024,3,59,11.354552208295543,11.901734948362996
logit_plus_kazakhstan_official,2024,5,59,12.919025173656788,11.200424843700318
logit_plus_kazakhstan_official,2025,1,56,-9.406735669876443,-27.731761880302464
logit_plus_kazakhstan_official,2025,2,56,-9.293646677965501,-11.218733811634852
logit_plus_kazakhstan_official,2025,3,56,-6.112734997666799,-8.082869217232446
logit_plus_kazakhstan_official,2025,5,56,-19.76451207256458,-3.818745914651034
logit_plus_kazakhstan_official,2026,1,38,21.328481469661032,28.85503498183173
logit_plus_kazakhstan_official,2026,2,38,22.806041871195145,46.86300406930633
logit_plus_kazakhstan_official,2026,3,38,31.10622171230248,30.963658909248792
logit_plus_kazakhstan_official,2026,5,38,51.60249613586004,36.062196782818965
