stage,scope,config_id,benchmark,delta_brier,delta_brier_ci95_low,delta_brier_ci95_high,repetitions,lift_delta,lift_delta_ci95_low,lift_delta_ci95_high,forward_delta_bps_delta,forward_delta_bps_delta_ci95_low,forward_delta_bps_delta_ci95_high,symmetric_delta_bps_delta,symmetric_delta_bps_delta_ci95_low,symmetric_delta_bps_delta_ci95_high,regret_bps_delta,regret_bps_delta_ci95_low,regret_bps_delta_ci95_high,signals_delta,signals_delta_ci95_low,signals_delta_ci95_high
development_2023_2025,all,synth_basis2010_D2_canonical,synth_basis2010_D2,0.0,0.0,0.0,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development_2023_2025,all,synth_basis2010_D2_canonical,v3_long,-0.00012448865017977007,-0.0018239276444105678,0.0014123763078466812,10000,-0.022467305163720752,-0.08407299824373748,0.040453300530908766,-2.026666089141706,-7.429725094220225,2.7148543139231123,1.431218171143076,-1.998311782649486,4.642765487913823,4.6667452217398875,-1.57068364929952,11.353934877400267,22.0,2.0,43.0
development_2023_2025,all,synth_basis2010_D2_canonical,synth_basis2018_D2,1.8995837396225916e-05,-0.0008605276181508155,0.0009017622325953611,10000,-0.020992873888232344,-0.06574565675144253,0.01756792413059394,0.27532484821820447,-3.7520893102592736,4.223834205717487,0.5509259389817736,-2.7690795452982613,3.4614556025019425,-2.4669752734413635,-7.424302746208372,2.2653228288186837,0.0,-16.0,15.0
development_2023_2025,all,synth_basis2010_D2_canonical,synth_no_oxr,-0.00013571304906535625,-0.0011246741292306784,0.0008480274274470798,10000,-0.023909843392804664,-0.08628135288734433,0.035864833640716326,-3.851611342418849,-8.8822717782287,1.2430066559658497,-1.331057236477136,-4.29341489188509,1.5358476320124406,5.78356542463294,-0.7627087629472182,12.134626923149929,14.0,-1.0,30.0
development_2023_2025,all,small_basis2010_D2_canonical,small_basis2010_D2,0.0,0.0,0.0,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development_2023_2025,all,small_basis2010_D2_canonical,v3_long,0.0014987267081949752,-0.0036739665326344984,0.006372364099003329,10000,-0.09773569278744132,-0.2223916553545683,0.017636662882442217,-5.2503564389640545,-14.990749413935857,3.4340601515524503,0.980904415288876,-5.299290857028291,7.27029069085919,6.452483800656765,-2.7767542081416887,16.303941119844005,38.0,7.0,71.0
development_2023_2025,all,small_basis2010_D2_canonical,small_no_oxr,-0.00020631104805532937,-0.0013781866905073624,0.0009414225873172285,10000,-0.03936513985515133,-0.09098928810996272,0.01079065876241006,-1.5888006308302778,-6.949901529873114,3.2749738191518256,-0.3649171973733374,-3.3024566578222387,2.5909219275469315,4.971954451547177,-2.6551808778108477,13.646119682246587,7.0,-11.0,24.0
development_2023_2025,KZT,synth_basis2010_D2_canonical,synth_basis2010_D2,0.0,0.0,0.0,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development_2023_2025,KZT,synth_basis2010_D2_canonical,v3_long,-0.0013559374015598164,-0.0031863499326672015,0.00037751393704040236,10000,-0.07815697732131288,-0.3246565774049288,0.15283707360205684,-0.6910670380656718,-14.151591489511157,12.319657112323126,2.1466463021487456,-6.545158715663441,11.37720377301345,3.35271920815714,-10.655013528678925,16.955111626269105,6.0,0.0,12.0
development_2023_2025,KZT,synth_basis2010_D2_canonical,synth_basis2018_D2,0.0005058254047580784,-0.000648341161406409,0.00163039722029082,10000,0.009003796632671035,-0.12582735547486337,0.1256829562884155,2.1369027942627348,-9.145228513039163,14.565474433292678,0.374731420585082,-6.462823790929192,7.322964033406387,-5.007510582933492,-21.063025493185265,8.050164482061515,1.0,-2.0,4.0
development_2023_2025,KZT,synth_basis2010_D2_canonical,synth_no_oxr,-9.811963736496332e-05,-0.0014391857504601055,0.0012570186225024696,10000,-0.058128470815283606,-0.2902710353036461,0.15272235579794313,-4.42009630811696,-13.5259033297436,4.03263965676067,-3.9540002335036277,-11.137064961999702,2.9199234779176524,6.40472303616626,-1.5242545265875294,15.07830313179349,6.0,1.0,12.0
development_2023_2025,KZT,small_basis2010_D2_canonical,small_basis2010_D2,0.0,0.0,0.0,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development_2023_2025,KZT,small_basis2010_D2_canonical,v3_long,0.004026637097124097,-0.0014368086744653823,0.009371118697160558,10000,-0.1381491970128217,-0.42564873957835014,0.149202487118051,2.236983098639964,-16.142052268544276,20.486719574487086,7.218600582757169,-5.286846786800669,20.05577938975906,1.2342433207840173,-19.60292149687109,20.342702608627697,3.0,-6.0,12.0
development_2023_2025,KZT,small_basis2010_D2_canonical,small_no_oxr,0.0005063594902958467,-0.0009348229769805084,0.0018259100833939452,10000,-0.06070092540383554,-0.24085383474296004,0.10617358442771381,4.195572773317778,-7.798611761427218,16.006307904799982,3.899353138622608,-5.548104387756101,14.708743502935512,-3.7332225079854595,-12.530255533677005,4.9446523123222885,-2.0,-10.0,5.0
development_2023_2025,KZT,synth_kzt_basis2010_halyk_H1O2_canonical,synth_kzt_basis2010_halyk_H1O2,0.0,0.0,0.0,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development_2023_2025,KZT,synth_kzt_basis2010_halyk_H1O2_canonical,v3_long,-0.0016716145864417219,-0.009855392939472893,0.006392012628570888,10000,0.31073369714930643,0.0841870119137343,0.540814866644194,23.33987537970494,1.9354715644990057,44.64522317389774,15.306611991814712,2.8993016135334595,28.959431664824255,-14.27186862130037,-41.60046384205629,12.497549121540828,-20.0,-30.0,-9.0
development_2023_2025,KZT,synth_kzt_basis2010_halyk_H1O2_canonical,synth_kzt_halyk_D1,0.003983125446905044,0.0006012204163370962,0.007662824763295722,10000,0.1362245681651273,-0.01945477360195976,0.30290892655524987,2.6328609252104513,-8.308392391211965,13.473591212674885,-3.9737942282748264,-14.460286609068717,4.882859319191175,0.15515489592806375,-10.597219421970104,10.375505112695214,-3.0,-9.0,3.0
development_2023_2025,KZT,synth_kzt_basis2010_halyk_H1O2_canonical,synth_kzt_no_oxr,0.0022966683431946953,-0.0059496659695193735,0.010522002311526023,10000,0.3307622036553357,0.09692474478403086,0.5640640732330753,19.61084610965365,3.1020924349711505,37.494280181999855,9.205965456162339,-3.046224225307581,22.57589168454804,-11.21986479329125,-34.414965733690146,10.085991473093344,-20.0,-29.0,-11.0
jan2026_retrospective,all,synth_basis2010_D2_canonical,synth_basis2010_D2,0.0,0.0,0.0,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jan2026_retrospective,all,synth_basis2010_D2_canonical,v3_long,0.0004770067952617718,-0.0016426993792763146,0.002396840245036305,10000,-0.0476932483875423,-0.15675752747679203,0.004490053411824846,-5.446866768843709,-9.345204858736688,-1.4091008656642732,-3.3631258892269678,-6.116459734900616,-0.984636914764504,4.926691484983834,1.2042487810829101,8.95236051658765,4.0,1.0,8.0
jan2026_retrospective,all,synth_basis2010_D2_canonical,synth_basis2018_D2,-0.00017216432618228546,-0.000952502011273959,0.0005524929133042857,10000,0.025020753689397823,-0.02109948576227271,0.13386773547094188,0.479164511004754,-2.6389019891044065,3.3820644336030377,-0.18582087289821914,-3.1675183871283217,2.9252394674369775,0.008827140501665554,-1.837632463285388,2.3170997886412072,1.0,0.0,3.0
jan2026_retrospective,all,synth_basis2010_D2_canonical,synth_no_oxr,0.0001191369053472966,-0.0006933472484658546,0.0009235924442141718,10000,0.016528925619834656,0.0,0.06934147405146085,0.12290104281948189,-0.271830678109447,0.6398570623638591,-0.1257886738654932,-0.744349282208141,0.3672077527410522,-0.22060781525868833,-0.5042329294521153,0.0,0.0,0.0,0.0
jan2026_retrospective,all,small_basis2010_D2_canonical,small_basis2010_D2,0.0,0.0,0.0,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jan2026_retrospective,all,small_basis2010_D2_canonical,v3_long,0.008790536552357892,-0.0010301818135772611,0.01849939639905349,10000,-0.09056637612355067,-0.45439875308767785,0.11723550307633479,-4.003566332534525,-16.51749775554099,7.473193873091244,-2.7756815515127435,-9.530584754396163,3.396946974275519,5.046093684995,-4.856413795578547,14.633032218998991,1.0,-7.0,11.0
jan2026_retrospective,all,small_basis2010_D2_canonical,small_no_oxr,0.0002157558477852105,-0.0004542475430446971,0.0008966591400070316,10000,-0.05835636751886031,-0.176652241323358,0.008804069489362965,-0.8578163616271972,-5.494847055237713,3.6372902013531316,-2.0868345949037312,-5.514062692450556,0.9164354987902673,-0.029919981620992075,-2.8189769247003795,2.630797073551733,-1.0,-4.0,2.0
jan2026_retrospective,KZT,synth_basis2010_D2_canonical,synth_basis2010_D2,0.0,0.0,0.0,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
