stage,scope,config_id,signals,hit_rate,lift,forward_delta_bps,symmetric_delta_bps,regret_bps,brier,logloss,auc,ece10,rows,dates,mean_signals_per_corridor_week,min_cell_week_coverage,mean_cell_week_coverage
development_2023_2025,all,base_control_head10y,716.0,0.4371508379888268,1.3609937366840024,37.92872459228535,26.623145827814028,86.49451393431235,0.18624606567274032,0.5518114444787263,0.7331295925183701,0.05057994592249998,3635,727,0.9574021012416426,0.7346938775510204,0.8787698412698414
development_2023_2025,all,base_control_head2y,663.0,0.45248868778280543,1.4351906688933174,47.6856460151741,26.79780839525267,80.32875466661568,0.19061658311191612,0.5611614972587021,0.7226837886298914,0.05368624673548692,3635,727,0.8865329512893981,0.6666666666666666,0.8340702947845805
development_2023_2025,all,baseline_reproduction,663.0,0.45248868778280543,1.4351906688933174,47.6856460151741,26.79780839525267,80.32875466661568,0.19061658311191612,0.5611614972587021,0.7226837886298914,0.05368624673548692,3635,727,0.8865329512893981,0.6666666666666666,0.8340702947845805
development_2023_2025,all,basis_train_120m,723.0,0.4412171507607192,1.3709701913909238,40.078411599802024,26.40696876898918,80.96092783122008,0.18485040099862832,0.5484652229971574,0.7374039306683542,0.04785109801160326,3635,727,0.9667621776504296,0.7346938775510204,0.8828798185941042
development_2023_2025,all,chronos2_small_ft_head10y,739.0,0.4140730717185386,1.2982231478266355,36.67932858330538,26.915595429538858,83.64033577379985,0.18624476742694585,0.5519977557881396,0.7282489540484478,0.024562111178847185,3635,727,0.9881566380133714,0.7959183673469388,0.8964569160997731
development_2023_2025,all,chronos2_small_ft_head2y,758.0,0.41160949868073876,1.291275538668052,34.96215598825072,25.252878931890592,88.16268025066574,0.18799034595523995,0.5549632259831435,0.732930070667651,0.05026602601878622,3635,727,1.0135625596943647,0.7346938775510204,0.8989795918367347
development_2023_2025,all,chronos2_synth_ft_head10y,731.0,0.4117647058823529,1.2874629621588312,32.92252688210405,25.76551107718168,86.88576652124746,0.19003738365148126,0.5607027366382056,0.7182907921105367,0.029646274064801102,3635,727,0.9774594078319004,0.7551020408163265,0.8867913832199547
development_2023_2025,all,chronos2_synth_ft_head2y,752.0,0.4242021276595745,1.3406180355230533,34.57687441322799,22.93592524774959,92.12218324205297,0.19178922558329542,0.56421577655117,0.7179406180782618,0.049750437053761996,3635,727,1.0055396370582614,0.7959183673469388,0.9043367346938775
development_2023_2025,all,chronos2_synth_zs_head10y,729.0,0.4375857338820302,1.3705107534285756,40.28446898014066,28.407258598913632,82.74247269135225,0.18584975104320234,0.5511153975679365,0.7318559926871286,0.05058291867925681,3635,727,0.9747851002865328,0.7755102040816326,0.8869897959183674
development_2023_2025,all,chronos2_synth_zs_head2y,650.0,0.45384615384615384,1.4363125456874413,50.3134853178289,28.988635393745064,78.70119739723707,0.19051887499777967,0.5607016307132004,0.7256667721407728,0.043838206146520786,3635,727,0.869149952244508,0.5833333333333334,0.8229591836734694
development_2023_2025,KZT,base_control_head10y,150.0,0.42,1.468621933845023,28.166081780703934,18.985516094179307,105.89390243620946,0.1834113849570906,0.5472212431110577,0.7027534181989628,0.04508444751711442,727,727,1.002865329512894,0.8367346938775511,0.9115646258503401
development_2023_2025,KZT,base_control_head2y,133.0,0.42857142857142855,1.587507915180523,42.03722860984865,21.351971899261972,97.06472245327141,0.18928210730174638,0.5593945484216133,0.6927722772277228,0.06536317323399199,727,727,0.8892072588347659,0.6666666666666666,0.8208616780045351
development_2023_2025,KZT,baseline_reproduction,133.0,0.42857142857142855,1.587507915180523,42.03722860984865,21.351971899261972,97.06472245327141,0.18928210730174638,0.5593945484216133,0.6927722772277228,0.06536317323399199,727,727,0.8892072588347659,0.6666666666666666,0.8208616780045351
development_2023_2025,KZT,basis_train_120m,149.0,0.4228187919463087,1.4778370986863416,29.971420647932167,19.249049468226467,103.34454235759662,0.18270478175104507,0.5450990978745659,0.7056388495992456,0.0349684552527458,727,727,0.9961795606494747,0.8367346938775511,0.9047619047619048
development_2023_2025,KZT,chronos2_small_ft_head10y,150.0,0.38666666666666666,1.380324211971302,28.211661119592556,20.1334960806618,110.01382108099729,0.18611824040705965,0.5521319980395623,0.691928335690712,0.048255428547803535,727,727,1.002865329512894,0.8979591836734694,0.9180839002267573
development_2023_2025,KZT,chronos2_small_ft_head2y,160.0,0.3375,1.2055107997842207,25.546597061989424,19.649679223956532,113.59186666108194,0.18816276713386068,0.5562331036763875,0.6978312116925979,0.05678188187862742,727,727,1.069723018147087,0.8571428571428571,0.9386337868480726
development_2023_2025,KZT,chronos2_synth_ft_head10y,149.0,0.37583892617449666,1.3273052865518855,28.72830415527057,22.931552080200305,106.9906460244098,0.18676210888089237,0.5545592512382062,0.6901320132013201,0.04803725165986482,727,727,0.9961795606494747,0.8775510204081632,0.9111394557823128
development_2023_2025,KZT,chronos2_synth_ft_head2y,157.0,0.35668789808917195,1.2709663151874009,24.179554122146964,16.98613900700724,113.88243471471729,0.18997132338855316,0.5600717699128207,0.6893682225365394,0.06360046747251412,727,727,1.0496657115568289,0.8775510204081632,0.9247448979591836
development_2023_2025,KZT,chronos2_synth_ft_kzt_head10y,142.0,0.38028169014084506,1.331237800747215,32.21540585399836,26.156577326869193,101.61843677135687,0.1827611078024968,0.5441448493689983,0.7105704856199906,0.049873620901469774,727,727,0.9493791786055396,0.7142857142857143,0.8431122448979592
