date,corridor,probability,pr20,pr60,pr120
2023-01-12,KGS,0.286007433399697,0.575,0.8583333333333333,0.9291666666666667
2023-01-12,KZT,0.2754790106340327,0.575,0.8583333333333333,0.9291666666666667
2023-01-12,UZS,0.2767012480140576,0.425,0.8083333333333333,0.9041666666666667
2023-01-13,AMD,0.2702722273562259,0.375,0.7916666666666666,0.8958333333333334
2023-01-13,TJS,0.2702722273562259,0.375,0.7916666666666666,0.8958333333333334
2023-01-18,KGS,0.3047324158462463,0.425,0.8083333333333333,0.9041666666666667
2023-01-18,KZT,0.3047324158462463,0.525,0.8416666666666667,0.9208333333333333
2023-01-18,UZS,0.3110261378781911,0.375,0.7916666666666666,0.8958333333333334
2023-01-24,AMD,0.2565622521480385,0.175,0.725,0.8625
2023-01-24,KGS,0.3451366593823923,0.125,0.7083333333333334,0.8541666666666666
2023-01-24,KZT,0.3228798491021205,0.375,0.7916666666666666,0.8958333333333334
2023-01-24,UZS,0.2797529221867953,0.225,0.7416666666666667,0.8708333333333333
2023-01-26,TJS,0.3930229047147116,0.525,0.8083333333333333,0.9041666666666667
2023-01-31,AMD,0.4165486507796168,0.675,0.8583333333333333,0.9291666666666667
2023-01-31,KGS,0.4278382560484163,0.675,0.8583333333333333,0.9291666666666667
2023-01-31,KZT,0.4296651600491231,0.725,0.8916666666666667,0.9458333333333333
2023-01-31,UZS,0.4278382560484163,0.675,0.8583333333333333,0.9291666666666667
2023-02-03,TJS,0.3137676376714849,0.725,0.825,0.9125
2023-02-04,AMD,0.246305978233797,0.875,0.8583333333333333,0.9291666666666667
2023-02-07,KGS,0.3324596275273632,0.95,0.8833333333333333,0.9416666666666667
2023-02-07,KZT,0.3324596275273632,0.975,0.9583333333333334,0.9791666666666666
2023-02-07,UZS,0.3324596275273632,0.925,0.875,0.9375
2023-02-09,TJS,0.5297365816122631,0.975,0.9416666666666667,0.9708333333333333
2023-02-11,AMD,0.3614290621441786,0.975,0.9916666666666667,0.9958333333333333
2023-02-11,KGS,0.3602362642562712,0.925,0.9416666666666667,0.9708333333333333
2023-02-11,KZT,0.3921586787023349,0.975,0.9916666666666667,0.9958333333333333
2023-02-11,UZS,0.4359093773181794,0.975,0.975,0.9875
2023-02-16,TJS,0.3263648894993126,0.975,0.9916666666666667,0.9958333333333333
2023-02-17,AMD,0.2586184075492957,0.975,0.9916666666666667,0.9958333333333333
2023-02-21,KGS,0.4807516634231791,0.725,0.9083333333333333,0.9541666666666667
2023-02-21,KZT,0.3307356390239601,0.875,0.9583333333333334,0.9791666666666666
2023-02-21,UZS,0.4744346140341798,0.825,0.9416666666666667,0.9708333333333333
2023-02-23,AMD,0.372820039279423,0.975,0.9916666666666667,0.9958333333333333
2023-02-23,TJS,0.3450862178359221,0.525,0.7916666666666666,0.8958333333333334
2023-03-01,KGS,0.3577261049592585,0.925,0.975,0.9875
2023-03-01,KZT,0.3863520079652223,0.725,0.9083333333333333,0.9541666666666667
2023-03-01,UZS,0.3782532513885547,0.925,0.975,0.9875
2023-03-04,AMD,0.3324596275273632,0.975,0.9916666666666667,0.9958333333333333
2023-03-04,TJS,0.3247886463837555,0.325,0.725,0.8625
2023-03-11,AMD,0.4835465291450326,0.975,0.9916666666666667,0.9958333333333333
2023-03-11,KGS,0.4662992225622482,0.975,0.9916666666666667,0.9958333333333333
2023-03-11,KZT,0.3202624515588573,0.775,0.925,0.9625
2023-03-11,TJS,0.4603884634336559,0.525,0.7916666666666666,0.8958333333333334
2023-03-11,UZS,0.4662992225622482,0.925,0.975,0.9875
2023-03-17,AMD,0.244844130179835,0.975,0.9916666666666667,0.9958333333333333
2023-03-18,KGS,0.4257140424366151,0.975,0.9916666666666667,0.9958333333333333
2023-03-18,TJS,0.4257140424366151,0.825,0.8583333333333333,0.9291666666666667
2023-03-18,UZS,0.4257140424366151,0.975,0.9916666666666667,0.9958333333333333
2023-03-23,AMD,0.3530711932291939,0.925,0.975,0.9875
2023-03-25,KGS,0.3172905201743614,0.775,0.925,0.9625
2023-03-25,TJS,0.3186166862743738,0.775,0.7583333333333333,0.8791666666666667
2023-03-25,UZS,0.2981505144545758,0.825,0.9416666666666667,0.9708333333333333
2023-03-29,AMD,0.4863523720278539,0.775,0.925,0.9625
2023-03-29,KZT,0.2747624940507031,0.475,0.7416666666666667,0.8708333333333333
2023-03-31,KGS,0.3082822223943928,0.925,0.975,0.9875
2023-03-31,TJS,0.3082822223943928,0.925,0.8916666666666667,0.9375
2023-04-01,UZS,0.4037531254263294,0.925,0.975,0.9875
2023-04-04,AMD,0.5208811888120075,0.975,0.9916666666666667,0.9958333333333333
2023-04-04,KZT,0.2740467898067474,0.775,0.9083333333333333,0.9541666666666667
2023-04-06,KGS,0.3013141260979878,0.975,0.9916666666666667,0.9958333333333333
2023-04-06,TJS,0.3013141260979878,0.975,0.9916666666666667,0.9958333333333333
2023-04-07,UZS,0.2902963135306922,0.975,0.9916666666666667,0.9958333333333333
2023-04-14,AMD,0.2747119306199507,0.775,0.925,0.9625
2023-04-14,KGS,0.2747119306199507,0.775,0.925,0.9625
2023-04-14,TJS,0.2747119306199507,0.775,0.925,0.9625
2023-04-14,UZS,0.2747119306199507,0.775,0.925,0.9625
2023-04-20,AMD,0.3479943596687324,0.825,0.9416666666666667,0.9708333333333333
2023-04-20,KGS,0.3429232249600695,0.725,0.9083333333333333,0.9541666666666667
2023-04-20,TJS,0.3429232249600695,0.725,0.9083333333333333,0.9541666666666667
2023-04-20,UZS,0.3429232249600695,0.725,0.9083333333333333,0.9541666666666667
2023-04-26,AMD,0.2510880501574194,0.825,0.9416666666666667,0.9708333333333333
2023-05-03,AMD,0.3170637911783301,0.125,0.7083333333333334,0.8541666666666666
2023-05-03,KGS,0.3170637911783301,0.125,0.7083333333333334,0.8541666666666666
2023-05-03,TJS,0.3170637911783301,0.125,0.7083333333333334,0.8541666666666666
2023-05-03,UZS,0.3170637911783301,0.125,0.7083333333333334,0.8541666666666666
2023-05-12,AMD,0.4612967576645097,0.025,0.375,0.6875
2023-05-12,KGS,0.3922116888773179,0.025,0.375,0.6875
2023-05-12,TJS,0.3922116888773179,0.025,0.19166666666666668,0.5708333333333333
2023-05-12,UZS,0.4058130880546948,0.025,0.24166666666666667,0.6208333333333333
2023-05-26,AMD,0.3900452652823269,0.575,0.6416666666666667,0.8208333333333333
2023-05-26,KGS,0.3900452652823269,0.425,0.5916666666666667,0.7958333333333333
2023-05-26,KZT,0.3859962188383266,0.875,0.7916666666666666,0.8958333333333334
2023-05-26,TJS,0.3900452652823269,0.65,0.6666666666666666,0.8333333333333334
2023-05-26,UZS,0.3900452652823269,0.675,0.675,0.8375
2023-06-03,AMD,0.3862182230030124,0.825,0.6916666666666667,0.8458333333333333
2023-06-03,KGS,0.3862182230030124,0.875,0.7083333333333334,0.8541666666666666
2023-06-03,KZT,0.3861527924870185,0.775,0.7583333333333333,0.8791666666666667
2023-06-03,TJS,0.3862182230030124,0.875,0.7083333333333334,0.8541666666666666
2023-06-03,UZS,0.3992593262833897,0.875,0.6916666666666667,0.8458333333333333
2023-06-09,AMD,0.5382899520779685,0.975,0.975,0.9875
2023-06-09,KGS,0.5382899520779685,0.975,0.9416666666666667,0.9708333333333333
2023-06-09,KZT,0.488534362560057,0.975,0.9583333333333334,0.9791666666666666
2023-06-09,TJS,0.5346878911469537,0.975,0.9583333333333334,0.9791666666666666
2023-06-09,UZS,0.5325340791402688,0.975,0.9083333333333333,0.9541666666666667
2023-06-16,AMD,0.3332099980195258,0.925,0.975,0.9875
2023-06-16,KGS,0.3332099980195258,0.925,0.975,0.9875
2023-06-16,KZT,0.3332099980195258,0.875,0.9583333333333334,0.9791666666666666
2023-06-16,TJS,0.3332099980195258,0.925,0.975,0.9875
2023-06-16,UZS,0.3332099980195258,0.925,0.975,0.9875
2023-06-23,AMD,0.3404392886249417,0.725,0.9083333333333333,0.9541666666666667
2023-06-23,KGS,0.3404392886249417,0.725,0.9083333333333333,0.9541666666666667
2023-06-23,KZT,0.3252604388809692,0.775,0.925,0.9625
2023-06-23,TJS,0.3387664218938659,0.625,0.875,0.9375
2023-06-23,UZS,0.3387664218938659,0.625,0.875,0.9375
2023-06-29,AMD,0.4362380057686614,0.975,0.9916666666666667,0.9958333333333333
2023-06-29,KGS,0.4770608438938078,0.975,0.9916666666666667,0.9958333333333333
2023-06-29,KZT,0.4693406683322776,0.975,0.9916666666666667,0.9958333333333333
2023-06-29,TJS,0.4704267724404199,0.975,0.9916666666666667,0.9958333333333333
2023-06-29,UZS,0.43875551732634,0.975,0.9916666666666667,0.9958333333333333
2023-07-06,AMD,0.4739367748747365,0.975,0.9916666666666667,0.9958333333333333
2023-07-06,KGS,0.4090623021802289,0.975,0.9916666666666667,0.9958333333333333
2023-07-06,KZT,0.4082167229092017,0.975,0.9916666666666667,0.9958333333333333
2023-07-06,TJS,0.4620495786953678,0.975,0.9916666666666667,0.9958333333333333
2023-07-06,UZS,0.4435633404058146,0.975,0.9916666666666667,0.9958333333333333
2023-07-14,AMD,0.2755674991570786,0.675,0.8916666666666667,0.9458333333333333
2023-07-14,KGS,0.2852005775866986,0.675,0.8916666666666667,0.9458333333333333
2023-07-14,TJS,0.3023452600304854,0.675,0.8916666666666667,0.9458333333333333
2023-07-14,UZS,0.2852005775866986,0.675,0.8916666666666667,0.9458333333333333
2023-07-18,KZT,0.2730189107415057,0.625,0.875,0.9375
2023-07-20,AMD,0.2585929490763017,0.825,0.9416666666666667,0.9708333333333333
2023-07-20,TJS,0.2709034470956984,0.825,0.9416666666666667,0.9708333333333333
2023-07-22,KGS,0.2787684326865658,0.475,0.825,0.9125
2023-07-22,UZS,0.2736269889424861,0.475,0.825,0.9125
2023-07-26,AMD,0.2590981609147953,0.325,0.775,0.8875
2023-07-26,TJS,0.2787684326865658,0.275,0.7583333333333333,0.8791666666666667
2023-07-28,KGS,0.4661493339051481,0.375,0.7916666666666666,0.8958333333333334
2023-07-28,KZT,0.3757542513846397,0.375,0.7916666666666666,0.8958333333333334
2023-07-28,UZS,0.4661493339051481,0.075,0.6916666666666667,0.8458333333333333
2023-08-01,AMD,0.3404999848928298,0.875,0.9583333333333334,0.9791666666666666
2023-08-01,TJS,0.3474886303358524,0.875,0.9583333333333334,0.9791666666666666
2023-08-03,KGS,0.4979391279018528,0.975,0.9916666666666667,0.9958333333333333
2023-08-03,KZT,0.4123836340095383,0.975,0.9916666666666667,0.9958333333333333
2023-08-03,UZS,0.4714545671506762,0.925,0.975,0.9875
2023-08-05,AMD,0.4465971311697216,0.975,0.9916666666666667,0.9958333333333333
2023-08-05,TJS,0.4465971311697216,0.975,0.9916666666666667,0.9958333333333333
2023-08-09,KGS,0.2672025353466577,0.925,0.975,0.9875
2023-08-09,KZT,0.2854011854865291,0.925,0.975,0.9875
2023-08-12,TJS,0.3067388985871412,0.975,0.9916666666666667,0.9958333333333333
2023-08-25,AMD,0.2761117492547405,0.525,0.8416666666666667,0.9208333333333333
2023-08-25,KGS,0.2761117492547405,0.475,0.825,0.9125
2023-08-25,TJS,0.2761117492547405,0.475,0.825,0.9125
2023-08-25,UZS,0.2687585082968919,0.275,0.6083333333333333,0.8041666666666667
2023-08-31,AMD,0.3561975544182667,0.575,0.8583333333333333,0.9291666666666667
2023-08-31,KGS,0.3561975544182667,0.575,0.8583333333333333,0.9291666666666667
2023-08-31,KZT,0.287648853290936,0.375,0.7583333333333333,0.8791666666666667
2023-08-31,TJS,0.3561975544182667,0.575,0.8583333333333333,0.9291666666666667
2023-08-31,UZS,0.3576011597620541,0.475,0.7916666666666666,0.8958333333333334
2023-09-06,AMD,0.2863804344431815,0.875,0.9583333333333334,0.9791666666666666
2023-09-06,KGS,0.2885724433925863,0.775,0.925,0.9625
