cutoff,mode,variant,now_model_id,policy,rows,dates,combined_contacts,weeks,weeks_1_to_2_share,silent_weeks,weeks_above2,combined_forward_delta_bps,NOW_contacts,NOW_baseline_hit,NOW_hit_rate,NOW_lift,NOW_forward_delta_bps,NOW_endpoint_delta_bps,CLOSING_contacts,CLOSING_baseline_hit,CLOSING_hit_rate,CLOSING_lift,CLOSING_forward_delta_bps,CLOSING_endpoint_delta_bps,scenario_evaluation,both_scenario_lift_ge1_3,joint_acceptance
2025-01-01,normal,NOW_only,tabm_periodic_kzt_120m_s2_kztcal,cadence85_cd2,242,242,60,51,0.8823529411764706,6,0,44.95737221465642,60,0.19834710743801653,0.3,1.5125,44.95737221465642,30.557385340141337,0,0.4256198347107438,,,,,exclusive selected scenario,False,False
2025-01-01,normal,joint,tabm_periodic_kzt_120m_s2_kztcal,cadence85_cd2,242,242,66,51,0.9215686274509803,4,0,37.12747802242497,43,0.19834710743801653,0.27906976744186046,1.4069767441860463,43.126281749043386,28.52277082099554,23,0.4256198347107438,0.4782608695652174,1.1236808780075982,25.912323229181837,25.601695700403006,exclusive selected scenario,False,False
2025-01-01,normal,joint_closing_fact_gate,tabm_periodic_kzt_120m_s2_kztcal,cadence85_cd2,242,242,62,51,0.9215686274509803,4,0,39.213373437650915,53,0.19834710743801653,0.2641509433962264,1.3317610062893082,39.30695090584615,28.919322128395226,9,0.4256198347107438,0.5555555555555556,1.3052858683926645,38.66230612494563,23.213952462058604,exclusive selected scenario,True,True
2025-01-01,normal,joint_both_fact_gates,tabm_periodic_kzt_120m_s2_kztcal,cadence85_cd2,242,242,62,51,0.9215686274509803,4,0,39.213373437650915,50,0.19834710743801653,0.24,1.21,35.116707815907326,16.29127836509261,12,0.4256198347107438,0.5833333333333334,1.3705501618122977,56.282813528249164,77.25714389240363,exclusive selected scenario,False,False
2025-01-01,normal,NOW_confirmed_closing,tabm_periodic_kzt_120m_s2_kztcal,cadence85_cd2,242,242,60,51,0.8823529411764706,6,0,44.95737221465642,44,0.19834710743801653,0.22727272727272727,1.1458333333333333,26.640803043501293,-3.4563458211668916,16,0.4256198347107438,0.625,1.4684466019417475,95.32793743533304,124.09514603373896,exclusive selected scenario,False,False
2025-01-01,normal,dual_annotations,tabm_periodic_kzt_120m_s2_kztcal,cadence85_cd2,242,242,60,51,0.8823529411764706,6,0,44.95737221465642,60,0.19834710743801653,0.3,1.5125,44.95737221465642,30.557385340141337,16,0.4256198347107438,0.625,1.4684466019417475,95.32793743533304,124.09514603373896,"NOW primary on all contacts; CLOSING optional secondary subset, nonexclusive",True,True
2025-01-01,bank_delayed,NOW_only,tabm_periodic_kzt_120m_s2_kztcal,cadence85_cd2,242,242,61,51,0.8627450980392157,7,0,33.3939023948915,61,0.19834710743801653,0.3114754098360656,1.5703551912568305,33.3939023948915,18.42939276738629,0,0.4256198347107438,,,,,exclusive selected scenario,False,False
2025-01-01,bank_delayed,joint,tabm_periodic_kzt_120m_s2_kztcal,cadence85_cd2,242,242,66,51,0.9019607843137255,5,0,31.40859998482711,45,0.19834710743801653,0.28888888888888886,1.4564814814814813,32.23581840066881,31.60133407199089,21,0.4256198347107438,0.42857142857142855,1.0069348127600553,29.635989093737738,25.305181106879786,exclusive selected scenario,False,False
2025-01-01,bank_delayed,joint_closing_fact_gate,tabm_periodic_kzt_120m_s2_kztcal,cadence85_cd2,242,242,62,51,0.8823529411764706,6,0,32.1835504882793,53,0.19834710743801653,0.2641509433962264,1.3317610062893082,27.79567812805506,22.433547979543473,9,0.4256198347107438,0.5555555555555556,1.3052858683926645,58.023243276266484,51.248515820480364,exclusive selected scenario,True,True
2025-01-01,bank_delayed,joint_both_fact_gates,tabm_periodic_kzt_120m_s2_kztcal,cadence85_cd2,242,242,61,51,0.8627450980392157,7,0,33.21205184378653,48,0.19834710743801653,0.25,1.2604166666666667,24.50362180783098,13.017401725862939,13,0.4256198347107438,0.5384615384615384,1.2651232262882748,65.36625505346856,81.24039571418305,exclusive selected scenario,False,False
2025-01-01,bank_delayed,NOW_confirmed_closing,tabm_periodic_kzt_120m_s2_kztcal,cadence85_cd2,242,242,61,51,0.8627450980392157,7,0,33.3939023948915,44,0.19834710743801653,0.29545454545454547,1.4895833333333333,26.05299829847305,6.652238561064131,17,0.4256198347107438,0.5294117647058824,1.243860651056539,52.393889467974525,48.911438948455405,exclusive selected scenario,False,False
