cutoff,mode,scenario,market_dates,calendar_months,contacts_or_annotations,hits,lift,lift_ci_low,lift_ci_high,bootstrap_valid_replicates,conditional_fixed_model_month_bootstrap
2025-01-01,bank_delayed,NOW,242,12,61,19,1.5703551912568305,1.208641456582633,1.9436460459747165,2500,True
2025-01-01,bank_delayed,CLOSING,242,12,17,9,1.243860651056539,0.7524644028394704,1.8722690551457677,2500,True
2025-01-01,normal,NOW,242,12,60,18,1.5125,1.0049915674603174,1.9611791041103734,2500,True
2025-01-01,normal,CLOSING,242,12,16,10,1.4684466019417475,1.0656692618381856,2.1086955665800455,2500,True
2026-01-01,bank_delayed,NOW,156,8,39,18,1.2631578947368423,1.0273363336697798,1.6167869121332743,2500,True
2026-01-01,bank_delayed,CLOSING,156,8,25,18,1.3214117647058825,1.0,1.8147180762852404,2500,True
2026-01-01,normal,NOW,156,8,40,22,1.505263157894737,1.162590579710145,2.0352472696395636,2500,True
2026-01-01,normal,CLOSING,156,8,21,16,1.3983193277310926,1.0900508351488745,1.9957263380558838,2500,True
