scope,config_id,cutoff,first_date,last_date,signals,hit_rate,lift,forward_delta_bps,symmetric_delta_bps,regret_bps,brier,logloss,auc,ece10,rows,dates,mean_signals_per_corridor_week,min_cell_week_coverage,mean_cell_week_coverage
all,base_control_head10y,2026-01-01,2026-03-03,2026-08-25,139.0,0.4460431654676259,1.1690880989180836,23.259155606290562,18.644936511867098,92.85759597988309,0.23277309221124737,0.6648920759464855,0.6659304880408919,0.13357584926512353,610,122,1.1056818181818182,0.9583333333333334,0.975
all,base_control_head10y,2026-03-01,2026-03-03,2026-08-25,141.0,0.44680851063829785,1.1721824004880284,19.070495552662933,16.01211858906805,97.4118067552051,0.23169121117064823,0.6626810343541305,0.6688676130736216,0.13967878513109125,610,122,1.121590909090909,0.9583333333333334,0.9833333333333334
all,base_control_head2y,2026-01-01,2026-03-03,2026-08-25,133.0,0.45864661654135336,1.2020675173639155,34.65585395276117,22.44493752848714,83.95201764103831,0.22978121613880692,0.6616043051924317,0.6747190947279744,0.11447907447566354,610,122,1.0579545454545456,0.875,0.925
all,base_control_head2y,2026-03-01,2026-03-03,2026-08-25,144.0,0.4375,1.1463087248322148,16.158194714241915,15.047407260365187,97.71797150089091,0.23458580050698047,0.6699213331952598,0.6564360606095103,0.12684800544243735,610,122,1.1454545454545455,1.0,1.0
all,chronos2_small_ft_head10y,2026-01-01,2026-03-03,2026-08-25,142.0,0.4507042253521127,1.1819557977596125,20.209534645171363,16.99823224851451,96.45234856040676,0.24326629852923937,0.6984052906416147,0.6315843398868409,0.12918170836043058,610,122,1.1295454545454546,0.875,0.975
all,chronos2_small_ft_head10y,2026-03-01,2026-03-03,2026-08-25,139.0,0.43884892086330934,1.151477641961937,19.298100925615767,17.734904590607766,98.8538956114513,0.24312191963444985,0.6978943580154467,0.6313965004952129,0.13287243948530844,610,122,1.1056818181818182,0.9166666666666666,0.975
all,chronos2_small_ft_head2y,2026-01-01,2026-03-03,2026-08-25,138.0,0.4420289855072464,1.1593706184763983,25.655258081658104,18.579591200295365,90.83359509295649,0.2344322010036811,0.6769130586460933,0.6618037135278514,0.12702878942482487,610,122,1.0977272727272729,0.9166666666666666,0.9583333333333334
all,chronos2_small_ft_head2y,2026-03-01,2026-03-03,2026-08-25,141.0,0.44680851063829785,1.1711107725125705,19.500523244560053,17.336047499942605,97.43494719212734,0.23488296194991787,0.675277455262853,0.6466627201420748,0.11549775042857409,610,122,1.121590909090909,1.0,1.0
all,chronos2_synth_ft_head10y,2026-01-01,2026-03-03,2026-08-25,140.0,0.4,1.0478527607361963,16.83195549644645,16.628074747678053,99.65047823847131,0.2376106754557881,0.6845524248328538,0.6532598672601633,0.12761214003674937,610,122,1.1136363636363638,0.9583333333333334,0.9916666666666668
all,chronos2_synth_ft_head10y,2026-03-01,2026-03-03,2026-08-25,137.0,0.44525547445255476,1.1668234556287238,26.47604087342649,23.162913766688817,91.24392465972366,0.2363507273302965,0.680426382132097,0.6567832788788835,0.12607117502051596,610,122,1.0897727272727273,0.9166666666666666,0.9666666666666668
all,chronos2_synth_ft_head2y,2026-01-01,2026-03-03,2026-08-25,135.0,0.4444444444444444,1.1665338645418328,28.2272274482789,21.285493027472313,86.6508252123582,0.23585481507031766,0.6798228054771795,0.6619517082000432,0.13942728868475268,610,122,1.0738636363636365,0.8333333333333334,0.9166666666666667
all,chronos2_synth_ft_head2y,2026-03-01,2026-03-03,2026-08-25,141.0,0.41134751773049644,1.0791520512429467,17.21635356299625,14.376020851980588,97.66463286522982,0.2358651753282138,0.6752212344938097,0.6566352842066916,0.11976065021372531,610,122,1.121590909090909,0.9166666666666666,0.975
all,chronos2_synth_zs_head10y,2026-01-01,2026-03-03,2026-08-25,140.0,0.42857142857142855,1.1223551057957681,19.52713144904368,15.193041421054003,96.1543001685534,0.23295870561457838,0.6650233615812828,0.6661467879464031,0.13562417893815898,610,122,1.1136363636363638,0.9583333333333334,0.9666666666666666
all,chronos2_synth_zs_head10y,2026-03-01,2026-03-03,2026-08-25,140.0,0.45,1.1797390636991558,20.47705825826547,16.131383765128444,95.53885192436147,0.23181673810936212,0.6625455645242854,0.6690725287735796,0.15374511871267812,610,122,1.1136363636363638,0.9583333333333334,0.975
