cutoff,arm,rows,dates,positive_share,brier,raw_brier,log_loss,auc,mae_change_bps,rmse_change_bps,mae_future_quote_kzt_per_rub,rmse_future_quote_kzt_per_rub,brier_skill_vs_past_prevalence,mae_skill_vs_persistence
2026-01-01,bank_cbr,118,118,0.4152542372881356,0.2722212358922238,0.2633944586448212,0.738183337290664,0.4304939367051168,177.9852548378132,227.7842030712495,0.11337279588108946,0.1462693401608624,-0.024718553114302155,-0.05378892653173617
2026-01-01,bank_cbr_oxr,118,118,0.4152542372881356,0.290051277348889,0.27384465896929244,0.7761733129881816,0.40520556048506357,179.5130498131154,230.13433160423838,0.11442525094107867,0.14801567727631382,-0.09183592631833726,-0.06283447038002499
2026-01-01,bank_history,118,118,0.4152542372881356,0.2653919333837126,0.24526109304527244,0.7241395107590035,0.42546583850931674,174.24072780652904,225.28669369960815,0.11102502697803049,0.14502459974278298,0.000988893853840045,-0.031618881466701554
2026-01-01,cbr_history,118,118,0.4152542372881356,0.2632954198728268,0.24627846201018866,0.7199591077738892,0.49689440993788814,167.044549413985,220.46583934390722,0.10634754792154971,0.14166814353997714,0.008880770049384257,0.010987193459673583
2026-01-01,persistence,118,118,0.4152542372881356,0.2656546376221012,0.2656546376221012,0.7246685674050766,0.5,168.90028957089532,220.53163466482917,0.10769491525423737,0.14219060971641354,0.0,0.0
2026-01-01,prior_mean,118,118,0.4152542372881356,0.2656546376221012,0.2656546376221012,0.7246685674050766,0.5,176.72973039983592,229.74995789808983,0.11260010236604351,0.14804685374897134,0.0,-0.04635540204715993
2026-03-01,bank_cbr,118,118,0.4152542372881356,0.2672647522664436,0.2591368095544017,0.7279972733097734,0.44128955930198166,174.90031319668483,224.34977434566662,0.1113221747826303,0.1439030107762697,-0.020698941515767677,-0.03552405766167155
2026-03-01,bank_cbr_oxr,118,118,0.4152542372881356,0.2734418509598444,0.2663060531958313,0.7407563074029337,0.4228039041703638,178.42643969679074,228.5545750676069,0.11367681258660885,0.14677105113926905,-0.04428962470360198,-0.05640102897453492
2026-03-01,bank_history,118,118,0.4152542372881356,0.2602537097304153,0.24641348563972723,0.7137618077534628,0.4241348713398403,176.48295442636785,227.46682447727724,0.11235733627257066,0.14623494965137468,0.00607661955152905,-0.04489432714850228
2026-03-01,cbr_history,118,118,0.4152542372881356,0.2620475264544042,0.24927432806440009,0.7173951536596149,0.4736764270925762,167.27083144012443,219.9505835614224,0.10658593552823521,0.14156587144322982,-0.000774066204531465,0.009647456111002928
2026-03-01,persistence,118,118,0.4152542372881356,0.2618448412119911,0.2618448412119911,0.7169376138628651,0.5,168.90028957089532,220.53163466482917,0.10769491525423737,0.14219060971641354,0.0,0.0
2026-03-01,prior_mean,118,118,0.4152542372881356,0.2618448412119911,0.2618448412119911,0.7169376138628651,0.5,172.1886462414991,224.53153384852646,0.1097428111097903,0.1447372872721871,0.0,-0.01946921866716811
