arm,rows,dates,positive_share,brier,raw_brier,log_loss,auc,mae_change_bps,rmse_change_bps,mae_future_quote_kzt_per_rub,rmse_future_quote_kzt_per_rub,brier_skill_vs_past_prevalence,mae_skill_vs_persistence
bank_cbr,708,708,0.4703389830508475,0.2636194617845892,0.3315061602615498,0.721735228120518,0.4829429429429429,151.49441764239913,190.19591686788698,0.08632343203025201,0.10822455653936502,-0.018789297050952003,-0.33418995992779155
bank_cbr_oxr,708,708,0.4703389830508475,0.27421146613210545,0.3362373880317996,0.7469727140116683,0.4832272272272272,155.9206612807812,194.9732937642293,0.0890746149353273,0.11124072754916285,-0.05972337904367042,-0.37317126309675297
bank_history,708,708,0.4703389830508475,0.26337012941261556,0.3183556272227156,0.7208222244469296,0.4856256256256256,162.93546084431583,201.79805488206938,0.09154449275417958,0.11236216539409383,-0.0178257219406186,-0.4349496130466881
cbr_history,708,708,0.4703389830508475,0.2598154935981256,0.28447642857917116,0.7135114418703316,0.47767767767767766,128.49319010702197,169.17858065762593,0.07367507745642587,0.09631194231015547,-0.004088401872514025,-0.13162139455561017
persistence,708,708,0.4703389830508475,0.2587575885884135,0.2587575885884135,0.7109807653068779,0.4514074074074075,113.5478621429577,156.4188727565126,0.06540960451977401,0.08934852092838692,0.0,0.0
prior_mean,708,708,0.4703389830508475,0.2587575885884135,0.2587575885884135,0.7109807653068779,0.4514074074074075,116.99504837215956,159.91653988859693,0.06736872134485239,0.09127434884872004,0.0,-0.030358882713809487
