date,quotes,mature_labels,cbr_coverage,oxr_coverage
2020,248,248,0.9879032258064516,1.0
2021,245,245,0.9918367346938776,1.0
2022,246,246,1.0,1.0
2023,247,247,0.9959514170040485,1.0
2024,245,245,0.9918367346938776,1.0
2025,234,231,0.9829059829059829,1.0
2026,172,167,0.9767441860465116,1.0
