cutoff,arm,rows,dates,positive_share,brier,raw_brier,log_loss,auc,mae_change_bps,rmse_change_bps,mae_future_quote_kzt_per_rub,rmse_future_quote_kzt_per_rub,brier_skill_vs_past_prevalence,mae_skill_vs_persistence
2023-01-01,bank_cbr,242,242,0.371900826446281,0.2857410494141637,0.35037010443680805,0.7684455304587808,0.6008406432748539,157.34419640432236,192.47672706678802,0.08769364806954712,0.10685423832673026,-0.09206117579997741,-0.18932215726359547
2023-01-01,bank_cbr_oxr,242,242,0.371900826446281,0.31195208376275785,0.37490793792846133,0.8323802649215413,0.6056286549707601,166.97092407564992,204.8341448718038,0.0931018122436243,0.11398389177104948,-0.1922359775946283,-0.26208798392320465
2023-01-01,bank_history,242,242,0.371900826446281,0.2804502550800225,0.3332859723242975,0.7557428489890793,0.5851973684210526,146.53600109275533,184.5183976939686,0.08140890485713535,0.10240414047568609,-0.07184052114323825,-0.10762593676209331
2023-01-01,cbr_history,242,242,0.371900826446281,0.2681848130428671,0.30360415356032705,0.7301498623366031,0.6019736842105263,150.21057100707736,185.52379754020916,0.08368061640233004,0.10322937646869723,-0.024963766542299703,-0.13540101533116422
2023-01-01,persistence,242,242,0.371900826446281,0.26165296939967414,0.26165296939967414,0.7165048213399227,0.5,132.29737245149917,169.30397969331503,0.07402479338842975,0.09489890227443393,0.0,0.0
2023-01-01,prior_mean,242,242,0.371900826446281,0.26165296939967414,0.26165296939967414,0.7165048213399227,0.5,140.72251948602107,175.87171937657797,0.07896579437708237,0.09909718711896755,0.0,-0.06368340412513174
2024-01-01,bank_cbr,240,240,0.4791666666666667,0.25142887551546733,0.34141248709286376,0.6961335504053279,0.6191652173913043,161.18486722049317,192.97902148034603,0.08456179275828063,0.10133687172091814,0.03693639942523452,-0.642808101507893
2024-01-01,bank_cbr_oxr,240,240,0.4791666666666667,0.2565556779740096,0.32572725098388716,0.7066750961820036,0.5638608695652174,159.66902487393614,191.8628870326055,0.08399850848494564,0.1012499809465202,0.017298890308444448,-0.6273585240725241
2024-01-01,bank_history,240,240,0.4791666666666667,0.2511290164482633,0.3553912051860324,0.6954216982448381,0.6147478260869566,223.39970768558,251.38771433218693,0.11758420629219084,0.1329097659379879,0.03808496818979845,-1.2769063621730918
2024-01-01,cbr_history,240,240,0.4791666666666667,0.2576492042593939,0.28205598441277224,0.7099660935455195,0.5370434782608695,116.13522949361283,163.37174159173884,0.061414902694902435,0.08634222565890635,0.01311028882197518,-0.18365885813335603
2024-01-01,persistence,240,240,0.4791666666666667,0.2610719327004075,0.2610719327004075,0.7161744878493324,0.5,98.11545674296686,149.50419689752894,0.05194166666666667,0.07884636960570858,0.0,0.0
2024-01-01,prior_mean,240,240,0.4791666666666667,0.2610719327004075,0.2610719327004075,0.7161744878493324,0.5,100.89035690026354,154.57845269972873,0.05334806078910334,0.0812018983589549,0.0,-0.028281987868293612
