symbol,year,bars,first,last,median_close,min_close,max_close,median_base_volume,p10_base_volume,flat_bars,zero_close_change_share,median_range_pct
USDT_RUB,2017,117,2017-09-06,2017-12-31,58.07,50.72501942,66.44809961,19315.71153091,10337.362970348,0,0.0,4.166666666666674
USDT_RUB,2018,365,2018-01-01,2018-12-31,63.085,52.04,73.59180077,12297.68846784,6544.570961631999,0,0.0,2.3729411764706
USDT_RUB,2019,365,2019-01-01,2019-12-31,65.358898,59.26043323,73.4,31314.97826442,14797.054986543999,0,0.0,2.067935850214875
USDT_RUB,2020,366,2020-01-01,2020-12-31,72.881765,61.03796,86.257193,56638.13468633,33047.098149175,0,0.00273224043715847,1.826554784988077
USDT_RUB,2021,365,2021-01-01,2021-12-31,71.89935,67.301091,75.628389,246985.08035591,87892.58465179999,0,0.0,1.4838065344556783
USDT_RUB,2022,365,2022-01-01,2022-12-31,67.993265,56.415274,124.069806,140186.08048417,93547.137163946,0,0.0,2.977978476821197
USDT_RUB,2023,365,2023-01-01,2023-12-31,88.89,71.883974,101.35,161817.06198516,140513.532600104,0,0.0,1.903695408734607
USDT_RUB,2024,366,2024-01-01,2024-12-31,94.055,87.72,107.99,167286.688885335,128087.69674285,0,0.00819672131147541,2.037100292977867
USDT_RUB,2025,365,2025-01-01,2025-12-31,81.55,76.0,107.84,226715.18510092,104394.733386942,0,0.005479452054794521,2.1797697771246627
USDT_RUB,2026,202,2026-01-01,2026-07-24,77.085,67.15,82.96,383216.396679905,296272.173833727,1,0.01485148514851485,2.2903465778210452
USDT_KZT,2020,350,2020-01-14,2020-12-31,423.82415000000003,318.75,519.0,2267.40215335,146.956996387,3,0.014285714285714285,4.568678313709274
USDT_KZT,2021,365,2021-01-01,2021-12-31,420.6382,391.2977,476.062,4742.52026052,2638.879678152,0,0.0,2.3340576154762704
USDT_KZT,2022,365,2022-01-01,2022-12-31,456.2526,392.3306,509.2949,9663.46886124,7296.872436232,0,0.0,4.1567692307692194
USDT_KZT,2023,365,2023-01-01,2023-12-31,451.18,396.6936,505.78,12384.10606116,11483.79518128,0,0.0,3.036401820090995
USDT_KZT,2024,366,2024-01-01,2024-12-31,463.51,425.71,570.12,41763.04103211,730.87648803,0,0.0,1.9658195830980607
USDT_KZT,2025,365,2025-01-01,2025-12-31,589.51,474.0,1199.82,19172.0,930.388360008,0,0.021917808219178082,4.300691182511485
USDT_KZT,2026,78,2026-01-01,2026-07-17,521.05,401.0,533.0,37316.3535,18.475028246,10,0.08974358974358974,0.5579009864663642
