family,lag_days,year,dates,complete_row_share,mean_feature_coverage
exmo_cross,2,2026,161,0.2857142857142857,0.2857142857142857
binance_rub,2,2010,249,0.0,0.0
binance_rub,2,2011,249,0.0,0.0
binance_rub,2,2012,249,0.0,0.0
binance_rub,2,2013,246,0.0,0.0
binance_rub,2,2014,247,0.0,0.0
binance_rub,2,2015,247,0.0,0.0
binance_rub,2,2016,248,0.0,0.0
binance_rub,2,2017,247,0.0,0.0
binance_rub,2,2018,247,0.0,0.0
binance_rub,2,2019,246,0.0,0.0054200542005420045
binance_rub,2,2020,243,0.345679012345679,0.8902606310013716
binance_rub,2,2021,248,0.9959677419354839,0.9993279569892474
binance_rub,2,2022,247,0.9959514170040485,0.9993252361673415
binance_rub,2,2023,247,1.0,1.0
binance_rub,2,2024,248,0.06451612903225806,0.07459677419354839
binance_rub,2,2025,247,0.0,0.0
binance_rub,2,2026,161,0.0,0.0
cross_venues,2,2010,249,0.0,0.0
cross_venues,2,2011,249,0.0,0.0
cross_venues,2,2012,249,0.0,0.0
cross_venues,2,2013,246,0.0,0.0
cross_venues,2,2014,247,0.0,0.0
cross_venues,2,2015,247,0.0,0.0
cross_venues,2,2016,248,0.0,0.0
cross_venues,2,2017,247,0.0,0.0
cross_venues,2,2018,247,0.0,0.0
cross_venues,2,2019,246,0.012195121951219513,0.012195121951219513
cross_venues,2,2020,243,1.0,1.0
cross_venues,2,2021,248,1.0,1.0
cross_venues,2,2022,247,1.0,1.0
cross_venues,2,2023,247,1.0,1.0
cross_venues,2,2024,248,0.06854838709677419,0.06854838709677419
cross_venues,2,2025,247,0.0,0.0
cross_venues,2,2026,161,0.0,0.0
erub,2,2010,249,0.0,0.0
erub,2,2011,249,0.0,0.0
erub,2,2012,249,0.0,0.0
erub,2,2013,246,0.0,0.0
erub,2,2014,247,0.0,0.0
erub,2,2015,247,0.0,0.0
erub,2,2016,248,0.0,0.0
erub,2,2017,247,0.0,0.2631578947368421
erub,2,2018,247,0.0,0.8333333333333334
erub,2,2019,246,0.0,0.8333333333333334
erub,2,2020,243,0.345679012345679,0.8909465020576132
erub,2,2021,248,0.9959677419354839,0.9993279569892474
erub,2,2022,247,0.9959514170040485,0.9993252361673415
erub,2,2023,247,1.0,1.0
erub,2,2024,248,0.9959677419354839,0.9993279569892474
erub,2,2025,247,0.9959514170040485,0.9993252361673415
erub,2,2026,161,0.8136645962732919,0.8343685300207039
exmo_joint,2,2010,249,0.0,0.0
exmo_joint,2,2011,249,0.0,0.0
exmo_joint,2,2012,249,0.0,0.0
exmo_joint,2,2013,246,0.0,0.0
exmo_joint,2,2014,247,0.0,0.0
exmo_joint,2,2015,247,0.0,0.0
exmo_joint,2,2016,248,0.0,0.0
exmo_joint,2,2017,247,0.0,0.13157894736842105
exmo_joint,2,2018,247,0.0,0.4166666666666667
exmo_joint,2,2019,246,0.0,0.4166666666666667
exmo_joint,2,2020,243,0.0,0.8453360768175583
exmo_joint,2,2021,248,0.6653225806451613,0.971774193548387
exmo_joint,2,2022,247,0.9959514170040485,0.9996626180836707
exmo_joint,2,2023,247,0.9554655870445344,0.9962887989203778
exmo_joint,2,2024,248,0.9959677419354839,0.9996639784946236
exmo_joint,2,2025,247,0.9959514170040485,0.9996626180836707
exmo_joint,2,2026,161,0.20496894409937888,0.5750517598343684
all_crypto,2,2010,249,0.0,0.0
all_crypto,2,2011,249,0.0,0.0
all_crypto,2,2012,249,0.0,0.0
all_crypto,2,2013,246,0.0,0.0
all_crypto,2,2014,247,0.0,0.0
all_crypto,2,2015,247,0.0,0.0
all_crypto,2,2016,248,0.0,0.0
all_crypto,2,2017,247,0.0,0.15874707010441083
all_crypto,2,2018,247,0.0,0.48050287662476027
all_crypto,2,2019,246,0.0,0.631578947368421
all_crypto,2,2020,243,0.0,0.902317522200563
all_crypto,2,2021,248,0.6653225806451613,0.9821731748726655
all_crypto,2,2022,247,0.7327935222672065,0.9582356701470275
all_crypto,2,2023,247,0.7813765182186235,0.9705945024504582
all_crypto,2,2024,248,0.9959677419354839,0.9997877758913413
all_crypto,2,2025,247,0.9959514170040485,0.9997869166844238
all_crypto,2,2026,161,0.20496894409937888,0.7316116377901276
global,5,2010,249,0.0,0.0
global,5,2011,249,0.0,0.0
global,5,2012,249,0.0,0.0
global,5,2013,246,0.0,0.0
global,5,2014,247,0.0,0.0
global,5,2015,247,0.0,0.0
global,5,2016,248,0.0,0.0
global,5,2017,247,0.3360323886639676,0.35323886639676116
global,5,2018,247,1.0,1.0
global,5,2019,246,1.0,1.0
global,5,2020,243,1.0,1.0
global,5,2021,248,1.0,1.0
global,5,2022,247,1.0,1.0
global,5,2023,247,1.0,1.0
global,5,2024,248,1.0,1.0
global,5,2025,247,1.0,1.0
global,5,2026,161,1.0,1.0
stable,5,2010,249,0.0,0.0
stable,5,2011,249,0.0,0.0
stable,5,2012,249,0.0,0.0
stable,5,2013,246,0.0,0.0
stable,5,2014,247,0.0,0.0
stable,5,2015,247,0.0,0.0
stable,5,2016,248,0.0,0.0
stable,5,2017,247,0.0,0.0
stable,5,2018,247,0.02834008097165992,0.033738191632928474
stable,5,2019,246,1.0,1.0
stable,5,2020,243,1.0,1.0
stable,5,2021,248,1.0,1.0
stable,5,2022,247,0.7408906882591093,0.7408906882591092
stable,5,2023,247,0.8137651821862348,0.8191632928475033
stable,5,2024,248,1.0,1.0
stable,5,2025,247,1.0,1.0
stable,5,2026,161,1.0,1.0
erub_premium,5,2010,249,0.0,0.0
erub_premium,5,2011,249,0.0,0.0
erub_premium,5,2012,249,0.0,0.0
erub_premium,5,2013,246,0.0,0.0
erub_premium,5,2014,247,0.0,0.0
erub_premium,5,2015,247,0.0,0.0
erub_premium,5,2016,248,0.0,0.0
erub_premium,5,2017,247,0.0,0.2078272604588394
erub_premium,5,2018,247,0.0,0.6666666666666666
erub_premium,5,2019,246,0.0,0.6666666666666666
erub_premium,5,2020,243,0.345679012345679,0.7818930041152262
erub_premium,5,2021,248,0.9959677419354839,0.9986559139784946
erub_premium,5,2022,247,0.9959514170040485,0.9986504723346828
erub_premium,5,2023,247,1.0,1.0
erub_premium,5,2024,248,0.9959677419354839,0.9986559139784946
erub_premium,5,2025,247,0.9959514170040485,0.9986504723346828
erub_premium,5,2026,161,0.8322981366459627,0.8488612836438924
erub_liquidity,5,2010,249,0.0,0.0
erub_liquidity,5,2011,249,0.0,0.0
erub_liquidity,5,2012,249,0.0,0.0
erub_liquidity,5,2013,246,0.0,0.0
erub_liquidity,5,2014,247,0.0,0.0
erub_liquidity,5,2015,247,0.0,0.0
erub_liquidity,5,2016,248,0.0,0.0
erub_liquidity,5,2017,247,0.2793522267206478,0.3063427800269906
erub_liquidity,5,2018,247,1.0,1.0
erub_liquidity,5,2019,246,1.0,1.0
erub_liquidity,5,2020,243,1.0,1.0
erub_liquidity,5,2021,248,1.0,1.0
erub_liquidity,5,2022,247,1.0,1.0
erub_liquidity,5,2023,247,1.0,1.0
erub_liquidity,5,2024,248,1.0,1.0
erub_liquidity,5,2025,247,1.0,1.0
erub_liquidity,5,2026,161,0.8509316770186336,0.8550724637681159
ekzt_premium,5,2010,249,0.0,0.0
ekzt_premium,5,2011,249,0.0,0.0
ekzt_premium,5,2012,249,0.0,0.0
ekzt_premium,5,2013,246,0.0,0.0
ekzt_premium,5,2014,247,0.0,0.0
ekzt_premium,5,2015,247,0.0,0.0
ekzt_premium,5,2016,248,0.0,0.0
ekzt_premium,5,2017,247,0.0,0.0
ekzt_premium,5,2018,247,0.0,0.0
ekzt_premium,5,2019,246,0.0,0.0
ekzt_premium,5,2020,243,0.0,0.635116598079561
ekzt_premium,5,2021,248,0.6653225806451613,0.8884408602150536
ekzt_premium,5,2022,247,1.0,1.0
ekzt_premium,5,2023,247,0.9554655870445344,0.9851551956815116
ekzt_premium,5,2024,248,1.0,1.0
ekzt_premium,5,2025,247,1.0,1.0
ekzt_premium,5,2026,161,0.21739130434782608,0.32712215320910976
ekzt_liquidity,5,2010,249,0.0,0.0
ekzt_liquidity,5,2011,249,0.0,0.0
ekzt_liquidity,5,2012,249,0.0,0.0
ekzt_liquidity,5,2013,246,0.0,0.0
ekzt_liquidity,5,2014,247,0.0,0.0
ekzt_liquidity,5,2015,247,0.0,0.0
ekzt_liquidity,5,2016,248,0.0,0.0
ekzt_liquidity,5,2017,247,0.0,0.0
ekzt_liquidity,5,2018,247,0.0,0.0
ekzt_liquidity,5,2019,246,0.0,0.0
ekzt_liquidity,5,2020,243,0.9218106995884774,0.9506172839506174
ekzt_liquidity,5,2021,248,1.0,1.0
ekzt_liquidity,5,2022,247,1.0,1.0
ekzt_liquidity,5,2023,247,1.0,1.0
ekzt_liquidity,5,2024,248,1.0,1.0
ekzt_liquidity,5,2025,247,1.0,1.0
ekzt_liquidity,5,2026,161,0.21739130434782608,0.32298136645962733
exmo_cross,5,2010,249,0.0,0.0
exmo_cross,5,2011,249,0.0,0.0
exmo_cross,5,2012,249,0.0,0.0
exmo_cross,5,2013,246,0.0,0.0
exmo_cross,5,2014,247,0.0,0.0
exmo_cross,5,2015,247,0.0,0.0
exmo_cross,5,2016,248,0.0,0.0
exmo_cross,5,2017,247,0.0,0.0
exmo_cross,5,2018,247,0.0,0.0
exmo_cross,5,2019,246,0.0,0.0
exmo_cross,5,2020,243,0.345679012345679,0.345679012345679
exmo_cross,5,2021,248,0.9959677419354839,0.9959677419354839
exmo_cross,5,2022,247,0.9959514170040485,0.9959514170040485
exmo_cross,5,2023,247,1.0,1.0
exmo_cross,5,2024,248,0.9959677419354839,0.9959677419354839
exmo_cross,5,2025,247,0.9959514170040485,0.9959514170040485
exmo_cross,5,2026,161,0.2981366459627329,0.2981366459627329
binance_rub,5,2010,249,0.0,0.0
binance_rub,5,2011,249,0.0,0.0
binance_rub,5,2012,249,0.0,0.0
binance_rub,5,2013,246,0.0,0.0
binance_rub,5,2014,247,0.0,0.0
binance_rub,5,2015,247,0.0,0.0
binance_rub,5,2016,248,0.0,0.0
binance_rub,5,2017,247,0.0,0.0
binance_rub,5,2018,247,0.0,0.0
binance_rub,5,2019,246,0.0,0.0020325203252032522
binance_rub,5,2020,243,0.345679012345679,0.8882030178326475
binance_rub,5,2021,248,0.9959677419354839,0.9993279569892474
binance_rub,5,2022,247,0.9959514170040485,0.9993252361673415
binance_rub,5,2023,247,1.0,1.0
binance_rub,5,2024,248,0.07258064516129033,0.0793010752688172
binance_rub,5,2025,247,0.0,0.0
binance_rub,5,2026,161,0.0,0.0
cross_venues,5,2010,249,0.0,0.0
cross_venues,5,2011,249,0.0,0.0
cross_venues,5,2012,249,0.0,0.0
cross_venues,5,2013,246,0.0,0.0
cross_venues,5,2014,247,0.0,0.0
cross_venues,5,2015,247,0.0,0.0
cross_venues,5,2016,248,0.0,0.0
cross_venues,5,2017,247,0.0,0.0
cross_venues,5,2018,247,0.0,0.0
cross_venues,5,2019,246,0.0040650406504065045,0.0040650406504065045
cross_venues,5,2020,243,1.0,1.0
cross_venues,5,2021,248,1.0,1.0
cross_venues,5,2022,247,1.0,1.0
cross_venues,5,2023,247,1.0,1.0
cross_venues,5,2024,248,0.07661290322580645,0.07661290322580645
cross_venues,5,2025,247,0.0,0.0
cross_venues,5,2026,161,0.0,0.0
erub,5,2010,249,0.0,0.0
erub,5,2011,249,0.0,0.0
erub,5,2012,249,0.0,0.0
erub,5,2013,246,0.0,0.0
erub,5,2014,247,0.0,0.0
erub,5,2015,247,0.0,0.0
erub,5,2016,248,0.0,0.0
erub,5,2017,247,0.0,0.25708502024291496
erub,5,2018,247,0.0,0.8333333333333334
erub,5,2019,246,0.0,0.8333333333333334
erub,5,2020,243,0.345679012345679,0.8909465020576132
erub,5,2021,248,0.9959677419354839,0.9993279569892474
erub,5,2022,247,0.9959514170040485,0.9993252361673415
erub,5,2023,247,1.0,1.0
erub,5,2024,248,0.9959677419354839,0.9993279569892474
erub,5,2025,247,0.9959514170040485,0.9993252361673415
erub,5,2026,161,0.8322981366459627,0.8519668737060041
exmo_joint,5,2010,249,0.0,0.0
exmo_joint,5,2011,249,0.0,0.0
exmo_joint,5,2012,249,0.0,0.0
exmo_joint,5,2013,246,0.0,0.0
exmo_joint,5,2014,247,0.0,0.0
exmo_joint,5,2015,247,0.0,0.0
exmo_joint,5,2016,248,0.0,0.0
exmo_joint,5,2017,247,0.0,0.12854251012145748
exmo_joint,5,2018,247,0.0,0.4166666666666667
exmo_joint,5,2019,246,0.0,0.4166666666666667
exmo_joint,5,2020,243,0.0,0.8419067215363513
exmo_joint,5,2021,248,0.6653225806451613,0.971774193548387
exmo_joint,5,2022,247,0.9959514170040485,0.9996626180836707
exmo_joint,5,2023,247,0.9554655870445344,0.9962887989203778
exmo_joint,5,2024,248,0.9959677419354839,0.9996639784946236
exmo_joint,5,2025,247,0.9959514170040485,0.9996626180836707
exmo_joint,5,2026,161,0.2111801242236025,0.5885093167701863
all_crypto,5,2010,249,0.0,0.0
all_crypto,5,2011,249,0.0,0.0
all_crypto,5,2012,249,0.0,0.0
all_crypto,5,2013,246,0.0,0.0
all_crypto,5,2014,247,0.0,0.0
all_crypto,5,2015,247,0.0,0.0
all_crypto,5,2016,248,0.0,0.0
all_crypto,5,2017,247,0.0,0.15555082037076495
all_crypto,5,2018,247,0.0,0.4790112934157255
all_crypto,5,2019,246,0.0,0.631578947368421
all_crypto,5,2020,243,0.0,0.900151613601906
all_crypto,5,2021,248,0.6653225806451613,0.9821731748726655
all_crypto,5,2022,247,0.7368421052631579,0.9588749200937567
all_crypto,5,2023,247,0.7692307692307693,0.9691029192414234
all_crypto,5,2024,248,0.9959677419354839,0.9997877758913413
all_crypto,5,2025,247,0.9959514170040485,0.9997869166844238
all_crypto,5,2026,161,0.2111801242236025,0.7401111474338019
