open_time,open,close,high,low,volume,source_date
1483228800000,55739.0,59595.0,61470.9,55690.0,332.90396704,2017-01-01
1483315200000,59201.0,60478.0,61940.0,59016.02,167.97396235,2017-01-02
1483401600000,60624.0,60081.9977491,61072.65374262,59443.00001,233.69818561,2017-01-03
1483488000000,60445.999,64435.02789717,65395.0,60126.0,193.90754468,2017-01-04
1483574400000,64440.0,57979.0616962,65200.0,53000.0,302.50081253,2017-01-05
1483660800000,58179.9989899,50165.6538393,58999.9989899,47700.00001,314.46348544,2017-01-06
1483747200000,50341.2336277,50999.9746155,52200.0,44482.0,270.46442256,2017-01-07
1483833600000,50605.007,51717.7,54000.0,50520.0,277.26996127,2017-01-08
1483920000000,51551.3949492,51790.0,52000.0,50184.0,343.66019643,2017-01-09
1484006400000,51237.5,51400.0,52100.0,50701.03550073,234.50998996,2017-01-10
1484092800000,51897.999992,48620.0,52800.0,47000.0,375.19572065,2017-01-11
1484179200000,48372.0010104,47150.0,50125.0,38760.0,350.66490443,2017-01-12
1484265600000,47150.0,47736.0,48700.0,44914.2692089,314.37700549,2017-01-13
1484352000000,47799.98556003,47280.0,48699.0,46746.79892,317.83002049,2017-01-14
1484438400000,47283.7,48369.0,48888.0,46500.0,263.63019932,2017-01-15
1484524800000,48296.0,48481.70649571,49679.0,47685.47549562,246.22763491,2017-01-16
1484611200000,48333.6119565,51258.0,51495.0,48001.0,348.26864299,2017-01-17
1484697600000,51235.2700177,50680.90615257,51893.6,49000.0,354.90196599,2017-01-18
1484784000000,50680.90615257,51779.0,51999.0,50401.02016044,348.20913769,2017-01-19
1484870400000,51684.3,52997.14880252,53499.0,51354.0,329.49530208,2017-01-20
1484956800000,52972.9,53675.0,54500.0,52808.27966415,302.22152435,2017-01-21
1485043200000,53720.8,53241.01,54300.0,52400.0,229.43385621,2017-01-22
1485129600000,53456.0,52700.0,54400.0,52700.0,218.53911716,2017-01-23
1485216000000,52966.0,52516.0,53450.0,52300.0,246.83772461,2017-01-24
1485302400000,52771.8688889,52700.0,53000.0,51800.0,227.1503653,2017-01-25
1485388800000,52711.0,53162.0,53310.0,52180.0,199.41757385,2017-01-26
1485475200000,53003.2,53105.0200003,53549.99,52600.0,161.82417876,2017-01-27
1485561600000,53105.0,53300.0,53707.81931,52880.0,261.84842348,2017-01-28
1485648000000,53334.0,52979.0,53440.0,52950.0,230.10628276,2017-01-29
1485734400000,52955.0,53139.9,53349.0,52930.0,353.76039101,2017-01-30
1485820800000,53140.0,55901.9094311,55901.9094311,53010.0,251.18073995,2017-01-31
1485907200000,55763.0,57400.0,57469.99,54416.0,363.89013801,2017-02-01
1485993600000,57400.0,57879.8,58120.0,56660.0,322.87486314,2017-02-02
1486080000000,57930.0,58329.0,58970.0,57760.1981818,193.45792211,2017-02-03
1486166400000,58393.0,58620.0,58990.0,57197.84716,180.59770828,2017-02-04
1486252800000,58620.00058621,57850.4013066,58990.0,57200.0,129.38670611,2017-02-05
1486339200000,57805.1,58090.9,58200.0,57567.1431808,335.07364943,2017-02-06
1486425600000,57948.0,59864.0,60309.0,57868.93508253,284.48993955,2017-02-07
1486512000000,59928.0,60537.5,61029.9979628,58770.0,230.21759897,2017-02-08
1486598400000,60669.0,57500.9,60879.9989899,55030.0010101,271.03761774,2017-02-09
1486684800000,57462.6,57911.0,58200.0,56151.00001,179.87569205,2017-02-10
1486771200000,57867.8,58211.0,60515.0,57640.0,337.68384595,2017-02-11
1486857600000,58340.0,58660.0,59208.4,57442.301,311.0289443,2017-02-12
1486944000000,58660.0,57982.0,59000.0,56987.14948,277.86844678,2017-02-13
1487030400000,58062.1,57882.0,58739.99,57500.0,204.84804069,2017-02-14
1487116800000,57890.0,57800.0,58999.0,57561.0,335.13664012,2017-02-15
1487203200000,57850.0,58810.0,59200.0,57630.0,156.14032738,2017-02-16
1487289600000,58810.0,60300.0,60881.62808,58630.0,188.61429295,2017-02-17
1487376000000,60300.0,59483.99,60500.0,58490.51452,229.40579496,2017-02-18
1487462400000,59196.0320202,60045.0,60625.8,58513.0,238.25263017,2017-02-19
1487548800000,60045.01,60405.0,60524.9640443,58800.0,184.12588769,2017-02-20
1487635200000,60425.0,62000.01860004,62299.96885008,59514.47603,241.56865949,2017-02-21
1487721600000,62000.02480005,62070.92740808,62714.4,61485.0,151.43299055,2017-02-22
1487808000000,61920.4,62856.0,63345.0,61856.01237123,272.69298492,2017-02-23
1487894400000,62836.0,65608.06037495,66000.0,61640.0,233.60338566,2017-02-24
1487980800000,65608.07349654,63876.05748846,65878.9456693,62802.1,255.63716635,2017-02-25
1488067200000,63880.0,65120.0,65464.9989899,63030.00001,228.77120599,2017-02-26
1488153600000,65130.02605206,65845.0,66000.0,64500.0,298.80991639,2017-02-27
1488240000000,65845.0,67000.4,67149.41537,65282.990815,306.43455415,2017-02-28
1488326400000,66981.0,68199.7998,68999.99,66500.00001,252.35423827,2017-03-01
1488412800000,68199.99,70300.00001,71199.97864002,66000.0,300.21248342,2017-03-02
1488499200000,70300.00001,71370.46390518,71844.92097057,69800.0,256.28788036,2017-03-03
1488585600000,71372.05282323,71098.00294027,71605.67381,70105.0,284.25037708,2017-03-04
1488672000000,71095.96294027,71080.0,71605.673811,70373.18863,250.22772698,2017-03-05
1488758400000,71000.0,70929.79,71498.0,70400.0,263.36799969,2017-03-06
1488844800000,70929.78,70555.13959,71148.97865538,68800.0,356.86099946,2017-03-07
1488931200000,70560.0,66447.45,70845.0,66000.0,363.89984129,2017-03-08
1489017600000,66447.23,69195.32999,69650.0,65000.0,268.41072116,2017-03-09
1489104000000,69194.84,66229.0,72179.268091,64100.0,399.98146849,2017-03-10
1489190400000,66183.0,68800.0,69999.77999,65679.5545975,255.29779321,2017-03-11
1489276800000,68800.688,70462.0,71059.07897,68267.01,222.37543434,2017-03-12
1489363200000,70451.0,70724.0,71000.0,69709.01691,307.43049012,2017-03-13
1489449600000,70680.0,71473.0,71863.79454,70200.0,338.494236,2017-03-14
1489536000000,71499.0,70965.0354825,71599.88,70830.0,222.66551272,2017-03-15
1489622400000,71199.95016,69164.7,72033.28424,68620.0,239.98774018,2017-03-16
1489708800000,69165.0,64862.9707,69607.98607842,64862.9707,368.1784375,2017-03-17
1489795200000,64862.9707,57680.43,66000.0,56500.0,367.74923387,2017-03-18
1489881600000,57781.75,59994.6788472,63025.2,56687.97515,218.70142895,2017-03-19
1489968000000,60286.4334899,63145.99,63499.99999,59044.00001,243.94160425,2017-03-20
1490054400000,62763.10821624,66150.0,66289.9989899,62763.09822,228.3685021,2017-03-21
1490140800000,66150.0,61700.0,66289.8568687,60300.0,195.78865905,2017-03-22
1490227200000,61690.00061691,61401.0,63896.5,60270.0,227.89374195,2017-03-23
1490313600000,61695.1,56466.3922868,62051.99,56093.0,285.1700427,2017-03-24
1490400000000,56466.4022868,56930.0,58254.9,52586.18683,222.8935074,2017-03-25
1490486400000,56930.0,56730.7900689,59419.0,55503.0,222.28087862,2017-03-26
1490572800000,56640.1820211,59712.66,60000.0,56125.0,287.08999917,2017-03-27
1490659200000,59699.93,59000.0,60000.0,57530.7016296,257.35524122,2017-03-28
1490745600000,59049.37513,58882.83,60494.0,56750.1510101,233.56729546,2017-03-29
1490832000000,58876.29,57530.0,59399.98812,57200.0,192.19222827,2017-03-30
1490918400000,57700.0,60719.0,61100.0,57200.0001,239.71732819,2017-03-31
