symbol,month,http_status,sha256,provider_checksum_match,matched_days,max_close_absdiff,max_volume_absdiff
USDTRUB,2020-01,200,6857712dd5389ffa80c22e3f537248a05d8275f6d628f93d934cde77afb0d377,True,31.0,0.0,0.0
USDTRUB,2023-01,200,b56febc5b4f4542e8f2ec46606d3f9876faf9a5387519a2bbf90c6ee49a04f18,True,31.0,0.0,0.0
USDTRUB,2024-01,200,6f284a19ebfddd1fd1a93d4bfbef9e8ef0be1bfe4302f7e96f1e11f38df31744,True,30.0,0.0,0.0
USDTRUB,2025-01,404,420efa550298b320a74328793d555dd03ae87c2dc6da80f86525e962564a2c3a,,,,
BTCUSDT,2025-01,200,3a3eb1b723d944deb4dbef5ae361bbe39340a17fe987fe22e397ef03dca268d2,True,31.0,0.0,0.0
USDTKZT,2025-01,404,fd18dfc928c72dbee71d91f6489012ceaf427936470a8960cdc4af0f2ef3c8e6,,,,
USDTKZT,2026-05,200,35752f6eba2ed6b20789abea06f50e0867832508afd0f86c2225377cf39ba394,True,28.0,0.0,0.0
