open_time,open,close,high,low,volume,source_date
1504656000000,70.0,59.619,71.0,55.4,26662.713197,2017-09-06
1504742400000,59.6853,58.28,59.96,57.39177996,29317.8713057,2017-09-07
1504828800000,58.2667,60.0,62.01,56.5,30765.21451037,2017-09-08
1504915200000,59.5453978,60.039,62.01,55.8,26366.64495899,2017-09-09
1505001600000,60.053,60.024,62.0,57.02,32223.07666414,2017-09-10
1505088000000,60.243,59.847,63.0,58.88930494,22869.38363347,2017-09-11
1505174400000,59.995,60.637,61.5,58.65,26871.34758999,2017-09-12
1505260800000,60.5603,59.049,65.5,58.931,34014.23471589,2017-09-13
1505347200000,59.2929,59.474,61.45,58.0,42696.18823521,2017-09-14
1505433600000,59.5949,61.4726,63.4,55.61,46842.447005,2017-09-15
1505520000000,61.5321,60.42,65.03861054,59.5,33716.40032932,2017-09-16
1505606400000,60.4753,60.7042,62.56656,59.7601,41590.81147386,2017-09-17
1505692800000,60.416,59.8,61.28805634,58.6444,33749.11109498,2017-09-18
1505779200000,59.658,59.4806,60.2899,59.0,25861.11865333,2017-09-19
1505865600000,59.65,59.7461,60.53,58.500001,27748.80637131,2017-09-20
1505952000000,59.772,61.31,61.79372102,59.030001,31957.82535939,2017-09-21
1506038400000,61.1,60.75,61.79,59.73,12572.51408934,2017-09-22
1506124800000,60.76,59.40001,61.42,59.400001,20868.6287568,2017-09-23
1506211200000,59.40001,59.85,60.0,58.788,30604.15704953,2017-09-24
1506297600000,59.55,58.49,59.8876197,58.0001,39538.9390828,2017-09-25
1506384000000,58.5,58.111,58.54,57.667,21436.73463124,2017-09-26
1506470400000,58.294,56.215,58.35818738,0.11,36305.24341068,2017-09-27
1506556800000,56.052,55.7126,56.55614259,53.74912228,22830.30514411,2017-09-28
1506643200000,55.5,55.521,57.8952,54.50556978,17679.4798466,2017-09-29
1506729600000,55.576718,54.7712,55.77,53.47278479,19425.01630737,2017-09-30
1506816000000,54.98,54.346,55.48,53.35,18298.36250999,2017-10-01
1506902400000,54.178,54.5134,54.90597,53.51,13306.03916873,2017-10-02
1506988800000,54.5476,55.505,55.549999,54.0,19547.80287797,2017-10-03
1507075200000,55.459,56.54716434,57.45,54.41513191,18800.86912126,2017-10-04
1507161600000,56.7407,55.416,56.9,55.002,18121.74268902,2017-10-05
1507248000000,55.4223,54.8255,55.48450283,54.0,11556.36435104,2017-10-06
1507334400000,54.973,53.93,55.33,53.52,17713.49007564,2017-10-07
1507420800000,53.93,53.701,55.5,53.0,24958.81804844,2017-10-08
1507507200000,53.6768,54.575,54.999,53.0,17839.33313403,2017-10-09
1507593600000,54.5826,54.6858,54.9,53.11,14084.09634009,2017-10-10
1507680000000,54.745,54.637,54.9,53.0,17952.15078749,2017-10-11
1507766400000,54.4533,53.05,54.76,51.63676591,21229.6452532,2017-10-12
1507852800000,53.05000001,51.72187193,53.39253658,50.0,20266.80446855,2017-10-13
1507939200000,51.90289848,50.72501942,52.26,50.0012,15024.15639124,2017-10-14
1508025600000,51.00405757,51.11300001,53.49,50.15000011,21408.62366922,2017-10-15
1508112000000,51.11300001,51.71,53.1,51.0,17566.36512355,2017-10-16
1508198400000,51.96,53.4691,53.599,51.29122039,16070.81127527,2017-10-17
1508284800000,53.4188,54.1587726,56.64,53.3959,21397.76460875,2017-10-18
1508371200000,54.084,54.712,54.84,53.12,11570.17868728,2017-10-19
1508457600000,54.655,54.113,54.84,53.35,12733.11250248,2017-10-20
1508544000000,54.249,55.4487,57.4,54.05099398,13723.10414149,2017-10-21
1508630400000,55.5256,56.4132,57.25,55.00353083,13633.3396624,2017-10-22
1508716800000,56.4612,56.45,57.799,55.80968335,20919.40644663,2017-10-23
1508803200000,56.5954,56.286,59.49,55.56,17530.56464789,2017-10-24
1508889600000,56.418,56.424,57.87606198,55.65,12716.54793565,2017-10-25
1508976000000,56.47467352,56.0945,56.5,55.65,9156.55217158,2017-10-26
1509062400000,56.1694,56.385,56.84,55.56,11612.47623727,2017-10-27
1509148800000,56.3267,57.092,57.30929425,56.23,12165.32416983,2017-10-28
1509235200000,57.28,54.9929,57.4,54.5,10300.35609791,2017-10-29
1509321600000,54.9929,55.34154661,56.1,54.1,8712.79236657,2017-10-30
1509408000000,55.171,56.19000001,56.49,54.1,8749.25684476,2017-10-31
1509494400000,56.329,57.4385,57.65,55.25,14040.46275363,2017-11-01
1509580800000,57.32,56.96,61.0,56.86,15350.23174176,2017-11-02
1509667200000,57.24,57.10941131,58.05,55.9,14442.982034,2017-11-03
1509753600000,57.10941131,57.168,57.9400416,56.40147016,8549.07237106,2017-11-04
1509840000000,57.0573,58.092,58.25,56.76,6585.10930129,2017-11-05
1509926400000,57.96,58.61,59.0594,57.5,10944.10511888,2017-11-06
1510012800000,58.86,58.51,58.86,57.5,9445.81921925,2017-11-07
1510099200000,58.3938,57.219,58.4695,56.26354846,20429.57106452,2017-11-08
1510185600000,57.286,56.7559,57.8,56.02,16562.05001285,2017-11-09
1510272000000,56.8655,57.4778,57.93,56.01111,10462.49332096,2017-11-10
1510358400000,57.284,58.07,59.26,57.03,14950.89418902,2017-11-11
1510444800000,58.08,59.07,60.25,56.632,25201.29979823,2017-11-12
1510531200000,59.34,59.09,59.61,57.75,11452.23992576,2017-11-13
1510617600000,59.1,58.669,59.4,57.8,10609.64562442,2017-11-14
1510704000000,58.606,57.6683,59.75,57.36,10917.5245143,2017-11-15
1510790400000,57.47,56.31,58.2291,55.05,15449.27872232,2017-11-16
1510876800000,56.4472,56.2302,56.81764684,55.30001,10362.03421864,2017-11-17
1510963200000,56.37,56.3731,58.1,56.0,10644.84635497,2017-11-18
1511049600000,56.13,54.79,56.4,54.78118051,14857.91838715,2017-11-19
1511136000000,54.9734,54.21,55.5096,54.0,15064.5681101,2017-11-20
1511222400000,54.21,54.8975,56.02911152,54.0,13566.72096317,2017-11-21
1511308800000,55.0,54.706,55.0054,54.01,6936.1651518,2017-11-22
1511395200000,54.79,55.5,55.5,54.47,7757.65709894,2017-11-23
1511481600000,55.5,55.63,56.21,55.14156652,8255.7804544,2017-11-24
1511568000000,55.36,54.75,55.7,54.2266,5131.31298555,2017-11-25
1511654400000,55.03,54.56660946,55.4,54.0,10738.90426672,2017-11-26
1511740800000,54.57660946,55.918,56.29,53.001,16890.32088207,2017-11-27
1511827200000,55.949,56.02911152,56.51881,53.0,28054.78031254,2017-11-28
1511913600000,55.89,57.29251172,58.0,55.33456201,24269.71840504,2017-11-29
1512000000000,57.4815,58.40823264,59.0,56.60193943,26572.3898337,2017-11-30
1512086400000,58.114,57.3377,59.2,56.9,14497.15281284,2017-12-01
1512172800000,57.249,58.1805,58.79064,56.31,18616.13165517,2017-12-02
1512259200000,58.2306,58.973,59.00551719,57.26499626,25664.69856163,2017-12-03
1512345600000,59.00551719,59.3,59.4889,57.35,19315.71153091,2017-12-04
1512432000000,59.0558,59.3457,59.4699,58.3,8106.19574669,2017-12-05
1512518400000,59.361,61.84018333,62.8355476,58.68280384,23725.52916695,2017-12-06
1512604800000,61.62449759,64.16669415,65.81456151,61.62449759,15309.64909436,2017-12-07
1512691200000,63.777,62.27382215,65.55,58.0,41174.72936587,2017-12-08
1512777600000,62.5044,62.4369,64.701,61.19538028,17901.20804719,2017-12-09
1512864000000,62.711,63.27616617,66.66,60.0,20097.0127119,2017-12-10
1512950400000,63.27616617,61.6932,63.91346747,60.019,13167.8190807,2017-12-11
1513036800000,61.8953,60.688,61.96349373,59.75,27459.93361051,2017-12-12
1513123200000,60.89042605,60.8311,63.79378022,57.35,29778.87908174,2017-12-13
1513209600000,60.89042605,62.1729,63.49763274,60.7692511,18842.53281445,2017-12-14
1513296000000,62.211,61.492,62.8340005,60.7692511,41999.89479301,2017-12-15
1513382400000,61.386,61.6244976,63.0,60.34602888,30238.14236289,2017-12-16
1513468800000,62.179116,61.085,62.179116,60.34608923,32449.69771196,2017-12-17
1513555200000,61.3788,60.768,62.5291,59.05,31997.12537847,2017-12-18
1513641600000,60.416,62.288,63.05547201,59.55,61981.69966937,2017-12-19
1513728000000,62.358,61.96349373,63.12679834,61.2,48403.32905353,2017-12-20
1513814400000,61.7857,60.6165,62.04863491,56.641,76329.05543512,2017-12-21
1513900800000,60.611,60.34608923,62.45,56.8,64656.40751841,2017-12-22
1513987200000,60.13561458,60.7879,62.8,59.45,45775.45941916,2017-12-23
1514073600000,60.48,63.213,66.44823251,60.35000001,41870.42147504,2017-12-24
1514160000000,63.127,62.391,63.94289402,61.40956411,23731.28256572,2017-12-25
1514246400000,62.5379,60.55006055,62.71050175,60.5,29018.76188643,2017-12-26
1514332800000,60.55006055,60.34608923,61.21846548,58.88809331,28666.69400713,2017-12-27
1514419200000,60.34608923,62.67723195,65.92,59.85,29050.20450488,2017-12-28
1514505600000,63.054,62.61632761,63.9,61.0,19923.89712866,2017-12-29
1514592000000,62.05668603,66.44809961,70.69,61.3,48724.00310779,2017-12-30
1514678400000,65.85421106,64.0653,67.7419345,63.59306877,30245.80257214,2017-12-31
1514764800000,63.925,63.6856,65.5,63.37126933,17714.05776454,2018-01-01
1514851200000,63.7932,60.787,63.7932,60.34608923,39549.29593125,2018-01-02
1514937600000,61.10354253,60.532,61.49350248,59.5,39220.02663268,2018-01-03
1515024000000,60.417,60.59,61.32,58.8,40752.44712649,2018-01-04
1515110400000,60.2363,62.71050176,63.8,59.95,39960.64834016,2018-01-05
1515196800000,62.71050176,61.74046252,63.71987446,60.34608923,39576.06551204,2018-01-06
1515283200000,61.19562505,59.655,61.8,58.0708236,38960.75726792,2018-01-07
1515369600000,59.74982073,62.543,63.5,57.5,47551.34360577,2018-01-08
1515456000000,62.353,61.41402026,62.418,59.9,37337.67289924,2018-01-09
1515542400000,61.2839,61.19568623,64.0,59.5,56191.94305997,2018-01-10
1515628800000,61.19580861,61.62449759,66.0,59.0,49359.29041463,2018-01-11
1515715200000,61.999938,60.6094,62.53,56.829,33741.41946879,2018-01-12
1515801600000,60.5497,59.1362,62.2,58.1,40992.92223855,2018-01-13
1515888000000,58.7501175,59.4562,59.65,54.857,28098.98294355,2018-01-14
1515974400000,59.5135,59.0982,60.45,57.2,30811.80498318,2018-01-15
1516060800000,59.098,64.26313577,67.3,57.7,68949.77307408,2018-01-16
1516147200000,64.26313577,61.503,67.14838377,59.5,52122.36641173,2018-01-17
1516233600000,61.93483917,65.641,66.338,60.1,51469.77385041,2018-01-18
1516320000000,65.5446,64.1607,66.35,63.31,19481.89450491,2018-01-19
1516406400000,64.00128001,62.313,64.3483269,61.84012148,41841.67682906,2018-01-20
1516492800000,62.414,63.604,63.8,61.59026296,28828.00677801,2018-01-21
1516579200000,63.15877201,64.16,65.61722932,61.62455922,15720.58378714,2018-01-22
1516665600000,63.776,61.55,63.983,60.0,19072.72366814,2018-01-23
1516752000000,61.627,60.3795832,62.38,60.0,17720.88865206,2018-01-24
1516838400000,60.377197,58.88809331,60.44848875,58.6,18207.73427681,2018-01-25
1516924800000,58.89999759,58.8014,60.01,56.55,31463.29971015,2018-01-26
1517011200000,58.84794115,56.863,59.00551719,56.66304,34162.5813391,2018-01-27
1517097600000,56.806,54.055,57.17895711,53.39996124,39541.94136261,2018-01-28
1517184000000,53.9786,55.2393,57.99266,53.771,29974.72546985,2018-01-29
1517270400000,55.1767,55.97641,56.89044,54.72207785,31774.44149922,2018-01-30
1517356800000,55.99271605,55.5,57.26681,55.23,29160.15696314,2018-01-31
1517443200000,55.5,53.77441512,55.663,53.06,28104.43954819,2018-02-01
1517529600000,53.77441512,56.6132,57.37908346,51.0,34682.09348596,2018-02-02
1517616000000,56.48000004,55.828,56.99611,55.10580274,27545.55149825,2018-02-03
1517702400000,56.18874679,58.37897999,60.821,55.759,38495.48807929,2018-02-04
1517788800000,58.37897999,60.48,63.34272,56.15916,43548.50543888,2018-02-05
1517875200000,60.5229,56.8,62.99999937,56.7,42655.45019924,2018-02-06
1517961600000,56.826,57.161,59.00551719,56.25000001,41314.65934106,2018-02-07
1518048000000,57.4007,57.432,57.85,56.67750001,26474.02196075,2018-02-08
1518134400000,57.597,56.3223,57.98367498,55.8,30884.61909395,2018-02-09
1518220800000,56.3639,56.947,57.65,55.4922184,36444.08857865,2018-02-10
1518307200000,57.0395,57.1681,58.842,56.7769,29405.79384185,2018-02-11
1518393600000,57.57991025,56.575,57.597555,55.9984,30753.59379659,2018-02-12
1518480000000,56.654,56.73,57.57991025,56.28011257,20250.95928802,2018-02-13
1518566400000,56.522,55.055,57.17604098,54.75,25232.60323011,2018-02-14
1518652800000,55.28800619,54.871,55.28806148,54.05,28691.75482812,2018-02-15
1518739200000,54.5558,54.803,55.4801,54.28024,19743.57954842,2018-02-16
1518825600000,54.6315,54.483,55.34172,54.0144,26662.45347964,2018-02-17
1518912000000,54.516,55.0913,56.18025,53.9,23884.89561284,2018-02-18
1518998400000,55.25088857,54.463,55.44143907,53.80886158,21737.15475986,2018-02-19
1519084800000,54.6037,53.7626,54.6037,51.96130331,28608.46682318,2018-02-20
1519171200000,53.62119742,55.312,55.92132,53.62119742,32205.8748038,2018-02-21
1519257600000,55.4354,55.553,56.64,55.14751114,22826.30403166,2018-02-22
1519344000000,55.27661693,55.697,56.5,54.8,21370.64403938,2018-02-23
1519430400000,55.6986,55.943,56.20931,54.56614983,22581.99776389,2018-02-24
1519516800000,56.0996,55.3342619,56.1,55.1569,14131.90924825,2018-02-25
1519603200000,55.3342619,53.6694,55.975,53.34479,14052.80623961,2018-02-26
1519689600000,53.593,53.351,54.4789,52.82399,10258.6340404,2018-02-27
1519776000000,53.4133,52.822,53.53957168,52.14316787,14829.06601433,2018-02-28
1519862400000,52.8931,52.119,52.98245138,48.886,12018.43713082,2018-03-01
1519948800000,52.211,52.263,52.60847432,51.96130331,4496.99653296,2018-03-02
1520035200000,52.4713,52.04,52.60826386,51.41950662,7319.71010733,2018-03-03
1520121600000,52.1865,52.7399,52.9165,52.0148,6061.13668964,2018-03-04
1520208000000,52.771,52.166,52.917,51.1317,15467.43638208,2018-03-05
1520294400000,52.0007,52.5566,52.79760677,51.13507961,6907.78644962,2018-03-06
1520380800000,52.6305,53.293,54.2,51.78043551,12661.52568163,2018-03-07
1520467200000,53.227,55.9487,56.0,53.0,22112.14653493,2018-03-08
1520553600000,55.5552239,55.7951,57.2,55.3340959,13942.31385346,2018-03-09
1520640000000,55.7624,55.9623,56.42152639,54.45,8835.39954963,2018-03-10
1520726400000,55.806,55.798,56.81716824,55.57204,11681.59748966,2018-03-11
1520812800000,55.8328,55.453,56.10254436,54.70829,8767.03032972,2018-03-12
1520899200000,55.433,55.643,56.01143,55.14110204,4766.0193966,2018-03-13
1520985600000,55.77999999,57.36949271,57.85,54.46751,9448.92756488,2018-03-14
1521072000000,57.001,56.4745,58.11,55.42,10190.66928825,2018-03-15
1521158400000,56.3403,56.562,58.41612,55.77032001,9714.26467627,2018-03-16
1521244800000,56.3708,56.506,57.25,55.75,5398.89379599,2018-03-17
1521331200000,56.4215,55.8548,57.16939981,55.66110022,7024.38828486,2018-03-18
1521417600000,56.069,55.684,56.37598274,55.28943003,5706.78309864,2018-03-19
1521504000000,55.28943003,55.0617,56.25,54.33194205,7997.65629749,2018-03-20
1521590400000,54.8548,54.71293121,55.39967812,54.11359,5300.24065335,2018-03-21
1521676800000,55.20645549,55.176,55.6,54.52210384,4436.18499763,2018-03-22
1521763200000,55.455,54.90522371,55.78815451,54.90522371,5902.70626834,2018-03-23
1521849600000,55.082,54.82202974,55.3395,53.98959,8735.14292627,2018-03-24
