track,scope,config_id,rows,dates,brier,signals,lift,forward_delta_bps,branch,source_contract,source_table,hit_rate,symmetric_delta_bps,regret_bps,logloss,auc,ece10,mean_signals_per_corridor_week,min_cell_week_coverage,mean_cell_week_coverage,cutoff,first_date,last_date,delay,raw_brier,candidate_quality,candidate_lift,candidate_lift_unstandardized,forward_bps_absolute,forward_bps_per_candidate,regret_bps_per_candidate,log_loss,candidate_frequency_per_week,weeks_1_to_2_share,threshold
development_2023_2025,KZT,oxr_full_120m_delay48h,727,727.0,0.1804022931007357,144.0,1.409100711667026,35.78597774040973,oxr,primary_and_depth_controls,oxr/summary.csv,,,,,,,,,,,,,,,,,,,,,,,,
development_2023_2025,KZT,oxr_full_120m_since2020,727,727.0,0.1816157512315037,146.0,1.4667398298954928,33.94688377662617,oxr,primary_and_depth_controls,oxr/summary.csv,,,,,,,,,,,,,,,,,,,,,,,,
development_2023_2025,KZT,oxr_full_120m_since2022,727,727.0,0.1846110296033242,169.0,1.3053823267204432,17.131040841607845,oxr,primary_and_depth_controls,oxr/summary.csv,,,,,,,,,,,,,,,,,,,,,,,,
development_2023_2025,KZT,oxr_full_24m_delay24h,727,727.0,0.1892704340469601,136.0,1.5100586940572267,43.88689120235555,oxr,primary_and_depth_controls,oxr/summary.csv,,,,,,,,,,,,,,,,,,,,,,,,
development_2023_2025,KZT,oxr_full_24m_delay48h,727,727.0,0.184412086383313,141.0,1.4927197968263362,34.619793833635384,oxr,primary_and_depth_controls,oxr/summary.csv,,,,,,,,,,,,,,,,,,,,,,,,
development_2023_2025,KZT,oxr_returns_120m_delay24h,727,727.0,0.1822169431159985,150.0,1.4476438085950831,26.678540002899755,oxr,primary_and_depth_controls,oxr/summary.csv,,,,,,,,,,,,,,,,,,,,,,,,
development_2023_2025,KZT,oxr_returns_120m_delay48h,727,727.0,0.1808432504253555,165.0,1.3441772823446525,25.73007023087979,oxr,primary_and_depth_controls,oxr/summary.csv,,,,,,,,,,,,,,,,,,,,,,,,
development_2023_2025,KZT,oxr_returns_24m_delay24h,727,727.0,0.190286380639398,129.0,1.5349156225726357,47.945898971097286,oxr,primary_and_depth_controls,oxr/summary.csv,,,,,,,,,,,,,,,,,,,,,,,,
development_2023_2025,KZT,oxr_returns_24m_delay48h,727,727.0,0.1835578832101465,143.0,1.484041868591574,38.88657175447079,oxr,primary_and_depth_controls,oxr/summary.csv,,,,,,,,,,,,,,,,,,,,,,,,
development_2023_2025,KZT,v3_120m,727,727.0,0.182704781751045,149.0,1.4778370986863412,29.971420647932167,oxr,primary_and_depth_controls,oxr/summary.csv,,,,,,,,,,,,,,,,,,,,,,,,
development_2023_2025,KZT,v3_24m,727,727.0,0.1892821073017463,133.0,1.5875079151805231,42.03722860984865,oxr,primary_and_depth_controls,oxr/summary.csv,,,,,,,,,,,,,,,,,,,,,,,,
test2026_january_freeze,all,oxr_basis_120m_delay24h,780,156.0,0.2088164874580449,177.0,1.256198347107438,23.635025545137676,oxr,primary_and_depth_controls,oxr/summary.csv,,,,,,,,,,,,,,,,,,,,,,,,
test2026_january_freeze,all,oxr_basis_120m_delay48h,780,156.0,0.2074899480006428,175.0,1.3369041242635242,26.687060034267528,oxr,primary_and_depth_controls,oxr/summary.csv,,,,,,,,,,,,,,,,,,,,,,,,
test2026_january_freeze,all,oxr_basis_120m_since2020,780,156.0,0.2088767971613354,177.0,1.256198347107438,23.635025545137676,oxr,primary_and_depth_controls,oxr/summary.csv,,,,,,,,,,,,,,,,,,,,,,,,
test2026_january_freeze,all,oxr_basis_120m_since2022,780,156.0,0.207080691128895,173.0,1.4031209362808843,31.951119251921565,oxr,primary_and_depth_controls,oxr/summary.csv,,,,,,,,,,,,,,,,,,,,,,,,
