epoch,training_bce,inner_brier
1,0.6193005018045111,0.18428413585120862
2,0.5673654549554893,0.18492065659221152
3,0.5690249884800522,0.17784950789321424
4,0.5641379327764093,0.17534600507221793
5,0.5646437477965942,0.16743944311989972
6,0.5648955997196269,0.16425089871319914
7,0.5635233284536135,0.16489904163965663
8,0.5621943536282581,0.1585835641273746
9,0.559972812611773,0.16122372036669316
10,0.5575105902546383,0.15899578613852425
11,0.5565885923600645,0.1565233634047799
12,0.5545055120374565,0.15198903087762242
13,0.5542961209950218,0.1524346048596149
14,0.5517062233484862,0.15122773102710066
15,0.5506827946868968,0.14784854458296187
16,0.5544466717755869,0.14896785726392986
17,0.5497782845088983,0.14906226003701137
18,0.5467420679542366,0.14671450922629695
19,0.5453668836263127,0.14530003624326682
20,0.5494421999987082,0.14530524644741652
21,0.543690862859714,0.14541076971915037
22,0.5416857280412646,0.14203907900677154
23,0.5440789225205996,0.14186578154741616
24,0.5372807073692688,0.14203308889950206
25,0.5368731236656922,0.1406685950799071
26,0.5349466111565433,0.14076037263965432
27,0.5362642970115009,0.142294166572431
28,0.5332968504045602,0.1378790826216026
29,0.534803761047212,0.13854537790064567
30,0.5318553587340114,0.1469971957143067
31,0.5288462828992553,0.14337514459785974
32,0.5272443704664832,0.139974134234829
33,0.526511630484356,0.13985127714150847
34,0.524368708716056,0.1428274146603129
35,0.5253574448736824,0.14883180250492267
36,0.5232371089851682,0.14828266082718286
37,0.5210668736061622,0.14693700661877485
38,0.5165331838524168,0.15475488381636868
39,0.5166679151122904,0.15898739213888374
40,0.5175644427973443,0.15236905846081755
41,0.5135991965803572,0.1432650803612139
42,0.518858449518805,0.16911002869642594
43,0.5096447572578717,0.16628542155083215
