epoch,training_bce
1,0.6206872781456557
2,0.5673372708971889
3,0.5647628957839018
4,0.5613523478000764
5,0.5605700691444236
6,0.557169486340884
7,0.5579932131420728
8,0.5565701288224428
9,0.554922975881091
10,0.5578625241866985
11,0.55343934759298
12,0.5524277477742596
13,0.5505775214935579
14,0.5506862656062471
15,0.5485856061392183
16,0.5492929834154047
17,0.5449989721197158
18,0.5445558438686351
19,0.5412659973353813
20,0.5413494618065804
21,0.5357823791515522
22,0.5367768057661718
23,0.5315104281810353
24,0.5300565685530867
25,0.5290145599595232
26,0.528355304104886
27,0.525718451030265
28,0.5232373165421209
