scenario,horizon_moex_rows,delta_bps,eligible_moex_rows,signals,hits,hit_rate,hit_rate_wilson_95,random_hit_rate,lift,lift_block_bootstrap_95,absolute_delta_pp,absolute_delta_pp_block_bootstrap_95,fisher_exact_greater_p,symmetric_bps_mean,symmetric_bps_median,symmetric_bps_block_bootstrap_95,forward_bps_mean,forward_bps_median,forward_bps_block_bootstrap_95,circular_shift_p_hit_rate,circular_shift_p_symmetric_bps,circular_shift_p_forward_bps
window_closing,3,10.0,443,10,9,0.9,"[0.59584997, 0.98212379]",0.62528217,1.43935018,"[null, null]",27.4717833,"[null, null]",0.06177222,17.21591988,16.8231323,"[null, null]",110.46647356,157.53079258,"[null, null]",0.06546275,0.26636569,0.01128668
window_closing,3,25.0,443,10,9,0.9,"[0.59584997, 0.98212379]",0.5778781,1.55742188,"[null, null]",32.21218962,"[null, null]",0.03300029,17.21591988,16.8231323,"[null, null]",110.46647356,157.53079258,"[null, null]",0.03837472,0.26636569,0.01128668
window_closing,3,50.0,443,10,9,0.9,"[0.59584997, 0.98212379]",0.47629797,1.88957346,"[null, null]",42.37020316,"[null, null]",0.00669224,17.21591988,16.8231323,"[null, null]",110.46647356,157.53079258,"[null, null]",0.01128668,0.26636569,0.01128668
window_closing,3,75.0,443,10,8,0.8,"[0.49016247, 0.94331785]",0.41309255,1.93661202,"[null, null]",38.69074492,"[null, null]",0.01440946,17.21591988,16.8231323,"[null, null]",110.46647356,157.53079258,"[null, null]",0.02257336,0.26636569,0.01128668
window_closing,3,100.0,443,10,8,0.8,"[0.49016247, 0.94331785]",0.33860045,2.36266667,"[null, null]",46.13995485,"[null, null]",0.00345729,17.21591988,16.8231323,"[null, null]",110.46647356,157.53079258,"[null, null]",0.01354402,0.26636569,0.01128668
favorable_now,5,10.0,443,7,4,0.57142857,"[0.25045836, 0.84178014]",0.28442438,2.00907029,"[null, null]",28.70041922,"[null, null]",0.10500747,81.95697918,85.94813568,"[null, null]",-0.36246265,89.42127704,"[null, null]",0.11963883,0.02934537,0.51015801
favorable_now,5,25.0,443,7,4,0.57142857,"[0.25045836, 0.84178014]",0.33408578,1.71042471,"[null, null]",23.73427926,"[null, null]",0.1727052,81.95697918,85.94813568,"[null, null]",-0.36246265,89.42127704,"[null, null]",0.17832957,0.02934537,0.51015801
favorable_now,5,35.0,443,7,4,0.57142857,"[0.25045836, 0.84178014]",0.3724605,1.53419913,"[null, null]",19.89680748,"[null, null]",0.23690136,81.95697918,85.94813568,"[null, null]",-0.36246265,89.42127704,"[null, null]",0.22799097,0.02934537,0.51015801
favorable_now,5,50.0,443,7,4,0.57142857,"[0.25045836, 0.84178014]",0.40632054,1.40634921,"[null, null]",16.51080297,"[null, null]",0.30085835,81.95697918,85.94813568,"[null, null]",-0.36246265,89.42127704,"[null, null]",0.30474041,0.02934537,0.51015801
favorable_now,5,75.0,443,7,4,0.57142857,"[0.25045836, 0.84178014]",0.46501129,1.22884882,"[null, null]",10.64172847,"[null, null]",0.42331896,81.95697918,85.94813568,"[null, null]",-0.36246265,89.42127704,"[null, null]",0.41534989,0.02934537,0.51015801
favorable_now,5,100.0,443,7,4,0.57142857,"[0.25045836, 0.84178014]",0.53273138,1.07263923,"[null, null]",3.86971945,"[null, null]",0.57177831,81.95697918,85.94813568,"[null, null]",-0.36246265,89.42127704,"[null, null]",0.58690745,0.02934537,0.51015801
window_closing,5,0.0,443,10,9,0.9,"[0.59584997, 0.98212379]",0.72460497,1.24205607,"[null, null]",17.53950339,"[null, null]",0.18839079,19.56770675,32.6141438,"[null, null]",144.49399737,203.18084165,"[null, null]",0.18058691,0.29119639,0.01128668
window_closing,5,10.0,443,10,9,0.9,"[0.59584997, 0.98212379]",0.70654628,1.27380192,"[null, null]",19.34537246,"[null, null]",0.15670809,19.56770675,32.6141438,"[null, null]",144.49399737,203.18084165,"[null, null]",0.1489842,0.29119639,0.01128668
window_closing,5,25.0,443,10,9,0.9,"[0.59584997, 0.98212379]",0.66591422,1.35152542,"[null, null]",23.40857788,"[null, null]",0.10052427,19.56770675,32.6141438,"[null, null]",144.49399737,203.18084165,"[null, null]",0.0993228,0.29119639,0.01128668
window_closing,5,50.0,443,10,9,0.9,"[0.59584997, 0.98212379]",0.58239278,1.54534884,"[null, null]",31.76072235,"[null, null]",0.03513267,19.56770675,32.6141438,"[null, null]",144.49399737,203.18084165,"[null, null]",0.04288939,0.29119639,0.01128668
window_closing,5,75.0,443,10,8,0.8,"[0.49016247, 0.94331785]",0.50564334,1.58214286,"[null, null]",29.43566591,"[null, null]",0.05670783,19.56770675,32.6141438,"[null, null]",144.49399737,203.18084165,"[null, null]",0.0744921,0.29119639,0.01128668
window_closing,5,100.0,443,10,8,0.8,"[0.49016247, 0.94331785]",0.43340858,1.84583333,"[null, null]",36.65914221,"[null, null]",0.02012208,19.56770675,32.6141438,"[null, null]",144.49399737,203.18084165,"[null, null]",0.04288939,0.29119639,0.01128668
favorable_now,10,10.0,443,7,4,0.57142857,"[0.25045836, 0.84178014]",0.22121896,2.58309038,"[null, null]",35.02096098,"[null, null]",0.04564661,110.56762333,186.17594188,"[null, null]",23.55325787,235.45969797,"[null, null]",0.0496614,0.03837472,0.35665914
favorable_now,10,25.0,443,7,4,0.57142857,"[0.25045836, 0.84178014]",0.248307,2.3012987,"[null, null]",32.31215737,"[null, null]",0.06744313,110.56762333,186.17594188,"[null, null]",23.55325787,235.45969797,"[null, null]",0.06772009,0.03837472,0.35665914
favorable_now,10,35.0,443,7,4,0.57142857,"[0.25045836, 0.84178014]",0.26410835,2.16361416,"[null, null]",30.73202193,"[null, null]",0.08266136,110.56762333,186.17594188,"[null, null]",23.55325787,235.45969797,"[null, null]",0.08126411,0.03837472,0.35665914
