epoch,training_bce
1,0.6090282172000946
2,0.574856594767553
3,0.5666977788585983
4,0.5643363575648835
5,0.560460452572679
6,0.5554550376501792
7,0.5531417901710529
8,0.552541440113066
9,0.5487803795983334
10,0.5490471698431479
11,0.5454547416374929
12,0.5427188018788374
13,0.5423085580160596
14,0.5383467213850025
15,0.5413163116536778
16,0.5363498057624068
17,0.5299762960884855
18,0.528242698709896
19,0.5260390935755337
20,0.5259876122234606
21,0.5271080114035117
22,0.5252833018397781
23,0.5142278453464485
