config_id,model_kind,feature_set,horizon_cbr_rows_pub_proxy,eligible_count,baseline_hits,baseline_hit_rate,signal_count,signal_hits,hit_rate,lift,expected_signal_hits_cell_standardized,signal_weighted_baseline_hit_rate,cell_standardized_lift,mean_signals_per_week,min_fold_lift,folds_lift_ge_1,active_fold_count,fold_count,min_corridor_lift,corridors_lift_ge_1,active_corridor_count,corridor_count,positive_fold_corridor_cells,active_fold_corridor_cells,fold_corridor_cell_count,signal_symmetric_bps,baseline_symmetric_bps,symmetric_bps_delta,cell_standardized_symmetric_bps_delta,signal_forward_bps,baseline_forward_bps,forward_bps_delta,cell_standardized_forward_bps_delta,signal_regret_bps,baseline_regret_bps,regret_bps_improvement,cell_standardized_regret_bps_improvement,model_brier,prior_year_prevalence_brier,brier_skill_vs_prior_year,exploratory_post_selection
down3,down3,none,1,4495,2376,0.528587319243604,320,143,0.446875,0.8454137731481481,167.55481880122443,0.5236088087538263,0.8534520285545796,0.34633631681783894,0.8195569962182604,0,4,4,0.831396298310058,0,5,5,3,20,20,25.256236363884998,0.34705477047203437,24.909181593412963,24.906711172933804,-11.389395185004313,2.8592517614011372,-14.24864694640545,-13.65221816019087,43.02101986296365,32.4833520741082,-10.537667788855451,-10.285193509257702,,,,True
hgb_core_vol,hist_gradient_boosting,core_vol,1,4495,2376,0.528587319243604,907,505,0.5567805953693495,1.0533370270139841,485.34358028043846,0.5351086882915529,1.0405000097213686,0.9858292408585181,0.9366124717019964,3,4,4,0.9816204687797379,4,5,5,11,20,20,-6.613815537554114,0.34705477047203437,-6.9608703080261485,-6.952593050111124,4.568514305050179,2.8592517614011372,1.709262543649042,0.6807077581931193,30.689691208456633,32.4833520741082,1.7936608656515638,1.0104476208469038,0.2528978512364555,0.25195850690446847,-0.0037281707354424043,True
level_pr120,level_score,pr120,1,4495,2376,0.528587319243604,901,463,0.5138734739178691,0.9721638321804804,470.0680898423357,0.521718190724013,0.9849636893142302,0.9623180156109976,0.912962016692216,1,4,4,0.9577553659139985,2,5,5,9,20,20,3.7486418154883276,0.34705477047203437,3.401587045016293,3.396463991946236,-2.6826058743570536,2.8592517614011372,-5.541857635758191,-4.423822789030758,33.36397541040812,32.4833520741082,-0.8806233362999265,-0.4142147477752687,,,,True
logit_core10,logistic,core10,1,4495,2376,0.528587319243604,807,458,0.5675340768277571,1.0736808397898856,425.0016869095817,0.5266439738656526,1.077642781444862,0.8900886688398222,0.8411013136584489,3,4,4,0.9703958309572869,4,5,5,12,20,20,-3.9132536027467633,0.34705477047203437,-4.260308373218797,-4.271558700335126,8.327906562841552,2.8592517614011372,5.468654801440414,5.838262625130891,29.286914916430867,32.4833520741082,3.1964371576773303,3.2285542070234214,0.2611520404594979,0.25195850690446847,-0.03648828399556758,True
logit_core_levels,logistic,core_levels,1,4495,2376,0.528587319243604,748,402,0.5374331550802139,1.0167348619888728,395.40967339784737,0.5286225580185125,1.0166670849135289,0.8166609019324543,0.9138308457711443,2,4,4,0.9345126902048146,3,5,5,9,20,20,-7.420816978714362,0.34705477047203437,-7.767871749186397,-7.762489154743344,5.5018432486750966,2.8592517614011372,2.6425914872739593,2.599672908467363,28.904248335201743,32.4833520741082,3.579103738906454,3.432471827990426,0.2689201203545903,0.25195850690446847,-0.06731907431310868,True
logit_core_vol,logistic,core_vol,1,4495,2376,0.528587319243604,934,519,0.5556745182012848,1.0512445114961173,494.3426899213324,0.5292748286095637,1.0498789818912695,1.0128939504344052,0.9781279717429697,3,4,4,0.9892631462037128,4,5,5,14,20,20,-6.0784212164553955,0.34705477047203437,-6.42547598692743,-6.422578455682054,5.321121632589515,2.8592517614011372,2.4618698711883775,2.408631486986317,30.470131773602294,32.4833520741082,2.0132203005059033,1.742396483448406,0.2584156685187195,0.25195850690446847,-0.025627876961103357,True
logit_core_vol_calendar,logistic,core_vol_calendar,1,4495,2376,0.528587319243604,926,543,0.5863930885529157,1.1093589785544429,491.5936164872782,0.5308786355154193,1.1045708930885845,1.0028618169927968,1.0210350961402717,4,4,4,1.0586136287475547,5,5,5,16,20,20,-2.445972624499928,0.34705477047203437,-2.793027394971962,-2.7879346375735494,11.861445766522738,2.8592517614011372,9.002194005121602,8.697333823535615,27.4236167289337,32.4833520741082,5.059735345174499,4.669723103913082,0.2580374795209872,0.25195850690446847,-0.024126879823206826,True
logit_full,logistic,full,1,4495,2376,0.528587319243604,904,532,0.588495575221239,1.1133365364560055,479.2162741516079,0.5301064979553185,1.1101459376391987,0.9724615397712804,0.9965579326413895,3,4,4,1.064216786905293,5,5,5,18,20,20,-2.0663036439851266,0.34705477047203437,-2.4133584144571607,-2.4066969575913175,14.570641582355318,2.8592517614011372,11.711389820954182,11.446276940047207,26.42563953924464,32.4833520741082,6.057712534863558,5.708307944427812,0.2639412175539657,0.25195850690446847,-0.047558269798925856,True
weekly_first,weekly_first,none,1,4495,2376,0.528587319243604,935,446,0.4770053475935829,0.9024154197950989,493.8684346301964,0.5282015343638464,0.9030745209176209,1.0127587224181442,0.8465587044534413,1,4,4,0.8645143424211088,0,5,5,3,20,20,-6.547851989780202,0.34705477047203437,-6.894906760252237,-6.895219264246761,-10.532902191647718,2.8592517614011372,-13.392153953048854,-13.328733056577423,40.43522492252401,32.4833520741082,-7.95187284841581,-7.908583737600836,,,,True
down3,down3,none,3,4455,1681,0.37732884399551064,317,107,0.33753943217665616,0.8945497741505076,117.56854690828399,0.37087869687155833,0.9101073613121323,0.34613544087663023,0.8137031984235258,1,4,4,0.7876337009949401,1,5,5,7,20,20,67.72593705684498,1.0471647628913372,66.67877229395364,66.70889528166093,-3.9052079220808804,5.884514192169655,-9.789722114250536,-8.414388202402629,94.36777329456393,79.56221081944203,-14.805562475121903,-13.939212168148217,,,,True
