config_id,horizon_cbr_rows_pub_proxy,fold_test_year,feature,standardized_coefficient,coefficient_mean,coefficient_std,sign_agreement_folds
logit_core10,1,2023,corridor__corridor_AMD,0.14709554474903272,0.08841158059300133,0.04953529681403435,4
logit_core10,1,2024,corridor__corridor_AMD,0.11091002282317677,0.08841158059300133,0.04953529681403435,4
logit_core10,1,2025,corridor__corridor_AMD,0.04020599015649774,0.08841158059300133,0.04953529681403435,4
logit_core10,1,2026,corridor__corridor_AMD,0.05543476464329809,0.08841158059300133,0.04953529681403435,4
logit_core10,1,2023,corridor__corridor_KGS,-0.022412733987271023,-0.0025012439793942187,0.022905401501490643,2
logit_core10,1,2024,corridor__corridor_KGS,-0.02114215809789894,-0.0025012439793942187,0.022905401501490643,2
logit_core10,1,2025,corridor__corridor_KGS,0.01018416115306415,-0.0025012439793942187,0.022905401501490643,2
logit_core10,1,2026,corridor__corridor_KGS,0.02336575501452894,-0.0025012439793942187,0.022905401501490643,2
logit_core10,1,2023,corridor__corridor_KZT,-0.05344433518909119,-0.07174398148489018,0.021863350213072116,4
logit_core10,1,2024,corridor__corridor_KZT,-0.08786118106997046,-0.07174398148489018,0.021863350213072116,4
logit_core10,1,2025,corridor__corridor_KZT,-0.052377986874711104,-0.07174398148489018,0.021863350213072116,4
logit_core10,1,2026,corridor__corridor_KZT,-0.09329242280578796,-0.07174398148489018,0.021863350213072116,4
logit_core10,1,2023,corridor__corridor_TJS,-0.06288188213309674,0.012284677609232358,0.05353176035305139,3
logit_core10,1,2024,corridor__corridor_TJS,0.016553298823484497,0.012284677609232358,0.05353176035305139,3
logit_core10,1,2025,corridor__corridor_TJS,0.06214642636156164,0.012284677609232358,0.05353176035305139,3
logit_core10,1,2026,corridor__corridor_TJS,0.03332086738498004,0.012284677609232358,0.05353176035305139,3
logit_core10,1,2023,corridor__corridor_UZS,-0.03756064518663854,-0.026896236844809053,0.013526680053245779,4
logit_core10,1,2024,corridor__corridor_UZS,-0.03896449029184996,-0.026896236844809053,0.013526680053245779,4
logit_core10,1,2025,corridor__corridor_UZS,-0.011583140360568032,-0.026896236844809053,0.013526680053245779,4
logit_core10,1,2026,corridor__corridor_UZS,-0.019476671540179676,-0.026896236844809053,0.013526680053245779,4
logit_core10,1,2023,numeric__pr120,0.00039954480103815827,0.03950802629085646,0.13989350096290665,3
logit_core10,1,2024,numeric__pr120,0.12132519198079453,0.03950802629085646,0.13989350096290665,3
logit_core10,1,2025,numeric__pr120,0.17559420797033257,0.03950802629085646,0.13989350096290665,3
logit_core10,1,2026,numeric__pr120,-0.13928683958873941,0.03950802629085646,0.13989350096290665,3
logit_core10,1,2023,numeric__pr20,0.04123979876983532,0.1870270343534856,0.12621315607412473,4
logit_core10,1,2024,numeric__pr20,0.12427722325650972,0.1870270343534856,0.12621315607412473,4
logit_core10,1,2025,numeric__pr20,0.2706318754516817,0.1870270343534856,0.12621315607412473,4
logit_core10,1,2026,numeric__pr20,0.3119592399359157,0.1870270343534856,0.12621315607412473,4
logit_core10,1,2023,numeric__pr252,-0.0795783611591408,-0.129605683881373,0.053492132232581084,4
logit_core10,1,2024,numeric__pr252,-0.20438918179551563,-0.129605683881373,0.053492132232581084,4
logit_core10,1,2025,numeric__pr252,-0.12677971511499148,-0.129605683881373,0.053492132232581084,4
logit_core10,1,2026,numeric__pr252,-0.10767547745584409,-0.129605683881373,0.053492132232581084,4
logit_core10,1,2023,numeric__pr60,0.037965452884840184,0.14407709172579994,0.19100639929716387,3
logit_core10,1,2024,numeric__pr60,-0.03817844142928494,0.14407709172579994,0.19100639929716387,3
logit_core10,1,2025,numeric__pr60,0.18010393611298675,0.14407709172579994,0.19100639929716387,3
logit_core10,1,2026,numeric__pr60,0.3964174193346578,0.14407709172579994,0.19100639929716387,3
logit_core10,1,2023,numeric__ret1,-0.021854420057385034,0.2208823450164414,0.17266984581449432,3
logit_core10,1,2024,numeric__ret1,0.2174965843807675,0.2208823450164414,0.17266984581449432,3
logit_core10,1,2025,numeric__ret1,0.3333634935900557,0.2208823450164414,0.17266984581449432,3
logit_core10,1,2026,numeric__ret1,0.3545237221523275,0.2208823450164414,0.17266984581449432,3
logit_core10,1,2023,numeric__ret10,0.059507723874280646,-0.19062740041616072,0.1898308052115279,3
logit_core10,1,2024,numeric__ret10,-0.25296647055772165,-0.19062740041616072,0.1898308052115279,3
logit_core10,1,2025,numeric__ret10,-0.39411508205460966,-0.19062740041616072,0.1898308052115279,3
logit_core10,1,2026,numeric__ret10,-0.1749357729265923,-0.19062740041616072,0.1898308052115279,3
logit_core10,1,2023,numeric__ret20,-0.009473928739831808,-0.11586316567248292,0.14939540664430367,3
logit_core10,1,2024,numeric__ret20,0.004706022267993275,-0.11586316567248292,0.14939540664430367,3
logit_core10,1,2025,numeric__ret20,-0.14174585862034933,-0.11586316567248292,0.14939540664430367,3
logit_core10,1,2026,numeric__ret20,-0.3169388975977438,-0.11586316567248292,0.14939540664430367,3
logit_core10,1,2023,numeric__ret3,0.013496701099828739,-0.07288620298209066,0.06380192040709695,3
logit_core10,1,2024,numeric__ret3,-0.1257059444426923,-0.07288620298209066,0.06380192040709695,3
logit_core10,1,2025,numeric__ret3,-0.11609580914078921,-0.07288620298209066,0.06380192040709695,3
logit_core10,1,2026,numeric__ret3,-0.06323975944470984,-0.07288620298209066,0.06380192040709695,3
logit_core10,1,2023,numeric__ret5,-0.1193604381109403,0.05591283575758847,0.2095475373727586,2
logit_core10,1,2024,numeric__ret5,0.24904622346514765,0.05591283575758847,0.2095475373727586,2
logit_core10,1,2025,numeric__ret5,0.22523792384629002,0.05591283575758847,0.2095475373727586,2
logit_core10,1,2026,numeric__ret5,-0.13127236617014348,0.05591283575758847,0.2095475373727586,2
logit_core10,1,2023,numeric__ret60,-0.12569690012266102,0.010680710892786365,0.12027732162168533,2
logit_core10,1,2024,numeric__ret60,0.051057670010075086,0.010680710892786365,0.12027732162168533,2
logit_core10,1,2025,numeric__ret60,-0.037658695598035245,0.010680710892786365,0.12027732162168533,2
logit_core10,1,2026,numeric__ret60,0.15502076928176664,0.010680710892786365,0.12027732162168533,2
logit_core10,3,2023,corridor__corridor_AMD,0.16448954598614604,0.09922492787908352,0.048223985807959245,4
logit_core10,3,2024,corridor__corridor_AMD,0.10464275493654138,0.09922492787908352,0.048223985807959245,4
logit_core10,3,2025,corridor__corridor_AMD,0.05414124237116096,0.09922492787908352,0.048223985807959245,4
logit_core10,3,2026,corridor__corridor_AMD,0.07362616822248567,0.09922492787908352,0.048223985807959245,4
logit_core10,3,2023,corridor__corridor_KGS,-0.04209552553597142,0.01571365972710616,0.04113307766904164,3
logit_core10,3,2024,corridor__corridor_KGS,0.015520877548327509,0.01571365972710616,0.04113307766904164,3
logit_core10,3,2025,corridor__corridor_KGS,0.03962853215010343,0.01571365972710616,0.04113307766904164,3
logit_core10,3,2026,corridor__corridor_KGS,0.049800754745965126,0.01571365972710616,0.04113307766904164,3
logit_core10,3,2023,corridor__corridor_KZT,-0.06193904028968428,-0.12105040009826373,0.05184628505669836,4
logit_core10,3,2024,corridor__corridor_KZT,-0.1186510670504893,-0.12105040009826373,0.05184628505669836,4
logit_core10,3,2025,corridor__corridor_KZT,-0.11525154364077078,-0.12105040009826373,0.05184628505669836,4
logit_core10,3,2026,corridor__corridor_KZT,-0.18835994941211057,-0.12105040009826373,0.05184628505669836,4
logit_core10,3,2023,corridor__corridor_TJS,-0.027249712795314684,0.01404928890151817,0.03390775241206269,3
logit_core10,3,2024,corridor__corridor_TJS,0.011353245328238165,0.01404928890151817,0.03390775241206269,3
logit_core10,3,2025,corridor__corridor_TJS,0.01644389307210147,0.01404928890151817,0.03390775241206269,3
logit_core10,3,2026,corridor__corridor_TJS,0.055649730001047726,0.01404928890151817,0.03390775241206269,3
logit_core10,3,2023,corridor__corridor_UZS,-0.03141573328868784,-0.008987861043923993,0.017826364202030428,2
logit_core10,3,2024,corridor__corridor_UZS,-0.01522667480670824,-0.008987861043923993,0.017826364202030428,2
logit_core10,3,2025,corridor__corridor_UZS,0.005853462308123645,-0.008987861043923993,0.017826364202030428,2
logit_core10,3,2026,corridor__corridor_UZS,0.004837501611576461,-0.008987861043923993,0.017826364202030428,2
logit_core10,3,2023,numeric__pr120,0.045781561914838134,0.09531231676314543,0.22531059282533608,3
logit_core10,3,2024,numeric__pr120,0.23119768492866452,0.09531231676314543,0.22531059282533608,3
logit_core10,3,2025,numeric__pr120,0.3047690350695161,0.09531231676314543,0.22531059282533608,3
logit_core10,3,2026,numeric__pr120,-0.20049901486043697,0.09531231676314543,0.22531059282533608,3
logit_core10,3,2023,numeric__pr20,-0.002344074173246335,0.1965974021753409,0.14450366584840874,3
logit_core10,3,2024,numeric__pr20,0.187609944748601,0.1965974021753409,0.14450366584840874,3
logit_core10,3,2025,numeric__pr20,0.27440635169419175,0.1965974021753409,0.14450366584840874,3
logit_core10,3,2026,numeric__pr20,0.32671738643181725,0.1965974021753409,0.14450366584840874,3
logit_core10,3,2023,numeric__pr252,-0.13880272476670472,-0.13055338104259723,0.07827501185974942,4
logit_core10,3,2024,numeric__pr252,-0.23577447426022735,-0.13055338104259723,0.07827501185974942,4
logit_core10,3,2025,numeric__pr252,-0.05377281042633531,-0.13055338104259723,0.07827501185974942,4
logit_core10,3,2026,numeric__pr252,-0.09386351471712155,-0.13055338104259723,0.07827501185974942,4
logit_core10,3,2023,numeric__pr60,0.01832993692061957,0.16823437517127793,0.29691690549392713,3
logit_core10,3,2024,numeric__pr60,-0.12433826299021553,0.16823437517127793,0.29691690549392713,3
logit_core10,3,2025,numeric__pr60,0.21842339493148866,0.16823437517127793,0.29691690549392713,3
logit_core10,3,2026,numeric__pr60,0.560522431823219,0.16823437517127793,0.29691690549392713,3
logit_core10,3,2023,numeric__ret1,-0.04765154894022089,0.16339011553477778,0.164797555800659,3
logit_core10,3,2024,numeric__ret1,0.12565440319391924,0.16339011553477778,0.164797555800659,3
logit_core10,3,2025,numeric__ret1,0.2399925953900575,0.16339011553477778,0.164797555800659,3
logit_core10,3,2026,numeric__ret1,0.33556501249535525,0.16339011553477778,0.164797555800659,3
logit_core10,3,2023,numeric__ret10,0.05742093924282284,-0.1624923481998878,0.1624948565918274,3
logit_core10,3,2024,numeric__ret10,-0.15715643766192985,-0.1624923481998878,0.1624948565918274,3
logit_core10,3,2025,numeric__ret10,-0.3273415042768987,-0.1624923481998878,0.1624948565918274,3
logit_core10,3,2026,numeric__ret10,-0.22289239010354556,-0.1624923481998878,0.1624948565918274,3
logit_core10,3,2023,numeric__ret20,0.0328382616095396,-0.15060910449038412,0.16141818125637714,3
logit_core10,3,2024,numeric__ret20,-0.0741575119170693,-0.15060910449038412,0.16141818125637714,3
logit_core10,3,2025,numeric__ret20,-0.2310814617166915,-0.15060910449038412,0.16141818125637714,3
logit_core10,3,2026,numeric__ret20,-0.3300357059373153,-0.15060910449038412,0.16141818125637714,3
logit_core10,3,2023,numeric__ret3,0.12364047211280699,-0.06279160168309376,0.1475826679041094,3
logit_core10,3,2024,numeric__ret3,-0.043011891308529164,-0.06279160168309376,0.1475826679041094,3
logit_core10,3,2025,numeric__ret3,-0.09906888257013233,-0.06279160168309376,0.1475826679041094,3
logit_core10,3,2026,numeric__ret3,-0.23272610496652055,-0.06279160168309376,0.1475826679041094,3
logit_core10,3,2023,numeric__ret5,-0.1897135292350546,-0.0070715399771856535,0.16769567417061365,2
logit_core10,3,2024,numeric__ret5,0.12764158610403706,-0.0070715399771856535,0.16769567417061365,2
logit_core10,3,2025,numeric__ret5,0.14281192683865995,-0.0070715399771856535,0.16769567417061365,2
logit_core10,3,2026,numeric__ret5,-0.10902614361638502,-0.0070715399771856535,0.16769567417061365,2
logit_core10,3,2023,numeric__ret60,-0.14512411122808952,-0.024553968555085355,0.14638097305704945,2
logit_core10,3,2024,numeric__ret60,0.0612585402291434,-0.024553968555085355,0.14638097305704945,2
logit_core10,3,2025,numeric__ret60,-0.15170399872189017,-0.024553968555085355,0.14638097305704945,2
logit_core10,3,2026,numeric__ret60,0.13735369550049487,-0.024553968555085355,0.14638097305704945,2
logit_core10,5,2023,corridor__corridor_AMD,0.1979372576980956,0.1075892637188393,0.0677239062441517,4
logit_core10,5,2024,corridor__corridor_AMD,0.1182436322656877,0.1075892637188393,0.0677239062441517,4
logit_core10,5,2025,corridor__corridor_AMD,0.04325753243482246,0.1075892637188393,0.0677239062441517,4
logit_core10,5,2026,corridor__corridor_AMD,0.07091863247675144,0.1075892637188393,0.0677239062441517,4
logit_core10,5,2023,corridor__corridor_KGS,-0.06492458605558994,-0.018671011405757693,0.047812093137319274,3
logit_core10,5,2024,corridor__corridor_KGS,-0.03631721161559276,-0.018671011405757693,0.047812093137319274,3
logit_core10,5,2025,corridor__corridor_KGS,-0.02111310405285336,-0.018671011405757693,0.047812093137319274,3
