corridor,aligned_rows,level_correlation,log_return_correlation,basis_median_bps,basis_mad_bps,basis_p95_abs_bps,basis_max_abs_bps,cbr_down3_signals,oxr_down3_signals,exact_signal_jaccard,cbr_signal_with_oxr_within_one_session_share
AMD,1641,0.9959227385078159,0.26709566780666544,21.477865492032233,67.05255798039155,399.1271685808184,1550.4096036268677,119,79,0.058823529411764705,0.2857142857142857
KGS,1641,0.9863925735000324,0.2769653387303557,15.649760034870397,61.36708291912596,372.2798704717245,1675.5099767114646,125,101,0.1188118811881188,0.368
KZT,1641,0.9899383394690805,0.2160068108432232,11.728595574551637,67.69092184619186,334.85096353990104,1767.9174085692928,117,92,0.045,0.3076923076923077
TJS,1641,0.9858903697716397,0.10771772204136211,28.124344378619437,67.8394658734749,425.6598275499024,3345.1004187037124,119,83,0.08021390374331551,0.3445378151260504
UZS,1641,0.9842431345658371,0.2921910759472645,12.491983237781223,64.27640383958378,323.76384588083783,1562.503793033565,127,79,0.061855670103092786,0.3228346456692913
