config_id,model_kind,feature_set,horizon_cbr_rows_pub_proxy,fold_test_year,corridor,train_start,train_end_inclusive,validation_start,validation_end_inclusive_after_purge,test_start,test_end_inclusive,purge_cbr_rows_pub_proxy,threshold,threshold_selected_with_labels,validation_mean_signals_per_week,eligible_count,baseline_hits,baseline_hit_rate,signal_count,signal_hits,hit_rate,hit_wilson95_low,hit_wilson95_high,lift,signals_per_week,signal_symmetric_bps,baseline_symmetric_bps,signal_forward_bps,baseline_forward_bps,signal_regret_bps,baseline_regret_bps,prior_year_prevalence,model_brier,prior_year_prevalence_brier,oracle_test_climatology_brier
down3,down3,none,1,2023,AMD,2020-01-01,2021-12-30,2022-01-11,2022-12-30,2023-01-10,2023-12-29,1,1.0,False,0.40225352112676055,246,140,0.5691056910569106,17,8,0.47058823529411764,0.26164801196088106,0.6903710268845051,0.8268907563025211,0.3361581920903955,26.72376191480726,0.2778396317696941,-14.22486238590831,9.355243197157094,44.75930252257101,29.513948581491455,0.4983739837398374,,,
down3,down3,none,1,2023,KGS,2020-01-01,2021-12-30,2022-01-11,2022-12-30,2023-01-10,2023-12-29,1,1.0,False,0.40225352112676055,246,139,0.5650406504065041,15,6,0.4,0.19824228082594664,0.642535572434923,0.7079136690647482,0.2966101694915254,21.90547036859658,0.1556530883863814,-23.575812736792948,8.683849891399134,41.27226543555226,26.42666008710708,0.4983739837398374,,,
down3,down3,none,1,2023,KZT,2020-01-01,2021-12-30,2022-01-11,2022-12-30,2023-01-10,2023-12-29,1,1.0,False,0.40225352112676055,246,137,0.556910569105691,15,8,0.5333333333333333,0.3011663015105079,0.7519077474025355,0.9576642335766423,0.2966101694915254,24.49058727468241,0.4060306978649048,-13.448805065424157,11.309313544760112,54.44235017184281,34.18605173525523,0.4983739837398374,,,
down3,down3,none,1,2023,TJS,2020-01-01,2021-12-30,2022-01-11,2022-12-30,2023-01-10,2023-12-29,1,1.0,False,0.40225352112676055,246,140,0.5691056910569106,16,8,0.5,0.2799923761135083,0.7200076238864916,0.8785714285714286,0.3163841807909604,24.612837306536292,0.17866450456273533,-14.63250900767786,7.430645445308682,39.01284820022278,27.217721314379624,0.4983739837398374,,,
down3,down3,none,1,2023,UZS,2020-01-01,2021-12-30,2022-01-11,2022-12-30,2023-01-10,2023-12-29,1,1.0,False,0.40225352112676055,246,138,0.5609756097560976,17,7,0.4117647058823529,0.21610786039131383,0.6399492561448447,0.7340153452685421,0.3361581920903955,36.898649251292774,0.2837272619283952,-3.347926759903211,6.72617856569772,34.5488301432186,28.661587127381924,0.4983739837398374,,,
down3,down3,none,1,2024,AMD,2021-01-01,2022-12-30,2023-01-10,2023-12-29,2024-01-10,2024-12-28,1,1.0,False,0.3154929577464789,247,138,0.5587044534412956,17,9,0.5294117647058824,0.30962897311549487,0.738351988039119,0.9475703324808183,0.3361581920903955,30.39524204531378,0.3629827536522755,5.248539158053351,6.114525568248738,39.39277163990418,27.77254497936039,0.5642276422764227,,,
down3,down3,none,1,2024,KGS,2021-01-01,2022-12-30,2023-01-10,2023-12-29,2024-01-10,2024-12-28,1,1.0,False,0.3154929577464789,247,139,0.562753036437247,18,10,0.5555555555555556,0.3371606942825164,0.7544076889861088,0.9872102318145485,0.35593220338983056,30.212194018342828,0.3547936198146009,17.761192765751233,6.2254100522184,31.76904588554574,26.553878950958214,0.5642276422764227,,,
down3,down3,none,1,2024,KZT,2021-01-01,2022-12-30,2023-01-10,2023-12-29,2024-01-10,2024-12-28,1,1.0,False,0.3154929577464789,247,125,0.5060728744939271,17,7,0.4117647058823529,0.21610786039131383,0.6399492561448447,0.8136470588235294,0.3361581920903955,17.208097832193584,0.25064207144182893,-14.508043968277846,-0.36076735001399846,42.45928306703039,35.932496701391806,0.5642276422764227,,,
down3,down3,none,1,2024,TJS,2021-01-01,2022-12-30,2023-01-10,2023-12-29,2024-01-10,2024-12-28,1,1.0,False,0.3154929577464789,247,135,0.5465587044534413,17,7,0.4117647058823529,0.21610786039131383,0.6399492561448447,0.7533769063180826,0.3361581920903955,10.352897847913672,0.34405008147808175,-21.39249409067545,5.301636075621619,43.18069843020522,27.671704405727258,0.5642276422764227,,,
down3,down3,none,1,2024,UZS,2021-01-01,2022-12-30,2023-01-10,2023-12-29,2024-01-10,2024-12-28,1,1.0,False,0.3154929577464789,247,133,0.5384615384615384,18,9,0.5,0.2903070395897999,0.7096929604102,0.9285714285714286,0.35593220338983056,27.381042455747956,0.3899091504292865,7.253283962757842,3.4930471817524253,32.8808346401034,28.461393623879072,0.5642276422764227,,,
down3,down3,none,1,2025,AMD,2022-01-11,2023-12-29,2024-01-10,2024-12-28,2025-01-10,2025-12-30,1,1.0,False,0.3430985915492958,246,113,0.45934959349593496,20,7,0.35,0.18118954786794464,0.5671494897805354,0.7619469026548672,0.3943661971830986,19.94288776968056,0.34069483921490634,-29.417010870552986,-8.879046735597612,54.21773839355181,37.62179111707615,0.5425101214574899,,,
down3,down3,none,1,2025,KGS,2022-01-11,2023-12-29,2024-01-10,2024-12-28,2025-01-10,2025-12-30,1,1.0,False,0.3430985915492958,246,105,0.4268292682926829,21,6,0.2857142857142857,0.13813675745628204,0.49956773822837586,0.6693877551020408,0.4140845070422535,14.247848342458118,0.3339920650350071,-49.330005475757964,-10.676811766651339,68.0604311594407,38.26270582231252,0.5425101214574899,,,
down3,down3,none,1,2025,KZT,2022-01-11,2023-12-29,2024-01-10,2024-12-28,2025-01-10,2025-12-30,1,1.0,False,0.3430985915492958,246,115,0.46747967479674796,19,9,0.47368421052631576,0.27329505487448547,0.6829251748817489,1.0132723112128146,0.37464788732394366,37.22682904747298,0.5444380184765072,1.978971934101179,-8.601340621875588,40.234225481409844,41.96658085469178,0.5425101214574899,,,
down3,down3,none,1,2025,TJS,2022-01-11,2023-12-29,2024-01-10,2024-12-28,2025-01-10,2025-12-30,1,1.0,False,0.3430985915492958,246,124,0.5040650406504065,16,5,0.3125,0.14164435051961052,0.5559606813326594,0.6199596774193549,0.3154929577464789,16.808451874328053,0.37112047530374703,-61.09590864898317,-3.6165997817341675,85.72726994154901,37.77105467788202,0.5425101214574899,,,
down3,down3,none,1,2025,UZS,2022-01-11,2023-12-29,2024-01-10,2024-12-28,2025-01-10,2025-12-30,1,1.0,False,0.3430985915492958,246,113,0.45934959349593496,21,10,0.47619047619047616,0.28343712296762946,0.6763078209973324,1.0366624525916561,0.4140845070422535,32.124725611330426,0.4680370048763894,-9.633751674971105,-7.260839632585107,46.494580568644054,42.98040461813651,0.5425101214574899,,,
down3,down3,none,1,2026,AMD,2023-01-10,2024-12-28,2025-01-10,2025-12-30,2026-01-13,2026-08-29,1,1.0,False,0.38146067415730334,160,90,0.5625,10,5,0.5,0.23658959361548731,0.7634104063845126,0.8888888888888888,0.3056768558951965,25.927098771157507,0.2520231475788218,2.2195395613361355,8.893409031693325,28.33758515458395,28.520747982035147,0.4634146341463415,,,
down3,down3,none,1,2026,KGS,2023-01-10,2024-12-28,2025-01-10,2025-12-30,2026-01-13,2026-08-29,1,1.0,False,0.38146067415730334,160,78,0.4875,15,7,0.4666666666666667,0.24809225259746442,0.6988336984894921,0.9572649572649573,0.4585152838427948,28.307167483981285,0.28109576966048977,11.633199903388144,6.0989409463110205,18.66398625034475,30.056962800647888,0.4634146341463415,,,
down3,down3,none,1,2026,KZT,2023-01-10,2024-12-28,2025-01-10,2025-12-30,2026-01-13,2026-08-29,1,1.0,False,0.38146067415730334,160,96,0.6,9,3,0.3333333333333333,0.12058159868274293,0.6458026525009102,0.5555555555555556,0.2751091703056769,28.145416767918608,0.5372400634017019,-4.883182850341383,12.138459243029581,40.967993194957785,37.2206631887351,0.4634146341463415,,,
down3,down3,none,1,2026,TJS,2023-01-10,2024-12-28,2025-01-10,2025-12-30,2026-01-13,2026-08-29,1,1.0,False,0.38146067415730334,160,84,0.525,13,9,0.6923076923076923,0.4236888781333764,0.8731950283838191,1.3186813186813187,0.39737991266375544,28.49960897058588,0.4633927840906605,14.446126465073807,6.669419577406752,15.211135004453872,29.565674915878652,0.4634146341463415,,,
down3,down3,none,1,2026,UZS,2023-01-10,2024-12-28,2025-01-10,2025-12-30,2026-01-13,2026-08-29,1,1.0,False,0.38146067415730334,160,94,0.5875,9,3,0.3333333333333333,0.12058159868274293,0.6458026525009102,0.5673758865248226,0.2751091703056769,25.791681042817274,0.42196886397602434,-6.620826189915389,7.583706714550442,34.824409581830146,31.386866760111822,0.4634146341463415,,,
hgb_core_vol,hist_gradient_boosting,core_vol,1,2023,AMD,2020-01-01,2021-12-30,2022-01-11,2022-12-30,2023-01-10,2023-12-29,1,0.3959054766696666,False,1.0016901408450702,246,140,0.5691056910569106,55,29,0.5272727272727272,0.39791319071629383,0.6530711468951917,0.9264935064935065,1.0875706214689267,-0.9383622433273788,0.2778396317696941,-6.261836745778453,9.355243197157094,36.435994688874125,29.513948581491455,0.4983739837398374,0.26168741884212826,0.25022737788353494,0.24522440346354688
hgb_core_vol,hist_gradient_boosting,core_vol,1,2023,KGS,2020-01-01,2021-12-30,2022-01-11,2022-12-30,2023-01-10,2023-12-29,1,0.3959054766696666,False,1.0016901408450702,246,139,0.5650406504065041,58,29,0.5,0.3753805824767928,0.6246194175232072,0.8848920863309352,1.1468926553672316,-5.790808182774306,0.1556530883863814,-5.9283376667221965,8.683849891399134,36.78511816676464,26.42666008710708,0.4983739837398374,0.25688028488504394,0.2502141582391434,0.2457697137946989
hgb_core_vol,hist_gradient_boosting,core_vol,1,2023,KZT,2020-01-01,2021-12-30,2022-01-11,2022-12-30,2023-01-10,2023-12-29,1,0.3959054766696666,False,1.0016901408450702,246,137,0.556910569105691,52,31,0.5961538461538461,0.4606733176249609,0.7184046457571771,1.070466030320045,1.0282485875706215,10.513545946870776,0.4060306978649048,8.15087658837099,11.309313544760112,36.621565043789424,34.18605173525523,0.4983739837398374,0.2608662267291739,0.25018771895036024,0.2467611871240663
hgb_core_vol,hist_gradient_boosting,core_vol,1,2023,TJS,2020-01-01,2021-12-30,2022-01-11,2022-12-30,2023-01-10,2023-12-29,1,0.3959054766696666,False,1.0016901408450702,246,140,0.5691056910569106,58,30,0.5172413793103449,0.39162043429213433,0.640720255470097,0.9088669950738917,1.1468926553672316,-1.3587058414873079,0.17866450456273533,-4.149655703653495,7.430645445308682,35.89760908389047,27.217721314379624,0.4983739837398374,0.25470293128736887,0.25022737788353494,0.24522440346354685
hgb_core_vol,hist_gradient_boosting,core_vol,1,2023,UZS,2020-01-01,2021-12-30,2022-01-11,2022-12-30,2023-01-10,2023-12-29,1,0.3959054766696666,False,1.0016901408450702,246,138,0.5609756097560976,57,29,0.5087719298245614,0.38259680329032353,0.6338393193625982,0.9069412662090007,1.1271186440677965,-1.6104907631530183,0.2837272619283952,-10.36264725820175,6.72617856569772,37.67578334491106,28.661587127381924,0.4983739837398374,0.25724884738968207,0.2502009385947518,0.24628197501487206
hgb_core_vol,hist_gradient_boosting,core_vol,1,2024,AMD,2021-01-01,2022-12-30,2023-01-10,2023-12-29,2024-01-10,2024-12-28,1,0.465686114681317,False,0.9938028169014084,247,138,0.5587044534412956,57,36,0.631578947368421,0.5017755948554761,0.7447662449383492,1.1304347826086956,1.1271186440677965,4.7774024035005995,0.3629827536522755,20.564870766723576,6.114525568248738,18.7350484966683,27.77254497936039,0.5642276422764227,0.2419747422929649,0.2465842927610672,0.2465537871461587
hgb_core_vol,hist_gradient_boosting,core_vol,1,2024,KGS,2021-01-01,2022-12-30,2023-01-10,2023-12-29,2024-01-10,2024-12-28,1,0.465686114681317,False,0.9938028169014084,247,139,0.562753036437247,55,34,0.6181818181818182,0.4860897928239239,0.7348423368258477,1.0984957488554612,1.0875706214689267,5.8941540166831095,0.3547936198146009,18.52373858472228,6.2254100522184,16.99684193368256,26.553878950958214,0.5642276422764227,0.2436337906627622,0.24606423088028642,0.24606205641790554
hgb_core_vol,hist_gradient_boosting,core_vol,1,2024,KZT,2021-01-01,2022-12-30,2023-01-10,2023-12-29,2024-01-10,2024-12-28,1,0.465686114681317,False,0.9938028169014084,247,125,0.5060728744939271,55,26,0.4727272727272727,0.34692885310480803,0.6020868092837061,0.9341090909090909,1.0875706214689267,-9.65104844432263,0.25064207144182893,-2.037091874081681,-0.36076735001399846,38.315999320107345,35.932496701391806,0.5642276422764227,0.25455506338019834,0.25334509721121695,0.24996312019538106
hgb_core_vol,hist_gradient_boosting,core_vol,1,2024,TJS,2021-01-01,2022-12-30,2023-01-10,2023-12-29,2024-01-10,2024-12-28,1,0.465686114681317,False,0.9938028169014084,247,135,0.5465587044534413,56,36,0.6428571428571429,0.5119364571733127,0.7554360729729401,1.1761904761904762,1.1073446327683616,12.817368426479094,0.34405008147808175,29.94203703170584,5.301636075621619,12.014957721743174,27.671704405727258,0.5642276422764227,0.24434601942299203,0.24814447840340945,0.24783228703961713
hgb_core_vol,hist_gradient_boosting,core_vol,1,2024,UZS,2021-01-01,2022-12-30,2023-01-10,2023-12-29,2024-01-10,2024-12-28,1,0.465686114681317,False,0.9938028169014084,247,133,0.5384615384615384,55,28,0.509090909090909,0.38076038407484447,0.636234395128984,0.9454545454545454,1.0875706214689267,5.926168109341213,0.3899091504292865,8.387389102386436,3.4930471817524253,23.61632255050833,28.461393623879072,0.5642276422764227,0.2447825434937347,0.24918460216497096,0.24852071005917165
hgb_core_vol,hist_gradient_boosting,core_vol,1,2025,AMD,2022-01-11,2023-12-29,2024-01-10,2024-12-28,2025-01-10,2025-12-30,1,0.6020979065731552,False,1.0016901408450702,246,113,0.45934959349593496,36,21,0.5833333333333334,0.4219996966427768,0.7285966649491271,1.2699115044247788,0.7098591549295775,-21.218933517971635,0.34069483921490634,5.104795236142558,-8.879046735597612,27.468285267091055,37.62179111707615,0.5425101214574899,0.25452579629563143,0.2552632178618989,0.2483475444510542
hgb_core_vol,hist_gradient_boosting,core_vol,1,2025,KGS,2022-01-11,2023-12-29,2024-01-10,2024-12-28,2025-01-10,2025-12-30,1,0.6020979065731552,False,1.0016901408450702,246,105,0.4268292682926829,35,20,0.5714285714285714,0.4085712925897337,0.7201566691832108,1.3387755102040817,0.6901408450704225,-18.546056852529333,0.3339920650350071,8.119750334968908,-10.676811766651339,32.298626097648025,38.26270582231252,0.5425101214574899,0.25750171753739576,0.2580281038103535,0.24464604402141585
hgb_core_vol,hist_gradient_boosting,core_vol,1,2025,KZT,2022-01-11,2023-12-29,2024-01-10,2024-12-28,2025-01-10,2025-12-30,1,0.6020979065731552,False,1.0016901408450702,246,115,0.46747967479674796,41,18,0.43902439024390244,0.2988990477210983,0.5895973484824271,0.9391304347826087,0.8084507042253521,-33.954540277355214,0.5444380184765072,-16.576215936931256,-8.601340621875588,47.00008433166536,41.96658085469178,0.5425101214574899,0.26799837261140064,0.2545719963747852,0.24894242844867467
hgb_core_vol,hist_gradient_boosting,core_vol,1,2025,TJS,2022-01-11,2023-12-29,2024-01-10,2024-12-28,2025-01-10,2025-12-30,1,0.6020979065731552,False,1.0016901408450702,246,124,0.5040650406504065,37,22,0.5945945945945946,0.4348568313132931,0.7365370416005986,1.1795989537925022,0.7295774647887324,-25.416635545929516,0.37112047530374703,3.6230469946523303,-3.6165997817341675,36.37356915061468,37.77105467788202,0.5425101214574899,0.25155011632469204,0.25146149968277376,0.24998347544451058
hgb_core_vol,hist_gradient_boosting,core_vol,1,2025,UZS,2022-01-11,2023-12-29,2024-01-10,2024-12-28,2025-01-10,2025-12-30,1,0.6020979065731552,False,1.0016901408450702,246,113,0.45934959349593496,34,20,0.5882352941176471,0.42221304146519273,0.7363426221431113,1.280583029672046,0.6704225352112676,-30.14628543741146,0.4680370048763894,8.118132265413683,-7.260839632585107,29.977036181386566,42.98040461813651,0.5425101214574899,0.24904580409842325,0.2552632178618989,0.2483475444510542
hgb_core_vol,hist_gradient_boosting,core_vol,1,2026,AMD,2023-01-10,2024-12-28,2025-01-10,2025-12-30,2026-01-13,2026-08-29,1,0.5047024860267892,False,0.9988764044943819,160,90,0.5625,34,16,0.47058823529411764,0.31451251633111366,0.6326355957994516,0.8366013071895425,1.039301310043668,-14.862758877867535,0.2520231475788218,-13.553828116825642,8.893409031693325,35.52040842945052,28.520747982035147,0.4634146341463415,0.2515552328722279,0.25591165972635344,0.24609375
hgb_core_vol,hist_gradient_boosting,core_vol,1,2026,KGS,2023-01-10,2024-12-28,2025-01-10,2025-12-30,2026-01-13,2026-08-29,1,0.5047024860267892,False,0.9988764044943819,160,78,0.4875,34,20,0.5882352941176471,0.42221304146519273,0.7363426221431113,1.206636500754148,1.039301310043668,-7.227867696477783,0.28109576966048977,13.029958111498072,6.0989409463110205,24.919601440845533,30.056962800647888,0.4634146341463415,0.2533988794696428,0.25042385484830465,0.24984375
hgb_core_vol,hist_gradient_boosting,core_vol,1,2026,KZT,2023-01-10,2024-12-28,2025-01-10,2025-12-30,2026-01-13,2026-08-29,1,0.5047024860267892,False,0.9988764044943819,160,96,0.6,33,19,0.5757575757575758,0.4080697369146003,0.7276464100497011,0.9595959595959597,1.0087336244541485,-34.698673930179716,0.5372400634017019,-15.132624369747342,12.138459243029581,47.338498809267364,37.2206631887351,0.4634146341463415,0.2614947696357424,0.2586555621653778,0.24000000000000005
hgb_core_vol,hist_gradient_boosting,core_vol,1,2026,TJS,2023-01-10,2024-12-28,2025-01-10,2025-12-30,2026-01-13,2026-08-29,1,0.5047024860267892,False,0.9988764044943819,160,84,0.525,34,19,0.5588235294117647,0.3945361778918369,0.7111675978470325,1.0644257703081232,1.039301310043668,-8.45868566370455,0.4633927840906605,10.259811911464212,6.669419577406752,28.708532615068947,29.565674915878652,0.4634146341463415,0.25285746596590264,0.2531677572873291,0.24937499999999999
hgb_core_vol,hist_gradient_boosting,core_vol,1,2026,UZS,2023-01-10,2024-12-28,2025-01-10,2025-12-30,2026-01-13,2026-08-29,1,0.5047024860267892,False,0.9988764044943819,160,94,0.5875,31,22,0.7096774193548387,0.5340734004245933,0.8390437928156713,1.2079615648592998,0.9475982532751093,-4.596715134414204,0.42196886397602434,32.010162963323246,7.583706714550442,15.410185940762645,31.386866760111822,0.4634146341463415,0.23336133353292704,0.25774092801903636,0.24234375000000002
