corridor,horizon_aligned_rows,trigger_source,truth_source,eligible_count,signal_count,hit_rate,baseline_hit_rate,lift,signal_forward_bps
AMD,5,CBR,CBR,1631,119,0.2689075630252101,0.30104230533415083,0.8932550616988139,-13.058048070595236
AMD,5,CBR,OXR,1631,119,0.2689075630252101,0.29858982219497243,0.9005918589201594,-16.966365700225115
AMD,5,OXR,CBR,1631,79,0.11392405063291139,0.30104230533415083,0.37843202969914147,-89.0228089570029
AMD,5,OXR,OXR,1631,79,0.25316455696202533,0.29858982219497243,0.8478673355340108,1.3002177933149321
AMD,20,CBR,CBR,1601,119,0.18487394957983194,0.18363522798251092,1.0067455553650033,9.809829305728961
AMD,20,CBR,OXR,1601,119,0.13445378151260504,0.1736414740787008,0.7743183604377002,12.919678095380023
AMD,20,OXR,CBR,1601,78,0.038461538461538464,0.18363522798251092,0.20944531658817375,-50.20608814604701
AMD,20,OXR,OXR,1601,78,0.1282051282051282,0.1736414740787008,0.7383324109942814,44.05265688194355
KGS,5,CBR,CBR,1631,125,0.24,0.28877988963825874,0.8310828025477707,-12.073746536190521
KGS,5,CBR,OXR,1631,125,0.216,0.2716125076640098,0.7952505643340858,-7.705323406729232
KGS,5,OXR,CBR,1631,101,0.10891089108910891,0.28877988963825874,0.37714153580963194,-92.09333642929177
KGS,5,OXR,OXR,1631,101,0.25742574257425743,0.2716125076640098,0.9477683660013858,-0.06017619957953593
KGS,20,CBR,CBR,1601,124,0.14516129032258066,0.16677076826983137,0.8704240666908301,-3.601170859335737
KGS,20,CBR,OXR,1601,124,0.14516129032258066,0.14928169893816365,0.9723984343366177,-0.8690584433520644
KGS,20,OXR,CBR,1601,99,0.04040404040404041,0.16677076826983137,0.2422729164302198,-111.01879180281414
KGS,20,OXR,OXR,1601,99,0.12121212121212122,0.14928169893816365,0.8119690630150881,-11.617504809465409
KZT,5,CBR,CBR,1631,117,0.23931623931623933,0.2709993868792152,0.8830877518660324,-23.190797890347934
KZT,5,CBR,OXR,1631,117,0.2222222222222222,0.26670754138565295,0.833205619412516,-23.75075457362766
KZT,5,OXR,CBR,1631,92,0.10869565217391304,0.2709993868792152,0.4010918748770411,-101.77920270902442
KZT,5,OXR,OXR,1631,92,0.25,0.26670754138565295,0.9373563218390806,18.936006639048134
KZT,20,CBR,CBR,1601,116,0.13793103448275862,0.14803247970018737,0.931761967117707,-6.921977151558984
KZT,20,CBR,OXR,1601,116,0.14655172413793102,0.13928794503435352,1.0521493737436214,1.6506297913164434
KZT,20,OXR,CBR,1601,91,0.03296703296703297,0.14803247970018737,0.22270134928362778,-105.24552492809094
KZT,20,OXR,OXR,1601,91,0.14285714285714285,0.13928794503435352,1.025624599615631,27.346408089968044
TJS,5,CBR,CBR,1631,118,0.2033898305084746,0.30533415082771304,0.666122115580968,-29.843582082982206
TJS,5,CBR,OXR,1631,118,0.3220338983050847,0.28448804414469653,1.13197691408533,-3.968834062666997
TJS,5,OXR,CBR,1631,83,0.04819277108433735,0.30533415082771304,0.1578361639328398,-116.50333852204268
TJS,5,OXR,OXR,1631,83,0.3253012048192771,0.28448804414469653,1.1434617781470708,19.555546339173876
TJS,20,CBR,CBR,1601,117,0.15384615384615385,0.17863835103060588,0.8612157073695536,-0.16474683027264644
TJS,20,CBR,OXR,1601,117,0.19658119658119658,0.16114928169893816,1.2198701384747896,20.960841530910056
TJS,20,OXR,CBR,1601,83,0.03614457831325301,0.17863835103060588,0.2023338107675457,-72.03165637588386
TJS,20,OXR,OXR,1601,83,0.21686746987951808,0.16114928169893816,1.3457551134771646,80.27177760742101
UZS,5,CBR,CBR,1631,127,0.28346456692913385,0.28877988963825874,0.9815938612768945,-10.837846125297009
UZS,5,CBR,OXR,1631,127,0.25984251968503935,0.2851011649294911,0.9114046228092455,-1.3402570243742538
UZS,5,OXR,CBR,1631,79,0.0759493670886076,0.28877988963825874,0.2630008868822059,-98.40366445426872
UZS,5,OXR,OXR,1631,79,0.24050632911392406,0.2851011649294911,0.8435824145909895,8.943242320327252
UZS,20,CBR,CBR,1601,126,0.1984126984126984,0.16427232979387882,1.2078278713259702,-7.696328763473621
UZS,20,CBR,OXR,1601,126,0.14285714285714285,0.1524047470331043,0.9373536299765808,0.06833993366766093
UZS,20,OXR,CBR,1601,78,0.01282051282051282,0.16427232979387882,0.07804426245490885,-69.45554876913849
UZS,20,OXR,OXR,1601,78,0.14102564102564102,0.1524047470331043,0.9253362757461119,48.4937329901134
