model,label,config_id,horizon,policy,scope,period,source,rows,dates,signals,hits,base_hit,hit_rate,lift,forward_delta_bps,forward_signal_bps,regret_bps,brier,raw_brier,auc,log_loss,week_cells,weeks_with_1_2,week_coverage,mean_cell_week_coverage,signals_per_corridor_week,silent_weeks,max_week_signals,max_silent_week_run,min_year_corridor_coverage
h3,H3 · регулярный сигнал,tabm_kzt_fullhistory,3,rank80,KZT,2024-2026,final_solution/tabm_h3/evaluation,647,647,151,74,0.32921174652241114,0.4900662251655629,1.5042333624865076,54.2050568720228,52.20592861292199,54.18459758304832,0.17824111317392632,0.18875567298092863,0.7653772094935203,0.5323020679042249,135,116,0.8592592592592593,0.8579916815210934,1.1185185185185185,19,2,3,0.803921568627451
h3,H3 · регулярный сигнал,tabm_kzt_fullhistory,3,rank80,KZT,2024,final_solution/tabm_h3/evaluation,245,245,52,28,0.3346938775510204,0.5384615384615384,1.6088180112570352,57.543425295022125,56.9926669438923,51.646340417368464,0.18942146793760292,0.2144063881869581,0.7436779889271286,0.5582771652045475,51,41,0.803921568627451,0.803921568627451,1.0196078431372548,10,2,3,0.803921568627451
h3,H3 · регулярный сигнал,tabm_kzt_fullhistory,3,rank80,KZT,2025,final_solution/tabm_h3/evaluation,244,244,63,24,0.26229508196721313,0.38095238095238093,1.452380952380952,40.25448417433135,21.603092473580137,65.28786630783867,0.16451925584773514,0.16605940762017532,0.7423611111111111,0.5002583487922663,51,47,0.9215686274509803,0.9215686274509803,1.2352941176470589,4,2,2,0.9215686274509803
h3,H3 · регулярный сигнал,tabm_kzt_fullhistory,3,rank80,KZT,2026,final_solution/tabm_h3/evaluation,158,158,36,22,0.4240506329113924,0.6111111111111112,1.4411276948590384,73.79647137087271,98.8467142675909,38.42024877620278,0.1820952034934825,0.18403075856666665,0.8010496965720845,0.5415094642633312,33,28,0.8484848484848485,0.8484848484848485,1.0909090909090908,5,2,2,0.8484848484848485
h5,H5 · редкий режим,tabm_kzt_h5_fullhistory,5,rare65,KZT,2024-2026,research_v4/h5_fullhistory,641,641,89,47,0.26521060842433697,0.5280898876404494,1.9858935404634515,95.60917120942231,93.82548128222356,68.03761486137073,0.17049452707470616,0.17829887322132418,0.7372049456725366,0.5127820887657313,135,76,0.562962962962963,0.5680332739156269,0.6592592592592592,59,2,8,0.49019607843137253
h5,H5 · редкий режим,tabm_kzt_h5_fullhistory,5,rare65,KZT,2024,research_v4/h5_fullhistory,243,243,29,16,0.2674897119341564,0.5517241379310345,2.0625994694960212,96.55803557665179,95.39143300547853,73.7078363179405,0.18192449259360113,0.19736155300415797,0.7039757994814175,0.5375748008118622,51,25,0.49019607843137253,0.49019607843137253,0.5686274509803921,26,2,8,0.49019607843137253
h5,H5 · редкий режим,tabm_kzt_h5_fullhistory,5,rare65,KZT,2025,research_v4/h5_fullhistory,242,242,36,16,0.19834710743801653,0.4444444444444444,2.2407407407407405,74.80180624291405,46.55550735519394,76.24710926683974,0.1437770590048811,0.14805454307773028,0.7305627147766323,0.44846561955654995,51,31,0.6078431372549019,0.6078431372549019,0.7058823529411765,20,2,3,0.6078431372549019
h5,H5 · редкий режим,tabm_kzt_h5_fullhistory,5,rare65,KZT,2026,research_v4/h5_fullhistory,156,156,24,15,0.36538461538461536,0.625,1.710526315789474,125.67367421544911,162.83825050716823,48.87185565981204,0.19413648638115616,0.19552257006440824,0.7550948077263865,0.5739356562106803,33,20,0.6060606060606061,0.6060606060606061,0.7272727272727273,13,2,7,0.6060606060606061
