train_horizon,evaluate_horizon,year,scope,policy,interpretation,rows,dates,contacts,hits,hit_rate,lift_standardized,lift_unstandardized,forward_delta_bps,forward_delta_unstandardized_bps,mean_all_observed_week_coverage,mean_legacy_full_week_coverage
3,3,2024,all,candidate_signal,separately_trained_matched_date_evaluation,1215,243,252,127,0.503968253968254,1.3004508870254097,1.2972911622276029,20.345914445316446,20.227285985935932,0.8941176470588236,0.9224489795918368
3,3,2024,all,strict05_candidate_signal,separately_trained_matched_date_evaluation,1215,243,207,111,0.5362318840579711,1.3803285399928358,1.3803426676492265,35.40138532952747,35.40526451890334,0.776470588235294,0.8081632653061224
3,3,2024,all,signal,separately_trained_matched_date_evaluation,1215,243,49,20,0.40816326530612246,1.0540013012361742,1.050674507090972,25.220099401688337,25.12220298034148,0.1764705882352941,0.18367346938775508
3,3,2024,all,strict05_signal,separately_trained_matched_date_evaluation,1215,243,41,22,0.5365853658536586,1.3980125523012552,1.381252583712278,37.213906371479965,36.37311264455356,0.1607843137254902,0.16734693877551016
3,3,2024,AMD,candidate_signal,separately_trained_matched_date_evaluation,243,243,54,28,0.5185185185185185,1.285714285714286,1.2857142857142856,18.918698475548045,18.91869847554804,0.9215686274509803,0.9591836734693877
3,3,2024,AMD,strict05_candidate_signal,separately_trained_matched_date_evaluation,243,243,42,22,0.5238095238095238,1.2988338192419828,1.2988338192419826,34.99677082954386,34.996770829543856,0.7843137254901961,0.8163265306122449
3,3,2024,AMD,signal,separately_trained_matched_date_evaluation,243,243,11,2,0.18181818181818182,0.450834879406308,0.450834879406308,-23.82111684568667,-23.821116845686667,0.1568627450980392,0.16326530612244897
3,3,2024,AMD,strict05_signal,separately_trained_matched_date_evaluation,243,243,8,2,0.25,0.6198979591836735,0.6198979591836735,4.6929444530394235,4.692944453039422,0.1568627450980392,0.16326530612244897
3,3,2024,KGS,candidate_signal,separately_trained_matched_date_evaluation,243,243,44,24,0.5454545454545454,1.3123312331233121,1.3123312331233123,35.74629469723563,35.74629469723564,0.8235294117647058,0.8571428571428571
3,3,2024,KGS,strict05_candidate_signal,separately_trained_matched_date_evaluation,243,243,40,23,0.575,1.3834158415841586,1.3834158415841584,47.59152165558975,47.591521655589744,0.7647058823529411,0.7959183673469388
