train_horizon,year,scope,policy,rows,dates,corridors,contacts,hit_rate,raw_base_hit,lift_standardized,forward_delta_bps,mean_all_observed_week_coverage,mean_legacy_full_week_coverage,brier
3,2024,all,candidate_signal,1225,245,5,254,0.5039370078740157,0.38612244897959186,1.3086296110832916,20.331316277001676,0.9019607843137255,0.9224489795918368,0.1974752899945697
3,2024,all,strict05_candidate_signal,1225,245,5,207,0.5362318840579711,0.38612244897959186,1.3887754059850883,35.071504727363724,0.776470588235294,0.8081632653061224,0.1974752899945697
3,2024,all,signal,1225,245,5,50,0.4,0.38612244897959186,1.038135593220339,23.72585387464195,0.18039215686274507,0.18367346938775508,0.1974752899945697
3,2024,all,strict05_signal,1225,245,5,41,0.5365853658536586,0.38612244897959186,1.4058424621804904,36.85957579221894,0.1607843137254902,0.16734693877551016,0.1974752899945697
3,2024,AMD,candidate_signal,245,245,1,55,0.509090909090909,0.4,1.2727272727272734,17.84555693118206,0.9411764705882353,0.9591836734693877,0.19631184122175194
3,2024,AMD,strict05_candidate_signal,245,245,1,42,0.5238095238095238,0.4,1.3095238095238098,34.85395144265412,0.7843137254901961,0.8163265306122449,0.19631184122175194
3,2024,AMD,signal,245,245,1,12,0.16666666666666666,0.4,0.41666666666666663,-24.6662615109063,0.17647058823529413,0.16326530612244897,0.19631184122175194
3,2024,AMD,strict05_signal,245,245,1,8,0.25,0.4,0.625,4.550125066149683,0.1568627450980392,0.16326530612244897,0.19631184122175194
3,2024,KGS,candidate_signal,245,245,1,44,0.5454545454545454,0.4122448979591837,1.3231323132313233,35.52005935322083,0.8235294117647058,0.8571428571428571,0.19916650599351468
3,2024,KGS,strict05_candidate_signal,245,245,1,40,0.575,0.4122448979591837,1.3948019801980198,47.365286311574955,0.7647058823529411,0.7959183673469388,0.19916650599351468
3,2024,KGS,signal,245,245,1,8,0.375,0.4122448979591837,0.9096534653465347,66.7483297024637,0.1568627450980392,0.16326530612244897,0.19916650599351468
3,2024,KGS,strict05_signal,245,245,1,8,0.625,0.4122448979591837,1.516089108910891,42.78373740391788,0.1568627450980392,0.16326530612244897,0.19916650599351468
3,2024,KZT,candidate_signal,245,245,1,54,0.42592592592592593,0.3346938775510204,1.2725835591689243,2.3033644760860543,0.9215686274509803,0.9183673469387755,0.20542061380622917
3,2024,KZT,strict05_candidate_signal,245,245,1,41,0.43902439024390244,0.3346938775510204,1.3117192147531231,18.93670041250858,0.7647058823529411,0.7959183673469388,0.20542061380622917
3,2024,KZT,signal,245,245,1,11,0.36363636363636365,0.3346938775510204,1.0864745011086474,26.273937286223966,0.19607843137254902,0.20408163265306123,0.20542061380622917
3,2024,KZT,strict05_signal,245,245,1,10,0.4,0.3346938775510204,1.1951219512195121,21.27094657448536,0.19607843137254902,0.20408163265306123,0.20542061380622917
3,2024,TJS,candidate_signal,245,245,1,52,0.4807692307692308,0.4,1.2019230769230773,23.51573457140042,0.9411764705882353,0.9591836734693877,0.19457157069849734
3,2024,TJS,strict05_candidate_signal,245,245,1,42,0.5476190476190477,0.4,1.3690476190476193,33.6203436930662,0.7843137254901961,0.8163265306122449,0.19457157069849734
3,2024,TJS,signal,245,245,1,12,0.4166666666666667,0.4,1.0416666666666665,14.746059480320476,0.23529411764705882,0.24489795918367346,0.19457157069849734
3,2024,TJS,strict05_signal,245,245,1,3,0.3333333333333333,0.4,0.8333333333333333,-27.896272550989977,0.058823529411764705,0.061224489795918366,0.19457157069849734
3,2024,UZS,candidate_signal,245,245,1,49,0.5714285714285714,0.3836734693877551,1.4893617021276595,25.970739024086242,0.8823529411764706,0.9183673469387755,0.19190591825285538
3,2024,UZS,strict05_candidate_signal,245,245,1,42,0.5952380952380952,0.3836734693877551,1.551418439716312,40.78249794019493,0.7843137254901961,0.8163265306122449,0.19190591825285538
3,2024,UZS,signal,245,245,1,7,0.8571428571428571,0.3836734693877551,2.234042553191489,68.90502433299342,0.13725490196078433,0.14285714285714285,0.19190591825285538
3,2024,UZS,strict05_signal,245,245,1,12,0.8333333333333334,0.3836734693877551,2.1719858156028367,83.62925496904604,0.23529411764705882,0.24489795918367346,0.19190591825285538
3,2025,all,candidate_signal,1220,244,5,253,0.42292490118577075,0.28114754098360656,1.5160559781661924,47.41067974951606,0.8941176470588236,0.9102040816326531,0.1738647410629486
3,2025,all,strict05_candidate_signal,1220,244,5,116,0.5,0.28114754098360656,1.773655846597318,88.66232131363176,0.4235294117647059,0.4408163265306122,0.1738647410629486
3,2025,all,signal,1220,244,5,52,0.34615384615384615,0.28114754098360656,1.2793475094669384,23.973085033978325,0.20392156862745098,0.20816326530612245,0.1738647410629486
3,2025,all,strict05_signal,1220,244,5,27,0.37037037037037035,0.28114754098360656,1.2869198312236285,49.78885893336834,0.10196078431372549,0.10612244897959185,0.1738647410629486
3,2025,AMD,candidate_signal,244,244,1,51,0.4117647058823529,0.2786885245901639,1.4775086505190311,46.05141758838964,0.9215686274509803,0.9387755102040817,0.17022839669354725
3,2025,AMD,strict05_candidate_signal,244,244,1,25,0.48,0.2786885245901639,1.7223529411764706,91.04211330763631,0.45098039215686275,0.46938775510204084,0.17022839669354725
3,2025,AMD,signal,244,244,1,2,0.5,0.2786885245901639,1.7941176470588236,-45.207130171031594,0.0392156862745098,0.04081632653061224,0.17022839669354725
3,2025,AMD,strict05_signal,244,244,1,2,0.5,0.2786885245901639,1.7941176470588236,73.77724899682417,0.0392156862745098,0.04081632653061224,0.17022839669354725
3,2025,KGS,candidate_signal,244,244,1,54,0.3888888888888889,0.2540983606557377,1.5304659498207889,41.951399328251625,0.9215686274509803,0.9387755102040817,0.16119252218467525
3,2025,KGS,strict05_candidate_signal,244,244,1,23,0.4782608695652174,0.2540983606557377,1.882187938288919,98.79581114613816,0.43137254901960786,0.4489795918367347,0.16119252218467525
3,2025,KGS,signal,244,244,1,16,0.3125,0.2540983606557377,1.2298387096774193,24.910012211198687,0.3137254901960784,0.32653061224489793,0.16119252218467525
3,2025,KGS,strict05_signal,244,244,1,4,0.0,0.2540983606557377,0.0,34.355678634335995,0.0784313725490196,0.08163265306122448,0.16119252218467525
3,2025,KZT,candidate_signal,244,244,1,52,0.38461538461538464,0.26229508196721313,1.4663461538461535,40.24409369394621,0.9215686274509803,0.9387755102040817,0.17807348934356304
3,2025,KZT,strict05_candidate_signal,244,244,1,21,0.47619047619047616,0.26229508196721313,1.81547619047619,75.0044937742767,0.39215686274509803,0.40816326530612246,0.17807348934356304
3,2025,KZT,signal,244,244,1,16,0.3125,0.26229508196721313,1.19140625,7.981400037944514,0.3137254901960784,0.30612244897959184,0.17807348934356304
3,2025,KZT,strict05_signal,244,244,1,10,0.5,0.26229508196721313,1.9062500000000002,84.67096553922987,0.19607843137254902,0.20408163265306123,0.17807348934356304
3,2025,TJS,candidate_signal,244,244,1,43,0.5813953488372093,0.3360655737704918,1.7300056721497448,79.83550941374651,0.7843137254901961,0.7959183673469388,0.19294036394578035
3,2025,TJS,strict05_candidate_signal,244,244,1,24,0.5416666666666666,0.3360655737704918,1.611788617886179,76.30491829824898,0.43137254901960786,0.4489795918367347,0.19294036394578035
3,2025,TJS,signal,244,244,1,5,0.6,0.3360655737704918,1.7853658536585366,77.63567551593178,0.09803921568627451,0.10204081632653061,0.19294036394578035
3,2025,TJS,strict05_signal,244,244,1,9,0.4444444444444444,0.3360655737704918,1.3224932249322494,28.343103727932977,0.1568627450980392,0.16326530612244897,0.19294036394578035
3,2025,UZS,candidate_signal,244,244,1,53,0.37735849056603776,0.27459016393442626,1.3742607716136295,35.00536488712834,0.9215686274509803,0.9387755102040817,0.16688893314717718
3,2025,UZS,strict05_candidate_signal,244,244,1,23,0.5217391304347826,0.27459016393442626,1.9000648929266715,101.30697282223538,0.4117647058823529,0.42857142857142855,0.16688893314717718
3,2025,UZS,signal,244,244,1,13,0.3076923076923077,0.27459016393442626,1.1205510907003442,32.505669887922004,0.2549019607843137,0.2653061224489796,0.16688893314717718
3,2025,UZS,strict05_signal,244,244,1,2,0.0,0.27459016393442626,0.0,-21.237805136871458,0.0392156862745098,0.04081632653061224,0.16688893314717718
3,2026,all,candidate_signal,790,158,5,175,0.5085714285714286,0.40759493670886077,1.2478480788002486,28.620079760712454,0.9212121212121213,0.9483870967741936,0.20550202376837928
3,2026,all,strict05_candidate_signal,790,158,5,111,0.7207207207207207,0.40759493670886077,1.774035087719298,77.1935726281089,0.593939393939394,0.6,0.20550202376837928
3,2026,all,signal,790,158,5,35,0.4857142857142857,0.40759493670886077,1.1869200176756518,11.654085309242243,0.19393939393939394,0.2,0.20550202376837928
3,2026,all,strict05_signal,790,158,5,25,0.68,0.40759493670886077,1.6745635910224437,69.93672032124023,0.14545454545454545,0.14838709677419354,0.20550202376837928
3,2026,AMD,candidate_signal,158,158,1,34,0.5588235294117647,0.4050632911392405,1.3795955882352942,41.386396561349294,0.9090909090909091,0.9354838709677419,0.201533481238889
