config_id,track,rows,dates,signals,brier,log_loss,auc,hit_rate,lift,forward_delta_bps,symmetric_bps,symmetric_delta_bps,regret_bps,min_cell_week_coverage,mean_cell_week_coverage,min_observed_calendar_week_coverage,mean_observed_calendar_week_coverage
annual_recent_calibration_1m,development_2023_2025,3635,727,739,0.2027783991109937,0.6027723224334004,0.7268927328340891,0.395128552097429,1.2677121133607148,36.33552854124202,26.73445842594152,25.59077004307117,89.02874359680888,0.7916666666666666,0.8873866213151926,0.8,0.8683137254901963
annual_recent_calibration_3m,development_2023_2025,3635,727,727,0.18581823492438201,0.5571455720960392,0.7344984706254616,0.4332874828060523,1.3712733552394887,43.60128151597013,30.61706780307595,29.373026600731126,82.10542942942578,0.7755102040816326,0.8837018140589569,0.7450980392156863,0.8647581699346408
annual_recent_calibration_6m,development_2023_2025,3635,727,711,0.18804627295385473,0.5579191031374995,0.7229123158597898,0.44163150492264414,1.3802970574129203,46.11415709310874,33.12846352616542,31.728886551485466,80.85039060990553,0.7755102040816326,0.8746882086167801,0.7450980392156863,0.8534640522875818
baseline_reproduction,development_2023_2025,3635,727,663,0.19061658311191612,0.5611614972587021,0.7226837886298914,0.45248868778280543,1.4351906688933171,47.68564601517411,28.021645463373336,26.79780839525267,80.32875466661568,0.6666666666666666,0.8340702947845805,0.68,0.8157908496732026
basis_train_120m,development_2023_2025,3635,727,723,0.18485040099862832,0.5484652229971574,0.7374039306683542,0.4412171507607192,1.3709701913909238,40.07841159980202,27.818181252091577,26.40696876898918,80.96092783122006,0.7346938775510204,0.8828798185941042,0.7058823529411765,0.8613333333333334
basis_train_12m,development_2023_2025,3635,727,784,0.1972507883706012,0.5783567733235625,0.6996144921421792,0.375,1.1785302948833587,24.970482040411895,18.323116585961955,17.055866986557543,95.66447035256394,0.7755102040816326,0.9301587301587303,0.7450980392156863,0.9133071895424839
basis_train_36m,development_2023_2025,3635,727,719,0.19108309010727317,0.5649262430948818,0.7164826143515101,0.4381084840055633,1.3875397382609913,43.28741508762565,31.22329593419957,29.95857988305102,84.19750487661327,0.8163265306122449,0.8864795918367346,0.7843137254901961,0.8661176470588237
basis_train_3m,development_2023_2025,3635,727,747,0.20715915291799306,0.6006863714754027,0.6466364307562492,0.39759036144578314,1.2658675362560015,29.448938109805628,25.247457320473888,24.057869672658704,97.16848672672235,0.8541666666666666,0.9163548752834468,0.8431372549019608,0.8961307189542485
basis_train_60m,development_2023_2025,3635,727,746,0.19234922836498416,0.5658301031090679,0.7117812818619695,0.4101876675603217,1.290822763902916,38.64170795963289,29.802588499521782,28.47399689261058,83.83628216794497,0.7346938775510204,0.89359410430839,0.7058823529411765,0.8781699346405227
basis_train_6m,development_2023_2025,3635,727,728,0.20752823932212444,0.5992180898621396,0.6502153429666351,0.4065934065934066,1.284874560945594,31.472990493217285,22.172498990416134,20.927085154631897,90.48333046734184,0.7346938775510204,0.8710317460317462,0.7058823529411765,0.8512679738562092
basis_train_allm,development_2023_2025,3635,727,728,0.18569062894257646,0.5500906238582238,0.7333255985655521,0.42032967032967034,1.3161461670773655,36.81568502990743,27.25043041315276,25.871406132605543,89.37434713921571,0.7142857142857143,0.8815192743764172,0.6862745098039216,0.8600261437908497
capacity_extra_trees,development_2023_2025,3635,727,686,0.19038468731985128,0.5615244355439372,0.7201395774004148,0.4329446064139942,1.3340256009686349,37.856104274761286,19.42605074637721,17.99548777040596,79.33874955714768,0.6530612244897959,0.8445011337868481,0.6274509803921569,0.8244705882352942
capacity_hgb1,development_2023_2025,3635,727,731,0.19080216458758603,0.560056187326752,0.7275858735013887,0.43502051983584133,1.3588393697385353,39.07273250144559,28.719171248035106,27.347472657916498,88.78738746199068,0.7551020408163265,0.901984126984127,0.7254901960784313,0.8796862745098042
capacity_hgb3,development_2023_2025,3635,727,686,0.19375455473636938,0.5701100920517793,0.7045807404282248,0.4067055393586006,1.2753270018112162,39.181003494448106,22.841983198564332,21.54669817695276,78.97623062506283,0.6530612244897959,0.8425170068027212,0.6274509803921569,0.8238954248366013
