config_id,track,policy,threshold,signals,mean_per_corridor_week,hit_rate,lift,forward_delta_bps,symmetric_bps,regret_bps,min_cell_week_coverage,mean_cell_week_coverage
baseline_reproduction,development_2023_2025,fixed_probability_0.00,0.0,915,1.2234957020057307,0.33879781420765026,1.0803830737104867,1.8783802632175615,2.6364436999755263,118.65956970798078,0.9791666666666666,0.9794501133786845
baseline_reproduction,development_2023_2025,fixed_probability_0.30,0.3,607,0.8116523400191021,0.4728171334431631,1.494157783663679,56.61707402257453,31.3726963281869,69.21827275757458,0.4791666666666667,0.7596938775510205
baseline_reproduction,development_2023_2025,fixed_probability_0.35,0.35,497,0.6645654250238777,0.4969818913480885,1.5727428155023382,71.43550924534907,35.8382886984617,60.562439948632274,0.3333333333333333,0.6278628117913831
baseline_reproduction,development_2023_2025,fixed_probability_0.40,0.4,437,0.5843361986628463,0.5125858123569794,1.607819941368016,69.74380603026131,30.821147810990663,61.7760075518273,0.22916666666666666,0.559297052154195
baseline_reproduction,development_2023_2025,fixed_probability_0.45,0.45,359,0.48003820439350525,0.5459610027855153,1.7096854341350693,76.81063812848281,32.19325672827817,60.80361658748023,0.16666666666666666,0.46043083900226756
baseline_reproduction,development_2023_2025,fixed_probability_0.50,0.5,288,0.38510028653295125,0.5625,1.7823397314228056,81.69621819424577,34.88049750420107,50.381052834507855,0.10416666666666667,0.3668083900226757
baseline_reproduction,development_2023_2025,fixed_probability_0.55,0.55,225,0.3008595988538682,0.5155555555555555,1.6461190635974483,73.44028425343373,34.66663749553746,59.174661435205344,0.020833333333333332,0.2982142857142857
baseline_reproduction,development_2023_2025,fixed_probability_0.60,0.6,164,0.2192932187201528,0.5487804878048781,1.7404506952213517,87.13919475529221,39.4780112103261,62.423576522822025,0.0,0.22040816326530613
baseline_reproduction,development_2023_2025,fixed_probability_0.65,0.65,123,0.1644699140401146,0.6178861788617886,1.91290755565904,109.15197718243284,57.848230267742174,59.05627190187957,0.0,0.16734693877551016
baseline_reproduction,development_2023_2025,fixed_probability_0.70,0.7,100,0.13371537726838587,0.63,1.9220299097188431,97.50845451925353,42.991377872860966,73.3325022307205,0.0,0.1360544217687075
baseline_reproduction,development_2023_2025,legacy_validation_cadence,,663,0.8865329512893982,0.45248868778280543,1.4351906688933171,47.68564601517411,28.021645463373336,80.32875466661568,0.6666666666666666,0.8340702947845805
baseline_reproduction,development_2023_2025,legacy_plus_historical_low_fact,,201,0.26876790830945557,0.29850746268656714,1.0927033876232997,33.01714919341637,54.76858573567373,128.06096726550803,0.10416666666666667,0.263407029478458
baseline_reproduction,diagnostic_2026,fixed_probability_0.00,0.0,195,1.2133333333333334,0.27692307692307694,0.8089887640449438,-12.4763774523547,-6.809752023494392,114.6193694884021,1.0,1.0
baseline_reproduction,diagnostic_2026,fixed_probability_0.30,0.3,149,0.9271111111111111,0.5436241610738255,1.5904342353681562,51.0624316207841,28.30568891288982,68.11713772093694,0.7096774193548387,0.7483870967741936
baseline_reproduction,diagnostic_2026,fixed_probability_0.35,0.35,119,0.7404444444444445,0.5798319327731093,1.7004739336492893,77.86840090686611,39.11059512440818,51.25071322295612,0.5483870967741935,0.6709677419354839
baseline_reproduction,diagnostic_2026,fixed_probability_0.40,0.4,97,0.6035555555555555,0.5670103092783505,1.6741463414634143,71.11999814025508,29.67031228236432,61.56651336326672,0.3225806451612903,0.5548387096774193
baseline_reproduction,diagnostic_2026,fixed_probability_0.45,0.45,73,0.4542222222222222,0.5616438356164384,1.6634590377113134,58.41403786940365,13.565445579826607,84.66781901373693,0.22580645161290322,0.4451612903225806
baseline_reproduction,diagnostic_2026,fixed_probability_0.50,0.5,46,0.2862222222222222,0.6956521739130435,2.074812967581047,98.40797130030168,19.460474950649083,65.00275860774637,0.12903225806451613,0.2774193548387097
baseline_reproduction,diagnostic_2026,fixed_probability_0.55,0.55,36,0.22399999999999998,0.6944444444444444,2.0722635494155153,100.37102192024113,24.018253555294116,72.26838474008242,0.06451612903225806,0.2193548387096774
baseline_reproduction,diagnostic_2026,fixed_probability_0.60,0.6,16,0.09955555555555555,0.75,2.154200230149597,97.53114382681704,12.178968542508471,60.21878958131388,0.03225806451612903,0.1032258064516129
baseline_reproduction,diagnostic_2026,fixed_probability_0.65,0.65,2,0.012444444444444444,1.0,2.5999999999999996,209.22656205441936,76.16570382291576,0.0,0.0,0.012903225806451613
baseline_reproduction,diagnostic_2026,fixed_probability_0.70,0.7,0,0.0,,,,,,0.0,0.0
baseline_reproduction,diagnostic_2026,legacy_validation_cadence,,168,1.0453333333333332,0.47023809523809523,1.3752929360562436,37.770423127129746,28.294596557398357,80.82230456741553,0.8709677419354839,0.9096774193548386
baseline_reproduction,diagnostic_2026,legacy_plus_historical_low_fact,,60,0.3733333333333333,0.5166666666666667,1.5274794693619709,16.57525237624375,59.33534832320988,75.82832370944396,0.16129032258064516,0.3290322580645161
basis_train_120m,development_2023_2025,fixed_probability_0.00,0.0,915,1.2234957020057307,0.33879781420765026,1.0803830737104867,1.8783802632175615,2.6364436999755263,118.65956970798078,0.9791666666666666,0.9794501133786845
basis_train_120m,development_2023_2025,fixed_probability_0.30,0.3,668,0.8932187201528176,0.4595808383233533,1.4409064055513086,45.711010394640944,30.133123990635806,79.47509137078801,0.6938775510204082,0.8289115646258503
basis_train_120m,development_2023_2025,fixed_probability_0.35,0.35,566,0.756829035339064,0.4734982332155477,1.4730963300758542,58.152265658382014,28.245582469198546,66.3263057661932,0.5,0.7164399092970523
basis_train_120m,development_2023_2025,fixed_probability_0.40,0.4,488,0.652531041069723,0.47540983606557374,1.4915281957811473,64.74454126623971,28.761119161452932,61.19627155071555,0.375,0.6131235827664399
basis_train_120m,development_2023_2025,fixed_probability_0.45,0.45,411,0.5495702005730658,0.5182481751824818,1.588802598569559,76.69062649625533,37.21126201900653,55.160827402388826,0.2857142857142857,0.5297335600907029
basis_train_120m,development_2023_2025,fixed_probability_0.50,0.5,351,0.46934097421203436,0.5925925925925926,1.786172158831957,95.34569781005844,48.932241657410266,40.351461883742175,0.20408163265306123,0.45320294784580495
basis_train_120m,development_2023_2025,fixed_probability_0.55,0.55,262,0.35033428844317094,0.6297709923664122,1.905864383948296,109.71248308071931,55.36078539556752,44.46041502433975,0.16666666666666666,0.332766439909297
basis_train_120m,development_2023_2025,fixed_probability_0.60,0.6,196,0.26208213944603626,0.673469387755102,2.07270606656463,115.28074887758213,58.690893659479485,47.46341986793817,0.0625,0.24336734693877557
basis_train_120m,development_2023_2025,fixed_probability_0.65,0.65,139,0.18586437440305634,0.6546762589928058,2.121912254232348,108.25432139388053,54.32051260379355,58.6475156019861,0.0,0.18112244897959184
basis_train_120m,development_2023_2025,fixed_probability_0.70,0.7,109,0.14574976122254057,0.6605504587155964,2.0723678704158264,105.86530502931154,56.50780449139648,64.09612757984166,0.0,0.14421768707482993
basis_train_120m,development_2023_2025,legacy_validation_cadence,,723,0.9667621776504297,0.4412171507607192,1.3709701913909238,40.07841159980202,27.818181252091577,80.96092783122006,0.7346938775510204,0.8828798185941042
basis_train_120m,development_2023_2025,legacy_plus_historical_low_fact,,206,0.2754536771728749,0.3106796116504854,1.1187704293295315,38.62590349608566,65.86575074585026,118.61423808878413,0.125,0.2594671201814059
basis_train_120m,diagnostic_2026,fixed_probability_0.00,0.0,195,1.2133333333333334,0.27692307692307694,0.8089887640449438,-12.4763774523547,-6.809752023494392,114.6193694884021,1.0,1.0
basis_train_120m,diagnostic_2026,fixed_probability_0.30,0.3,141,0.8773333333333333,0.5602836879432624,1.6373056994818653,59.85115587270813,36.80339293803708,70.83610503320715,0.7096774193548387,0.7612903225806452
basis_train_120m,diagnostic_2026,fixed_probability_0.35,0.35,115,0.7155555555555555,0.5391304347826087,1.5866141732283465,69.4316634426514,32.45422050255746,59.09403863065979,0.4838709677419355,0.6193548387096774
basis_train_120m,diagnostic_2026,fixed_probability_0.40,0.4,88,0.5475555555555556,0.6363636363636364,1.8827586206896552,88.80059145113101,26.602464169462245,51.800074685105685,0.25806451612903225,0.4903225806451613
basis_train_120m,diagnostic_2026,fixed_probability_0.45,0.45,61,0.37955555555555553,0.6229508196721312,1.8427105999378306,88.70368393389015,11.699490337646758,48.7749524443194,0.12903225806451613,0.3612903225806452
basis_train_120m,diagnostic_2026,fixed_probability_0.50,0.5,54,0.33599999999999997,0.6296296296296297,1.852602165560601,92.53551965899995,15.615809156279918,38.47543939378773,0.12903225806451613,0.3161290322580645
basis_train_120m,diagnostic_2026,fixed_probability_0.55,0.55,45,0.27999999999999997,0.7111111111111111,2.0852130325814535,102.5766809812583,3.21704336466581,42.69623585208309,0.0967741935483871,0.2580645161290323
basis_train_120m,diagnostic_2026,fixed_probability_0.60,0.6,26,0.16177777777777777,0.7692307692307693,2.2773722627737225,114.88076327609366,12.065572494326345,34.5168044805192,0.03225806451612903,0.13548387096774192
basis_train_120m,diagnostic_2026,fixed_probability_0.65,0.65,7,0.043555555555555556,0.42857142857142855,1.3,36.814942923651266,-64.83706432785158,95.24392747760497,0.0,0.04516129032258064
basis_train_120m,diagnostic_2026,fixed_probability_0.70,0.7,0,0.0,,,,,,0.0,0.0
basis_train_120m,diagnostic_2026,legacy_validation_cadence,,173,1.0764444444444443,0.45664739884393063,1.3369494467346497,29.640444412858635,26.176827733616452,86.8337922503792,0.9354838709677419,0.9483870967741936
basis_train_120m,diagnostic_2026,legacy_plus_historical_low_fact,,62,0.3857777777777778,0.43548387096774194,1.2868927589367554,7.142436791700483,56.281298119854846,81.31720015029941,0.1935483870967742,0.32258064516129037
annual_recent_calibration_3m,development_2023_2025,fixed_probability_0.00,0.0,915,1.2234957020057307,0.33879781420765026,1.0803830737104867,1.8783802632175615,2.6364436999755263,118.65956970798078,0.9791666666666666,0.9794501133786845
annual_recent_calibration_3m,development_2023_2025,fixed_probability_0.30,0.3,654,0.8744985673352436,0.45718654434250766,1.4410203046821006,52.1841123087359,35.22107993631892,75.16339423359368,0.673469387755102,0.8131802721088435
annual_recent_calibration_3m,development_2023_2025,fixed_probability_0.35,0.35,597,0.7982808022922636,0.48408710217755446,1.5215806092129802,56.95183496228575,38.61900672315625,74.79889802067093,0.6326530612244898,0.7486394557823128
annual_recent_calibration_3m,development_2023_2025,fixed_probability_0.40,0.4,534,0.7140401146131805,0.4850187265917603,1.5219920460616136,61.47384807793058,38.61231677805696,75.08674196047303,0.4897959183673469,0.6761904761904761
annual_recent_calibration_3m,development_2023_2025,fixed_probability_0.45,0.45,463,0.6191021967526266,0.5075593952483801,1.5935536044388934,68.09700007998764,40.99355222177954,72.52578451540735,0.42857142857142855,0.5899943310657597
annual_recent_calibration_3m,development_2023_2025,fixed_probability_0.50,0.5,374,0.5000955109837631,0.5561497326203209,1.6836905267933635,78.53818249222854,41.392399592681315,58.547714210424566,0.2857142857142857,0.48078231292517004
annual_recent_calibration_3m,development_2023_2025,fixed_probability_0.55,0.55,322,0.43056351480420246,0.5683229813664596,1.7069569273849619,86.7644318249492,38.254584177883785,51.89212532165224,0.24489795918367346,0.4177721088435374
annual_recent_calibration_3m,development_2023_2025,fixed_probability_0.60,0.6,245,0.32760267430754536,0.5877551020408164,1.741467633995133,94.57982114343423,34.6063225946408,47.50866459934945,0.14285714285714285,0.3245748299319728
annual_recent_calibration_3m,development_2023_2025,fixed_probability_0.65,0.65,183,0.24469914040114613,0.6174863387978142,1.8022911204369276,99.75633348977897,31.705099904625758,42.83810605269424,0.12244897959183673,0.23959750566893429
annual_recent_calibration_3m,development_2023_2025,fixed_probability_0.70,0.7,121,0.1617956064947469,0.628099173553719,1.7893493171114696,107.87492395291083,23.76699175429538,36.97126197480863,0.04081632653061224,0.15728458049886618
annual_recent_calibration_3m,development_2023_2025,legacy_validation_cadence,,727,0.9721107927411652,0.4332874828060523,1.3712733552394887,43.60128151597013,30.61706780307595,82.10542942942578,0.7755102040816326,0.8837018140589569
