config_id,fold_test_year,corridor,brier,signals,mean_per_corridor_week,hit_rate,lift,forward_delta_bps,symmetric_bps,regret_bps,min_cell_week_coverage,mean_cell_week_coverage
objective_multiscale_ensemble,2023,AMD,0.2304781609676735,46,0.9252873563218391,0.5652173913043478,1.439816933638443,34.2160146597039,32.158835860978286,93.07850460495078,0.8541666666666666,0.8541666666666666
objective_multiscale_ensemble,2023,KGS,0.21754399921309117,45,0.9051724137931034,0.4666666666666667,1.201418439716312,33.972099055776525,23.946079602143765,63.387306247820774,0.7916666666666666,0.7916666666666666
objective_multiscale_ensemble,2023,KZT,0.21907657043413295,43,0.8649425287356322,0.5116279069767442,1.3911680167232818,42.23769132369239,34.55739502421008,96.17821749248785,0.7708333333333334,0.7708333333333334
objective_multiscale_ensemble,2023,TJS,0.21982653432137425,47,0.9454022988505747,0.6170212765957447,1.5885015844273422,51.08181060595955,34.60208988565101,57.06551155613448,0.875,0.875
objective_multiscale_ensemble,2023,UZS,0.22567240984513065,43,0.8649425287356322,0.5813953488372093,1.4810281517747852,55.77106213742488,38.09561114038874,51.25457830002199,0.7708333333333334,0.7708333333333334
objective_multiscale_ensemble,2024,AMD,0.20949086017106405,59,1.18,0.423728813559322,1.2113659022931207,7.293664846025805,3.751177051572923,87.77782259263262,0.9795918367346939,0.9795918367346939
objective_multiscale_ensemble,2024,KGS,0.21497871509622943,55,1.1,0.41818181818181815,1.1290909090909094,11.53506596056392,3.0127701659249877,79.22323414431928,0.9591836734693877,0.9591836734693877
objective_multiscale_ensemble,2024,KZT,0.22291546266608067,60,1.2,0.3333333333333333,1.246153846153846,9.054212792436832,8.216480268839936,120.99079274219002,0.9795918367346939,0.9795918367346939
objective_multiscale_ensemble,2024,TJS,0.21561683737251164,58,1.16,0.3275862068965517,0.9365111561866125,11.431511815753515,9.613746500000206,88.16476508039858,0.9795918367346939,0.9795918367346939
objective_multiscale_ensemble,2024,UZS,0.21158537076563358,55,1.1,0.36363636363636365,1.1045454545454545,14.068896510067761,6.332096154995784,86.65860148859284,0.9591836734693877,0.9591836734693877
objective_multiscale_ensemble,2025,AMD,0.15589398057522286,38,0.7621776504297993,0.3684210526315789,1.6822244289970214,58.34237283106694,31.905244141490176,91.49048521567755,0.7551020408163265,0.7551020408163265
objective_multiscale_ensemble,2025,KGS,0.15105594930075783,38,0.7621776504297993,0.2894736842105263,1.4296455424274972,53.37230855228798,28.06798845298138,94.63777953043211,0.7551020408163265,0.7551020408163265
objective_multiscale_ensemble,2025,KZT,0.15342372713455418,42,0.8424068767908309,0.40476190476190477,2.0406746031746033,67.30858713751448,45.91183429462594,98.89959213434291,0.8163265306122449,0.8163265306122449
objective_multiscale_ensemble,2025,TJS,0.19159139260621483,35,0.7020057306590257,0.42857142857142855,1.4816326530612245,71.73915249112173,30.58233527266707,74.11773639879289,0.6938775510204082,0.6938775510204082
objective_multiscale_ensemble,2025,UZS,0.14780225807129035,41,0.822349570200573,0.2926829268292683,1.475609756097561,58.03158760122723,31.619082587889395,104.75504433737461,0.7959183673469388,0.7959183673469388
objective_multiscale_ensemble,2026,AMD,0.216324563175668,35,1.0888888888888888,0.45714285714285713,1.3714285714285712,26.42737282558263,22.473072928675354,82.6449580236855,0.9354838709677419,0.9354838709677419
objective_multiscale_ensemble,2026,KGS,0.19870293339295345,33,1.0266666666666666,0.45454545454545453,1.477272727272727,34.62009007940723,27.727992243579376,80.85085509696106,0.9032258064516129,0.9032258064516129
objective_multiscale_ensemble,2026,KZT,0.26206981683211966,29,0.9022222222222221,0.4827586206896552,1.3212341197822146,46.1398832155721,39.50555430358374,77.94694161796613,0.8064516129032258,0.8064516129032258
objective_multiscale_ensemble,2026,TJS,0.20333552421441406,34,1.0577777777777777,0.47058823529411764,1.4682352941176469,25.29428673339401,21.073891769544137,86.30753355846798,0.9032258064516129,0.9032258064516129
objective_multiscale_ensemble,2026,UZS,0.23178847976993358,32,0.9955555555555554,0.59375,1.54375,51.92759280958218,39.644304001528845,71.31264276369335,0.8709677419354839,0.8709677419354839
annual_recent_calibration_3m,2023,AMD,0.2069949610475855,50,1.0057471264367817,0.48,1.222736842105263,32.59633599087736,24.94511247352525,80.02738916212323,0.9375,0.9375
annual_recent_calibration_3m,2023,KGS,0.1851463720412378,46,0.9252873563218391,0.4782608695652174,1.2312673450508786,31.745080684057296,25.0277424905857,69.3398778487269,0.8333333333333334,0.8333333333333334
annual_recent_calibration_3m,2023,KZT,0.19640909596957412,50,1.0057471264367817,0.44,1.1964044943820225,38.7922359486776,27.155518862903218,80.64856870556723,0.9166666666666666,0.9166666666666666
annual_recent_calibration_3m,2023,TJS,0.18266273045155185,52,1.0459770114942528,0.5,1.2872340425531914,31.1218198590418,24.035457763634252,70.50682683366159,0.9583333333333334,0.9583333333333334
