track,trim_first_dates_per_outer_fold,inferential_status,baseline_reestimated_each_draw,policy_id,n_unique_dates,n_month_blocks,n_signal_dates,n_signal_month_blocks,signal_support_status,bootstrap_repetitions,mean_signals_per_corridor_week,min_cell_week_coverage,mean_cell_week_coverage,lift,lift_ci95_low,lift_ci95_high,lift_valid_draws,hit_rate,hit_rate_ci95_low,hit_rate_ci95_high,hit_rate_valid_draws,forward_delta_bps,forward_delta_bps_ci95_low,forward_delta_bps_ci95_high,forward_delta_bps_valid_draws,symmetric_delta_bps,symmetric_delta_bps_ci95_low,symmetric_delta_bps_ci95_high,symmetric_delta_bps_valid_draws,regret_bps,regret_bps_ci95_low,regret_bps_ci95_high,regret_bps_valid_draws,signals,signals_ci95_low,signals_ci95_high,signals_valid_draws,zero_signal_draw_fraction,interval_conditioning
development_2023_2025,0,retrospective exploratory; thresholds post-selected; source availability proxies,True,baseline_reproduction::legacy,727,36,255,36,descriptive retrospective interval,10000,0.8865329512893981,0.6666666666666666,0.8340702947845805,1.4351906688933174,1.3125326943417643,1.560132268552456,10000,0.45248868778280543,0.38571373028215955,0.518348792251007,10000,47.6856460151741,33.47724303605908,62.632152747819575,10000,26.79780839525267,17.1170341151147,36.94538964212026,10000,80.32875466661568,58.21177270575325,104.12532018922231,10000,663.0,612.0,713.0,10000,0.0,all draws nonempty
development_2023_2025,0,retrospective exploratory; thresholds post-selected; source availability proxies,True,baseline_reproduction::threshold_0.50,727,36,80,31,descriptive retrospective interval,10000,0.3851002865329512,0.10416666666666667,0.3668083900226757,1.7823397314228053,1.485973783189389,2.1447191492569684,10000,0.5625,0.46296132705143306,0.6596491228070176,10000,81.69621819424576,57.1004863218352,106.97428066207401,10000,34.009182320210044,17.383924960505503,51.58460275897979,10000,50.38105283450784,24.894200094520222,79.91782612834774,10000,288.0,238.0,339.0,10000,0.0,all draws nonempty
development_2023_2025,0,retrospective exploratory; thresholds post-selected; source availability proxies,True,baseline_reproduction::threshold_0.65,727,36,37,15,descriptive retrospective interval,10000,0.16446991404011457,0.0,0.16734693877551016,1.9129075556590398,1.489580011271482,2.5089003094118105,10000,0.6178861788617886,0.463768115942029,0.7800075757575756,10000,109.15197718243284,78.53616275745722,142.6850974283553,10000,57.18050029368392,32.259706670849,84.12633883443743,10000,59.05627190187957,12.3470257760358,116.76078895039151,10000,123.0,91.0,156.0,10000,0.0,all draws nonempty
development_2023_2025,0,retrospective exploratory; thresholds post-selected; source availability proxies,True,basis_train_120m::legacy,727,36,208,36,descriptive retrospective interval,10000,0.9667621776504296,0.7346938775510204,0.8828798185941042,1.3709701913909238,1.2357140735914869,1.522120167360688,10000,0.4412171507607192,0.374666485013624,0.5103469857560788,10000,40.078411599802024,26.567492859744526,54.64085028996632,10000,26.40696876898918,17.183758635273108,36.27766041072155,10000,80.96092783122008,60.288571421141434,102.96131095754623,10000,723.0,671.0,772.0,10000,0.0,all draws nonempty
development_2023_2025,0,retrospective exploratory; thresholds post-selected; source availability proxies,True,basis_train_120m::threshold_0.50,727,36,100,34,descriptive retrospective interval,10000,0.4693409742120343,0.20408163265306123,0.45320294784580495,1.7861721588319572,1.5617394977219388,2.037976422968364,10000,0.5925925925925926,0.5075517360260563,0.6759022114238846,10000,95.34569781005844,73.01490667476587,118.62751708836387,10000,47.55096289774537,34.017640519969945,63.023514818759665,10000,40.35146188374217,24.553321778489742,59.84400045429889,10000,351.0,301.0,403.0,10000,0.0,all draws nonempty
development_2023_2025,0,retrospective exploratory; thresholds post-selected; source availability proxies,True,basis_train_120m::threshold_0.65,727,36,36,22,descriptive retrospective interval,10000,0.1858643744030563,0.0,0.18112244897959184,2.1219122542323485,1.73722443842445,2.6074362738220658,10000,0.6546762589928058,0.528568524970964,0.7786275184582655,10000,108.25432139388053,82.03703964486677,133.8381871032482,10000,53.723902972007465,32.69311355092487,75.39710200637526,10000,58.64751560198609,19.00961898210273,107.50812575665634,10000,139.0,104.0,176.0,10000,0.0,all draws nonempty
development_2023_2025,0,retrospective exploratory; thresholds post-selected; source availability proxies,True,annual_recent_calibration_3m::legacy,727,36,268,36,descriptive retrospective interval,10000,0.9721107927411651,0.7755102040816326,0.8837018140589569,1.3712733552394887,1.2606125917218078,1.4924360267562977,10000,0.4332874828060523,0.37001043902031294,0.4986449864498645,10000,43.601281515970136,30.596732932937392,57.29596466147341,10000,29.373026600731126,19.433697683190545,39.895839418376745,10000,82.10542942942578,60.35854462884905,105.75479337469946,10000,727.0,677.0,774.0,10000,0.0,all draws nonempty
development_2023_2025,0,retrospective exploratory; thresholds post-selected; source availability proxies,True,annual_recent_calibration_3m::threshold_0.50,727,36,132,35,descriptive retrospective interval,10000,0.500095510983763,0.2857142857142857,0.48078231292517004,1.6836905267933637,1.4780609062034675,1.8944101963795037,10000,0.5561497326203209,0.46246902317861976,0.6458333333333334,10000,78.53818249222853,56.51749666260351,101.22496267062921,10000,39.76504524141595,24.521723255786803,55.8631950134976,10000,58.54771421042457,38.19098003056002,83.40669147086157,10000,374.0,321.0,427.0,10000,0.0,all draws nonempty
development_2023_2025,0,retrospective exploratory; thresholds post-selected; source availability proxies,True,annual_recent_calibration_3m::threshold_0.65,727,36,66,29,descriptive retrospective interval,10000,0.24469914040114607,0.12244897959183673,0.23959750566893429,1.8022911204369274,1.4786795754945101,2.129578347299321,10000,0.6174863387978142,0.4768211920529801,0.7449029611844737,10000,99.75633348977897,67.52617331628716,133.8920433089923,10000,29.731218124010272,10.820720760430735,51.32177234679178,10000,42.83810605269425,20.497859751065633,74.37136736055241,10000,183.0,145.0,227.0,10000,0.0,all draws nonempty
development_2023_2025,20,retrospective exploratory; thresholds post-selected; source availability proxies,True,baseline_reproduction::legacy,667,33,236,33,descriptive retrospective interval,10000,0.8955347871235722,0.6363636363636364,0.8296296296296295,1.4339179009354601,1.3019214894143918,1.56774823574916,10000,0.4496753246753247,0.3791874715301867,0.5175162558616804,10000,48.17050638432692,33.08961256824567,63.58518229682776,10000,27.50408154821883,17.637856395833108,37.91001561139856,10000,81.186145541896,58.076992647407664,107.52655317186858,10000,616.0,570.0,662.0,10000,0.0,all draws nonempty
development_2023_2025,20,retrospective exploratory; thresholds post-selected; source availability proxies,True,baseline_reproduction::threshold_0.50,667,33,76,29,descriptive retrospective interval,10000,0.3925233644859813,0.09090909090909091,0.3638047138047138,1.7582459858785298,1.4477631742729795,2.1481098878047726,10000,0.5518518518518518,0.45065424600323334,0.6535440101237344,10000,81.7200189361723,55.21751245998269,108.36374574449285,10000,33.08962166758526,15.82007342637648,51.99464510952943,10000,52.966057627446474,26.40412245625294,83.62608075269364,10000,270.0,223.0,319.0,10000,0.0,all draws nonempty
development_2023_2025,20,retrospective exploratory; thresholds post-selected; source availability proxies,True,baseline_reproduction::threshold_0.65,667,33,36,14,descriptive retrospective interval,10000,0.17154724818276218,0.0,0.16888888888888892,1.8647752195600207,1.4367601307352644,2.478538702504413,10000,0.6016949152542372,0.4424778761061947,0.7678571428571429,10000,108.82994962167456,77.23578550786199,142.82968674902222,10000,57.239244855181795,31.207473504417724,85.87133884199011,10000,61.55865630450159,13.312653120083871,121.89759066250332,10000,118.0,86.0,150.0,10000,0.0,all draws nonempty
