config_id,track,rows,dates,signals,brier,log_loss,auc,hit_rate,lift,forward_delta_bps,symmetric_bps,symmetric_delta_bps,regret_bps,min_cell_week_coverage,mean_cell_week_coverage,min_observed_calendar_week_coverage,mean_observed_calendar_week_coverage
annual_recent_calibration_3m,development_2023_2025,3695,739,700,0.19937075008021204,0.5869457100213794,0.7664508860540952,0.7171428571428572,1.3588499788036945,39.063016593651405,13.06433939297498,12.726929035062318,14.372698553341433,0.62,0.8508571428571428,0.6153846153846154,0.8384866767219709
baseline_reproduction,development_2023_2025,3695,739,777,0.1991664876110421,0.5850357040844897,0.7643421143035327,0.6808236808236808,1.2933453454516775,35.3639444171604,14.188009553364036,13.85418818680087,15.625553256940663,0.74,0.9072108843537416,0.7307692307692307,0.896606334841629
basis_train_120m,development_2023_2025,3695,739,785,0.19562568210787862,0.5768196097880258,0.7730954843157531,0.6815286624203821,1.3001446459597559,33.88303422230306,16.171787407679783,15.835423973217933,16.542656382633144,0.84,0.9312653061224491,0.8076923076923077,0.9132730015082958
long_with_historical_cny,development_2023_2025,3695,739,797,0.19569370702976066,0.5766259358681217,0.7715964124454531,0.6336260978670013,1.2062534832087177,25.446812158333344,13.048450760824366,12.714975308348727,19.815509690499557,0.8775510204081632,0.9298503401360544,0.8627450980392157,0.9106083459024635
annual_recent_calibration_3m,diagnostic_2026,800,160,178,0.19922070892184945,0.5933884609461593,0.7791526580550571,0.6966292134831461,1.2600025403277024,23.62686998911338,12.608192328412336,12.215000783942317,21.03818894957962,0.9032258064516129,0.9483870967741936,0.9090909090909091,0.9515151515151515
baseline_reproduction,diagnostic_2026,800,160,180,0.1925691879623649,0.568762905824387,0.7766153087792917,0.6777777777777778,1.2270555695247674,20.37756376832793,12.54388088717171,12.15149386734937,19.2342556899255,0.9032258064516129,0.9419354838709678,0.9090909090909091,0.9454545454545455
basis_train_120m,diagnostic_2026,800,160,183,0.18875284618705584,0.5561923016178212,0.7858325539068227,0.6721311475409836,1.2167676517868184,21.488836222326075,12.282085247905503,11.889420674315192,21.855136946061045,0.9354838709677419,0.9612903225806452,0.9393939393939394,0.9636363636363636
long_with_historical_cny,diagnostic_2026,800,160,180,0.1903529572671407,0.5606701014032829,0.7847518895826487,0.7055555555555556,1.2776659959758552,24.77868036946705,14.42063670707957,14.030809089845821,19.729287226427612,0.9032258064516129,0.9548387096774194,0.9090909090909091,0.9575757575757576
