scenario,period,segment,policy,contacts,relevant_contacts,shifted_transfers,planned_transfers,completed_transfers,organic_volume_rub,policy_volume_rub,gross_timing_value_rub,net_scenario_value_rub,execution_drag_rub,shifted_amount_rub,sum_advance_days,hurt_transfers,contact_target_sum,contact_forward_bps_sum,client_periods,exposure_weeks,contacts_per_client,contacts_per_client_week,relevance_rate,shift_rate_per_contact,shifted_fraction_of_transfers,gross_value_rub_per_client,net_scenario_value_rub_per_client,timing_bps_all_planned_volume,timing_bps_shifted_volume,conditional_contact_hit_rate,conditional_contact_forward_bps,incremental_volume_rub
base,2023-2025 OOT,frequent,frequency_gate,19784,4112,1392,51909,51909,971907824.8527851,971907824.8527851,104618.83251175414,84834.83251175414,0.0,26466604.579032112,2258,328,8916.0,1081130.10524831,1350,67307.14285714286,14.654814814814815,0.293936113764194,0.20784472300849172,0.0703598867771937,0.026816159047564007,77.49543149018825,62.84061667537344,1.076427515413828,39.52861886735457,0.45066720582288716,54.646689509113926,0.0
base,2023-2025 OOT,frequent,market_only,59670,10472,3139,51909,51909,971907824.8527851,971907824.8527851,236753.4866566876,177083.48665668757,0.0,59222762.964801274,5047,715,27000.0,3251322.249347798,1350,67307.14285714286,44.2,0.8865329512893984,0.1754985754985755,0.0526059996648232,0.06047120923153981,175.37295307902787,131.17295307902782,2.4359664631010522,39.97677156626426,0.45248868778280543,54.48839030246017,0.0
base,2023-2025 OOT,frequent,matched_calendar,11257,2002,688,51909,51909,971907824.8527851,971907824.8527851,-5413.176125817528,-16670.17612581753,0.0,13182922.890406026,1128,289,2875.0,-215880.8769682357,1350,67307.14285714286,8.33851851851852,0.16724822243446885,0.17784489650883895,0.061117526872168426,0.013253963667186808,-4.009760093198169,-12.348278611716689,-0.05569639411677195,-4.106203283459247,0.25539664208936663,-19.17747863269394,0.0
base,2023-2025 OOT,frequent,matched_random_market,11257,2385,776,51909,51909,971907824.8527851,971907824.8527851,58702.026125192766,47445.026125192766,0.0,14971650.640892863,1241,183,5103.0,615513.0095055794,1350,67307.14285714286,8.33851851851852,0.16724822243446885,0.21186817091587457,0.06893488496046904,0.014949238089733958,43.4829823149576,35.144463796439084,0.6039875863133869,39.208787015679356,0.4533179355067958,54.678245492189696,0.0
base,2023-2025 OOT,frequent,user_aware,11257,7512,2557,51909,51909,971907824.8527851,971907824.8527851,190065.23401295717,178808.23401295717,0.0,47612705.33949351,4068,585,5057.0,621425.1736358416,1350,67307.14285714286,8.33851851851852,0.16724822243446885,0.667318113174025,0.22714755263391667,0.04925928066423934,140.7890622318201,132.4505437133016,1.9555890914011969,39.91901587144282,0.4492315892333659,55.203444402224534,0.0
base,2023-2025 OOT,frequent,weekly_fixed,68400,11655,3427,51909,51909,971907824.8527851,971907824.8527851,-64434.52181689358,-132834.5218168936,0.0,64672019.04314288,5537,1726,18630.0,-275063.9083495474,1350,67307.14285714286,50.666666666666664,1.0162368672397326,0.17039473684210527,0.05010233918128655,0.06601938006896685,-47.72927541992117,-98.39594208658785,-0.6629694727136648,-9.96327666434987,0.2723684210526316,-4.021402168853032,0.0
base,2023-2025 OOT,monthly,frequency_gate,14691,3720,1254,15436,15436,727562329.9799291,727562329.9799291,311497.2092853851,296806.2092853851,0.0,58905968.474375784,4086,346,6597.0,803342.5546457015,1350,67307.14285714286,10.882222222222222,0.21826806749442854,0.2532162548499081,0.08535838268327547,0.08123866286602748,230.7386735447297,219.85645132250747,4.281381765517989,52.880415576375256,0.44905043904431285,54.68263254003822,0.0
base,2023-2025 OOT,monthly,market_only,59670,7640,2220,15436,15436,727562329.9799291,727562329.9799291,490879.16211527254,431209.16211527254,0.0,104362403.34691255,7163,655,27000.0,3251322.249347798,1350,67307.14285714286,44.2,0.8865329512893984,0.1280375398022457,0.03720462543991956,0.1438196423944027,363.61419415946114,319.41419415946115,6.746901837658557,47.03601549722213,0.45248868778280543,54.48839030246017,0.0
base,2023-2025 OOT,monthly,matched_calendar,9973,1099,414,15436,15436,727562329.9799291,727562329.9799291,7212.261863567457,-2760.738136432543,0.0,20635559.000659578,1350,185,2556.0,-165823.6799012483,1350,67307.14285714286,7.387407407407407,0.14817149527751247,0.11019753334001806,0.04151208262308232,0.026820419797875097,5.342416195235153,-2.044991212172254,0.09912912703666801,3.495064932981428,0.2562919883685952,-16.627261596435208,0.0
base,2023-2025 OOT,monthly,matched_random_market,9973,1360,452,15436,15436,727562329.9799291,727562329.9799291,82596.43885533603,72623.43885533603,0.0,21073859.296840798,1417,138,4571.0,554875.9787628863,1350,67307.14285714286,7.387407407407407,0.14817149527751247,0.13636819412413517,0.04532237040008022,0.02928219746048199,61.18254730024891,53.795139892841505,1.1352489738936125,39.19378870851536,0.45833751128045724,55.63781999026234,0.0
